Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
SRE,2015-11-03,1.0,0.88,1,
SRE,2016-02-26,1.47,1.32,1,
SRE,2016-05-04,1.47,1.66,0,
SRE,2016-08-04,0.79,0.97,0,
SRE,2016-11-02,1.02,0.96,1,
SRE,2017-02-28,1.52,1.49,1,
SRE,2017-05-09,1.74,1.67,1,
SRE,2017-08-04,1.1,0.86,1,
SRE,2017-10-30,1.04,1.05,0,
SRE,2018-02-27,1.54,1.41,1,
SRE,2018-05-07,1.43,1.62,0,
SRE,2018-08-06,1.35,1.19,1,
SRE,2018-11-07,1.23,1.13,1,
SRE,2019-02-26,1.56,1.46,1,
SRE,2019-05-07,1.92,1.68,1,
SRE,2019-08-02,1.1,1.16,0,
SRE,2019-11-01,1.5,1.47,1,
SRE,2020-02-27,1.55,1.48,1,
SRE,2020-05-04,3.08,2.26,1,
SRE,2020-08-05,1.65,1.5,1,
SRE,2020-11-05,1.31,1.52,0,
SRE,2021-02-25,1.9,1.56,1,
SRE,2021-05-05,2.95,2.71,1,
SRE,2021-08-05,1.63,1.59,1,
SRE,2021-11-05,1.7,1.7,0,
SRE,2022-02-25,2.16,2.0,1,
SRE,2022-05-05,2.91,2.77,1,
SRE,2022-08-04,1.98,1.76,1,
SRE,2022-11-03,1.97,1.79,1,
SRE,2023-02-28,2.35,2.04,1,
SRE,2023-05-04,2.92,2.77,1,
SRE,2023-08-03,1.88,1.75,1,
SRE,2023-11-03,1.08,1.01,1,
SRE,2024-02-27,1.13,1.12,1,
SRE,2024-05-07,1.34,1.34,0,3011000000.0
SRE,2024-08-06,0.89,0.94,0,2776000000.0
SRE,2024-11-06,0.89,1.05,0,3758000000.0
SRE,2025-02-25,1.5,1.6,0,3802000000.0
SRE,2025-05-08,1.44,1.32,1,3000000000.0
