Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
STT,2016-01-27,1.21,1.18,1,
STT,2016-04-27,0.98,0.9,1,
STT,2016-07-27,1.46,1.26,1,
STT,2016-10-26,1.35,1.25,1,
STT,2017-01-25,1.35,1.32,1,
STT,2017-04-26,1.21,1.1,1,
STT,2017-07-26,1.67,1.57,1,
STT,2017-10-23,1.71,1.62,1,
STT,2018-01-23,1.83,1.7,1,
STT,2018-04-20,1.62,1.59,1,
STT,2018-07-20,2.05,2.01,1,
STT,2018-10-19,1.87,1.89,0,
STT,2019-01-18,1.68,1.67,1,
STT,2019-04-23,1.24,1.19,1,
STT,2019-07-19,1.45,1.39,1,
STT,2019-10-18,1.51,1.39,1,
STT,2020-01-17,1.98,1.69,1,
STT,2020-04-17,1.67,1.35,1,
STT,2020-07-17,1.88,1.61,1,
STT,2020-10-16,1.45,1.41,1,
STT,2021-01-19,1.69,1.56,1,
STT,2021-04-16,1.47,1.35,1,
STT,2021-07-16,1.97,1.79,1,
STT,2021-10-18,2.0,1.92,1,
STT,2022-01-19,2.0,1.88,1,
STT,2022-04-14,1.59,1.49,1,
STT,2022-07-15,1.94,1.73,1,
STT,2022-10-18,1.82,1.78,1,
STT,2023-01-20,2.07,1.98,1,
STT,2023-04-17,1.52,1.64,0,
STT,2023-07-14,2.17,2.1,1,
STT,2023-10-18,1.93,1.81,1,
STT,2024-01-19,2.04,1.83,1,
STT,2024-04-12,1.69,1.5,1,3191000000.0
STT,2024-07-16,2.15,2.03,1,3178000000.0
STT,2024-10-15,2.26,2.12,1,3412000000.0
STT,2025-01-17,2.6,2.43,1,3284000000.0
STT,2025-04-17,2.04,2.0,1,3469000000.0
