Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
TECH,2015-10-28,0.2,0.21,0,
TECH,2016-02-02,0.22,0.21,1,
TECH,2016-05-03,0.25,0.22,1,
TECH,2016-08-17,0.23,0.24,0,
TECH,2016-10-31,0.21,0.2,1,
TECH,2017-02-07,0.2,0.21,0,
TECH,2017-05-02,0.24,0.23,1,
TECH,2017-08-08,0.27,0.25,1,
TECH,2017-10-31,0.23,0.22,1,
TECH,2018-02-06,0.26,0.23,1,
TECH,2018-05-02,0.3,0.29,1,
TECH,2018-08-07,0.34,0.32,1,
TECH,2018-10-30,0.25,0.24,1,
TECH,2019-02-05,0.27,0.25,1,
TECH,2019-04-30,0.3,0.29,1,
TECH,2019-08-06,0.31,0.33,0,
TECH,2019-10-29,0.27,0.26,1,
TECH,2020-02-04,0.27,0.28,0,
TECH,2020-04-30,0.35,0.29,1,
TECH,2020-08-04,0.25,0.19,1,
TECH,2020-11-05,0.36,0.27,1,
TECH,2021-02-02,0.41,0.34,1,
TECH,2021-05-06,0.45,0.39,1,
TECH,2021-08-05,0.47,0.43,1,
TECH,2021-11-02,0.46,0.43,1,
TECH,2022-02-01,0.47,0.45,1,
TECH,2022-05-04,0.54,0.5,1,
TECH,2022-08-04,0.51,0.52,0,
TECH,2022-11-01,0.45,0.59,0,
TECH,2023-02-02,0.47,0.62,0,
TECH,2023-05-03,0.53,0.53,0,
TECH,2023-08-08,0.55,0.55,0,
TECH,2023-10-31,0.41,0.44,0,
TECH,2024-02-01,0.4,0.41,0,
TECH,2024-05-01,0.48,0.45,1,
TECH,2024-08-07,0.49,0.49,0,289458000.0
TECH,2024-10-30,0.42,0.38,1,297031000.0
TECH,2025-02-05,0.42,0.39,1,316181000.0
TECH,2025-05-07,0.56,0.51,1,316964000.0
