Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
TGT,2015-11-18,0.86,0.86,0,
TGT,2016-02-24,1.52,1.54,0,
TGT,2016-05-18,1.29,1.19,1,
TGT,2016-08-17,1.23,1.12,1,
TGT,2016-11-16,1.04,0.83,1,
TGT,2017-02-28,1.45,1.51,0,
TGT,2017-05-17,1.21,0.91,1,
TGT,2017-08-16,1.23,1.19,1,
TGT,2017-11-15,0.91,0.86,1,
TGT,2018-03-06,1.37,1.38,0,
TGT,2018-05-23,1.32,1.39,0,
TGT,2018-08-22,1.47,1.4,1,
TGT,2018-11-20,1.09,1.12,0,
TGT,2019-03-05,1.53,1.52,1,
TGT,2019-05-22,1.53,1.43,1,
TGT,2019-08-21,1.82,1.62,1,
TGT,2019-11-20,1.36,1.19,1,
TGT,2020-03-03,1.69,1.66,1,
TGT,2020-05-20,0.59,0.4,1,
TGT,2020-08-19,3.38,1.62,1,
TGT,2020-11-18,2.79,1.6,1,
TGT,2021-03-02,2.67,2.54,1,
TGT,2021-05-19,3.69,2.25,1,
TGT,2021-08-18,3.64,3.49,1,
TGT,2021-11-17,3.03,2.83,1,
TGT,2022-03-01,3.19,2.86,1,
TGT,2022-05-18,2.19,3.07,0,
TGT,2022-08-17,0.39,0.72,0,
TGT,2022-11-16,1.54,2.13,0,
TGT,2023-02-28,1.89,1.4,1,
TGT,2023-05-17,2.05,1.76,1,
TGT,2023-08-16,1.8,1.39,1,
TGT,2023-11-15,2.1,1.48,1,
TGT,2024-03-05,2.98,2.42,1,
TGT,2024-05-22,2.03,2.06,0,
TGT,2024-08-21,2.57,2.18,1,
TGT,2024-11-20,1.85,2.3,0,
TGT,2025-03-04,2.41,2.27,1,
TGT,2025-05-21,1.3,1.61,0,
