Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
TRGP,2015-11-03,0.23,0.57,0,
TRGP,2016-02-25,0.48,0.49,0,
TRGP,2016-04-29,-0.02,-0.1,1,
TRGP,2016-08-03,-0.14,-0.08,0,
TRGP,2016-11-02,-0.23,-0.06,0,
TRGP,2017-02-15,-1.18,0.06,0,
TRGP,2017-05-04,-0.77,0.01,0,
TRGP,2017-08-03,0.14,-0.14,1,
TRGP,2017-11-02,-0.16,-0.11,0,
TRGP,2018-02-15,-0.08,0.01,0,
TRGP,2018-05-03,-0.03,-0.01,0,
TRGP,2018-08-09,-0.02,-0.03,1,
TRGP,2018-11-08,-0.24,0.06,0,
TRGP,2019-02-20,0.32,0.01,1,
TRGP,2019-05-07,-0.3,-0.1,0,
TRGP,2019-08-08,-0.18,-0.29,1,
TRGP,2019-11-07,-0.62,-0.21,0,
TRGP,2020-02-20,-0.62,-0.07,0,
TRGP,2020-05-07,2.89,-0.07,1,
TRGP,2020-08-06,0.21,-0.24,1,
TRGP,2020-11-05,0.16,0.1,1,
TRGP,2021-05-06,0.53,0.17,1,
TRGP,2021-08-05,0.15,0.27,0,
TRGP,2021-11-04,0.66,0.53,1,
TRGP,2022-02-24,0.51,0.66,0,
TRGP,2022-05-05,0.06,0.86,0,
TRGP,2022-08-04,1.61,1.22,1,
TRGP,2022-11-03,0.84,1.2,0,
TRGP,2023-02-22,1.38,1.38,0,
TRGP,2023-05-04,0.03,1.4,0,
TRGP,2023-08-03,1.44,1.24,1,
TRGP,2023-11-02,0.97,1.2,0,
TRGP,2024-02-15,1.26,1.46,0,
TRGP,2024-05-02,1.22,1.3,0,3562000000.0
TRGP,2024-08-01,1.33,1.27,1,3562000000.0
TRGP,2024-11-05,1.75,1.56,1,4405300000.0
TRGP,2025-02-20,1.46,1.91,0,4561500000.0
TRGP,2025-05-01,0.91,1.98,0,4561500000.0
