Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
TTWO,2015-11-05,0.3,0.15,1,
TTWO,2016-02-03,0.6,0.5,1,
TTWO,2016-05-18,0.46,0.26,1,
TTWO,2016-08-04,-0.34,-0.29,0,
TTWO,2016-11-02,0.66,0.29,1,
TTWO,2017-02-07,0.99,0.96,1,
TTWO,2017-05-23,0.68,0.57,1,
TTWO,2017-08-02,0.41,0.19,1,
TTWO,2017-11-07,1.16,0.74,1,
TTWO,2018-02-07,1.12,0.98,1,
TTWO,2018-05-16,0.87,0.63,1,
TTWO,2018-08-02,0.12,0.06,1,
TTWO,2018-11-07,1.05,0.92,1,
TTWO,2019-02-06,2.9,2.8,1,
TTWO,2019-05-13,0.78,0.75,1,
TTWO,2019-08-05,0.27,0.03,1,
TTWO,2019-11-07,1.93,1.69,1,
TTWO,2020-02-06,1.63,1.75,0,
TTWO,2020-05-20,1.5,0.89,1,
TTWO,2020-08-03,2.3,1.6,1,
TTWO,2020-11-05,2.0,1.48,1,
TTWO,2021-02-08,1.25,0.96,1,
TTWO,2021-05-18,0.94,0.67,1,
TTWO,2021-08-02,1.01,0.89,1,
TTWO,2021-11-03,1.63,1.34,1,
TTWO,2022-02-07,1.32,1.22,1,
TTWO,2022-05-16,1.09,1.04,1,
TTWO,2022-08-08,0.74,0.85,0,
TTWO,2022-11-07,1.3,1.37,0,
TTWO,2023-02-06,0.86,0.87,0,
TTWO,2023-05-17,0.59,0.68,0,
TTWO,2023-08-08,0.27,0.42,0,
TTWO,2023-11-08,1.22,1.03,1,
TTWO,2024-02-08,0.71,0.72,0,
TTWO,2024-05-16,0.28,0.09,1,1338200000.0
TTWO,2024-08-08,0.05,-0.02,1,1353100000.0
TTWO,2024-11-06,0.66,0.41,1,1359800000.0
TTWO,2025-02-06,0.72,0.57,1,1582500000.0
TTWO,2025-05-15,1.09,1.1,0,1503800000.0
