Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
T,2016-01-26,0.63,0.63,0,
T,2016-04-26,0.72,0.69,1,
T,2016-07-21,0.72,0.72,0,
T,2016-10-22,0.74,0.74,0,
T,2017-01-25,0.66,0.66,0,
T,2017-04-25,0.74,0.74,0,
T,2017-07-25,0.79,0.73,1,
T,2017-10-24,0.74,0.75,0,
T,2018-01-31,0.78,0.65,1,
T,2018-04-25,0.85,0.87,0,
T,2018-07-24,0.91,0.85,1,
T,2018-10-24,0.9,0.94,0,
T,2019-01-30,0.86,0.86,0,
T,2019-04-24,0.86,0.86,0,
T,2019-07-24,0.89,0.89,0,
T,2019-10-28,0.94,0.93,1,
T,2020-01-29,0.89,0.87,1,
T,2020-04-22,0.84,0.85,0,
T,2020-07-23,0.83,0.79,1,
T,2020-10-22,0.76,0.76,0,
T,2021-01-27,0.75,0.73,1,
T,2021-04-22,0.86,0.78,1,
T,2021-07-22,0.89,0.79,1,
T,2021-10-21,0.87,0.78,1,
T,2022-01-26,0.78,0.76,1,
T,2022-04-21,0.77,0.75,1,
T,2022-07-21,0.65,0.61,1,
T,2022-10-20,0.68,0.61,1,
T,2023-01-25,0.61,0.57,1,
T,2023-04-20,0.6,0.59,1,
T,2023-07-26,0.63,0.6,1,
T,2023-10-19,0.64,0.62,1,
T,2024-01-24,0.54,0.56,0,
T,2024-04-24,0.55,0.54,1,29797000000.0
T,2024-07-24,0.57,0.57,0,30213000000.0
T,2024-10-23,0.6,0.57,1,32298000000.0
T,2025-01-27,0.54,0.5,1,30626000000.0
T,2025-04-23,0.51,0.49,1,30847000000.0
