Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
UBER,2019-05-30,-2.23,-2.26,1,
UBER,2019-08-08,-4.77,-3.19,0,
UBER,2019-11-04,-0.68,-0.81,1,
UBER,2020-02-06,-0.64,-0.68,1,
UBER,2020-05-07,-0.64,-0.88,1,
UBER,2020-08-06,-0.8,-0.86,1,
UBER,2020-11-05,-0.62,-0.65,1,
UBER,2021-02-10,-0.54,-0.56,1,
UBER,2021-05-05,0.26,-0.54,1,
UBER,2021-08-04,-0.19,-0.51,1,
UBER,2021-11-04,-0.22,-0.3,1,
UBER,2022-02-09,-0.26,-0.35,1,
UBER,2022-05-04,-0.18,-0.24,1,
UBER,2022-08-02,-1.33,-0.26,0,
UBER,2022-11-01,-0.61,-0.22,0,
UBER,2023-02-08,0.29,-0.18,1,
UBER,2023-05-02,-0.08,-0.09,1,
UBER,2023-08-01,0.18,-0.01,1,
UBER,2023-11-07,0.1,0.12,0,
UBER,2024-02-07,0.66,0.17,1,
UBER,2024-05-08,-0.31,0.23,0,10700000000.0
UBER,2024-08-06,0.47,0.31,1,11188000000.0
UBER,2024-10-31,1.2,0.41,1,11959000000.0
UBER,2025-02-05,0.23,0.5,0,11533000000.0
UBER,2025-05-07,0.83,0.5,1,12651000000.0
