Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
UDR,2016-04-25,0.04,0.05,0,
UDR,2016-07-26,0.06,0.05,1,
UDR,2016-10-25,0.11,0.08,1,
UDR,2017-01-30,0.87,0.1,1,
UDR,2017-04-24,0.09,0.06,1,
UDR,2017-07-26,0.03,0.06,0,
UDR,2017-10-30,0.06,0.07,0,
UDR,2018-02-06,0.25,0.09,1,
UDR,2018-04-25,0.3,0.05,1,
UDR,2018-07-30,0.07,0.05,1,
UDR,2018-10-29,0.07,0.07,0,
UDR,2019-02-12,0.3,0.09,1,
UDR,2019-04-30,0.08,0.1,0,
UDR,2019-07-30,0.12,0.08,1,
UDR,2019-10-29,0.09,0.08,1,
UDR,2020-02-11,0.33,0.04,1,
UDR,2020-05-06,0.01,0.03,0,
UDR,2020-07-28,0.19,0.09,1,
UDR,2020-10-29,-0.09,-0.01,0,
UDR,2021-02-09,0.09,0.03,1,
UDR,2021-04-27,0.01,-0.01,1,
UDR,2021-10-26,0.06,0.04,1,
UDR,2022-02-08,0.37,0.07,1,
UDR,2022-04-26,0.04,0.03,1,
UDR,2022-07-26,0.01,0.07,0,
UDR,2022-10-26,0.07,0.08,0,
UDR,2023-02-06,0.13,0.11,1,
UDR,2023-04-26,0.1,0.11,0,
UDR,2023-07-26,1.02,0.12,1,
UDR,2023-10-26,0.1,0.11,0,
UDR,2024-02-06,0.1,0.11,0,
UDR,2024-04-30,0.13,0.1,1,415320000.0
UDR,2024-07-30,0.08,0.09,0,420160000.0
UDR,2024-10-30,0.06,0.1,0,422728000.0
UDR,2025-02-05,-0.02,0.07,0,421948000.0
UDR,2025-04-30,0.23,0.12,1,425399000.0
