Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
UHS,2016-04-27,1.98,1.87,1,
UHS,2016-07-26,1.94,1.94,0,
UHS,2016-10-26,1.6,1.68,0,
UHS,2017-02-28,1.8,1.81,0,
UHS,2017-04-25,2.1,2.06,1,
UHS,2017-07-25,1.94,2.06,0,
UHS,2017-10-25,1.64,1.68,0,
UHS,2018-02-28,2.0,1.84,1,
UHS,2018-04-25,2.45,2.59,0,
UHS,2018-07-25,2.47,2.39,1,
UHS,2018-10-25,2.23,2.01,1,
UHS,2019-02-27,2.37,2.34,1,
UHS,2019-04-25,2.45,2.62,0,
UHS,2019-07-25,2.76,2.5,1,
UHS,2019-10-24,1.99,2.3,0,
UHS,2020-02-26,2.79,2.57,1,
UHS,2020-04-27,1.73,2.55,0,
UHS,2020-07-27,2.93,0.88,1,
UHS,2020-10-29,2.88,1.94,1,
UHS,2021-02-25,3.59,2.78,1,
UHS,2021-04-26,2.44,2.27,1,
UHS,2021-07-26,3.76,2.7,1,
UHS,2021-10-25,2.67,2.75,0,
UHS,2022-02-24,2.95,2.87,1,
UHS,2022-04-25,2.15,2.46,0,
UHS,2022-07-25,2.2,2.35,0,
UHS,2022-10-25,2.54,2.43,1,
UHS,2023-02-27,3.02,2.96,1,
UHS,2023-04-25,2.34,2.19,1,
UHS,2023-07-25,2.53,2.43,1,
UHS,2023-10-25,2.55,2.36,1,
UHS,2024-02-27,3.13,2.88,1,
UHS,2024-04-24,3.7,3.15,1,3907604000.0
UHS,2024-07-24,4.31,3.28,1,3963027000.0
UHS,2024-10-24,3.71,3.65,1,4113722000.0
UHS,2025-02-26,4.92,4.18,1,4099720000.0
UHS,2025-04-28,4.84,4.35,1,4283816000.0
