Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
VRSN,2015-10-22,0.78,0.77,1,
VRSN,2016-02-11,0.79,0.78,1,
VRSN,2016-04-28,0.85,0.83,1,
VRSN,2016-07-28,0.91,0.86,1,
VRSN,2016-10-27,0.93,0.87,1,
VRSN,2017-02-09,0.92,0.88,1,
VRSN,2017-04-27,0.96,0.94,1,
VRSN,2017-07-27,1.05,0.99,1,
VRSN,2017-10-26,1.0,0.97,1,
VRSN,2018-02-08,0.96,0.97,0,
VRSN,2018-04-26,1.07,1.06,1,
VRSN,2018-07-26,1.18,1.14,1,
VRSN,2018-10-25,1.23,1.19,1,
VRSN,2019-02-07,1.58,1.21,1,
VRSN,2019-04-25,1.31,1.25,1,
VRSN,2019-07-25,1.33,1.29,1,
VRSN,2019-10-24,1.36,1.31,1,
VRSN,2020-02-06,1.31,1.33,0,
VRSN,2020-04-23,1.51,1.28,1,
VRSN,2020-07-23,1.4,1.27,1,
VRSN,2020-10-22,1.49,1.25,1,
VRSN,2021-02-11,1.38,1.29,1,
VRSN,2021-04-22,1.33,1.3,1,
VRSN,2021-07-22,1.31,1.33,0,
VRSN,2021-10-28,1.4,1.37,1,
VRSN,2022-02-10,1.48,1.41,1,
VRSN,2022-04-28,1.43,1.45,0,
VRSN,2022-07-28,1.54,1.52,1,
VRSN,2022-10-27,1.58,1.54,1,
VRSN,2023-02-09,1.7,1.61,1,
VRSN,2023-04-27,1.7,1.68,1,
VRSN,2023-07-27,1.79,1.75,1,
VRSN,2023-10-26,1.83,1.81,1,
VRSN,2024-02-08,1.92,1.86,1,
VRSN,2024-04-25,1.92,1.86,1,387100000.0
VRSN,2024-07-25,2.01,1.93,1,390600000.0
VRSN,2024-10-24,2.07,2.01,1,395400000.0
VRSN,2025-02-06,2.0,2.0,0,402300000.0
VRSN,2025-04-24,2.1,2.11,0,409900000.0
