Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
VRTX,2015-10-28,-0.13,-0.28,1,
VRTX,2016-01-27,0.17,0.17,0,
VRTX,2016-04-27,0.09,0.29,0,
VRTX,2016-07-27,0.24,0.21,1,
VRTX,2016-10-25,0.16,0.18,0,
VRTX,2017-01-25,0.35,0.29,1,
VRTX,2017-04-27,0.41,0.39,1,
VRTX,2017-07-26,0.39,0.35,1,
VRTX,2017-10-25,0.53,0.31,1,
VRTX,2018-01-31,0.61,0.53,1,
VRTX,2018-04-26,0.76,0.63,1,
VRTX,2018-07-25,0.94,0.75,1,
VRTX,2018-10-24,1.09,1.02,1,
VRTX,2019-02-05,1.3,1.06,1,
VRTX,2019-04-30,1.14,0.97,1,
VRTX,2019-07-31,1.26,1.07,1,
VRTX,2019-10-30,1.23,1.15,1,
VRTX,2020-01-30,1.7,1.21,1,
VRTX,2020-04-29,2.56,1.85,1,
VRTX,2020-07-30,2.61,2.07,1,
VRTX,2020-10-29,2.64,2.34,1,
VRTX,2021-02-01,2.51,2.59,0,
VRTX,2021-04-29,2.98,2.69,1,
VRTX,2021-07-29,3.11,2.51,1,
VRTX,2021-11-02,3.56,3.08,1,
VRTX,2022-01-26,3.37,3.3,1,
VRTX,2022-05-05,3.52,3.49,1,
VRTX,2022-08-04,3.6,3.48,1,
VRTX,2022-10-27,4.01,3.64,1,
VRTX,2023-02-07,3.76,3.51,1,
VRTX,2023-05-01,3.05,3.0,1,
VRTX,2023-08-01,3.89,3.88,1,
VRTX,2023-11-06,4.08,3.97,1,
VRTX,2024-02-05,4.2,4.1,1,
VRTX,2024-05-06,4.76,4.06,1,2645600000.0
VRTX,2024-08-01,-12.83,2.94,0,2645600000.0
VRTX,2024-11-04,4.38,4.14,1,2912000000.0
VRTX,2025-02-10,3.98,4.03,0,2770200000.0
VRTX,2025-05-05,4.06,4.32,0,2964700000.0
