Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
VTRS,2015-10-30,1.43,1.38,1,
VTRS,2016-02-10,1.22,1.28,0,
VTRS,2016-05-03,0.76,0.74,1,
VTRS,2016-08-09,1.16,1.13,1,
VTRS,2016-11-09,1.38,1.45,0,
VTRS,2017-03-01,1.57,1.42,1,
VTRS,2017-05-10,0.93,0.92,1,
VTRS,2017-08-09,1.1,1.16,0,
VTRS,2017-11-06,1.1,1.2,0,
VTRS,2018-02-28,1.43,1.41,1,
VTRS,2018-05-09,0.96,0.96,0,
VTRS,2018-08-08,1.07,1.22,0,
VTRS,2018-11-05,1.25,1.19,1,
VTRS,2019-02-26,1.3,1.36,0,
VTRS,2019-05-07,0.82,0.79,1,
VTRS,2019-07-29,1.03,0.95,1,
VTRS,2019-11-05,1.17,1.13,1,
VTRS,2020-02-27,1.4,1.28,1,
VTRS,2020-05-11,0.9,0.86,1,
VTRS,2020-08-06,1.11,0.98,1,
VTRS,2020-11-06,1.31,1.16,1,
VTRS,2021-03-01,1.08,1.24,0,
VTRS,2021-05-10,0.92,0.8,1,
VTRS,2021-08-09,0.98,0.87,1,
VTRS,2021-11-08,0.99,0.88,1,
VTRS,2022-02-28,0.8,0.83,0,
VTRS,2022-05-09,0.93,0.83,1,
VTRS,2022-08-08,0.88,0.83,1,
VTRS,2022-11-07,0.87,0.84,1,
VTRS,2023-02-27,0.67,0.72,0,
VTRS,2023-05-08,0.77,0.69,1,
VTRS,2023-08-07,0.75,0.71,1,
VTRS,2023-11-07,0.79,0.74,1,
VTRS,2024-02-28,0.62,0.65,0,
VTRS,2024-05-09,0.67,0.67,0,3796600000.0
VTRS,2024-08-08,0.69,0.68,1,3751200000.0
VTRS,2024-11-07,0.75,0.68,1,3528100000.0
VTRS,2025-02-27,0.54,0.57,0,3254300000.0
VTRS,2025-05-08,0.5,0.49,1,3582100000.0
