Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
VZ,2016-04-21,1.06,1.06,0,
VZ,2016-07-26,0.94,0.92,1,
VZ,2016-10-20,1.01,0.99,1,
VZ,2017-01-24,0.86,0.89,0,
VZ,2017-04-20,0.95,0.96,0,
VZ,2017-07-27,0.96,0.96,0,
VZ,2017-10-19,0.98,0.98,0,
VZ,2018-01-23,0.86,0.88,0,
VZ,2018-04-24,1.17,1.1,1,
VZ,2018-07-24,1.2,1.14,1,
VZ,2018-10-23,1.22,1.19,1,
VZ,2019-01-29,1.12,1.09,1,
VZ,2019-04-23,1.2,1.17,1,
VZ,2019-08-01,1.23,1.2,1,
VZ,2019-10-25,1.25,1.24,1,
VZ,2020-01-30,1.13,1.14,0,
VZ,2020-04-24,1.26,1.22,1,
VZ,2020-07-24,1.18,1.15,1,
VZ,2020-10-21,1.25,1.22,1,
VZ,2021-01-26,1.21,1.17,1,
VZ,2021-04-21,1.31,1.29,1,
VZ,2021-07-21,1.37,1.3,1,
VZ,2021-10-20,1.41,1.36,1,
VZ,2022-01-25,1.31,1.28,1,
VZ,2022-04-22,1.35,1.35,0,
VZ,2022-07-22,1.31,1.32,0,
VZ,2022-10-21,1.32,1.29,1,
VZ,2023-01-24,1.19,1.19,0,
VZ,2023-04-25,1.2,1.2,0,
VZ,2023-07-25,1.21,1.17,1,
VZ,2023-10-24,1.22,1.18,1,
VZ,2024-01-23,1.08,1.07,1,
VZ,2024-04-22,1.15,1.12,1,32796000000.0
VZ,2024-07-22,1.15,1.15,0,33330000000.0
VZ,2024-10-22,1.19,1.18,1,35681000000.0
VZ,2025-01-24,1.1,1.1,0,33485000000.0
VZ,2025-04-22,1.19,1.15,1,34504000000.0
