Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
WFC,2016-07-15,1.01,1.01,0,
WFC,2016-10-14,1.03,1.01,1,
WFC,2017-01-13,1.03,1.0,1,
WFC,2017-04-13,1.0,0.97,1,
WFC,2017-07-14,1.07,1.01,1,
WFC,2017-10-13,1.04,1.03,1,
WFC,2018-01-12,0.97,1.07,0,
WFC,2018-04-13,1.12,1.06,1,
WFC,2018-07-13,1.08,1.12,0,
WFC,2018-10-12,1.16,1.17,0,
WFC,2019-01-15,1.09,1.17,0,
WFC,2019-04-12,1.03,1.09,0,
WFC,2019-07-16,1.3,1.15,1,
WFC,2019-10-15,1.07,1.15,0,
WFC,2020-01-14,0.93,1.12,0,
WFC,2020-04-14,0.01,0.33,0,
WFC,2020-07-14,-0.66,-0.2,0,
WFC,2020-10-14,0.42,0.45,0,
WFC,2021-01-15,0.64,0.6,1,
WFC,2021-04-14,1.05,0.7,1,
WFC,2021-07-14,1.38,0.97,1,
WFC,2021-10-14,1.22,0.99,1,
WFC,2022-01-14,1.25,1.13,1,
WFC,2022-04-14,0.88,0.8,1,
WFC,2022-07-15,0.82,0.8,1,
WFC,2022-10-14,1.3,1.09,1,
WFC,2023-01-13,0.61,0.66,0,
WFC,2023-04-14,1.23,1.13,1,
WFC,2023-07-14,1.25,1.16,1,
WFC,2023-10-13,1.39,1.24,1,
WFC,2024-01-12,1.29,1.17,1,
WFC,2024-04-12,1.26,1.11,1,20689000000.0
WFC,2024-07-12,1.33,1.29,1,20366000000.0
WFC,2024-10-11,1.52,1.28,1,20378000000.0
WFC,2025-01-15,1.58,1.35,1,20149000000.0
WFC,2025-04-11,1.33,1.24,1,20569000000.0
