Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
WMB,2016-05-04,0.03,0.34,0,
WMB,2016-08-01,0.19,0.2,0,
WMB,2016-10-31,0.2,0.17,1,
WMB,2017-02-15,-0.02,0.18,0,
WMB,2017-05-03,0.28,0.21,1,
WMB,2017-08-02,0.1,0.21,0,
WMB,2017-11-01,0.08,0.17,0,
WMB,2018-02-14,0.36,0.2,1,
WMB,2018-05-02,0.19,0.21,0,
WMB,2018-08-01,0.17,0.18,0,
WMB,2018-10-31,0.13,0.21,0,
WMB,2019-02-13,0.19,0.24,0,
WMB,2019-05-01,0.22,0.22,0,
WMB,2019-07-31,0.26,0.23,1,
WMB,2019-10-30,0.26,0.25,1,
WMB,2020-02-19,0.24,0.24,0,
WMB,2020-05-04,0.26,0.26,0,
WMB,2020-08-03,0.25,0.24,1,
WMB,2020-11-02,0.25,0.27,0,
WMB,2021-02-22,0.09,0.31,0,
WMB,2021-05-03,0.35,0.29,1,
WMB,2021-08-02,0.27,0.28,0,
WMB,2021-11-01,0.34,0.28,1,
WMB,2022-02-21,0.39,0.34,1,
WMB,2022-05-02,0.41,0.35,1,
WMB,2022-08-01,0.33,0.37,0,
WMB,2022-10-31,0.49,0.44,1,
WMB,2023-02-20,0.55,0.49,1,
WMB,2023-05-03,0.76,0.46,1,
WMB,2023-08-02,0.45,0.39,1,
WMB,2023-11-01,0.48,0.41,1,
WMB,2024-02-14,0.48,0.46,1,
WMB,2024-05-06,0.59,0.48,1,2336000000.0
WMB,2024-08-05,0.43,0.38,1,2653000000.0
WMB,2024-11-06,0.4,0.42,0,2743000000.0
WMB,2025-02-12,0.4,0.46,0,3048000000.0
WMB,2025-05-05,0.57,0.56,1,2781000000.0
