Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
WRB,2015-07-27,0.36,0.36,0,
WRB,2015-10-26,0.4,0.37,1,
WRB,2016-02-02,0.4,0.36,1,
WRB,2016-04-26,0.4,0.38,1,
WRB,2016-07-25,0.36,0.34,1,
WRB,2016-10-25,0.39,0.38,1,
WRB,2017-01-31,0.36,0.35,1,
WRB,2017-04-24,0.31,0.31,0,
WRB,2017-07-25,0.28,0.34,0,
WRB,2017-10-24,0.15,0.13,1,
WRB,2018-01-30,0.33,0.32,1,
WRB,2018-04-24,0.44,0.4,1,
WRB,2018-07-24,0.43,0.37,1,
WRB,2018-10-23,0.5,0.38,1,
WRB,2019-01-29,0.42,0.35,1,
WRB,2019-04-23,0.44,0.44,0,
WRB,2019-07-23,0.55,0.42,1,
WRB,2019-10-22,0.57,0.45,1,
WRB,2020-01-28,0.47,0.48,0,
WRB,2020-04-21,0.61,0.49,1,
WRB,2020-07-21,0.04,0.17,0,
WRB,2020-10-20,0.43,0.45,0,
WRB,2021-01-26,0.61,0.53,1,
WRB,2021-04-20,0.72,0.54,1,
WRB,2021-07-22,0.78,0.67,1,
WRB,2021-10-21,0.88,0.66,1,
WRB,2022-01-27,1.02,0.84,1,
WRB,2022-04-25,1.1,0.95,1,
WRB,2022-07-21,1.12,0.86,1,
WRB,2022-10-24,1.01,0.85,1,
WRB,2023-01-26,1.16,1.1,1,
WRB,2023-04-20,1.0,1.23,0,
WRB,2023-07-20,1.14,1.1,1,
WRB,2023-10-23,1.35,1.18,1,
WRB,2024-01-24,1.45,1.38,1,
WRB,2024-04-23,1.56,1.44,1,3324150000.0
WRB,2024-07-22,1.04,0.92,1,3375760000.0
WRB,2024-10-21,0.93,0.92,1,3721268000.0
WRB,2025-01-27,1.13,0.96,1,3528021000.0
WRB,2025-04-21,1.01,0.98,1,3615412000.0
