Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
XYL,2015-10-29,0.49,0.48,1,
XYL,2016-02-04,0.6,0.6,0,
XYL,2016-05-03,0.35,0.34,1,
XYL,2016-08-02,0.48,0.47,1,
XYL,2016-11-01,0.54,0.53,1,
XYL,2017-02-02,0.66,0.65,1,
XYL,2017-05-02,0.39,0.38,1,
XYL,2017-08-01,0.59,0.57,1,
XYL,2017-10-31,0.65,0.64,1,
XYL,2018-02-01,0.76,0.76,0,
XYL,2018-05-01,0.51,0.51,0,
XYL,2018-07-31,0.73,0.71,1,
XYL,2018-10-30,0.77,0.77,0,
XYL,2019-01-31,0.88,0.88,0,
XYL,2019-05-02,0.52,0.56,0,
XYL,2019-08-01,0.79,0.79,0,
XYL,2019-10-31,0.82,0.82,0,
XYL,2020-02-06,0.89,0.89,0,
XYL,2020-05-05,0.23,0.37,0,
XYL,2020-07-30,0.4,0.39,1,
XYL,2020-10-29,0.62,0.51,1,
XYL,2021-02-04,0.81,0.68,1,
XYL,2021-05-04,0.56,0.38,1,
XYL,2021-08-03,0.66,0.62,1,
XYL,2021-11-02,0.63,0.59,1,
XYL,2022-02-03,0.63,0.61,1,
XYL,2022-05-04,0.47,0.41,1,
XYL,2022-08-02,0.66,0.54,1,
XYL,2022-11-01,0.79,0.66,1,
XYL,2023-02-07,0.92,0.79,1,
XYL,2023-05-04,0.72,0.62,1,
XYL,2023-08-02,0.98,0.8,1,
XYL,2023-10-31,0.99,0.89,1,
XYL,2024-02-06,0.99,0.96,1,
XYL,2024-05-02,0.9,0.84,1,2169000000.0
XYL,2024-07-30,1.09,1.05,1,2104000000.0
XYL,2024-10-31,1.11,1.11,0,2256000000.0
XYL,2025-02-04,1.18,1.13,1,2069000000.0
XYL,2025-04-29,1.03,0.95,1,2301000000.0
