Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
YUM,2015-10-06,1.0,1.07,0,
YUM,2016-02-03,0.68,0.66,1,
YUM,2016-04-20,0.95,0.83,1,
YUM,2016-07-13,0.75,0.74,1,
YUM,2016-10-05,1.09,1.1,0,
YUM,2017-02-09,0.79,0.74,1,
YUM,2017-05-03,0.65,0.6,1,
YUM,2017-08-03,0.68,0.61,1,
YUM,2017-11-02,0.68,0.67,1,
YUM,2018-02-08,0.96,0.8,1,
YUM,2018-05-02,0.9,0.68,1,
YUM,2018-08-02,0.82,0.74,1,
YUM,2018-10-31,1.04,0.83,1,
YUM,2019-02-07,0.4,0.95,0,
YUM,2019-05-01,0.82,0.81,1,
YUM,2019-08-01,0.93,0.87,1,
YUM,2019-10-30,0.8,0.94,0,
YUM,2020-02-06,1.0,1.13,0,
YUM,2020-04-29,0.64,0.66,0,
YUM,2020-07-30,0.82,0.53,1,
YUM,2020-10-29,1.01,0.8,1,
YUM,2021-02-04,1.15,1.01,1,
YUM,2021-04-28,1.07,0.87,1,
YUM,2021-07-29,1.16,0.96,1,
YUM,2021-10-28,1.22,1.08,1,
YUM,2022-02-09,1.02,1.09,0,
YUM,2022-05-04,1.05,1.07,0,
YUM,2022-08-03,1.05,1.09,0,
YUM,2022-11-02,1.09,1.14,0,
YUM,2023-02-08,1.31,1.26,1,
YUM,2023-05-03,1.06,1.13,0,
YUM,2023-08-02,1.41,1.24,1,
YUM,2023-11-01,1.44,1.28,1,
YUM,2024-02-07,1.26,1.4,0,
YUM,2024-05-01,1.15,1.2,0,
YUM,2024-08-06,1.35,1.33,1,1826000000.0
YUM,2024-11-05,1.37,1.41,0,2362000000.0
YUM,2025-02-06,1.61,1.6,1,1787000000.0
YUM,2025-04-30,1.3,1.29,1,1932000000.0
