date,open,high,low,close,volume,average,barCount
2015-10-13,83.32,84.64,83.31,83.65,1645962.0,84.02,12344
2015-10-14,84.0,84.73,83.4,83.8,2094666.0,83.908,14620
2015-10-15,84.19,86.86,84.09,86.77,3629524.0,86.004,23294
2015-10-16,87.17,89.04,86.18,88.67,4677430.0,87.719,31876
2015-10-19,88.15,88.49,87.03,88.4,2665343.0,87.961,18055
2015-10-20,88.15,88.65,86.42,86.84,2279659.0,87.287,16658
2015-10-21,87.22,87.57,85.87,86.13,2492495.0,86.503,16890
2015-10-22,86.56,88.83,86.56,88.46,2765127.0,88.322,19454
2015-10-23,89.04,89.44,87.44,87.86,5769101.0,87.883,32882
2015-10-26,87.91,89.7,87.61,88.84,1862643.0,89.02,12648
2015-10-27,88.65,88.85,87.81,88.05,2179245.0,88.132,15239
2015-10-28,88.44,88.83,87.58,88.5,2816591.0,88.445,17052
2015-10-29,88.26,88.5,87.51,88.12,1246624.0,88.01,8664
2015-10-30,87.99,89.49,87.9,88.66,1563701.0,88.907,11416
2015-11-02,89.03,90.55,88.47,89.91,2358449.0,89.796,16062
2015-11-03,89.59,90.74,88.92,90.36,1598130.0,90.014,12323
2015-11-04,90.34,91.34,90.21,91.01,1502906.0,90.906,10830
2015-11-05,91.5,91.87,89.79,90.55,1442423.0,90.525,11121
2015-11-06,90.07,90.79,88.97,90.69,1643220.0,90.07,12458
2015-11-09,90.24,90.5,88.99,89.8,1161254.0,89.454,9826
2015-11-10,89.56,90.31,88.99,90.28,1624054.0,89.711,9903
2015-11-11,90.68,91.47,90.25,91.21,1846212.0,91.103,12835
2015-11-12,91.08,91.88,90.74,90.84,1877311.0,91.328,11469
2015-11-13,90.95,90.95,88.79,89.02,1418719.0,89.558,10755
2015-11-16,89.66,89.8,88.0,89.77,1715126.0,89.162,12297
2015-11-17,89.95,91.29,89.87,90.29,1281971.0,90.554,10492
2015-11-18,90.31,91.39,89.47,91.27,1037776.0,90.598,8522
2015-11-19,91.52,92.13,91.28,91.76,1915355.0,91.844,14281
2015-11-20,92.33,92.5,91.22,91.81,1661647.0,91.899,11975
2015-11-23,91.82,92.37,91.27,91.96,1179212.0,91.905,9492
2015-11-24,91.14,92.22,90.09,92.0,1370415.0,91.21,10175
2015-11-25,92.3,92.5,91.69,91.77,804194.0,91.982,6461
2015-11-27,91.86,92.57,91.77,92.17,489927.0,92.261,3881
2015-11-30,92.41,92.66,91.13,91.46,1356818.0,91.654,10587
2015-12-01,92.01,92.58,91.1,92.55,1133110.0,92.208,8877
2015-12-02,92.52,92.85,91.68,92.02,1403284.0,92.302,11812
2015-12-03,91.97,92.76,89.72,89.91,1819825.0,90.604,13881
2015-12-04,90.13,92.82,90.13,92.58,2314527.0,92.124,18036
2015-12-07,92.56,92.88,89.21,89.6,3332456.0,89.908,25531
2015-12-08,89.22,92.09,88.95,91.72,2798001.0,91.066,21307
2015-12-09,91.04,91.8,88.95,89.56,2775297.0,89.729,19265
2015-12-10,90.41,90.43,88.51,88.96,3850103.0,89.257,26033
2015-12-11,92.51,93.65,90.12,91.42,7157694.0,91.788,46967
2015-12-14,91.71,93.31,91.02,93.26,2855457.0,92.348,21841
2015-12-15,93.98,95.79,93.72,94.02,3319549.0,94.795,23169
2015-12-16,94.41,95.66,93.61,95.56,1806002.0,94.7,14102
2015-12-17,95.7,96.42,94.19,94.2,2514800.0,95.08,18667
2015-12-18,93.73,93.92,91.3,91.31,2946017.0,92.634,17359
2015-12-21,92.16,92.69,90.81,91.62,1691634.0,91.365,12879
2015-12-22,91.94,93.95,91.63,93.82,1317145.0,93.007,10273
2015-12-23,94.42,94.99,93.53,94.7,1161738.0,94.481,8812
2015-12-24,94.45,95.19,94.03,94.3,417368.0,94.487,3144
2015-12-28,93.79,94.3,93.23,94.2,708067.0,93.811,5787
2015-12-29,94.6,95.9,94.6,95.33,836831.0,95.402,6389
2015-12-30,95.19,96.02,95.0,95.28,888703.0,95.599,7038
2015-12-31,95.07,95.21,93.88,93.94,764763.0,94.527,5961
2016-01-04,91.77,92.0,90.54,91.97,2182171.0,91.265,16408
2016-01-05,92.01,92.85,91.41,92.34,1371558.0,92.158,10769
2016-01-06,91.1,91.5,90.24,91.02,1250645.0,91.001,8987
2016-01-07,89.38,91.4,88.71,89.11,2036207.0,89.866,14383
2016-01-08,89.68,89.99,87.63,87.85,1657727.0,88.736,12855
2016-01-11,88.07,89.81,87.84,89.38,1861113.0,88.789,13936
2016-01-12,89.79,91.03,88.4,89.82,1702223.0,89.642,12636
2016-01-13,90.59,91.44,87.99,88.3,2768164.0,89.819,19983
2016-01-14,88.92,90.3,87.32,89.8,3303261.0,89.19,23522
2016-01-15,87.04,89.35,86.82,89.17,2991384.0,88.414,19749
2016-01-19,90.29,91.4,88.37,89.18,2920438.0,89.868,21459
2016-01-20,87.69,88.76,84.67,87.94,2811939.0,86.689,20576
2016-01-21,88.64,89.93,87.14,88.0,3358440.0,88.733,21795
2016-01-22,89.55,89.93,88.48,89.63,4264042.0,89.243,22180
2016-01-25,88.39,89.26,86.63,86.77,3039599.0,87.829,20775
2016-01-26,87.26,87.58,85.47,86.89,2095431.0,86.748,16326
2016-01-27,87.27,87.83,84.51,84.85,2420504.0,85.817,19272
2016-01-28,85.54,85.74,82.7,84.52,4456113.0,84.002,31865
2016-01-29,85.55,89.13,85.12,89.13,3429937.0,88.071,23474
2016-02-01,88.16,90.24,87.9,89.61,2241354.0,89.168,16122
2016-02-02,88.71,89.02,87.64,87.95,2327856.0,88.205,17421
2016-02-03,88.91,89.25,86.67,87.99,2504552.0,87.685,17250
2016-02-04,87.82,87.97,85.78,86.36,2816452.0,86.645,20754
2016-02-05,85.5,85.5,77.83,79.2,9357858.0,79.977,63122
2016-02-08,77.4,78.33,71.27,74.94,11114906.0,73.897,75281
2016-02-09,74.76,77.19,73.04,73.85,5864412.0,74.876,41689
2016-02-10,74.99,77.62,73.89,75.53,5686268.0,76.136,40353
2016-02-11,74.04,75.53,73.58,74.94,4173568.0,74.52,31920
2016-02-12,76.04,77.36,75.4,76.67,3467398.0,76.612,26331
2016-02-16,77.13,79.2,77.13,78.88,3843990.0,78.491,25189
2016-02-17,79.4,82.07,78.54,81.85,3664718.0,81.063,24856
2016-02-18,82.3,82.82,80.13,80.53,2824149.0,80.86,19019
2016-02-19,80.32,80.94,79.51,80.87,3199764.0,80.296,20820
2016-02-22,82.09,84.16,82.05,83.8,2918052.0,83.398,19441
2016-02-23,83.41,84.49,82.86,83.07,2448204.0,83.543,17896
2016-02-24,82.22,83.53,80.93,83.42,2205578.0,82.234,16966
2016-02-25,84.58,86.72,84.15,86.68,2828181.0,85.435,21216
2016-02-26,87.11,87.48,84.1,86.6,3090603.0,85.928,22571
2016-02-29,86.01,86.19,85.09,85.15,2241926.0,85.681,16539
2016-03-01,85.92,88.4,84.59,88.37,2934986.0,86.479,22111
2016-03-02,88.12,88.55,87.26,88.39,2274233.0,88.009,14805
2016-03-03,88.49,88.5,85.85,87.21,2588151.0,86.805,16322
2016-03-04,87.68,87.94,85.58,86.18,2407677.0,86.299,17928
2016-03-07,85.58,85.96,84.05,85.11,2477302.0,84.941,18939
2016-03-08,84.25,85.95,83.17,84.35,2383311.0,84.667,17774
2016-03-09,84.88,85.29,83.25,85.27,1998928.0,84.276,14720
2016-03-10,85.06,86.52,83.59,84.85,2205774.0,84.802,16828
2016-03-11,85.2,86.23,84.63,86.0,2414161.0,85.62,15757
2016-03-14,86.11,87.75,85.83,87.01,2840767.0,87.139,19704
2016-03-15,86.4,87.19,86.22,86.83,2377231.0,86.662,15433
2016-03-16,86.7,88.48,86.4,88.17,2663276.0,87.694,16374
2016-03-17,88.66,90.21,87.25,89.96,4735455.0,89.169,30643
2016-03-18,98.0,98.0,93.11,93.42,10584691.0,94.701,58379
2016-03-21,92.69,93.27,91.33,92.5,3958770.0,92.509,23373
2016-03-22,92.06,93.42,92.05,92.56,3483092.0,92.879,20343
2016-03-23,92.62,92.94,91.93,92.16,2105539.0,92.444,15339
2016-03-24,91.5,92.74,91.25,92.52,2674682.0,92.472,15657
2016-03-28,92.68,92.83,91.89,92.4,1800072.0,92.369,13329
2016-03-29,91.79,93.44,91.76,93.22,3687703.0,92.936,20525
2016-03-30,93.63,94.48,92.98,93.78,6179919.0,93.754,20165
2016-03-31,93.76,94.58,93.23,93.8,5498846.0,93.962,26188
2016-04-01,93.33,95.47,92.77,95.16,3111133.0,94.909,20487
2016-04-04,95.42,96.28,94.23,94.5,1828034.0,94.922,12726
2016-04-05,93.23,94.77,93.22,94.17,1965836.0,94.104,14435
2016-04-06,94.07,95.49,93.97,95.4,2135776.0,94.922,15204
2016-04-07,94.72,94.89,93.19,93.78,1802237.0,93.775,12868
2016-04-08,94.48,94.5,93.39,94.07,1606766.0,93.966,11429
2016-04-11,94.43,94.81,92.84,92.95,1638285.0,93.55,12009
2016-04-12,93.18,93.68,92.22,93.42,1659860.0,93.144,12343
2016-04-13,93.82,94.61,93.69,94.53,1571637.0,94.16,11518
2016-04-14,94.34,94.71,94.01,94.44,1206988.0,94.317,8564
2016-04-15,94.65,95.22,94.16,95.16,1709595.0,94.794,11010
2016-04-18,94.75,96.58,94.59,96.55,1726310.0,96.027,11569
2016-04-19,97.0,97.69,95.13,96.52,1996820.0,96.336,14074
2016-04-20,97.0,97.0,95.76,96.33,2045764.0,96.266,12895
2016-04-21,96.21,97.14,95.76,96.37,1551096.0,96.494,10103
2016-04-22,96.17,96.24,93.76,94.79,2971724.0,94.619,19678
2016-04-25,94.38,96.04,94.21,95.8,1533328.0,95.471,10777
2016-04-26,95.96,96.3,95.22,96.15,1076007.0,95.879,8203
2016-04-27,95.72,95.99,94.53,95.64,1627414.0,95.221,11978
2016-04-28,94.8,95.74,93.15,93.64,2891988.0,94.231,18997
2016-04-29,92.89,94.58,92.32,94.22,2318582.0,93.417,16758
2016-05-02,94.29,94.99,93.8,94.9,1793858.0,94.635,13146
2016-05-03,94.07,94.39,93.09,93.66,1335012.0,93.688,9545
2016-05-04,93.18,93.59,92.55,92.94,1236356.0,92.923,8716
2016-05-05,93.1,94.22,92.92,93.5,1477760.0,93.499,10384
2016-05-06,93.13,94.4,92.57,94.3,1121343.0,93.655,8135
2016-05-09,94.0,95.19,93.87,94.61,1063493.0,94.588,7903
2016-05-10,94.95,96.59,94.75,96.52,1390439.0,95.868,10543
2016-05-11,96.26,97.26,96.04,96.1,1208732.0,96.468,9031
2016-05-12,96.31,96.98,94.93,95.96,857857.0,95.949,6536
2016-05-13,95.62,97.21,95.37,95.97,1625051.0,96.435,11334
2016-05-16,95.91,97.76,95.91,97.23,1388668.0,97.014,10327
2016-05-17,96.81,97.35,95.75,95.93,2419109.0,96.657,18274
2016-05-18,95.78,97.43,95.5,96.7,1396114.0,96.471,10513
2016-05-19,96.41,96.95,95.25,95.88,1553845.0,95.728,10438
2016-05-20,96.1,97.12,95.86,96.88,1771481.0,96.501,11429
2016-05-23,96.71,97.42,96.49,96.62,781638.0,96.817,5514
2016-05-24,97.18,99.7,96.97,99.63,2334030.0,99.054,15163
2016-05-25,99.91,99.99,98.8,99.61,1535525.0,99.527,11228
2016-05-26,99.74,100.33,99.07,99.37,1553091.0,99.564,10707
2016-05-27,99.52,100.14,98.9,100.14,1124630.0,99.704,7721
2016-05-31,100.14,100.56,99.35,99.47,2189414.0,99.768,15265
2016-06-01,99.24,100.4,98.93,100.04,1195907.0,99.896,9249
2016-06-02,99.98,100.17,99.17,100.17,1318125.0,99.664,9793
2016-06-03,99.48,99.52,97.89,98.7,1895805.0,98.716,13542
2016-06-06,99.16,99.49,98.47,99.12,991187.0,99.232,8132
2016-06-07,99.51,99.67,98.47,98.52,1666672.0,99.006,11437
2016-06-08,98.45,98.91,97.99,98.68,1580703.0,98.583,12070
2016-06-09,98.36,98.7,97.85,98.07,1291788.0,98.23,10344
2016-06-10,96.89,97.87,96.75,97.09,1410410.0,97.193,11163
2016-06-13,96.87,98.09,96.75,96.96,1520232.0,97.36,10974
2016-06-14,96.53,97.26,96.32,96.98,1449816.0,96.826,10242
2016-06-15,97.01,97.83,96.9,97.02,1716806.0,97.313,12471
2016-06-16,96.5,97.3,95.54,97.19,1562201.0,96.54,11909
2016-06-17,97.25,97.39,95.36,95.58,2418944.0,96.074,13435
2016-06-20,97.1,98.75,96.77,97.99,3581350.0,98.144,23053
2016-06-21,98.64,99.92,98.13,99.72,4981464.0,99.119,32783
2016-06-22,95.53,96.5,93.86,94.01,9092348.0,94.75,53563
2016-06-23,94.72,96.28,94.31,96.21,3193208.0,95.651,22111
2016-06-24,92.39,94.35,92.04,92.2,3210453.0,93.054,22053
2016-06-27,91.51,92.03,90.35,90.85,3093509.0,91.046,24362
2016-06-28,91.37,92.65,91.36,92.46,2201823.0,92.033,17030
2016-06-29,92.91,94.62,92.68,94.39,2240202.0,94.052,16741
2016-06-30,94.48,95.88,94.13,95.79,2565419.0,95.339,18362
2016-07-01,95.04,97.14,95.0,95.32,2317124.0,95.841,16304
2016-07-05,94.55,95.61,94.15,94.73,1789063.0,94.846,12110
2016-07-06,94.53,95.48,94.06,95.18,1087347.0,95.009,8533
2016-07-07,95.01,95.51,94.54,95.14,1122175.0,95.004,8718
2016-07-08,95.84,96.86,95.34,96.79,1443420.0,96.578,10568
2016-07-11,96.98,97.55,96.81,97.14,1287806.0,97.252,9251
2016-07-12,97.25,97.79,96.7,97.54,1578451.0,97.383,11170
2016-07-13,97.97,98.38,97.34,97.34,1620714.0,97.77,12099
2016-07-14,98.01,98.15,97.46,97.7,1045399.0,97.83,7983
2016-07-15,98.39,98.4,97.5,97.83,1128716.0,97.911,7130
2016-07-18,97.74,98.53,97.58,97.79,1115986.0,98.117,8037
2016-07-19,97.11,98.17,97.0,97.79,1449890.0,97.741,8888
2016-07-20,98.16,98.89,97.85,98.4,1065565.0,98.547,8067
2016-07-21,98.12,98.43,96.08,96.34,2047219.0,96.841,14552
2016-07-22,96.71,98.24,96.09,98.06,1645226.0,97.645,11787
2016-07-25,97.75,97.75,96.88,97.32,1275217.0,97.148,9583
2016-07-26,97.81,98.42,97.0,97.91,1647202.0,97.801,11738
2016-07-27,97.59,98.41,97.39,97.93,1328399.0,97.926,10265
2016-07-28,97.92,98.61,97.57,98.44,1168136.0,98.199,8761
2016-07-29,98.4,98.55,97.23,97.86,1153073.0,97.961,8371
2016-08-01,97.75,98.16,97.22,97.72,1057903.0,97.677,8016
2016-08-02,97.38,97.63,95.42,96.05,1755591.0,96.159,13872
2016-08-03,96.06,96.68,95.65,96.67,1407314.0,96.251,10376
2016-08-04,96.5,97.28,96.19,97.09,922607.0,96.92,6700
2016-08-05,97.36,99.08,97.15,99.04,1452366.0,98.633,10083
2016-08-08,98.86,98.95,98.3,98.49,726664.0,98.598,5668
2016-08-09,98.71,99.22,98.47,98.87,697799.0,98.88,5439
2016-08-10,99.13,100.99,99.09,100.62,2207411.0,100.275,14916
2016-08-11,100.85,101.93,100.59,101.67,1834783.0,101.374,13566
2016-08-12,101.24,101.24,100.06,101.04,1300323.0,100.784,10010
2016-08-15,101.38,101.63,100.88,100.93,1228741.0,101.17,8176
2016-08-16,100.52,100.97,99.91,100.6,1271602.0,100.604,9723
2016-08-17,100.65,100.81,99.44,99.7,1661252.0,99.774,12132
2016-08-18,99.6,100.93,99.6,100.67,1569653.0,100.594,11599
2016-08-19,100.32,100.61,99.72,100.32,1234680.0,100.249,8896
2016-08-22,100.32,100.68,99.92,100.24,717710.0,100.289,5637
