date,open,high,low,close,volume,average,barCount
2015-10-13,45.17,45.51,44.85,44.92,2104060.0,45.196,14533
2015-10-14,44.85,45.41,44.66,44.96,1703339.0,45.095,12487
2015-10-15,45.18,45.56,44.94,45.56,1934334.0,45.259,13518
2015-10-16,45.65,45.98,45.25,45.96,2573234.0,45.588,15607
2015-10-19,45.82,46.05,45.6,45.97,1922513.0,45.918,13064
2015-10-20,45.81,45.98,45.51,45.7,2162834.0,45.673,14892
2015-10-21,45.74,45.83,45.25,45.29,2327455.0,45.458,17404
2015-10-22,45.51,46.89,45.46,46.7,2669053.0,46.536,17192
2015-10-23,46.93,46.98,46.5,46.89,2050855.0,46.774,13770
2015-10-26,46.81,46.89,46.3,46.39,1493897.0,46.485,9598
2015-10-27,46.21,46.41,45.73,46.24,2089137.0,46.086,13664
2015-10-28,46.17,47.03,46.13,46.8,1679529.0,46.615,11206
2015-10-29,46.64,46.73,45.46,45.53,3643733.0,45.778,22427
2015-10-30,45.65,46.09,45.45,45.66,2535522.0,45.76,17790
2015-11-02,45.81,46.29,45.32,46.28,2549128.0,45.849,16938
2015-11-03,43.33,43.64,41.74,43.15,10469138.0,42.641,62631
2015-11-04,43.06,43.17,42.34,43.02,6107747.0,42.736,37715
2015-11-05,42.95,43.21,42.43,43.07,4848825.0,42.845,28682
2015-11-06,42.79,43.05,41.97,42.13,4633138.0,42.213,26702
2015-11-09,41.89,42.03,41.25,41.52,3801835.0,41.501,24714
2015-11-10,41.3,41.64,40.56,40.63,3819323.0,40.781,21861
2015-11-11,40.84,40.84,40.26,40.51,3265192.0,40.491,19259
2015-11-12,40.22,40.3,38.49,38.51,6807641.0,39.087,38935
2015-11-13,38.41,38.86,37.69,37.76,5556056.0,38.059,33515
2015-11-16,37.59,38.42,37.55,38.24,4000366.0,38.217,25202
2015-11-17,38.34,38.4,37.14,37.2,4180457.0,37.562,26328
2015-11-18,37.42,37.68,37.01,37.41,7150235.0,37.338,37856
2015-11-19,37.41,37.53,36.28,36.43,5340267.0,36.681,30317
2015-11-20,36.53,36.82,35.6,35.83,7822237.0,36.059,41532
2015-11-23,35.81,37.03,35.75,36.72,5699893.0,36.656,29480
2015-11-24,36.47,36.59,35.71,36.04,5846783.0,36.017,34802
2015-11-25,36.01,36.75,35.98,36.47,4180623.0,36.414,25673
2015-11-27,36.43,36.57,36.26,36.46,1466265.0,36.453,8836
2015-11-30,36.53,36.62,36.1,36.49,5197995.0,36.357,29386
2015-12-01,36.8,37.02,36.44,36.7,4892872.0,36.678,27506
2015-12-02,36.6,36.87,36.45,36.52,5324200.0,36.639,26445
2015-12-03,36.48,36.74,35.41,35.61,7826537.0,35.715,38505
2015-12-04,35.67,36.14,35.6,35.97,4251637.0,35.962,20968
2015-12-07,35.97,36.02,35.21,35.41,3648597.0,35.474,19945
2015-12-08,35.16,35.61,34.88,35.27,3689332.0,35.229,21827
2015-12-09,35.01,36.02,35.0,35.41,4126868.0,35.565,24453
2015-12-10,35.41,35.69,35.04,35.09,4426584.0,35.28,24417
2015-12-11,34.6,34.65,34.11,34.22,4123870.0,34.317,25495
2015-12-14,34.19,34.51,33.84,34.18,4003847.0,34.084,25184
2015-12-15,34.44,35.1,34.4,34.86,3916470.0,34.809,25136
2015-12-16,34.92,35.46,34.54,35.4,4242006.0,35.086,24709
2015-12-17,35.33,35.45,34.27,34.29,4211649.0,34.651,26552
2015-12-18,34.12,35.13,33.94,35.0,8036887.0,34.699,39862
2015-12-21,35.23,35.74,35.05,35.31,3682794.0,35.362,23073
2015-12-22,35.47,36.59,35.42,36.41,4437164.0,36.18,25131
2015-12-23,36.65,37.17,36.34,36.68,3899394.0,36.753,22913
2015-12-24,36.68,36.88,36.47,36.65,1017513.0,36.682,6163
2015-12-28,36.66,36.73,36.09,36.5,1898322.0,36.434,11915
2015-12-29,36.59,37.15,36.57,37.09,2176299.0,36.965,13578
2015-12-30,37.0,37.17,36.77,36.88,2006953.0,36.975,12380
2015-12-31,36.64,36.9,36.45,36.68,1923601.0,36.69,11600
2016-01-04,36.19,36.19,35.4,35.84,3334333.0,35.678,21792
2016-01-05,35.82,36.27,35.41,36.24,3223870.0,35.951,21245
2016-01-06,35.72,35.83,35.25,35.36,4451246.0,35.503,28833
2016-01-07,34.91,35.09,34.33,34.52,3841905.0,34.704,25522
2016-01-08,34.76,35.1,34.31,34.39,3402066.0,34.76,21758
2016-01-11,34.54,34.73,33.94,34.16,5069547.0,34.252,31689
2016-01-12,34.56,34.66,33.77,34.27,2923023.0,34.165,19094
2016-01-13,34.34,34.55,33.42,33.47,3913760.0,33.913,25809
2016-01-14,33.42,33.68,32.76,33.36,4705743.0,33.236,28504
2016-01-15,32.6,32.62,31.16,31.51,7493479.0,31.54,45249
2016-01-19,31.94,32.05,30.29,30.51,7338268.0,30.874,44644
2016-01-20,30.25,31.71,29.86,31.29,8306670.0,30.657,47082
2016-01-21,31.26,32.48,31.2,31.92,5232023.0,31.975,34231
2016-01-22,32.52,33.37,32.49,33.23,4676173.0,33.12,29877
2016-01-25,32.9,32.96,32.36,32.43,4919418.0,32.596,29301
2016-01-26,32.88,33.65,32.49,33.63,3790341.0,33.378,23922
2016-01-27,33.5,34.46,33.42,33.74,4325816.0,33.923,29586
2016-01-28,34.16,34.95,33.98,34.7,4626358.0,34.588,31714
2016-01-29,34.86,35.55,34.75,35.35,4910433.0,35.202,30431
2016-02-01,34.77,35.64,34.31,35.46,5280021.0,35.146,32313
2016-02-02,33.52,33.6,32.28,32.36,8727302.0,32.631,51133
2016-02-03,32.56,33.8,32.47,33.44,7023060.0,33.177,42040
2016-02-04,33.44,34.69,33.34,34.25,5584022.0,34.277,35860
2016-02-05,34.28,34.51,33.92,34.07,4335859.0,34.2,27143
2016-02-08,34.4,34.73,33.05,33.3,4313398.0,33.588,29296
2016-02-09,33.44,33.68,32.56,33.58,4954682.0,33.21,32470
2016-02-10,33.61,34.07,33.15,33.18,3579665.0,33.428,23251
2016-02-11,32.27,32.83,31.5,31.63,6135181.0,31.958,38127
2016-02-12,31.69,32.48,31.3,32.45,3789267.0,32.005,24072
2016-02-16,32.96,33.82,32.85,33.62,3054176.0,33.531,18485
2016-02-17,33.74,34.12,33.3,33.4,2853194.0,33.527,18910
2016-02-18,33.4,33.99,33.24,33.9,3104186.0,33.756,19785
2016-02-19,33.66,33.78,32.31,32.65,4523369.0,32.748,27184
2016-02-22,32.89,33.9,32.8,33.79,3866222.0,33.689,23385
2016-02-23,33.77,34.42,33.37,33.79,2992463.0,33.752,18134
2016-02-24,33.55,33.91,33.08,33.85,2466537.0,33.492,16696
2016-02-25,34.04,34.74,33.75,34.62,3030175.0,34.334,18305
2016-02-26,34.72,35.1,34.5,34.79,3178896.0,34.796,20249
2016-02-29,34.79,35.41,34.55,34.96,3502012.0,35.084,22717
2016-03-01,35.13,35.62,34.56,35.48,3526964.0,35.302,20901
2016-03-02,35.28,35.91,35.19,35.83,2604826.0,35.642,16913
2016-03-03,36.17,36.86,35.74,36.83,3479164.0,36.492,20463
2016-03-04,36.9,37.99,36.9,37.65,4528727.0,37.616,27204
2016-03-07,37.17,37.29,36.85,37.14,3066731.0,37.049,18657
2016-03-08,37.03,37.27,35.57,36.03,3329910.0,36.112,20806
2016-03-09,36.28,36.44,35.8,36.06,2651335.0,36.077,18426
2016-03-10,36.11,36.35,35.36,35.77,2796584.0,35.712,17852
2016-03-11,36.17,36.63,36.1,36.6,2207305.0,36.417,14005
2016-03-14,36.4,36.89,36.2,36.71,2705305.0,36.705,16976
2016-03-15,36.3,36.67,36.14,36.56,2328797.0,36.468,14998
2016-03-16,36.38,37.59,36.38,37.46,2956997.0,37.176,19075
2016-03-17,37.51,38.76,37.51,38.2,3657146.0,38.269,23228
2016-03-18,38.33,38.96,37.91,38.07,3877484.0,38.27,19775
2016-03-21,37.85,38.28,37.72,38.17,2558585.0,38.104,15394
2016-03-22,37.9,37.95,37.55,37.61,1662798.0,37.752,10692
2016-03-23,37.48,37.59,36.55,36.6,3368703.0,36.773,20397
2016-03-24,36.3,36.73,35.83,36.47,2870601.0,36.475,16896
2016-03-28,36.6,36.71,36.24,36.35,2227077.0,36.421,14634
2016-03-29,36.44,36.98,36.22,36.87,2271194.0,36.644,14641
2016-03-30,37.01,37.2,36.26,36.62,2381086.0,36.56,13947
2016-03-31,36.69,36.75,35.97,36.31,2967066.0,36.32,17945
2016-04-01,36.05,36.51,35.38,36.47,2611689.0,36.023,16195
2016-04-04,36.33,36.53,35.95,36.04,2205665.0,36.181,14658
2016-04-05,35.57,35.57,34.55,35.11,3806700.0,35.089,23314
2016-04-06,35.09,35.55,34.79,35.54,2678579.0,35.254,17433
2016-04-07,35.35,36.22,35.29,35.72,2446058.0,35.803,15387
2016-04-08,36.12,36.54,35.94,36.09,1862619.0,36.209,11757
2016-04-11,36.12,36.65,35.97,36.0,2031256.0,36.284,12502
2016-04-12,36.04,36.9,36.03,36.83,1826645.0,36.674,11625
2016-04-13,37.06,37.3,36.98,37.14,2302755.0,37.141,12195
2016-04-14,37.02,37.11,36.35,36.59,2297234.0,36.614,12427
2016-04-15,36.64,37.33,36.52,37.3,2596329.0,37.018,14475
2016-04-18,37.1,37.82,36.88,37.71,2948133.0,37.584,16981
2016-04-19,37.98,38.58,37.83,38.23,2512549.0,38.162,13325
2016-04-20,38.25,39.0,38.07,38.87,3759624.0,38.744,20967
2016-04-21,39.0,39.17,38.2,38.35,3203092.0,38.641,17801
2016-04-22,38.79,39.63,38.64,39.62,3650181.0,39.254,19683
2016-04-25,39.37,39.46,38.9,39.26,2569988.0,39.144,15623
2016-04-26,39.5,40.0,39.19,39.73,3390288.0,39.537,20829
2016-04-27,39.74,40.09,39.42,39.91,2603165.0,39.791,15343
2016-04-28,39.86,40.62,39.72,40.07,3986522.0,40.242,20426
2016-04-29,39.87,40.11,39.49,39.94,2826697.0,39.751,18096
2016-05-02,39.65,40.55,39.55,40.26,4678537.0,40.271,29145
2016-05-03,39.95,40.65,39.03,39.1,4553001.0,39.547,27275
2016-05-04,39.01,39.37,38.56,38.72,3624034.0,38.812,22948
2016-05-05,38.87,39.23,37.95,38.08,3228367.0,38.261,21129
2016-05-06,38.05,38.36,37.87,38.2,2097770.0,38.148,12841
2016-05-09,38.23,38.39,37.36,37.73,3288718.0,37.764,19623
2016-05-10,37.95,38.43,37.95,38.4,2459081.0,38.254,14785
2016-05-11,38.27,38.48,37.9,37.96,2492096.0,38.14,13236
2016-05-12,38.25,38.79,38.04,38.54,2820357.0,38.514,17360
2016-05-13,38.41,38.43,37.45,37.63,2660893.0,37.889,16447
2016-05-16,37.28,37.9,37.18,37.65,1656774.0,37.666,9550
2016-05-17,37.44,37.89,37.36,37.49,2119508.0,37.621,13217
2016-05-18,37.2,37.82,37.08,37.51,2586819.0,37.5,16946
2016-05-19,37.3,38.38,37.0,38.37,3631949.0,37.89,21395
2016-05-20,38.59,40.13,38.54,39.83,5468981.0,39.577,30357
2016-05-23,39.73,40.75,39.63,40.44,4047183.0,40.488,23914
2016-05-24,41.23,42.14,41.0,42.05,6030978.0,41.73,31551
2016-05-25,42.29,42.73,42.13,42.48,3478563.0,42.476,22416
2016-05-26,42.97,43.54,42.66,43.07,2950606.0,43.0,16192
2016-05-27,43.3,43.54,42.82,43.23,2763381.0,43.111,15831
2016-05-31,43.33,43.54,42.67,42.77,3150410.0,42.947,20449
2016-06-01,42.63,42.95,42.38,42.83,4999987.0,42.648,33475
2016-06-02,42.77,43.73,42.61,43.47,3681398.0,43.451,21766
2016-06-03,43.43,43.87,43.37,43.6,3531543.0,43.626,19366
2016-06-06,43.84,44.14,43.57,43.67,2428697.0,43.814,15598
2016-06-07,43.79,43.88,43.5,43.66,2078454.0,43.693,13123
2016-06-08,43.86,44.1,43.6,43.82,2581111.0,43.923,14832
2016-06-09,43.63,43.95,43.22,43.83,2316329.0,43.616,14111
2016-06-10,43.44,43.56,42.74,43.03,2589302.0,43.074,17387
2016-06-13,42.73,42.96,41.78,41.82,3751374.0,42.162,24573
2016-06-14,41.71,42.15,41.36,41.78,2323221.0,41.699,16806
2016-06-15,41.83,42.52,41.78,42.15,2473259.0,42.275,16636
2016-06-16,41.88,42.14,41.56,42.05,2287680.0,41.869,15359
2016-06-17,41.87,42.71,41.87,42.31,2685649.0,42.23,16039
2016-06-20,42.83,42.96,42.44,42.45,2474828.0,42.607,15172
2016-06-21,42.65,42.65,41.79,41.94,3535204.0,41.983,20444
2016-06-22,42.03,42.35,41.95,42.0,2402744.0,42.147,14377
2016-06-23,42.43,42.76,42.43,42.71,1498679.0,42.625,9783
2016-06-24,41.29,41.64,40.4,40.5,4283563.0,40.805,27325
2016-06-27,40.09,40.19,39.01,39.14,4372277.0,39.289,28787
2016-06-28,39.74,40.57,39.6,40.56,3499296.0,40.28,21338
2016-06-29,41.02,41.73,41.0,41.58,3370641.0,41.462,20526
2016-06-30,41.7,42.9,41.64,42.89,3308712.0,42.473,21851
2016-07-01,42.99,43.03,42.35,42.61,2475034.0,42.671,15462
2016-07-05,42.33,42.38,41.57,41.95,4155637.0,41.973,27687
2016-07-06,41.67,42.23,41.21,42.12,3440444.0,41.84,23306
2016-07-07,42.25,42.85,41.9,42.12,2247299.0,42.299,15275
2016-07-08,42.51,43.51,42.51,43.48,2451969.0,43.216,16400
2016-07-11,43.54,43.73,43.14,43.16,1938335.0,43.324,12585
2016-07-12,43.23,43.57,42.76,43.29,2309044.0,43.337,16293
2016-07-13,43.25,43.41,42.84,43.1,2149536.0,43.15,13127
2016-07-14,43.35,43.6,43.14,43.48,2296241.0,43.388,14986
2016-07-15,43.55,44.0,43.4,43.95,2326934.0,43.844,13799
2016-07-18,44.0,44.31,43.92,44.25,1940261.0,44.201,12845
2016-07-19,44.0,44.08,43.33,43.48,2231883.0,43.577,13483
2016-07-20,43.33,43.57,43.0,43.39,2155452.0,43.349,12590
2016-07-21,43.35,43.87,43.2,43.39,1948923.0,43.402,10635
2016-07-22,43.4,43.8,43.26,43.72,1450904.0,43.617,9148
2016-07-25,43.61,43.79,43.5,43.6,1314780.0,43.591,8952
2016-07-26,43.64,44.12,43.63,43.87,1736855.0,43.927,11484
2016-07-27,43.87,44.17,43.55,43.9,1927214.0,43.889,13391
2016-07-28,44.02,45.0,43.8,44.94,3407640.0,44.688,21580
2016-07-29,44.74,45.39,44.74,45.08,3335668.0,45.096,19720
2016-08-01,44.58,44.74,43.7,44.24,3943735.0,44.229,24789
2016-08-02,43.05,44.61,42.88,43.45,4058745.0,43.36,26001
2016-08-03,43.45,43.93,42.91,43.93,2633732.0,43.573,18780
2016-08-04,44.37,44.49,43.42,43.74,2457696.0,43.712,17201
2016-08-05,43.82,44.6,43.71,44.45,2373333.0,44.329,15843
