date,open,high,low,close,volume,average,barCount
2015-10-12,56.8,57.74,56.8,57.56,1913821.0,57.507,12734
2015-10-13,57.46,57.86,57.26,57.65,1760711.0,57.599,12042
2015-10-14,57.67,58.4,57.6,58.15,3235015.0,58.111,21033
2015-10-15,58.35,58.81,57.89,58.72,2279001.0,58.442,13549
2015-10-16,59.0,59.04,58.26,58.54,2630632.0,58.602,16351
2015-10-19,58.46,58.67,57.83,58.59,2478671.0,58.232,16544
2015-10-20,58.51,59.23,58.22,58.66,2594433.0,58.786,16290
2015-10-21,58.96,59.52,58.72,58.94,2868866.0,59.062,17669
2015-10-22,58.51,59.27,58.19,59.17,3622454.0,58.851,21230
2015-10-23,58.97,59.0,57.4,57.48,4203369.0,57.85,23813
2015-10-26,57.73,57.89,57.27,57.82,2401643.0,57.609,15236
2015-10-27,57.87,58.04,57.43,57.67,1736330.0,57.736,11184
2015-10-28,57.79,57.98,56.4,57.07,1668519.0,57.131,10744
2015-10-29,56.78,57.0,55.52,56.21,3009552.0,55.986,17701
2015-10-30,56.44,56.93,56.21,56.65,2013160.0,56.684,14340
2015-11-02,56.65,57.0,56.26,56.89,2308923.0,56.706,15119
2015-11-03,56.71,57.04,56.35,56.75,1685537.0,56.683,11442
2015-11-04,56.77,57.15,56.58,56.71,1959735.0,56.781,13032
2015-11-05,56.71,56.97,56.42,56.49,1896169.0,56.589,12235
2015-11-06,55.2,55.28,53.3,53.96,4139466.0,53.954,26397
2015-11-09,53.74,54.57,53.53,54.43,3052853.0,54.273,20050
2015-11-10,54.48,55.12,54.48,55.1,1943114.0,54.953,12579
2015-11-11,55.15,55.69,55.02,55.56,2349455.0,55.435,16093
2015-11-12,55.38,56.0,55.03,55.32,2194182.0,55.444,14937
2015-11-13,55.38,55.85,54.95,55.06,1797175.0,55.319,11882
2015-11-16,55.05,56.25,54.96,56.21,1718047.0,55.853,11986
2015-11-17,56.06,56.55,54.91,55.05,2056907.0,55.575,13925
2015-11-18,55.09,55.5,54.31,55.41,3706517.0,54.872,21254
2015-11-19,55.59,56.52,55.53,56.32,3241489.0,56.196,17452
2015-11-20,56.54,56.98,56.11,56.54,2949443.0,56.471,16731
2015-11-23,56.57,56.84,55.91,55.99,1625462.0,56.354,10516
2015-11-24,55.69,55.98,55.27,55.79,1718656.0,55.568,11305
2015-11-25,55.58,55.8,55.3,55.61,1689251.0,55.57,11290
2015-11-27,55.66,56.13,55.48,55.94,1226482.0,55.955,7816
2015-11-30,55.95,56.59,55.95,56.01,2794656.0,56.251,19856
2015-12-01,56.36,56.88,55.96,56.73,2837553.0,56.39,16158
2015-12-02,56.45,56.6,55.27,55.33,2053064.0,55.802,14348
2015-12-03,55.04,55.32,54.5,54.7,2682464.0,54.741,17712
2015-12-04,54.96,55.89,54.92,55.84,1688492.0,55.645,11487
2015-12-07,56.23,56.3,55.75,56.25,2170263.0,56.083,15390
2015-12-08,56.12,56.22,55.57,55.88,1792666.0,55.84,13295
2015-12-09,55.72,56.91,55.38,56.25,2222229.0,56.392,14483
2015-12-10,56.28,56.33,54.81,54.88,3093971.0,55.191,20374
2015-12-11,54.65,55.1,54.4,54.56,2431895.0,54.755,16806
2015-12-14,54.56,54.96,54.08,54.54,3179259.0,54.409,22269
2015-12-15,55.1,56.38,54.79,56.04,3470491.0,55.904,21727
2015-12-16,56.19,57.19,56.11,57.01,2573831.0,56.808,17586
2015-12-17,56.97,58.03,56.85,57.42,3567321.0,57.497,23368
2015-12-18,57.21,57.28,56.03,56.28,3721077.0,56.558,22038
2015-12-21,56.61,56.93,56.18,56.55,2978543.0,56.585,17982
2015-12-22,56.7,57.33,56.21,57.21,2034905.0,56.846,13171
2015-12-23,57.34,58.42,57.17,58.25,2728301.0,58.122,17355
2015-12-24,58.14,58.55,58.05,58.4,1064356.0,58.372,7630
2015-12-28,58.16,58.75,58.05,58.6,2044726.0,58.48,12739
2015-12-29,58.8,59.07,58.66,58.89,2781247.0,58.872,14279
2015-12-30,58.94,59.14,58.73,58.9,1398727.0,58.894,9421
2015-12-31,58.82,59.44,57.69,58.27,1692131.0,58.294,10965
2016-01-04,57.82,58.36,57.53,58.33,3087272.0,57.922,20399
2016-01-05,58.25,58.98,57.31,58.81,2886492.0,58.324,19563
2016-01-06,58.43,59.35,58.21,59.03,2965902.0,58.988,17958
2016-01-07,58.47,58.98,58.17,58.35,3274399.0,58.613,21708
2016-01-08,58.35,58.93,58.13,58.26,2203605.0,58.52,16927
2016-01-11,58.38,59.0,58.21,58.77,2226284.0,58.789,17131
2016-01-12,58.89,58.97,57.46,58.17,3726920.0,57.931,24342
2016-01-13,58.23,58.54,57.82,57.95,2798319.0,58.208,18655
2016-01-14,58.28,59.56,57.9,59.14,3428023.0,58.842,20548
2016-01-15,58.36,59.09,57.88,58.69,2800297.0,58.498,18041
2016-01-19,59.0,59.72,58.7,59.57,2825926.0,59.284,18424
2016-01-20,59.21,59.46,57.17,57.92,3764389.0,57.907,24235
2016-01-21,57.38,58.39,57.1,57.64,3479042.0,57.645,21180
