date,open,high,low,close,volume,average,barCount
2015-10-13,58.17,59.13,58.15,58.69,5896231.0,58.759,35130
2015-10-14,58.51,58.87,57.97,58.03,6292473.0,58.425,39713
2015-10-15,58.4,59.23,57.97,59.19,3784646.0,58.73,22938
2015-10-16,59.53,60.02,59.4,60.0,4513642.0,59.718,26716
2015-10-19,59.9,60.07,59.6,60.0,5788898.0,59.853,31178
2015-10-20,60.19,60.49,59.91,60.27,3610986.0,60.307,24069
2015-10-21,60.48,60.96,60.15,60.23,4586278.0,60.497,28453
2015-10-22,60.53,61.17,60.51,60.75,6891293.0,60.763,30344
2015-10-23,61.2,61.4,60.84,61.28,5543887.0,61.163,31728
2015-10-26,61.28,61.37,60.94,61.16,2662638.0,61.151,16514
2015-10-27,60.68,60.99,60.41,60.92,4794140.0,60.771,28284
2015-10-28,62.96,63.93,62.28,63.89,18648930.0,63.085,85916
2015-10-29,63.86,64.0,63.03,63.49,6224964.0,63.499,37806
2015-10-30,63.49,63.7,63.06,63.06,6925647.0,63.398,39693
2015-11-02,63.44,64.2,63.18,63.74,9337961.0,63.883,47670
2015-11-03,61.16,61.49,60.0,60.96,29281196.0,60.924,133421
2015-11-04,60.66,61.0,59.65,60.8,21193064.0,60.168,84169
2015-11-05,60.68,62.12,60.62,62.0,9855320.0,61.717,51962
2015-11-06,63.32,63.39,61.81,61.93,9685814.0,62.255,50190
2015-11-09,61.85,61.9,60.95,61.21,6335165.0,61.263,37520
2015-11-10,61.04,61.43,60.9,61.35,4184384.0,61.17,27355
2015-11-11,61.55,61.6,60.65,60.67,6164882.0,60.964,41255
2015-11-12,60.49,60.56,59.37,59.38,6753971.0,59.883,43065
2015-11-13,59.28,60.02,59.04,59.31,6496275.0,59.401,41923
2015-11-16,59.15,60.66,59.05,60.66,6708445.0,59.801,40767
2015-11-17,60.95,61.41,60.85,61.0,8648993.0,61.128,50000
2015-11-18,61.2,62.1,61.01,61.96,5951284.0,61.588,37887
2015-11-19,61.95,62.21,61.8,61.98,5084185.0,62.008,30838
2015-11-20,62.24,62.55,62.06,62.21,5999595.0,62.262,33452
2015-11-23,62.4,63.42,62.31,62.76,7693037.0,62.895,41689
2015-11-24,62.04,63.38,62.01,63.12,7183013.0,62.925,41914
