date,open,high,low,close,volume,average,barCount
2015-10-13,80.23,80.58,79.95,80.48,361889.0,80.426,2802
2015-10-14,80.49,80.82,79.56,79.67,237614.0,80.002,2006
2015-10-15,80.15,80.25,79.57,80.0,410691.0,79.969,3302
2015-10-16,80.03,80.74,79.64,80.07,588797.0,80.178,4841
2015-10-19,80.06,81.09,79.63,81.05,546610.0,80.676,4228
2015-10-20,81.28,82.38,80.87,82.2,466507.0,81.913,3705
2015-10-21,81.28,81.46,78.72,79.91,1064700.0,79.82,7909
2015-10-22,80.18,81.46,80.03,80.79,335108.0,80.935,2806
2015-10-23,81.16,82.01,80.77,81.85,397804.0,81.472,3057
2015-10-26,82.01,82.53,81.61,82.04,380704.0,82.236,2622
2015-10-27,81.46,81.73,80.87,81.08,320078.0,81.141,2688
2015-10-28,79.99,82.11,78.33,81.4,692973.0,80.435,5756
2015-10-29,81.39,82.58,80.82,82.44,250102.0,82.037,2130
2015-10-30,82.58,82.58,81.52,81.53,372643.0,82.01,3050
2015-11-02,81.46,83.09,81.34,82.93,401235.0,82.516,3223
2015-11-03,82.65,83.92,82.1,83.51,433191.0,83.368,3278
2015-11-04,83.39,84.0,82.75,82.89,232432.0,83.038,2095
2015-11-05,82.76,84.05,82.76,83.83,318515.0,83.683,2763
2015-11-06,84.66,85.13,83.99,84.9,317481.0,84.716,2615
2015-11-09,84.89,84.94,83.65,84.07,212693.0,84.097,1849
2015-11-10,83.97,85.01,83.92,84.87,175193.0,84.596,1418
2015-11-11,85.17,85.25,84.25,84.39,200038.0,84.66,1726
2015-11-12,83.39,84.29,82.66,82.76,278914.0,83.371,2276
2015-11-13,82.76,83.39,82.06,82.15,305342.0,82.528,2471
2015-11-16,82.14,83.55,81.56,83.47,292985.0,82.793,2495
2015-11-17,83.71,84.61,83.37,83.98,337516.0,84.135,2713
2015-11-18,84.14,85.7,84.14,85.53,404127.0,84.998,2960
2015-11-19,85.71,86.06,85.28,85.67,329998.0,85.667,2804
2015-11-20,85.93,86.62,85.6,86.29,420844.0,86.22,3118
2015-11-23,86.2,86.99,85.83,85.89,334626.0,86.324,2754
2015-11-24,85.53,85.8,84.7,85.61,450073.0,85.277,3044
2015-11-25,85.43,85.76,84.56,84.81,156457.0,84.856,1359
2015-11-27,85.04,85.38,84.41,85.15,101046.0,85.078,909
2015-11-30,85.33,86.33,84.67,85.52,338594.0,85.64,2805
2015-12-01,85.91,86.11,85.05,85.26,350810.0,85.34,2902
2015-12-02,85.43,85.87,84.42,84.62,318649.0,84.959,2871
2015-12-03,84.75,84.87,82.75,82.99,613849.0,83.701,4855
2015-12-04,83.55,86.92,83.34,86.56,851019.0,85.864,6578
2015-12-07,86.55,87.2,85.69,86.81,754060.0,86.483,5579
2015-12-08,86.22,87.03,85.68,85.84,437143.0,86.118,3776
2015-12-09,85.4,86.26,83.72,84.09,310214.0,84.821,2348
2015-12-10,84.21,84.99,83.93,84.11,241196.0,84.389,2037
2015-12-11,83.17,83.85,81.81,82.29,308936.0,82.648,2618
2015-12-14,82.22,82.96,80.86,81.43,434196.0,81.546,3556
