date,open,high,low,close,volume,average,barCount
2015-10-12,4.2,4.23,4.11,4.16,6693312.0,4.141125,2803
2015-10-13,4.11,4.25,4.1,4.1,6788720.0,4.14475,2638
2015-10-14,4.11,4.13,4.05,4.06,6079824.0,4.0779375,2785
2015-10-15,4.14,4.25,4.11,4.21,6452160.0,4.2030625,2578
2015-10-16,4.22,4.24,4.18,4.23,3841296.0,4.2115625,1617
2015-10-19,4.22,4.24,4.11,4.12,4132352.0,4.154875,2022
2015-10-20,4.12,4.21,4.02,4.04,8322240.0,4.0706875,3325
2015-10-21,4.06,4.08,3.94,4.03,6269216.0,4.0135,2835
2015-10-22,4.02,4.23,4.02,4.2,6750640.0,4.1604375,3282
2015-10-23,4.24,4.31,4.21,4.28,8431728.0,4.2670625,3420
2015-10-26,4.26,4.29,4.21,4.25,2948080.0,4.244875,1411
2015-10-27,4.23,4.3,4.1,4.12,4929984.0,4.187625,2041
2015-10-28,4.12,4.18,4.07,4.13,6758416.0,4.1193125,2925
2015-10-29,4.1,4.12,4.03,4.07,7831424.0,4.073375,2006
2015-10-30,4.1,4.14,4.01,4.03,6317376.0,4.0436875,2520
2015-11-02,3.91,3.95,3.67,3.87,15961152.0,3.863875,6865
2015-11-03,3.87,3.91,3.77,3.89,12052144.0,3.8516875,5338
2015-11-04,3.9,3.97,3.89,3.94,7777456.0,3.9369375,3352
2015-11-05,3.92,3.94,3.84,3.87,17538576.0,3.875375,6749
2015-11-06,4.07,4.5,4.05,4.4,45396576.0,4.3146875,17349
2015-11-09,4.44,4.54,4.1,4.31,17091536.0,4.270875,7939
2015-11-10,4.28,4.31,4.24,4.31,6245312.0,4.2786875,3064
2015-11-11,4.31,4.31,4.2,4.2,5570640.0,4.239375,2767
2015-11-12,4.19,4.23,4.09,4.12,6159232.0,4.1418125,2751
2015-11-13,4.1,4.15,4.04,4.07,5534528.0,4.0834375,2261
2015-11-16,4.07,4.25,4.05,4.24,5615376.0,4.1875625,2549
2015-11-17,4.24,4.37,4.22,4.32,9265936.0,4.309375,3898
2015-11-18,4.3,4.36,4.27,4.36,6404880.0,4.32225,2554
2015-11-19,4.34,4.48,4.32,4.46,7478640.0,4.443625,3253
2015-11-20,4.47,4.55,4.45,4.46,6554480.0,4.4848125,2718
2015-11-23,4.46,4.64,4.45,4.62,9121488.0,4.5858125,4326
2015-11-24,4.59,4.69,4.57,4.67,6215072.0,4.6554375,2950
2015-11-25,4.66,4.68,4.56,4.61,6150336.0,4.6176875,2558
2015-11-27,4.62,4.62,4.53,4.56,1710032.0,4.5735625,860
2015-11-30,4.6,4.62,4.55,4.6,5124000.0,4.5788125,2507
2015-12-01,4.61,4.66,4.51,4.64,3617216.0,4.6029375,1698
2015-12-02,4.66,4.74,4.63,4.71,5707152.0,4.6961875,2578
2015-12-03,4.71,4.75,4.68,4.7,7036256.0,4.706625,3201
2015-12-04,4.7,4.7,4.54,4.64,3412576.0,4.6175625,1658
2015-12-07,4.62,4.68,4.55,4.64,4823568.0,4.5981875,2204
2015-12-08,4.58,4.61,4.47,4.58,6056704.0,4.551125,2729
2015-12-09,4.59,4.61,4.47,4.49,3854848.0,4.5165,1671
2015-12-10,4.53,4.54,4.36,4.41,3715520.0,4.40525,1826
2015-12-11,4.38,4.43,4.21,4.22,6535696.0,4.2580625,2564
2015-12-14,4.24,4.54,4.23,4.4,13933200.0,4.438625,6778
2015-12-15,4.42,4.52,4.38,4.49,6887152.0,4.4735,3404
2015-12-16,4.46,4.52,4.39,4.48,8793664.0,4.457625,4192
2015-12-17,4.51,4.6,4.47,4.55,9545360.0,4.5328125,4748
2015-12-18,4.55,4.56,4.37,4.39,18924800.0,4.44325,7840
2015-12-21,4.42,4.48,4.39,4.47,6327664.0,4.44,2604
2015-12-22,4.47,4.6,4.45,4.55,6290848.0,4.549125,3161
2015-12-23,4.58,4.67,4.55,4.67,7526368.0,4.64375,2796
2015-12-24,4.65,4.7,4.65,4.69,3696848.0,4.68,1321
2015-12-28,4.66,4.92,4.66,4.88,17592992.0,4.8493125,5435
2015-12-29,4.88,4.97,4.85,4.92,11594176.0,4.9315,4548
2015-12-30,4.9,4.96,4.88,4.92,8378672.0,4.9169375,4080
2015-12-31,4.89,4.97,4.86,4.87,5994512.0,4.898,2974
2016-01-04,4.87,4.88,4.74,4.84,13716576.0,4.821,4920
2016-01-05,4.89,4.95,4.83,4.89,10650560.0,4.8850625,4598
2016-01-06,4.85,4.89,4.51,4.6,15463872.0,4.64575,6748
2016-01-07,4.51,4.53,4.24,4.3,12729312.0,4.3664375,5786
2016-01-08,4.37,4.43,4.26,4.3,9541680.0,4.3311875,3995
2016-01-11,4.34,4.34,4.15,4.25,7081008.0,4.225125,3414
2016-01-12,4.3,4.35,4.07,4.16,6780240.0,4.1694375,3053
2016-01-13,4.18,4.25,3.99,4.04,8017664.0,4.082,3477
2016-01-14,4.1,4.15,3.98,4.09,8509728.0,4.0786875,3896
2016-01-15,4.0,4.07,3.89,4.05,7553504.0,3.99925,3430
2016-01-19,4.09,4.1,3.87,3.91,10476912.0,3.9834375,4251
2016-01-20,3.85,3.96,3.72,3.96,13703424.0,3.8449375,5425
2016-01-21,3.95,4.02,3.88,3.91,7921968.0,3.9316875,3477
2016-01-22,3.96,4.08,3.95,4.02,6310976.0,4.0275,2809
2016-01-25,4.02,4.02,3.74,3.74,10470800.0,3.8215625,4742
2016-01-26,3.75,3.84,3.66,3.75,13790320.0,3.7470625,6299
2016-01-27,3.84,3.9,3.8,3.8,8459344.0,3.8481875,3900
2016-01-28,3.83,3.85,3.65,3.72,10813360.0,3.7050625,3960
2016-01-29,3.75,3.76,3.69,3.75,10537440.0,3.7418125,4927
2016-02-01,3.72,3.72,3.56,3.7,12838576.0,3.643125,6051
2016-02-02,3.69,3.8,3.35,3.6,23594768.0,3.5974375,10754
2016-02-03,3.67,3.9,3.66,3.87,19984000.0,3.7983125,8249
2016-02-04,3.87,3.96,3.85,3.9,8935024.0,3.9028125,4711
2016-02-05,3.88,3.88,3.69,3.7,9429680.0,3.7774375,4754
2016-02-08,3.64,3.65,3.29,3.37,18708672.0,3.39075,6287
2016-02-09,3.35,3.44,3.28,3.31,12353408.0,3.3415,5388
2016-02-10,3.35,3.45,3.3,3.35,9779760.0,3.3883125,4077
2016-02-11,3.32,3.43,3.3,3.4,11412928.0,3.375,4191
2016-02-12,3.44,3.54,3.42,3.52,5909424.0,3.477125,2895
2016-02-16,3.57,3.71,3.57,3.7,13646752.0,3.66525,5632
2016-02-17,3.72,3.82,3.68,3.74,10722240.0,3.7506875,5136
2016-02-18,3.76,3.77,3.61,3.63,21510352.0,3.6639375,9981
2016-02-19,3.87,4.2,3.85,4.06,61259904.0,4.0453125,26499
2016-02-22,4.13,4.17,4.07,4.09,12251024.0,4.097,5406
2016-02-23,4.12,4.19,4.07,4.12,8904928.0,4.14175,4385
2016-02-24,4.15,4.22,4.07,4.21,11028960.0,4.1523125,5208
2016-02-25,4.23,4.3,4.16,4.23,7925024.0,4.228625,4044
2016-02-26,4.22,4.34,4.2,4.31,9063616.0,4.2963125,4104
2016-02-29,4.31,4.37,4.28,4.28,8351328.0,4.325625,3851
2016-03-01,4.3,4.33,4.17,4.33,7319232.0,4.2775625,3504
2016-03-02,4.26,4.26,4.14,4.17,13149520.0,4.18975,5995
2016-03-03,4.14,4.23,4.07,4.19,14554624.0,4.13025,5984
2016-03-04,4.2,4.23,4.01,4.02,14157824.0,4.0911875,6602
2016-03-07,4.01,4.1,3.94,4.03,30926160.0,4.0230625,10815
2016-03-08,4.01,4.03,3.86,3.87,11516096.0,3.9051875,5922
2016-03-09,3.91,4.01,3.87,3.98,10214816.0,3.946375,4819
2016-03-10,3.98,4.07,3.77,3.82,15073136.0,3.86625,6226
2016-03-11,3.84,3.94,3.83,3.93,9365760.0,3.91475,4141
2016-03-14,3.86,3.86,3.48,3.53,48374864.0,3.5468125,18793
2016-03-15,3.53,3.58,3.5,3.51,16949456.0,3.5396875,8415
2016-03-16,3.47,3.65,3.44,3.61,16176912.0,3.57825,7450
2016-03-17,3.6,3.69,3.52,3.66,10574896.0,3.6211875,4736
2016-03-18,3.65,3.72,3.63,3.65,10396512.0,3.6635625,4888
2016-03-21,3.67,3.83,3.64,3.8,18854288.0,3.77975,9760
2016-03-22,3.76,3.79,3.71,3.72,8599552.0,3.7445625,4210
2016-03-23,3.72,3.79,3.69,3.72,9500032.0,3.725125,4659
2016-03-24,3.67,3.75,3.65,3.69,5837408.0,3.6919375,2652
2016-03-28,3.71,3.74,3.65,3.69,7732704.0,3.69675,3623
2016-03-29,3.7,3.9,3.62,3.87,14563424.0,3.82,6910
2016-03-30,3.92,3.92,3.82,3.9,12280880.0,3.885,5854
2016-03-31,3.9,4.0,3.86,3.94,8098896.0,3.9394375,3606
2016-04-01,3.9,3.94,3.79,3.88,11750736.0,3.853625,5104
2016-04-04,3.89,3.99,3.87,3.96,7811792.0,3.9499375,3734
2016-04-05,3.94,3.97,3.86,3.91,6500512.0,3.90975,2921
2016-04-06,3.93,4.06,3.89,4.06,9478480.0,4.0233125,3945
2016-04-07,4.04,4.08,3.95,4.01,8368176.0,3.9916875,4028
2016-04-08,4.03,4.14,4.0,4.06,7493760.0,4.069875,3562
2016-04-11,4.06,4.08,3.97,3.97,6456656.0,4.0190625,2880
2016-04-12,3.95,3.98,3.85,3.87,8448560.0,3.8796875,3720
2016-04-13,3.91,4.05,3.87,4.04,6275520.0,3.9936875,2742
2016-04-14,4.03,4.06,3.94,4.03,3778704.0,4.0324375,1821
2016-04-15,3.99,4.0,3.92,3.96,6225456.0,3.9550625,2962
2016-04-18,3.94,4.05,3.9,3.99,6558496.0,3.9875625,2986
2016-04-19,3.95,3.99,3.89,3.94,8033744.0,3.9303125,3678
2016-04-20,3.93,4.02,3.86,4.0,4318144.0,3.9716875,2111
2016-04-21,4.01,4.01,3.88,3.95,5169776.0,3.9361875,2554
2016-04-22,3.98,4.11,3.94,4.1,6068912.0,4.0570625,2789
2016-04-25,4.06,4.15,4.04,4.12,8306256.0,4.1106875,4143
2016-04-26,4.12,4.17,4.09,4.13,6454928.0,4.1333125,2853
2016-04-27,4.09,4.18,3.99,4.17,8334368.0,4.10175,3861
2016-04-28,4.13,4.17,4.1,4.11,6128320.0,4.1334375,2872
2016-04-29,4.11,4.18,4.07,4.16,9475600.0,4.1339375,4319
2016-05-02,4.19,4.2,4.13,4.19,9002768.0,4.1591875,3813
2016-05-03,4.17,4.17,4.01,4.02,7448064.0,4.04075,3664
2016-05-04,3.99,4.01,3.87,3.91,11534304.0,3.9193125,4990
2016-05-05,3.94,3.98,3.88,3.97,14918144.0,3.9448125,6198
2016-05-06,4.09,4.21,3.88,4.18,34589168.0,4.104,14530
2016-05-09,4.18,4.2,4.06,4.08,12622176.0,4.0994375,6406
2016-05-10,4.11,4.29,4.11,4.22,17238544.0,4.2194375,6113
2016-05-11,4.2,4.26,4.19,4.21,9556448.0,4.2266875,3521
2016-05-12,4.22,4.22,4.08,4.16,10769712.0,4.1366875,5360
