date,open,high,low,close,volume,average,barCount
2015-10-13,76.85,77.22,76.55,76.6,2386463.0,76.813,15747
2015-10-14,76.41,76.78,75.94,76.17,2381489.0,76.287,15106
2015-10-15,77.0,77.19,76.07,76.74,2987770.0,76.537,20290
2015-10-16,77.08,77.5,76.62,77.21,4212023.0,77.143,23331
2015-10-19,76.95,77.31,76.73,77.0,2785104.0,76.993,17017
2015-10-20,77.05,77.15,76.68,76.95,2891785.0,76.914,18307
2015-10-21,77.29,77.61,76.35,76.51,4341494.0,76.891,27543
2015-10-22,73.06,73.28,71.39,72.5,21202103.0,72.137,100134
2015-10-23,72.82,74.83,72.61,74.59,7987695.0,74.173,44957
2015-10-26,73.3,74.33,73.13,74.19,4435653.0,73.995,26929
2015-10-27,73.79,74.21,73.73,74.01,3613482.0,73.958,20693
2015-10-28,74.35,74.45,73.81,74.45,7200571.0,74.186,31350
2015-10-29,74.15,74.97,74.04,74.22,4565182.0,74.432,24986
2015-10-30,74.08,74.28,73.06,73.26,5304807.0,73.464,29863
2015-11-02,73.43,74.07,73.27,73.94,4066158.0,73.884,22782
2015-11-03,74.15,74.27,73.87,74.03,4115149.0,74.094,19100
2015-11-04,74.31,74.85,73.94,74.07,11714289.0,74.211,30395
2015-11-05,74.15,74.33,73.57,73.93,4066372.0,73.93,20669
2015-11-06,74.56,74.8,74.11,74.3,6559614.0,74.443,31107
2015-11-09,74.08,74.26,73.23,73.42,4852437.0,73.538,29090
2015-11-10,73.12,73.58,73.1,73.37,4511475.0,73.342,23900
2015-11-11,73.46,73.6,72.76,72.91,4251354.0,73.008,23353
2015-11-12,72.72,72.79,71.82,71.98,5129822.0,72.116,29891
2015-11-13,71.69,72.21,71.1,71.2,3648608.0,71.56,24322
2015-11-16,70.83,71.66,70.21,71.66,4367628.0,71.112,28290
2015-11-17,71.92,72.03,70.96,71.11,5265513.0,71.348,30679
2015-11-18,71.13,72.17,71.13,72.15,4246843.0,71.613,27375
2015-11-19,72.1,72.88,72.06,72.74,3930128.0,72.553,24249
2015-11-20,72.88,73.35,72.09,72.42,3499228.0,72.494,20341
2015-11-23,72.46,72.74,72.17,72.24,2486740.0,72.394,16607
2015-11-24,71.87,71.96,71.0,71.63,3681143.0,71.531,23097
2015-11-25,71.7,71.8,71.25,71.69,3739082.0,71.538,19971
2015-11-27,71.8,72.0,71.42,71.85,1187182.0,71.746,7504
2015-11-30,71.85,72.07,71.42,71.64,3878214.0,71.692,21992
2015-12-01,72.0,72.45,71.57,72.2,3535409.0,71.998,21218
2015-12-02,72.14,72.44,71.05,71.2,3405937.0,71.556,21511
2015-12-03,71.41,71.7,70.12,70.42,5927392.0,70.524,39202
2015-12-04,70.5,71.31,70.36,71.1,4091456.0,71.028,24421
2015-12-07,70.82,71.09,70.17,70.61,4789863.0,70.445,29644
2015-12-08,70.04,70.15,69.31,69.91,6321055.0,69.738,39279
2015-12-09,69.44,70.8,69.35,69.86,5619686.0,69.934,37325
2015-12-10,69.74,70.65,69.61,70.11,4029250.0,70.224,25679
2015-12-11,69.04,69.84,68.48,68.86,7758712.0,69.121,51052
2015-12-14,68.99,69.42,67.8,68.83,5475268.0,68.506,38417
2015-12-15,69.75,70.64,69.59,70.15,5129854.0,70.132,31215
2015-12-16,70.71,70.96,69.8,70.71,4875082.0,70.345,33875
2015-12-17,70.79,70.96,69.41,69.57,3967702.0,69.94,26577
2015-12-18,69.13,69.13,67.57,67.87,11075244.0,68.167,52770
2015-12-21,68.15,68.77,67.99,68.4,3872105.0,68.291,22655
2015-12-22,68.66,69.13,68.21,68.85,2977783.0,68.669,17571
2015-12-23,69.05,69.99,68.94,69.97,3864850.0,69.595,20249
2015-12-24,69.74,70.51,69.74,70.16,1577396.0,70.22,8640
2015-12-28,70.0,70.1,69.36,69.76,2471695.0,69.679,14508
2015-12-29,70.28,70.61,70.12,70.55,3158718.0,70.369,18930
2015-12-30,70.51,70.75,70.08,70.16,2362500.0,70.442,13954
2015-12-31,70.01,70.32,69.53,69.55,2687771.0,69.915,16398
2016-01-04,68.09,68.18,66.77,67.59,7239652.0,67.332,45949
2016-01-05,67.37,67.71,65.67,66.55,9483459.0,66.312,53571
2016-01-06,65.24,65.55,64.24,64.42,8117124.0,64.783,43863
2016-01-07,63.31,64.26,63.08,63.84,9631213.0,63.83,52861
2016-01-08,64.18,64.41,63.57,63.63,9000480.0,63.906,44479
2016-01-11,63.74,64.21,63.1,64.05,7272374.0,63.761,46691
2016-01-12,64.8,64.9,63.6,64.4,6511213.0,64.13,42840
2016-01-13,63.65,64.37,62.23,62.85,10246797.0,63.109,57703
2016-01-14,62.85,63.75,62.37,63.29,5536298.0,63.216,33770
2016-01-15,62.03,63.05,61.5,62.91,7403594.0,62.287,44417
2016-01-19,63.41,63.79,62.24,62.64,5818399.0,62.907,36758
2016-01-20,61.54,63.54,61.29,63.03,8048043.0,62.171,54871
2016-01-21,63.0,64.32,62.51,62.64,7659300.0,63.203,46290
2016-01-22,58.39,58.89,54.14,55.06,40431885.0,55.752,184476
2016-01-25,54.46,55.77,54.14,55.02,17062270.0,55.278,83807
2016-01-26,55.2,55.74,54.96,55.09,11554407.0,55.289,61497
2016-01-27,55.37,55.82,54.42,54.52,9887650.0,55.131,55942
2016-01-28,54.68,54.76,52.15,52.88,16351246.0,52.86,88171
2016-01-29,53.15,53.71,53.05,53.5,12098320.0,53.437,59503
2016-02-01,53.41,54.99,53.0,54.7,8889793.0,54.047,48295
2016-02-02,54.33,54.39,53.49,53.66,9931872.0,53.869,50225
2016-02-03,54.0,54.29,52.83,54.11,8350063.0,53.616,48594
2016-02-04,54.08,54.46,53.81,54.38,6206668.0,54.217,37751
2016-02-05,54.72,54.85,53.81,53.98,7966190.0,54.164,44726
2016-02-08,53.24,53.45,52.23,52.4,10330627.0,52.579,53030
2016-02-09,52.26,53.02,51.91,52.63,7576354.0,52.699,46258
2016-02-10,53.0,53.43,52.28,52.29,5958664.0,52.743,38292
2016-02-11,51.19,51.59,50.27,51.11,8148250.0,51.058,49666
2016-02-12,51.88,52.73,51.64,52.66,5201539.0,52.278,32678
2016-02-16,53.01,53.48,52.73,53.18,5927229.0,53.057,32549
2016-02-17,53.5,54.0,53.3,53.61,7756870.0,53.632,41924
2016-02-18,53.5,54.35,53.45,54.15,7684601.0,53.944,42929
2016-02-19,54.3,55.03,54.03,54.71,5685859.0,54.618,32470
2016-02-22,55.21,55.63,54.96,55.63,5377589.0,55.388,31547
2016-02-23,55.52,55.6,54.96,55.11,5231328.0,55.305,27617
2016-02-24,54.45,54.87,53.55,54.64,4949556.0,54.278,31111
2016-02-25,54.78,55.39,54.3,55.39,3799659.0,54.91,22404
2016-02-26,55.71,55.9,55.15,55.38,5201186.0,55.563,32800
2016-02-29,55.3,56.15,54.81,55.58,8192845.0,55.718,48218
2016-03-01,56.03,56.84,55.62,56.8,8271487.0,56.322,45012
2016-03-02,56.88,57.23,56.57,57.12,6611024.0,56.913,36885
2016-03-03,57.16,58.18,57.16,58.09,5663451.0,57.877,31994
2016-03-04,58.44,58.65,57.81,58.29,4769296.0,58.282,26580
2016-03-07,58.0,59.48,57.63,59.0,8443319.0,58.722,43758
2016-03-08,58.84,60.0,58.71,59.43,9269613.0,59.504,53171
2016-03-09,59.73,59.79,58.52,59.05,5658560.0,59.095,35435
2016-03-10,59.29,59.46,58.05,58.75,5495144.0,58.638,33477
2016-03-11,59.52,59.91,59.01,59.46,6643216.0,59.468,37509
2016-03-14,59.5,59.94,59.01,59.57,3545238.0,59.501,21020
2016-03-15,59.36,59.4,58.62,59.23,3152180.0,58.966,21727
2016-03-16,58.91,59.9,58.72,59.7,4099873.0,59.524,26545
2016-03-17,59.55,60.5,59.32,60.08,3520953.0,60.004,23481
2016-03-18,60.31,61.45,60.03,61.22,4991759.0,60.945,24936
2016-03-21,60.99,61.38,60.85,61.21,2981441.0,61.136,19081
2016-03-22,60.77,60.9,59.91,60.61,3496675.0,60.39,20725
2016-03-23,60.7,60.91,60.28,60.63,2830154.0,60.664,18693
2016-03-24,60.22,60.52,59.59,60.47,2937309.0,60.145,19992
2016-03-28,60.77,60.79,59.86,60.28,2651354.0,60.251,18735
2016-03-29,60.11,60.65,59.46,60.6,3562082.0,60.172,22814
2016-03-30,60.98,61.0,60.18,60.29,4173408.0,60.451,26562
2016-03-31,60.51,61.52,60.28,61.4,4415130.0,61.172,26236
2016-04-01,60.98,61.66,60.56,61.1,3396714.0,61.13,21496
2016-04-04,61.01,61.06,60.46,60.62,2802658.0,60.718,17360
2016-04-05,60.14,60.44,59.68,60.19,3836844.0,60.157,22521
2016-04-06,59.84,60.05,59.42,59.88,3550045.0,59.741,22416
2016-04-07,59.45,59.52,58.7,58.86,3337340.0,59.054,22741
2016-04-08,59.0,60.26,58.99,59.5,4091291.0,59.801,25984
2016-04-11,59.67,60.08,59.28,59.8,3421392.0,59.786,19972
2016-04-12,60.0,60.71,59.8,60.68,3769476.0,60.423,20806
2016-04-13,60.89,62.43,60.84,62.16,3913693.0,61.973,22672
2016-04-14,62.16,62.68,61.97,62.51,3221638.0,62.353,19624
2016-04-15,62.66,62.84,61.91,62.14,3696626.0,62.321,22120
2016-04-18,61.81,62.63,61.73,62.59,2643629.0,62.318,16947
2016-04-19,62.75,63.61,62.74,63.57,3769129.0,63.354,23996
2016-04-20,64.12,65.33,63.92,65.02,6810218.0,64.733,39206
