date,open,high,low,close,volume,average,barCount
2015-10-13,33.34,33.53,33.06,33.1,3692083.0,33.342,21076
2015-10-14,33.13,33.27,32.92,33.05,2904824.0,33.096,16595
2015-10-15,33.16,33.78,32.96,33.7,3396923.0,33.406,19483
2015-10-16,33.86,34.17,33.63,33.92,4061239.0,33.902,21848
2015-10-19,33.86,34.09,33.77,34.02,4008303.0,33.947,23321
2015-10-20,33.97,34.5,33.87,34.26,4983355.0,34.244,26848
2015-10-21,34.49,35.68,34.41,35.6,10768201.0,35.09,57937
2015-10-22,35.65,35.66,34.43,34.92,6364541.0,34.926,38043
2015-10-23,35.13,35.63,35.04,35.4,4457719.0,35.382,27004
2015-10-26,35.47,36.17,35.4,35.91,5591802.0,35.834,30019
2015-10-27,36.05,36.98,36.05,36.64,4846282.0,36.595,30320
2015-10-28,36.57,37.56,36.06,37.25,9329342.0,36.965,47836
2015-10-29,37.19,37.76,37.08,37.59,6050894.0,37.378,34135
2015-10-30,37.6,37.64,37.3,37.39,3977076.0,37.467,24000
2015-11-02,37.51,37.86,37.4,37.77,3451323.0,37.713,20844
2015-11-03,37.78,38.39,37.6,38.22,4223216.0,38.094,24263
2015-11-04,38.15,38.79,37.46,37.57,5294114.0,37.86,29014
2015-11-05,37.73,37.87,37.22,37.55,3110071.0,37.5,19601
2015-11-06,37.45,37.97,37.25,37.97,2668395.0,37.596,17299
2015-11-09,37.81,37.96,37.45,37.66,2420237.0,37.647,16292
2015-11-10,37.58,38.07,37.45,37.98,3155675.0,37.883,18852
2015-11-11,38.0,38.11,37.8,37.88,3040919.0,37.97,17372
2015-11-12,37.49,37.8,37.35,37.46,2235729.0,37.618,13967
2015-11-13,37.52,37.85,37.4,37.57,2537770.0,37.59,16382
2015-11-16,37.38,37.96,37.32,37.93,2832387.0,37.724,17128
2015-11-17,37.91,38.01,37.55,37.77,2656039.0,37.751,16029
2015-11-18,37.91,38.16,37.77,38.07,3404771.0,38.028,20126
2015-11-19,37.95,38.13,37.72,37.91,2346077.0,37.886,15352
2015-11-20,38.11,38.56,38.0,38.31,4899559.0,38.326,26541
2015-11-23,38.24,38.28,37.9,38.07,2662793.0,38.094,17282
2015-11-24,37.71,38.46,37.71,38.04,5425684.0,38.045,27704
2015-11-25,38.08,38.08,37.72,37.88,2259479.0,37.876,15231
2015-11-27,37.84,37.88,37.65,37.68,1526446.0,37.727,11080
2015-11-30,37.73,37.86,37.47,37.65,3165532.0,37.677,19967
2015-12-01,37.88,38.04,37.62,37.94,3083144.0,37.937,19681
2015-12-02,37.91,38.0,37.31,37.36,2376352.0,37.639,15826
2015-12-03,37.47,37.7,36.82,36.87,5284647.0,37.201,29725
2015-12-04,36.91,37.73,36.91,37.54,4082873.0,37.45,27463
2015-12-07,37.5,37.78,37.34,37.73,2977160.0,37.583,18138
2015-12-08,37.5,37.52,37.03,37.2,1937157.0,37.25,13459
2015-12-09,36.91,37.5,36.65,36.77,1608876.0,36.985,11439
2015-12-10,36.84,37.61,36.67,37.28,3255547.0,37.298,20172
2015-12-11,36.89,38.4,36.54,36.84,2642012.0,36.874,18402
2015-12-14,36.85,36.98,36.07,36.53,3817703.0,36.459,26029
2015-12-15,36.79,37.4,36.77,37.26,2937051.0,37.22,20393
2015-12-16,37.4,37.89,37.15,37.83,3640979.0,37.526,20968
2015-12-17,37.79,37.84,37.37,37.54,2212029.0,37.647,17065
2015-12-18,37.34,37.38,36.65,36.65,3168657.0,36.977,18840
2015-12-21,36.74,36.94,36.35,36.68,2217492.0,36.598,14916
2015-12-22,36.79,37.72,36.64,37.62,3403761.0,37.259,19108
2015-12-23,37.71,38.34,37.56,38.14,3789992.0,38.053,15698
2015-12-24,38.06,38.38,38.05,38.15,2414869.0,38.136,6390
2015-12-28,38.02,38.31,37.86,38.14,2441945.0,38.142,12654
2015-12-29,38.39,38.69,38.3,38.56,2916536.0,38.515,16494
2015-12-30,38.48,38.65,37.99,38.05,2594737.0,38.263,15484
2015-12-31,37.86,38.55,37.72,38.15,2974675.0,38.207,17984
2016-01-04,37.66,37.69,36.85,37.17,5459904.0,37.21,37051
2016-01-05,37.16,37.43,36.87,37.32,3784970.0,37.154,27385
2016-01-06,36.79,37.53,36.75,37.41,6507549.0,37.165,36173
2016-01-07,36.89,37.04,36.15,36.79,5843177.0,36.687,35782
2016-01-08,36.87,36.96,36.11,36.2,4335189.0,36.439,28883
2016-01-11,36.31,36.5,35.24,35.59,4240251.0,35.8,28100
2016-01-12,35.79,36.22,34.95,35.48,4430758.0,35.444,28023
2016-01-13,35.74,36.2,34.76,34.83,4863323.0,35.468,30808
2016-01-14,34.97,35.55,34.75,35.31,10354527.0,35.233,43161
