date,open,high,low,close,volume,average,barCount
2015-10-13,37.75,38.3,37.43,37.5,3708523.0,37.783,22334
2015-10-14,37.5,37.99,37.38,37.47,3555897.0,37.639,21253
2015-10-15,37.63,37.87,37.38,37.81,4007392.0,37.694,22564
2015-10-16,37.91,38.67,37.74,38.47,5222971.0,38.355,26154
2015-10-19,38.27,38.4,38.07,38.15,3249056.0,38.212,18728
2015-10-20,38.04,38.29,38.02,38.18,3929779.0,38.187,24605
2015-10-21,38.25,38.38,37.88,37.94,4182547.0,38.184,25863
2015-10-22,38.2,40.59,38.12,39.78,6663012.0,39.908,39632
2015-10-23,40.14,40.3,39.42,40.18,4481396.0,39.905,26738
2015-10-26,40.1,40.32,39.94,40.08,2145048.0,40.161,14179
2015-10-27,39.84,39.99,39.27,39.37,2407196.0,39.465,15978
2015-10-28,39.33,40.09,39.19,39.97,3785705.0,39.767,25046
2015-10-29,39.93,40.3,39.59,40.11,3264026.0,39.996,19735
2015-10-30,40.17,40.83,40.01,40.76,4169662.0,40.572,23937
2015-11-02,40.85,41.37,40.68,41.15,3209312.0,41.044,21606
2015-11-03,40.98,41.53,40.97,41.4,1843737.0,41.3,10706
2015-11-04,41.54,41.59,41.06,41.13,1268573.0,41.218,8811
2015-11-05,41.15,41.64,41.04,41.57,2314258.0,41.436,13300
2015-11-06,41.76,42.03,40.7,40.86,4565518.0,40.941,27391
2015-11-09,40.79,40.85,40.42,40.65,3425832.0,40.651,21509
2015-11-10,40.6,40.86,40.33,40.8,2331847.0,40.626,14626
2015-11-11,41.08,41.09,40.72,40.84,2454700.0,40.828,15927
2015-11-12,40.44,40.82,40.32,40.41,2616758.0,40.556,17896
2015-11-13,40.31,40.63,39.6,39.62,2356803.0,39.878,17188
2015-11-16,39.51,40.51,39.39,40.5,1972022.0,40.031,14224
2015-11-17,40.56,40.8,40.09,40.42,2759708.0,40.485,18240
2015-11-18,40.6,41.5,39.85,41.42,2239526.0,41.188,15617
2015-11-19,41.47,41.69,41.37,41.58,1893810.0,41.537,12814
2015-11-20,41.71,42.0,41.17,41.34,1669768.0,41.567,10232
2015-11-23,41.39,41.66,41.13,41.19,1825609.0,41.358,11762
2015-11-24,40.73,41.55,40.11,41.29,2251262.0,41.209,14343
2015-11-25,41.38,41.93,41.3,41.81,1799479.0,41.774,12070
2015-11-27,41.8,41.91,41.34,41.58,609069.0,41.58,4058
2015-11-30,41.68,42.0,41.61,41.92,1847201.0,41.856,12404
2015-12-01,42.1,42.23,41.49,41.83,2309673.0,41.781,14212
2015-12-02,41.83,41.88,40.87,41.03,1852265.0,41.215,12770
2015-12-03,41.18,41.22,40.25,40.42,2325083.0,40.654,13782
2015-12-04,40.52,41.24,40.39,41.14,2695631.0,41.041,17971
2015-12-07,41.09,41.22,40.61,40.82,2202971.0,40.895,16038
2015-12-08,39.9,40.09,39.22,39.32,3797816.0,39.46,26187
2015-12-09,39.15,39.66,38.41,38.51,3309045.0,38.909,20490
2015-12-10,38.51,39.04,38.36,38.47,2268476.0,38.674,14811
2015-12-11,37.77,37.89,35.92,36.18,7171732.0,36.67,38569
2015-12-14,36.06,36.26,34.62,35.12,8030033.0,35.052,49452
2015-12-15,35.55,36.22,35.52,35.6,3867605.0,35.733,26547
2015-12-16,35.97,36.23,35.29,36.16,3201839.0,35.778,23139
2015-12-17,36.22,36.39,35.08,35.45,4230744.0,35.528,29315
2015-12-18,35.22,35.28,34.79,35.0,5738059.0,35.027,33922
2015-12-21,35.34,35.53,34.93,35.24,3819962.0,35.156,24248
2015-12-22,35.11,35.94,34.93,35.82,5327012.0,35.387,31371
2015-12-23,36.11,37.5,36.01,37.36,4604050.0,37.046,27329
2015-12-24,37.17,37.56,36.8,36.97,1243244.0,36.994,7734
2015-12-28,36.78,36.97,36.6,36.92,1983925.0,36.837,13199
2015-12-29,37.15,37.54,37.07,37.4,1849691.0,37.321,12538
2015-12-30,37.19,37.55,36.99,37.03,2044068.0,37.313,13483
2015-12-31,36.78,37.26,36.69,36.82,1595721.0,37.008,10625
2016-01-04,35.59,36.21,35.41,36.18,3622758.0,35.902,24332
2016-01-05,36.28,36.43,35.7,36.12,2159137.0,35.996,15228
2016-01-06,35.45,35.65,34.95,35.2,2316137.0,35.3,15990
2016-01-07,34.36,34.96,33.9,34.07,4600279.0,34.401,29760
2016-01-08,34.21,34.49,33.54,33.65,4485683.0,33.898,24998
2016-01-11,33.66,34.0,32.95,33.5,5176927.0,33.341,31684
2016-01-12,33.62,34.51,33.37,34.0,4318272.0,33.638,29792
2016-01-13,34.21,34.38,32.94,32.98,4407694.0,33.573,28733
2016-01-14,33.09,33.56,32.39,33.37,4568117.0,33.214,29246
2016-01-15,32.34,32.81,31.96,32.61,4177119.0,32.387,28545
2016-01-19,33.17,33.54,32.57,33.05,5178299.0,33.057,34154
2016-01-20,32.38,33.34,31.87,32.91,5448594.0,32.494,38026
2016-01-21,32.98,34.34,32.82,33.21,3609396.0,33.646,25203
2016-01-22,33.97,34.5,33.72,34.04,4051208.0,34.052,26474
2016-01-25,33.79,34.0,32.49,32.53,3676206.0,32.979,24268
2016-01-26,32.67,33.41,32.55,33.37,3399106.0,33.111,22662
2016-01-27,33.26,34.21,32.92,33.21,3221544.0,33.471,21544
2016-01-28,33.82,34.11,33.11,33.31,3307030.0,33.463,22921
2016-01-29,33.7,34.66,33.51,34.66,3769229.0,34.306,22960
2016-02-01,34.25,34.33,33.2,33.69,5061046.0,33.589,27595
2016-02-02,33.09,33.09,32.2,32.24,5967471.0,32.512,33228
2016-02-03,32.72,33.37,31.16,32.76,5593462.0,32.269,36031
2016-02-04,32.29,33.89,32.02,33.79,4621499.0,33.467,30832
2016-02-05,33.55,34.22,33.42,33.71,3319806.0,33.776,24866
2016-02-08,33.22,33.24,32.02,32.46,5071023.0,32.527,34432
2016-02-09,31.64,32.65,31.59,32.09,4061495.0,32.027,28954
2016-02-10,32.5,33.43,32.43,32.45,2980431.0,32.752,20751
2016-02-11,31.54,32.03,31.0,31.45,3823938.0,31.442,26180
2016-02-12,32.08,32.72,31.6,32.32,4984577.0,32.349,28464
2016-02-16,32.95,34.0,32.86,33.85,3606325.0,33.557,23218
2016-02-17,34.28,34.62,34.12,34.26,2935746.0,34.36,19059
2016-02-18,34.53,34.82,34.18,34.66,3021286.0,34.548,18825
2016-02-19,34.43,34.59,33.78,34.08,2608503.0,34.058,16945
2016-02-22,34.76,35.28,34.71,35.01,2395741.0,34.953,16041
2016-02-23,34.98,35.39,34.7,34.94,3241300.0,34.998,20946
2016-02-24,34.19,34.92,33.73,34.76,2451457.0,34.322,17317
2016-02-25,34.77,35.83,34.46,35.73,3441864.0,35.357,20524
2016-02-26,36.14,36.68,35.73,36.15,3244150.0,36.293,19822
2016-02-29,36.05,36.67,35.83,35.85,2646148.0,36.172,16615
2016-03-01,36.37,36.97,36.17,36.92,2474173.0,36.745,16225
2016-03-02,36.78,37.37,36.38,37.35,2895128.0,36.927,18536
2016-03-03,37.41,38.26,37.34,37.88,2774084.0,37.865,16778
2016-03-04,37.81,38.8,37.81,38.47,3523548.0,38.525,20021
2016-03-07,37.88,38.58,37.65,38.45,1656343.0,38.34,11638
2016-03-08,38.06,38.39,37.67,38.0,1652355.0,38.064,11594
2016-03-09,37.95,38.36,37.09,37.41,3760615.0,37.422,24929
2016-03-10,37.48,37.7,35.97,36.76,4044491.0,36.597,26549
2016-03-11,37.43,38.45,37.32,38.36,2770112.0,38.067,19062
2016-03-14,38.17,38.34,37.76,38.09,1614394.0,38.055,10420
2016-03-15,36.2,37.47,36.19,36.83,3143796.0,36.694,19758
2016-03-16,36.58,37.72,36.46,37.57,3010716.0,37.271,20188
2016-03-17,37.57,39.31,37.43,38.77,3342203.0,38.725,21813
2016-03-18,38.97,39.49,38.43,39.09,3678139.0,38.95,20286
2016-03-21,38.94,39.36,38.77,39.05,1936890.0,38.98,13219
2016-03-22,38.74,39.26,38.44,39.05,1748059.0,38.979,11943
2016-03-23,38.96,39.15,38.54,38.57,2165580.0,38.772,15094
2016-03-24,38.06,38.13,37.67,38.09,2441773.0,37.93,16963
2016-03-28,38.25,38.45,37.82,38.33,1519890.0,38.187,10934
2016-03-29,37.86,39.16,37.63,39.1,2424086.0,38.587,16002
2016-03-30,39.47,39.94,39.03,39.14,2606789.0,39.426,16487
2016-03-31,39.11,39.33,38.94,39.05,2120172.0,39.123,13484
2016-04-01,38.66,39.52,38.33,39.46,2109132.0,39.117,13894
2016-04-04,39.57,39.57,38.69,38.8,1392015.0,39.022,9785
2016-04-05,38.49,38.83,38.31,38.45,1994607.0,38.516,13503
2016-04-06,38.32,38.89,37.99,38.48,2793549.0,38.359,16919
2016-04-07,38.21,38.29,36.97,37.2,2675988.0,37.42,16882
2016-04-08,37.41,37.75,37.12,37.24,3492115.0,37.342,21627
2016-04-11,37.61,38.09,37.42,37.43,3683476.0,37.697,23742
2016-04-12,37.52,38.32,37.05,37.97,5781247.0,37.659,29955
2016-04-13,38.32,39.68,38.21,39.58,3629639.0,39.225,17335
2016-04-14,39.66,40.2,39.59,39.88,2537129.0,39.941,15466
2016-04-15,39.95,40.04,39.34,39.51,1776852.0,39.578,10878
2016-04-18,39.42,39.85,39.21,39.65,2129487.0,39.687,13042
2016-04-19,39.97,40.52,39.93,40.4,4178418.0,40.234,22723
2016-04-20,40.57,41.18,40.34,40.98,2841434.0,40.766,16718
2016-04-21,40.96,41.24,40.42,40.54,1497272.0,40.619,10450
2016-04-22,40.47,40.99,40.44,40.67,1173595.0,40.705,7050
2016-04-25,40.37,40.62,39.95,40.15,1655757.0,40.129,10221
2016-04-26,40.3,40.39,39.84,40.18,2356956.0,40.088,16069
2016-04-27,39.05,39.81,38.54,39.65,4057825.0,39.285,25466
2016-04-28,39.16,39.21,37.99,38.15,3924755.0,38.63,23042
2016-04-29,37.86,37.96,37.11,37.34,2817975.0,37.416,17916
2016-05-02,37.37,37.88,36.89,37.74,2722484.0,37.63,16951
2016-05-03,37.24,37.37,36.27,36.8,2331973.0,36.705,14093
2016-05-04,36.37,36.77,35.8,36.03,1920087.0,36.066,14205
2016-05-05,36.09,36.37,35.69,35.83,1811187.0,35.906,12373
2016-05-06,35.49,36.17,35.37,36.1,1986513.0,35.924,12990
2016-05-09,36.01,36.21,35.84,35.95,1625422.0,35.97,10256
2016-05-10,36.22,36.59,36.03,36.54,1587764.0,36.475,10754
2016-05-11,36.31,36.44,35.65,35.67,4501504.0,35.982,26513
2016-05-12,35.93,36.25,35.52,35.84,3038297.0,35.815,21147
2016-05-13,35.81,36.3,34.94,35.04,3412872.0,35.389,22970
2016-05-16,35.15,35.55,35.05,35.25,1697924.0,35.289,11661
2016-05-17,35.17,35.64,34.94,35.07,1925426.0,35.282,13088
2016-05-18,34.96,35.77,34.88,35.61,3570461.0,35.558,25263
2016-05-19,35.27,35.44,34.78,35.21,3047672.0,35.043,19163
2016-05-20,35.46,35.9,35.42,35.56,1529604.0,35.628,10167
2016-05-23,35.45,35.86,35.4,35.67,2087886.0,35.704,13797
2016-05-24,35.92,36.68,35.87,36.57,2013422.0,36.477,13534
2016-05-25,36.74,37.58,36.74,37.49,3208910.0,37.406,20240
2016-05-26,37.45,37.62,37.0,37.03,1645846.0,37.14,11035
2016-05-27,37.05,37.4,37.05,37.36,1478567.0,37.275,10780
2016-05-31,37.56,37.64,37.07,37.35,1909138.0,37.308,12890
2016-06-01,36.95,37.06,36.52,36.82,2811956.0,36.84,16521
2016-06-02,35.73,36.03,35.43,35.78,4713768.0,35.706,27774
2016-06-03,35.42,35.73,34.99,35.59,2825886.0,35.383,17950
2016-06-06,35.64,36.25,35.48,35.8,2935423.0,36.021,18016
2016-06-07,35.82,35.94,35.45,35.45,2837163.0,35.629,17882
2016-06-08,35.44,35.71,35.16,35.25,1482314.0,35.384,9491
2016-06-09,35.12,35.2,34.17,34.42,4311595.0,34.429,26715
2016-06-10,33.91,33.95,33.55,33.79,3241748.0,33.731,19745
2016-06-13,33.54,33.81,33.22,33.27,3040778.0,33.484,19324
2016-06-14,33.12,33.46,32.8,32.91,3397238.0,32.996,21861
2016-06-15,33.24,33.68,33.02,33.05,3224515.0,33.365,22940
2016-06-16,32.67,33.13,32.2,33.05,2700147.0,32.771,18507
2016-06-17,33.1,33.51,33.01,33.35,2859117.0,33.269,16218
2016-06-20,33.98,34.4,33.74,33.76,2791416.0,33.993,18339
2016-06-21,33.82,34.0,33.57,33.81,1625858.0,33.783,10844
2016-06-22,33.8,34.04,33.63,33.74,2606841.0,33.801,15818
2016-06-23,34.35,34.58,34.11,34.58,1584354.0,34.385,10839
2016-06-24,32.24,33.03,32.01,32.05,4225000.0,32.401,27402
2016-06-27,31.64,31.77,30.56,30.67,3706529.0,30.909,23610
2016-06-28,31.03,31.22,30.58,31.02,5557597.0,30.901,33311
2016-06-29,31.42,32.49,31.25,32.48,3889947.0,32.097,23983
2016-06-30,32.51,33.39,32.26,33.37,3385990.0,32.998,22195
2016-07-01,33.37,33.84,32.89,33.07,2499043.0,33.306,15376
2016-07-05,32.6,32.66,32.02,32.3,1676195.0,32.289,10441
2016-07-06,31.96,32.55,31.58,32.53,2617541.0,32.261,16517
2016-07-07,32.5,33.07,32.31,32.6,2649279.0,32.617,17351
2016-07-08,32.91,34.01,32.91,33.98,2807230.0,33.706,17559
