date,open,high,low,close,volume,average,barCount
2015-10-12,1318.0,1352.5,1315.59,1347.19,391554.0,1341.353,3273
2015-10-13,1340.0,1352.95,1333.84,1345.0,295404.0,1346.274,2488
2015-10-14,1349.97,1350.0,1308.54,1311.08,638516.0,1322.87,5305
2015-10-15,1319.61,1333.24,1304.97,1327.29,398114.0,1320.24,3333
2015-10-16,1334.41,1342.13,1326.01,1336.57,353154.0,1337.327,2994
2015-10-19,1334.19,1379.58,1329.6,1376.13,460391.0,1360.437,3990
2015-10-20,1371.83,1382.5,1364.08,1372.51,300379.0,1373.223,2479
2015-10-21,1378.69,1393.63,1360.18,1364.29,311204.0,1374.713,2538
2015-10-22,1371.55,1382.0,1351.2,1354.47,473925.0,1361.633,3833
2015-10-23,1374.0,1374.0,1357.3,1366.49,440888.0,1366.923,3679
2015-10-26,1375.0,1429.86,1374.49,1416.32,519820.0,1410.434,4182
2015-10-27,1412.36,1424.65,1396.37,1403.28,286154.0,1407.667,2232
2015-10-28,1412.0,1412.0,1393.97,1404.52,366928.0,1402.893,3039
2015-10-29,1410.0,1428.42,1402.68,1425.65,362824.0,1416.387,2924
2015-10-30,1445.0,1466.08,1436.05,1454.24,670504.0,1456.063,5566
2015-11-02,1462.03,1470.0,1454.56,1467.19,340761.0,1464.138,2734
2015-11-03,1461.55,1473.04,1455.18,1464.9,270235.0,1465.215,2135
2015-11-04,1465.95,1473.99,1462.75,1469.56,377156.0,1468.616,3109
2015-11-05,1475.0,1476.52,1451.67,1462.64,353721.0,1466.827,2838
2015-11-06,1451.4,1459.64,1430.0,1449.9,809835.0,1442.674,6767
2015-11-09,1362.3,1386.98,1303.43,1311.15,1829754.0,1329.37,14735
2015-11-10,1302.06,1327.84,1302.06,1323.54,622828.0,1319.559,5250
2015-11-11,1325.55,1335.0,1315.51,1329.58,409057.0,1325.898,3352
2015-11-12,1321.0,1336.26,1312.99,1314.01,354323.0,1321.491,2990
2015-11-13,1311.0,1319.3,1294.64,1297.75,511608.0,1305.744,4282
2015-11-16,1278.14,1279.99,1230.21,1266.87,1186574.0,1249.75,9526
2015-11-17,1274.01,1280.0,1250.0,1258.79,668880.0,1262.596,5004
2015-11-18,1267.1,1287.36,1252.01,1278.5,488137.0,1279.07,4018
2015-11-19,1286.83,1299.78,1282.12,1284.65,370156.0,1290.547,3083
2015-11-20,1294.42,1296.0,1270.0,1281.53,405957.0,1280.355,3335
2015-11-23,1285.0,1292.76,1256.0,1264.32,296484.0,1274.126,2514
2015-11-24,1244.3,1246.57,1212.0,1240.18,1002491.0,1227.654,6908
2015-11-25,1245.0,1256.0,1242.9,1245.75,246004.0,1249.094,1849
2015-11-27,1248.81,1250.57,1235.62,1244.99,161373.0,1245.545,1343
2015-11-30,1246.41,1266.69,1244.18,1248.85,284645.0,1255.713,2382
2015-12-01,1258.8,1285.55,1255.5,1282.5,420502.0,1273.848,3158
2015-12-02,1286.74,1297.2,1272.12,1275.44,249541.0,1280.604,2028
2015-12-03,1284.19,1295.42,1271.17,1280.08,415583.0,1283.108,3448
2015-12-04,1283.88,1302.87,1283.88,1300.48,324868.0,1296.489,2671
2015-12-07,1300.31,1309.79,1293.08,1302.42,253124.0,1301.141,1904
2015-12-08,1287.85,1309.94,1281.17,1303.97,200662.0,1297.394,1568
2015-12-09,1301.49,1314.96,1285.09,1294.99,224350.0,1297.505,1917
2015-12-10,1300.0,1307.28,1286.68,1306.5,282764.0,1300.939,2051
2015-12-11,1290.53,1299.74,1282.18,1285.33,373824.0,1289.987,3051
2015-12-14,1288.64,1301.89,1276.06,1297.88,186042.0,1293.0,1623
2015-12-15,1303.65,1331.19,1301.92,1323.73,437555.0,1321.826,3472
2015-12-16,1332.79,1337.29,1315.0,1332.31,233779.0,1328.204,1950
2015-12-17,1341.99,1341.99,1312.68,1313.74,261594.0,1325.78,2211
2015-12-18,1306.12,1312.97,1283.74,1285.67,485960.0,1294.54,3676
2015-12-21,1292.88,1299.57,1264.13,1275.71,296411.0,1275.986,2419
2015-12-22,1282.9,1282.9,1266.09,1277.49,164316.0,1274.091,1398
2015-12-23,1284.0,1284.95,1267.22,1279.05,155413.0,1275.03,1312
2015-12-24,1278.5,1280.52,1272.01,1273.07,93135.0,1275.656,727
2015-12-28,1266.99,1274.74,1253.2,1272.96,167104.0,1264.659,1300
2015-12-29,1278.0,1304.0,1277.01,1302.4,255089.0,1296.181,2057
2015-12-30,1299.0,1301.67,1288.06,1289.16,169058.0,1294.712,1435
2015-12-31,1285.58,1287.9,1271.51,1274.95,179672.0,1277.094,1546
2016-01-04,1256.0,1258.85,1228.0,1245.37,489717.0,1235.844,3808
2016-01-05,1236.28,1247.47,1201.08,1210.69,594549.0,1213.972,4708
2016-01-06,1186.0,1212.28,1185.0,1196.71,347458.0,1200.449,2979
2016-01-07,1171.97,1194.49,1154.28,1167.19,734635.0,1169.169,5884
2016-01-08,1172.51,1182.41,1135.0,1136.96,695664.0,1155.18,5394
2016-01-11,1136.0,1147.98,1120.0,1136.28,449028.0,1134.591,3287
2016-01-12,1141.83,1160.51,1133.08,1148.92,564942.0,1147.069,4172
2016-01-13,1155.99,1156.98,1076.35,1098.9,765781.0,1106.845,6235
2016-01-14,1098.38,1136.71,1065.0,1121.38,762008.0,1109.156,5989
2016-01-15,1076.0,1110.83,1075.14,1086.74,742264.0,1091.585,5884
2016-01-19,1099.42,1117.0,1078.42,1094.5,453226.0,1098.981,3812
2016-01-20,1075.0,1098.62,1039.26,1081.33,737789.0,1064.378,6063
2016-01-21,1084.36,1111.0,1067.06,1089.14,331254.0,1089.962,2851
2016-01-22,1111.83,1126.57,1104.14,1118.11,480659.0,1115.748,4049
2016-01-25,1117.41,1126.57,1097.88,1097.93,254873.0,1112.961,2030
2016-01-26,1097.11,1124.7,1070.1,1111.54,524308.0,1096.898,4015
2016-01-27,1079.58,1093.13,1038.14,1043.7,786552.0,1062.675,6572
2016-01-28,1058.78,1059.72,1015.15,1043.13,840825.0,1033.2,6531
2016-01-29,1045.4,1074.66,1030.27,1064.97,517512.0,1051.015,4378
2016-02-01,1063.0,1094.79,1056.25,1084.87,387096.0,1080.462,3180
2016-02-02,1070.0,1084.15,1056.54,1066.79,441614.0,1068.066,3681
2016-02-03,1070.25,1072.34,1020.43,1049.16,517816.0,1042.863,4462
2016-02-04,1044.79,1073.65,1023.25,1069.1,542471.0,1049.522,4374
