date,open,high,low,close,volume,average,barCount
2015-10-12,318.69,318.69,311.76,315.66,448073.0,314.358,3646
2015-10-13,312.7,317.37,312.34,315.12,672270.0,315.248,5187
2015-10-14,320.27,326.38,317.0,322.47,928916.0,322.654,7257
2015-10-15,324.45,327.26,320.59,325.63,526910.0,323.986,4417
2015-10-16,327.35,331.28,325.29,330.83,535408.0,328.888,4173
2015-10-19,329.34,330.04,326.4,327.88,421421.0,327.959,3506
2015-10-20,326.47,328.37,325.93,327.15,284833.0,326.952,2421
2015-10-21,327.64,329.12,321.69,321.98,443719.0,324.774,3594
2015-10-22,323.95,335.87,322.81,335.35,510966.0,332.985,3954
2015-10-23,338.27,341.25,336.14,340.79,728665.0,339.592,5501
2015-10-26,339.91,340.39,335.91,337.02,429980.0,337.273,3353
2015-10-27,335.74,336.14,333.03,335.57,265349.0,334.804,2187
2015-10-28,336.63,346.33,335.99,346.32,699135.0,342.355,5593
2015-10-29,345.68,350.99,343.5,349.86,697722.0,348.934,5699
2015-10-30,351.26,354.59,349.04,351.97,1077957.0,352.528,8328
2015-11-02,353.66,356.61,352.11,354.57,607530.0,354.224,4926
2015-11-03,353.19,360.0,353.19,358.47,649148.0,357.571,4909
2015-11-04,358.96,360.99,355.06,356.49,446789.0,357.522,3286
2015-11-05,355.99,359.45,355.18,357.3,342805.0,357.299,2646
2015-11-06,359.95,361.5,353.74,356.7,365472.0,356.448,2864
2015-11-09,355.5,357.74,347.15,349.57,974600.0,349.885,7301
2015-11-10,347.24,350.85,344.73,350.27,509079.0,348.039,3970
2015-11-11,352.21,352.82,349.78,350.5,315263.0,350.934,2399
2015-11-12,346.52,349.77,345.02,345.74,411924.0,347.194,3268
2015-11-13,345.28,347.32,342.47,343.25,396997.0,343.994,2993
2015-11-16,343.26,352.96,342.58,352.33,473472.0,348.582,3597
2015-11-17,352.41,357.92,350.85,353.42,361780.0,354.796,2851
2015-11-18,354.68,361.06,352.45,360.63,339445.0,357.905,2628
2015-11-19,360.53,361.04,357.95,359.09,318200.0,359.518,2484
2015-11-20,361.07,363.57,360.8,362.46,350967.0,362.242,2534
2015-11-23,362.85,364.56,361.07,363.25,282963.0,362.917,2085
2015-11-24,360.53,361.46,356.6,356.81,598391.0,358.431,4333
2015-11-25,358.01,362.27,356.8,360.62,288243.0,360.607,2261
2015-11-27,359.65,360.0,355.27,358.39,174762.0,358.178,1320
2015-11-30,359.16,364.87,358.34,363.72,526670.0,362.842,4025
2015-12-01,362.94,364.81,360.24,361.73,485741.0,362.155,3615
2015-12-02,360.7,363.41,356.13,358.92,762505.0,358.486,5856
2015-12-03,359.08,360.62,350.1,352.0,678993.0,353.637,4241
2015-12-04,353.91,361.66,351.68,360.76,449598.0,358.704,2682
2015-12-07,359.42,360.39,353.22,355.47,400253.0,356.053,2951
2015-12-08,353.4,354.94,346.56,348.94,502452.0,349.999,3931
2015-12-09,348.04,353.49,343.13,344.57,442990.0,347.583,3183
2015-12-10,344.25,349.04,342.82,345.25,485947.0,345.677,2703
2015-12-11,340.64,341.86,321.22,322.78,1287894.0,327.887,10293
2015-12-14,322.68,327.81,314.62,319.6,951464.0,318.946,7293
2015-12-15,324.95,331.43,322.65,329.54,715874.0,328.114,5403
2015-12-16,331.1,334.0,322.16,331.0,833085.0,327.702,6137
2015-12-17,332.85,336.35,328.57,330.21,786786.0,332.115,5753
2015-12-18,326.98,328.15,321.43,321.47,582803.0,324.215,3843
2015-12-21,325.63,328.12,322.48,325.55,327106.0,324.765,2366
2015-12-22,326.0,331.42,322.47,330.51,484402.0,327.796,3638
2015-12-23,333.81,340.17,332.59,339.64,478360.0,337.278,3734
2015-12-24,340.37,340.87,335.18,337.4,149684.0,337.127,1157
2015-12-28,336.94,342.82,334.88,342.45,669985.0,339.856,3917
2015-12-29,344.77,347.16,341.99,343.6,329972.0,344.025,2286
2015-12-30,342.36,345.19,341.22,342.05,248611.0,343.427,1682
2015-12-31,339.94,345.75,337.8,340.52,329478.0,343.019,2446
2016-01-04,333.04,333.46,329.0,333.1,581852.0,331.417,4651
2016-01-05,334.19,336.1,329.12,333.96,586139.0,332.484,4252
2016-01-06,327.28,331.91,327.0,330.16,824859.0,329.629,6389
2016-01-07,320.6,325.65,312.61,315.73,926490.0,318.775,7019
2016-01-08,317.56,319.76,307.03,307.78,1206548.0,312.201,7948
2016-01-11,309.07,310.0,304.37,308.32,971860.0,307.562,6563
2016-01-12,312.42,314.6,307.59,313.59,800507.0,311.301,6168
2016-01-13,315.6,318.43,303.62,304.61,882721.0,311.163,6390
2016-01-14,305.26,315.45,299.31,310.0,1048410.0,309.337,7014
2016-01-15,298.96,299.95,290.46,296.58,1557738.0,296.227,11534
2016-01-19,300.4,301.76,290.48,294.0,714926.0,295.239,5644
2016-01-20,288.67,294.15,280.55,292.0,1201803.0,287.41,9607
2016-01-21,292.79,296.89,289.48,289.9,768633.0,293.135,5447
2016-01-22,295.84,301.89,294.99,300.56,555028.0,298.497,4111
2016-01-25,300.06,300.94,289.2,289.72,721526.0,293.981,5105
2016-01-26,292.46,300.43,291.26,299.26,800797.0,295.818,5874
2016-01-27,299.0,311.0,297.38,302.12,855100.0,303.668,6831
2016-01-28,302.61,307.81,298.04,299.17,791343.0,301.388,5484
2016-01-29,303.37,314.33,301.9,314.26,604190.0,309.854,4530
2016-02-01,311.91,314.5,306.68,312.25,529228.0,310.281,4032
2016-02-02,305.82,305.82,298.02,301.21,744055.0,300.162,5765
2016-02-03,301.7,306.91,290.07,304.06,861779.0,299.37,6933
2016-02-04,302.25,316.0,302.25,313.7,748176.0,311.494,5941
2016-02-05,312.03,315.17,306.35,307.75,768308.0,309.145,5758
2016-02-08,301.36,301.36,289.37,293.46,830097.0,293.499,6484
2016-02-09,287.0,297.61,286.52,294.53,581670.0,292.146,4119
2016-02-10,299.29,305.73,297.13,298.56,505839.0,300.324,3843
2016-02-11,289.47,297.24,289.0,294.21,976113.0,293.192,7301
2016-02-12,300.18,307.5,297.04,306.8,677044.0,304.213,5195
2016-02-16,312.03,315.65,309.33,314.47,531809.0,312.888,4151
2016-02-17,318.84,321.27,316.99,319.88,645151.0,319.548,4886
2016-02-18,319.52,320.05,314.14,315.97,437872.0,316.71,3519
2016-02-19,313.07,314.55,307.59,314.29,593013.0,312.064,4302
2016-02-22,318.84,321.72,312.24,316.45,550297.0,315.732,4510
2016-02-23,315.0,317.42,306.41,309.86,530856.0,309.876,4191
2016-02-24,304.49,311.87,297.89,307.98,597671.0,303.004,4525
2016-02-25,309.59,313.75,303.87,313.62,432228.0,309.627,3333
2016-02-26,316.6,318.58,311.92,313.92,478083.0,314.412,3565
2016-02-29,312.6,315.63,311.09,311.96,569607.0,313.293,4111
2016-03-01,315.27,323.03,314.13,322.57,561309.0,320.31,4610
2016-03-02,320.1,327.23,318.39,326.73,722152.0,322.08,5534
2016-03-03,323.46,324.97,320.43,323.14,609690.0,322.314,4161
2016-03-04,323.28,325.87,320.7,323.76,462772.0,323.106,3534
2016-03-07,320.52,327.86,317.82,326.73,471664.0,325.923,3445
2016-03-08,323.3,325.0,316.74,320.4,464725.0,320.724,3518
2016-03-09,323.91,328.35,321.0,328.31,886246.0,325.809,6828
2016-03-10,329.77,330.0,320.0,324.99,450687.0,324.34,3725
2016-03-11,330.0,340.19,326.65,339.65,630132.0,336.37,5221
2016-03-14,337.46,338.91,334.21,337.82,413364.0,336.949,2932
2016-03-15,333.13,334.33,330.39,334.13,438470.0,332.287,2959
2016-03-16,333.15,335.5,329.59,334.07,448042.0,332.716,3397
2016-03-17,334.23,344.73,332.67,341.94,565582.0,340.345,4373
2016-03-18,344.21,346.96,339.62,342.56,415056.0,342.79,2596
2016-03-21,342.77,345.82,339.04,341.98,469451.0,341.429,3489
2016-03-22,337.17,342.83,337.17,340.22,294266.0,340.841,2376
2016-03-23,339.26,341.86,337.3,339.23,302891.0,339.726,2230
2016-03-24,336.47,337.87,331.73,334.28,434243.0,333.905,3570
2016-03-28,336.0,338.64,334.21,336.91,279443.0,336.347,2165
2016-03-29,336.24,340.43,332.0,339.91,381302.0,336.722,2876
2016-03-30,343.63,344.91,340.8,341.37,293222.0,342.413,2270
2016-03-31,340.34,344.2,339.93,340.57,300652.0,341.891,2447
2016-04-01,337.27,344.56,335.07,342.53,456105.0,341.253,3212
2016-04-04,342.0,343.29,336.24,338.52,344368.0,338.446,2947
2016-04-05,335.92,336.66,331.45,334.8,312841.0,334.931,2425
2016-04-06,334.4,338.73,334.09,337.2,264785.0,336.5,2214
2016-04-07,334.37,335.87,326.93,328.37,346057.0,329.81,2866
2016-04-08,332.74,335.24,330.8,331.6,223425.0,332.564,1933
2016-04-11,334.91,337.16,332.78,332.96,278784.0,334.851,2224
2016-04-12,334.04,339.87,332.33,339.31,368236.0,337.31,3119
2016-04-13,343.0,348.62,341.42,348.29,668375.0,346.564,5511
2016-04-14,343.0,356.2,342.0,354.91,599273.0,352.325,4424
2016-04-15,354.42,358.31,353.59,357.74,809474.0,356.543,5855
2016-04-18,353.0,359.45,351.05,358.0,582516.0,357.883,4162
2016-04-19,361.54,366.31,361.19,364.66,603382.0,363.624,3791
2016-04-20,365.94,368.91,364.45,366.92,392375.0,366.497,3124
2016-04-21,364.36,367.88,362.24,364.09,388452.0,364.517,3121
2016-04-22,365.16,369.21,363.83,365.47,322167.0,365.83,2584
2016-04-25,364.01,365.0,360.47,363.66,316623.0,362.607,2491
2016-04-26,363.74,366.0,362.31,365.96,205113.0,364.52,1600
2016-04-27,366.0,369.33,363.81,367.47,287197.0,366.926,2075
2016-04-28,363.2,365.88,357.68,358.83,297772.0,361.335,2219
2016-04-29,356.63,358.04,353.15,356.33,312255.0,355.795,2662
2016-05-02,358.77,362.68,355.12,361.5,526606.0,360.224,4179
2016-05-03,356.0,356.63,352.08,355.69,289903.0,354.967,2341
2016-05-04,352.59,355.53,350.73,352.17,397617.0,352.867,3188
2016-05-05,352.42,354.5,351.17,352.08,322357.0,352.724,2619
2016-05-06,350.56,357.09,350.23,356.01,347563.0,354.653,2693
2016-05-09,355.95,357.75,353.29,355.01,265439.0,355.443,2002
2016-05-10,358.0,360.3,355.77,360.18,309727.0,359.276,2557
2016-05-11,358.4,359.78,353.42,353.82,299736.0,355.473,2381
2016-05-12,356.56,357.71,352.68,355.6,232395.0,355.203,1931
2016-05-13,354.72,357.85,346.27,347.29,361893.0,349.847,2936
2016-05-16,347.61,354.15,347.61,351.83,314050.0,351.727,2705
2016-05-17,350.78,352.86,347.61,348.82,399599.0,350.143,3290
2016-05-18,347.05,356.71,347.05,353.49,413798.0,352.729,3114
2016-05-19,350.38,353.22,345.69,350.57,372503.0,349.239,2871
2016-05-20,353.61,357.34,352.17,354.01,336509.0,354.798,2502
2016-05-23,354.0,356.53,353.17,353.9,208587.0,354.882,1578
2016-05-24,358.0,361.71,356.39,361.18,396159.0,360.239,2985
2016-05-25,363.44,365.47,363.13,364.09,293749.0,364.326,2088
2016-05-26,364.1,364.85,361.44,363.1,206493.0,363.38,1617
2016-05-27,363.34,366.05,363.34,365.09,187617.0,364.93,1359
2016-05-31,366.3,366.3,361.99,363.85,334433.0,364.0,2499
2016-06-01,361.56,365.92,358.85,364.59,281790.0,363.63,2139
2016-06-02,360.88,363.16,356.71,361.11,343564.0,358.842,2758
2016-06-03,358.49,359.88,351.88,359.37,287901.0,356.374,2349
2016-06-06,358.88,364.48,358.88,362.06,277693.0,362.409,2249
2016-06-07,363.26,363.64,358.81,359.06,321757.0,361.009,2692
2016-06-08,358.56,361.67,358.4,360.35,200153.0,359.936,1699
2016-06-09,356.65,359.0,355.39,357.96,224105.0,357.061,1679
2016-06-10,351.5,352.37,345.64,346.97,534716.0,348.183,4141
2016-06-13,346.16,350.57,344.47,344.59,355240.0,346.842,2737
2016-06-14,343.08,344.59,339.49,339.79,521273.0,340.916,3905
2016-06-15,342.33,344.08,339.01,339.55,496582.0,341.109,3985
2016-06-16,336.88,339.9,332.01,339.46,437967.0,336.012,3369
2016-06-17,340.33,343.27,339.58,341.88,376459.0,341.438,2577
2016-06-20,349.51,351.97,347.84,348.43,402041.0,349.339,3182
2016-06-21,349.11,350.59,346.51,348.0,199028.0,348.16,1609
2016-06-22,348.5,351.74,346.74,347.67,279441.0,349.035,2302
2016-06-23,352.81,356.93,351.91,356.85,261836.0,354.792,2152
2016-06-24,337.13,343.88,331.01,332.51,682290.0,336.607,5463
2016-06-27,326.48,326.63,317.6,319.54,817318.0,320.489,6130
2016-06-28,324.33,326.97,318.0,323.96,381481.0,322.112,2983
2016-06-29,329.0,336.92,327.25,336.74,562487.0,333.445,4736
2016-06-30,337.96,342.67,334.23,342.53,402901.0,339.246,3245
2016-07-01,342.03,346.3,339.6,341.28,289519.0,342.665,2399
2016-07-05,338.66,339.17,332.53,336.08,262739.0,335.07,2175
2016-07-06,332.5,338.2,329.58,336.11,470332.0,334.306,3655
2016-07-07,335.0,337.55,331.2,335.11,542204.0,333.751,4556
2016-07-08,341.58,345.39,339.04,345.2,315793.0,343.566,2635
2016-07-11,348.04,349.44,345.14,347.5,240656.0,347.337,2035
2016-07-12,350.01,357.84,349.55,357.37,596575.0,355.394,4708
2016-07-13,357.58,358.9,354.01,357.5,384528.0,356.635,3183
2016-07-14,354.5,362.0,352.99,355.19,544346.0,356.866,4494
2016-07-15,355.94,357.59,351.13,356.85,434222.0,355.458,3489
2016-07-18,357.56,359.69,356.8,357.78,287370.0,358.148,2251
2016-07-19,355.46,357.48,355.4,356.58,209341.0,356.396,1615
2016-07-20,358.66,360.73,355.58,359.78,302249.0,358.972,2349
2016-07-21,359.28,360.3,357.66,359.5,434471.0,359.045,3371
2016-07-22,360.4,363.21,359.27,363.05,350067.0,361.928,2659
2016-07-25,363.0,363.78,360.08,361.42,261768.0,361.674,2139
2016-07-26,360.75,362.74,358.66,361.93,228522.0,360.953,1850
2016-07-27,362.19,365.67,361.21,363.31,299051.0,363.035,2302
2016-07-28,362.64,364.98,360.69,363.37,265407.0,362.698,2060
2016-07-29,362.87,367.22,362.8,366.25,401565.0,366.075,2920
2016-08-01,366.66,368.45,365.52,368.32,609347.0,367.3,4819
2016-08-02,366.1,367.92,364.98,367.08,502823.0,366.416,4062
2016-08-03,367.08,369.0,366.37,368.16,595713.0,367.926,4811
2016-08-04,367.67,369.16,365.65,366.25,324024.0,366.898,2461
2016-08-05,370.28,375.26,369.01,374.75,478182.0,373.582,3519
