date,open,high,low,close,volume,average,barCount
2015-10-13,132.85,133.27,131.91,132.19,2258720.0,132.391,14683
2015-10-14,132.0,132.45,131.05,131.18,2505774.0,131.7,16356
2015-10-15,131.98,133.83,131.55,133.8,2392878.0,132.76,15320
2015-10-16,134.73,135.0,132.96,133.81,2476400.0,134.02,13665
2015-10-19,133.5,133.89,133.11,133.62,1636382.0,133.528,10687
2015-10-20,133.27,134.4,133.1,134.16,1634618.0,133.773,10883
2015-10-21,134.71,135.41,133.11,133.22,1972766.0,134.406,12349
2015-10-22,133.6,137.7,133.54,137.29,4132180.0,136.285,27076
2015-10-23,138.0,138.0,136.76,137.78,2346233.0,137.535,15194
2015-10-26,137.86,137.94,136.64,137.0,1650994.0,137.074,10728
2015-10-27,136.4,136.68,135.07,135.63,1742548.0,135.766,10327
2015-10-28,135.8,138.41,135.48,138.16,2532114.0,136.797,16116
2015-10-29,138.1,138.5,137.23,137.89,1654894.0,137.824,9868
2015-10-30,137.56,137.87,136.02,136.02,2736201.0,136.975,17264
2015-11-02,136.77,138.62,136.33,138.4,2339813.0,137.623,14655
2015-11-03,138.3,138.48,137.71,137.94,1653026.0,138.073,10989
2015-11-04,138.0,138.08,137.06,137.43,1869462.0,137.504,12528
2015-11-05,137.48,138.03,136.32,136.57,1868787.0,136.987,12122
2015-11-06,136.44,137.19,135.14,136.33,2490707.0,136.028,14912
2015-11-09,136.0,136.19,133.4,134.0,3389973.0,134.249,21159
2015-11-10,134.0,134.73,133.64,134.73,2052135.0,134.088,13670
2015-11-11,134.94,135.2,134.12,134.96,1584481.0,134.719,10897
2015-11-12,134.46,134.63,132.77,132.78,2808534.0,133.693,18305
2015-11-13,132.61,133.57,131.74,131.96,2369509.0,132.62,16160
2015-11-16,131.7,133.31,131.47,133.3,2232461.0,132.4,14102
2015-11-17,133.85,133.93,132.68,133.09,2184092.0,133.308,13341
2015-11-18,133.47,136.38,133.27,136.22,2729638.0,134.932,17712
2015-11-19,136.19,136.87,135.83,136.63,2073028.0,136.398,13318
2015-11-20,137.34,137.42,135.96,136.63,2282438.0,136.837,11393
2015-11-23,136.29,136.78,135.84,135.99,1659219.0,136.343,10848
2015-11-24,135.09,135.88,134.11,135.54,2038363.0,135.083,13216
2015-11-25,135.48,136.0,134.84,135.13,1564873.0,135.242,10144
2015-11-27,135.3,135.58,134.45,134.63,922915.0,134.915,6376
2015-11-30,134.81,135.09,133.82,134.09,2719187.0,134.45,17087
2015-12-01,134.86,136.57,134.36,136.43,2672561.0,135.466,16749
2015-12-02,136.5,136.74,135.1,135.27,2613415.0,135.923,17218
2015-12-03,135.33,135.54,132.29,132.66,3260460.0,133.372,21904
2015-12-04,133.09,136.52,133.0,136.48,3580328.0,135.323,21539
2015-12-07,136.2,136.45,134.68,135.6,1973627.0,135.433,13344
2015-12-08,134.8,134.99,133.17,133.36,2867978.0,133.788,17347
2015-12-09,133.18,134.15,131.2,131.71,3111400.0,132.363,20164
2015-12-10,131.72,132.62,131.19,131.71,2585924.0,131.949,17938
2015-12-11,130.31,130.91,129.56,130.31,4000003.0,130.236,24532
2015-12-14,130.38,132.23,130.11,132.02,3213778.0,131.169,21844
2015-12-15,133.25,135.64,132.76,134.88,3518354.0,134.707,23977
2015-12-16,135.49,136.13,133.1,135.88,3953575.0,134.82,26569
2015-12-17,135.71,136.16,133.9,133.97,2672151.0,134.901,19022
2015-12-18,133.04,133.17,129.53,129.53,5123262.0,131.329,25038
2015-12-21,131.16,131.69,129.65,131.19,3355738.0,130.559,20829
2015-12-22,131.59,133.33,131.04,133.14,2871615.0,132.202,17586
2015-12-23,133.35,134.43,133.2,134.15,2715445.0,133.838,15804
2015-12-24,134.12,134.55,133.48,133.89,972665.0,133.924,6040
2015-12-28,133.48,133.54,132.52,133.12,1871440.0,132.946,12284
2015-12-29,134.0,134.55,133.0,134.14,2511128.0,133.87,17196
2015-12-30,133.92,134.12,133.06,133.26,2191366.0,133.653,13335
2015-12-31,133.0,133.37,131.95,132.04,2358268.0,132.665,13826
2016-01-04,130.16,131.03,128.76,130.75,5072506.0,129.582,31979
2016-01-05,130.75,131.53,129.81,131.25,3216423.0,130.605,21125
2016-01-06,129.99,131.76,129.72,131.33,4037312.0,130.96,25041
2016-01-07,129.25,130.54,129.0,129.48,5966611.0,129.589,36050
2016-01-08,130.11,130.4,128.2,128.33,4662571.0,129.448,29220
2016-01-11,128.92,129.23,127.04,128.36,3387886.0,128.124,21516
2016-01-12,129.11,129.43,127.52,128.8,3258042.0,128.476,21038
2016-01-13,128.97,129.39,125.71,126.25,4362417.0,127.005,27222
2016-01-14,126.41,128.99,126.01,128.07,4041345.0,127.604,25598
2016-01-15,125.34,126.81,124.51,126.14,5937768.0,125.803,34030
2016-01-19,126.86,128.27,126.77,127.76,4694298.0,127.544,29054
2016-01-20,125.6,126.12,124.04,124.83,6084166.0,125.076,38115
2016-01-21,125.52,126.75,124.37,125.62,2999543.0,125.718,19445
2016-01-22,127.5,127.93,125.92,127.04,2860637.0,126.876,18652
2016-01-25,126.55,126.9,123.9,124.13,3656117.0,125.069,23698
2016-01-26,124.57,126.52,124.57,125.89,2818324.0,125.816,17503
2016-01-27,125.26,127.22,124.61,125.19,3132721.0,125.854,21094
2016-01-28,126.0,126.72,124.37,126.01,2884664.0,125.604,19293
