date,open,high,low,close,volume,average,barCount
2015-10-13,15.79,15.93,15.72,15.74,1057630.0,15.775,3431
2015-10-14,15.59,15.65,15.2,15.46,1663052.0,15.5,5605
2015-10-15,15.54,15.63,15.44,15.61,1124836.0,15.5515,3694
2015-10-16,15.66,15.7,15.55,15.66,914260.0,15.614,3004
2015-10-19,15.63,15.85,15.59,15.63,1381446.0,15.647,4448
2015-10-20,15.58,15.95,15.22,15.56,2822548.0,15.5025,9354
2015-10-21,15.62,15.78,15.47,15.52,2021494.0,15.6195,6141
2015-10-22,15.59,15.88,15.59,15.81,971378.0,15.8025,3431
2015-10-23,15.9,16.05,15.81,16.03,876124.0,15.959,3350
2015-10-26,16.06,16.11,15.95,16.0,686730.0,16.006,2488
2015-10-27,15.92,16.0,15.74,15.82,1274548.0,15.7975,4056
2015-10-28,15.9,16.29,15.84,16.29,1858000.0,16.1195,6019
2015-10-29,16.23,16.36,16.18,16.32,1061634.0,16.2945,3091
2015-10-30,16.31,16.32,16.11,16.14,872532.0,16.17,3259
2015-11-02,16.08,16.21,16.0,16.2,1004952.0,16.123,3322
2015-11-03,16.17,16.24,16.1,16.13,1213582.0,16.1755,3241
2015-11-04,16.15,16.28,16.06,16.08,676360.0,16.113,2332
2015-11-05,16.1,16.14,16.03,16.07,604842.0,16.07,2249
2015-11-06,16.16,16.5,15.96,16.06,1489750.0,16.046,4398
2015-11-09,16.03,16.22,15.82,15.91,762916.0,15.9045,2454
2015-11-10,15.9,15.99,15.85,15.99,907204.0,15.945,2702
2015-11-11,16.04,16.13,15.97,16.05,758160.0,16.0635,2547
2015-11-12,15.97,16.1,15.91,15.92,1262556.0,16.004,4023
2015-11-13,15.88,15.93,15.63,15.67,1106780.0,15.7315,3818
2015-11-16,15.63,15.85,15.63,15.85,745466.0,15.7665,2602
2015-11-17,15.85,15.96,15.78,15.78,744504.0,15.8405,2684
2015-11-18,15.81,16.12,15.79,16.09,1283122.0,16.013,4495
2015-11-19,16.06,16.16,15.99,16.12,776644.0,16.095,2877
2015-11-20,16.18,16.35,16.18,16.29,500876.0,16.292,1872
2015-11-23,16.28,16.43,16.18,16.22,650030.0,16.262,2300
2015-11-24,16.14,16.33,16.11,16.25,775834.0,16.2245,2974
2015-11-25,16.27,16.33,16.16,16.2,491688.0,16.2205,1889
2015-11-27,16.21,16.25,16.1,16.2,225224.0,16.192,898
2015-11-30,16.24,16.3,16.13,16.23,890672.0,16.231,3160
2015-12-01,16.28,16.4,16.24,16.4,707140.0,16.346,2796
2015-12-02,16.4,16.46,16.34,16.36,626320.0,16.3865,2421
2015-12-03,16.4,16.43,16.11,16.18,760068.0,16.2405,2682
2015-12-04,16.2,16.53,16.18,16.51,474066.0,16.4615,1811
2015-12-07,16.46,16.55,16.43,16.54,648336.0,16.502,2085
2015-12-08,16.41,16.48,16.11,16.31,886480.0,16.3695,3166
2015-12-09,16.22,16.4,16.05,16.13,944786.0,16.176,3658
2015-12-10,16.16,16.17,16.06,16.09,847040.0,16.1065,3033
2015-12-11,15.94,16.17,15.9,16.01,1020928.0,16.0265,3807
2015-12-14,16.02,16.16,15.88,15.96,1148752.0,15.9655,3867
2015-12-15,16.08,16.28,16.08,16.21,644726.0,16.214,2342
2015-12-16,16.27,16.27,15.88,16.08,1179274.0,16.022,4555
2015-12-17,16.11,16.13,15.77,15.83,896526.0,15.8715,3524
2015-12-18,15.74,15.79,15.56,15.63,1768064.0,15.678,5233
2015-12-21,15.7,15.83,15.59,15.81,1386956.0,15.7075,4210
2015-12-22,15.87,15.87,15.51,15.84,799592.0,15.7475,2764
2015-12-23,15.9,16.05,15.81,16.04,872970.0,15.9615,3399
2015-12-24,16.02,16.1,15.93,16.04,298056.0,16.021,1076
2015-12-28,15.99,16.07,15.92,16.06,593746.0,16.0065,2105
2015-12-29,16.13,16.29,16.08,16.23,618922.0,16.174,2503
2015-12-30,16.22,16.28,16.14,16.17,485626.0,16.1915,1835
2015-12-31,16.13,16.34,16.05,16.05,703506.0,16.1785,2747
2016-01-04,15.84,15.84,15.66,15.81,1056786.0,15.748,3895
2016-01-05,15.84,16.0,15.78,15.97,1369926.0,15.934,5310
2016-01-06,15.74,15.84,15.61,15.69,831416.0,15.701,2977
2016-01-07,14.87,15.29,14.87,15.22,2932628.0,15.2005,9920
2016-01-08,15.22,15.35,15.08,15.1,993188.0,15.205,3835
2016-01-11,15.15,15.21,14.99,15.15,918524.0,15.1065,3481
