date,open,high,low,close,volume,average,barCount
2015-10-13,16.84,16.93,16.69,16.73,5518439.0,16.786,25378
2015-10-14,16.74,17.0,16.61,16.66,6412436.0,16.763,27171
2015-10-15,16.68,16.89,16.54,16.85,6762540.0,16.702,28817
2015-10-16,16.96,17.19,16.84,17.07,5093045.0,17.035,20482
2015-10-19,17.07,17.21,16.88,17.08,6070466.0,17.065,26555
2015-10-20,17.06,17.24,16.95,17.19,7516911.0,17.101,29840
2015-10-21,17.26,17.3,16.94,17.19,10237125.0,17.142,40624
2015-10-22,17.21,17.25,16.27,16.42,15386492.0,16.573,55196
2015-10-23,16.49,16.86,16.49,16.73,7909251.0,16.69,37397
2015-10-26,16.73,16.94,16.61,16.7,7016529.0,16.74,31749
2015-10-27,16.68,16.87,16.64,16.82,8819885.0,16.76,36850
2015-10-28,17.3,18.41,17.29,18.4,26278186.0,17.959,104956
2015-10-29,18.38,18.41,17.94,18.18,12420920.0,18.099,49603
2015-10-30,18.19,18.4,18.13,18.28,8758308.0,18.294,39928
2015-11-02,18.28,18.92,18.23,18.86,11424996.0,18.687,44545
2015-11-03,18.76,18.77,18.49,18.67,7266884.0,18.635,29198
2015-11-04,18.69,18.75,18.43,18.67,6362022.0,18.602,30202
2015-11-05,18.7,19.06,18.55,18.94,9391433.0,18.876,36300
2015-11-06,18.89,18.97,18.64,18.78,11987760.0,18.762,38486
2015-11-09,18.67,18.76,18.43,18.59,7335559.0,18.588,31210
2015-11-10,18.6,18.89,18.53,18.8,6656658.0,18.727,28821
2015-11-11,18.13,18.27,17.92,18.01,15793152.0,18.063,61068
2015-11-12,18.11,18.15,17.74,17.74,7613259.0,17.913,34326
2015-11-13,17.72,17.81,17.5,17.51,7764322.0,17.631,31981
2015-11-16,17.52,17.79,17.5,17.74,8048821.0,17.652,28913
2015-11-17,17.72,17.82,17.54,17.58,7576510.0,17.65,32034
2015-11-18,17.68,17.82,17.46,17.77,14134957.0,17.664,42323
2015-11-19,17.75,17.82,17.51,17.62,5526260.0,17.659,20698
2015-11-20,17.78,17.98,17.69,17.87,7338343.0,17.832,25098
2015-11-23,17.85,18.2,17.83,18.1,10716093.0,18.03,29381
2015-11-24,17.98,18.58,17.92,18.32,10892920.0,18.359,47559
2015-11-25,18.3,18.4,18.27,18.38,4975778.0,18.341,19860
2015-11-27,18.4,18.52,18.3,18.33,1829607.0,18.355,8704
2015-11-30,18.4,18.47,18.24,18.28,5119628.0,18.335,21681
2015-12-01,18.46,18.54,18.21,18.52,7450442.0,18.413,33306
2015-12-02,18.5,18.62,18.38,18.41,5372195.0,18.483,24994
2015-12-03,18.41,18.54,17.99,18.04,7131741.0,18.201,29339
2015-12-04,18.09,18.53,18.06,18.51,6227780.0,18.359,27790
2015-12-07,18.45,18.6,18.29,18.57,7630184.0,18.467,32759
2015-12-08,18.46,18.77,18.37,18.73,12951216.0,18.627,48635
2015-12-09,18.58,18.85,18.39,18.48,9358563.0,18.613,40812
2015-12-10,18.47,18.66,18.34,18.44,7226937.0,18.504,27828
2015-12-11,18.19,18.35,18.0,18.1,8014350.0,18.16,38612
2015-12-14,18.15,18.54,18.14,18.39,8409553.0,18.351,37151
2015-12-15,18.6,18.75,18.5,18.66,7461633.0,18.651,31131
2015-12-16,18.86,18.94,18.5,18.88,7420151.0,18.732,30269
2015-12-17,18.86,18.9,18.57,18.6,5894528.0,18.704,25746
2015-12-18,18.45,18.51,18.13,18.19,8942266.0,18.265,35466
2015-12-21,18.31,18.36,18.11,18.27,4513072.0,18.237,20367
2015-12-22,18.37,18.53,18.02,18.49,7066665.0,18.262,31721
2015-12-23,18.61,18.78,18.51,18.74,3554659.0,18.707,15941
2015-12-24,18.65,18.84,18.64,18.72,1598631.0,18.755,7004
2015-12-28,18.64,18.74,18.48,18.73,2914208.0,18.623,12480
2015-12-29,18.82,18.86,18.64,18.74,4815688.0,18.718,19916
2015-12-30,18.75,18.8,18.54,18.61,3289917.0,18.657,14012
2015-12-31,18.48,18.66,18.44,18.44,3784254.0,18.568,16242
2016-01-04,18.16,18.16,17.81,17.99,8319793.0,17.936,35476
2016-01-05,18.0,18.27,17.99,18.18,6178266.0,18.164,25578
2016-01-06,17.94,18.23,17.86,18.0,5595228.0,18.063,25457
2016-01-07,17.64,17.9,17.47,17.64,7042705.0,17.653,30373
2016-01-08,17.7,17.72,17.37,17.43,8219033.0,17.49,36868
2016-01-11,17.48,17.51,16.95,17.13,10994174.0,17.158,43351
2016-01-12,17.24,17.86,17.18,17.79,12436008.0,17.623,46472
2016-01-13,17.89,18.38,17.52,17.55,19586018.0,18.017,71925
2016-01-14,17.63,18.33,17.55,18.16,12186416.0,18.041,48348
2016-01-15,17.7,18.04,17.61,17.87,12375969.0,17.831,57489
2016-01-19,18.03,18.33,17.4,17.57,13494663.0,17.77,55917
2016-01-20,17.32,17.7,16.87,17.54,11598392.0,17.284,52425
2016-01-21,17.58,17.82,17.37,17.56,9459842.0,17.611,41056
2016-01-22,17.81,17.93,17.7,17.85,5598298.0,17.81,24490
2016-01-25,17.81,17.97,17.46,17.53,8496361.0,17.695,35864
2016-01-26,17.62,17.66,17.33,17.38,7927285.0,17.459,38675
2016-01-27,17.37,17.56,17.13,17.22,8297527.0,17.335,37398
2016-01-28,17.28,17.31,16.68,16.9,7341091.0,16.916,37754
2016-01-29,17.02,17.57,17.01,17.53,9060675.0,17.455,36477
2016-02-01,17.45,18.03,17.27,17.88,12325741.0,17.68,48594
