date,open,high,low,close,volume,average,barCount
2015-10-12,34.2,34.21,33.01,33.81,3066443.0,33.507,13652
2015-10-13,33.3,34.2,33.16,33.19,2847262.0,33.601,13648
2015-10-14,33.24,33.84,32.65,33.55,4692183.0,33.238,19291
2015-10-15,33.58,34.85,33.22,34.05,5806950.0,34.31,29733
2015-10-16,34.64,35.0,34.2,34.52,5136890.0,34.577,21626
2015-10-19,34.19,34.4,33.73,33.93,3530253.0,34.014,16181
2015-10-20,33.93,34.16,33.29,33.36,4802644.0,33.711,18220
2015-10-21,33.54,33.88,33.32,33.62,2976969.0,33.625,13854
2015-10-22,33.41,33.99,33.21,33.34,3543198.0,33.604,15258
2015-10-23,33.72,34.52,33.54,34.43,4535395.0,34.055,17328
2015-10-26,34.43,34.57,34.21,34.42,2983701.0,34.393,11877
2015-10-27,34.28,34.3,33.45,34.09,3196168.0,33.748,13526
2015-10-28,33.92,34.5,32.93,34.5,4856127.0,33.929,21889
2015-10-29,34.19,34.62,33.76,33.78,3389636.0,34.217,14558
2015-10-30,33.84,34.19,32.89,33.06,3543081.0,33.199,15970
2015-11-02,33.39,34.6,33.29,34.13,4229384.0,34.279,18030
2015-11-03,34.15,34.65,33.82,34.59,3416405.0,34.315,13142
2015-11-04,34.48,34.71,33.46,33.75,4042583.0,33.876,16982
2015-11-05,33.91,34.34,33.06,33.52,3999497.0,33.581,18636
2015-11-06,33.61,33.68,32.57,32.88,4489861.0,32.89,18496
2015-11-09,32.65,32.75,31.54,32.05,4894875.0,31.967,20287
2015-11-10,32.0,32.26,31.15,32.25,3902323.0,31.829,15864
2015-11-11,32.38,32.43,31.36,31.55,3622672.0,31.794,13885
2015-11-12,31.22,31.75,30.92,31.09,2963689.0,31.361,13246
2015-11-13,31.0,31.17,30.37,30.61,3893568.0,30.634,16245
2015-11-16,30.54,31.5,30.39,31.38,3259751.0,31.083,12513
2015-11-17,31.55,31.7,30.79,30.87,4663245.0,31.237,22154
2015-11-18,30.95,31.6,30.9,31.59,3408782.0,31.225,14215
2015-11-19,31.75,32.07,31.32,31.44,3048537.0,31.563,13217
2015-11-20,31.53,31.59,30.68,31.18,4271325.0,31.07,17809
2015-11-23,31.09,31.33,30.57,31.01,2602999.0,31.0,11621
2015-11-24,30.75,30.92,30.5,30.67,3673277.0,30.7,15758
