date,open,high,low,close,volume,average,barCount
2015-10-13,32.58,32.81,32.28,32.3,2553279.7840894484,32.5665974,12929
2015-10-14,32.34,32.48,31.61,31.68,2130884.2051150235,31.8608607,10780
2015-10-15,31.89,32.19,31.79,32.16,3064049.6080195345,31.9713509,12950
2015-10-16,32.3,32.51,32.17,32.44,3687780.4909394677,32.3502856,11850
2015-10-19,32.47,32.55,32.27,32.36,2523975.067472047,32.3697381,11150
2015-10-20,32.39,32.45,31.9,31.96,1840685.0019277728,32.0429361,8814
2015-10-21,32.05,32.24,31.86,32.14,2329199.331705436,32.0818411,12266
2015-10-22,32.28,33.03,32.28,32.98,3955465.8784217965,32.8544944,18334
2015-10-23,33.13,33.13,32.03,32.12,4485440.174784732,32.3098244,22427
2015-10-26,32.14,32.35,31.99,32.19,2924418.455211412,32.1915532,13578
2015-10-27,31.95,32.1,31.26,31.53,2731394.422310757,31.5153843,13518
2015-10-28,31.4,31.79,31.16,31.47,3246865.4414599664,31.4297933,15238
2015-10-29,31.35,31.78,31.28,31.67,1545091.890502506,31.5542893,7974
2015-10-30,31.59,31.97,31.45,31.55,1837027.3743734737,31.7223589,9887
2015-11-02,31.98,32.47,31.65,31.83,3600596.3243798995,31.9238868,16408
2015-11-03,31.85,32.0,31.52,31.87,2623336.3320909906,31.8079499,13292
2015-11-04,31.94,32.12,31.84,31.92,2133619.0720987017,31.9682385,10971
2015-11-05,31.95,32.19,31.81,32.1,1966028.7880735123,32.0164807,9844
2015-11-06,31.91,32.03,31.2,31.66,2253547.101914921,31.4640297,11152
2015-11-09,31.52,32.24,31.52,32.15,5221074.412029302,31.9005438,19397
2015-11-10,32.11,32.5,31.94,32.02,3366226.70607891,32.2078933,13254
2015-11-11,32.1,32.18,31.78,31.82,1434116.4374759027,31.9386707,6960
2015-11-12,31.52,31.58,30.49,30.51,5005408.045238401,30.8096476,23114
2015-11-13,30.47,30.63,30.01,30.22,3584212.8261148953,30.2276288,17480
2015-11-16,30.24,30.95,30.1,30.95,2527947.564580388,30.7380624,12762
2015-11-17,31.04,31.12,30.54,30.63,1931057.70466521,30.7575149,9964
2015-11-18,31.05,32.26,31.04,31.85,7770899.627297262,31.8670855,33838
2015-11-19,32.01,32.1,31.72,31.98,3220764.683202673,31.8974314,15611
2015-11-20,32.15,32.38,31.72,31.79,2438259.8637707233,32.0538295,10917
2015-11-23,31.82,32.45,31.82,32.36,2359316.2832540805,32.306712,10373
2015-11-24,32.09,32.45,31.83,32.33,2873540.6760056545,32.2148962,14268
2015-11-25,32.35,32.51,32.24,32.38,1725688.2148824057,32.4039745,8856
