date,open,high,low,close,volume,average,barCount
2015-10-13,69.96,71.03,69.26,70.17,4188647.0,70.333,26696
2015-10-14,70.11,71.06,69.57,70.71,3296332.0,70.593,22285
2015-10-15,70.41,70.92,69.76,70.83,3868239.0,70.461,25860
2015-10-16,70.62,70.84,69.11,69.68,6772236.0,69.571,37365
2015-10-19,69.25,69.47,68.8,69.27,4888457.0,69.077,28261
2015-10-20,68.86,71.19,68.51,70.27,5646623.0,70.23,34358
2015-10-21,70.59,71.9,69.58,69.67,7278888.0,70.468,44632
2015-10-22,67.92,72.83,67.81,70.88,11990187.0,70.775,68393
2015-10-23,71.71,72.43,70.66,71.75,6985357.0,71.586,39566
2015-10-26,71.79,72.3,71.42,71.52,5403221.0,71.788,29842
2015-10-27,70.18,71.08,68.34,70.39,7316431.0,70.352,44892
2015-10-28,70.75,72.11,70.47,71.97,4728421.0,71.533,30337
2015-10-29,71.49,72.57,71.28,71.97,3770699.0,71.945,25448
2015-10-30,72.27,73.28,71.63,72.99,5772960.0,72.555,34334
2015-11-02,73.0,74.64,72.83,74.34,4855333.0,73.894,29427
2015-11-03,74.44,75.32,74.2,74.75,4428526.0,74.859,28219
2015-11-04,75.34,75.93,74.32,74.55,4718772.0,74.9,28407
2015-11-05,74.65,75.56,73.21,74.22,5494088.0,74.197,33620
2015-11-06,73.42,73.84,72.33,73.84,4675263.0,73.155,30563
2015-11-09,73.43,73.73,71.48,71.89,4883882.0,72.141,31815
2015-11-10,71.79,72.58,71.63,72.43,3554294.0,72.077,22069
2015-11-11,72.54,72.85,71.82,71.91,3726081.0,72.189,23096
2015-11-12,70.82,70.99,68.41,68.66,7632265.0,69.407,45119
2015-11-13,68.7,70.13,68.5,69.63,5571233.0,69.356,34531
2015-11-16,69.48,70.62,69.23,70.39,3824464.0,70.01,25214
2015-11-17,70.13,70.36,69.05,69.39,4146262.0,69.592,27458
2015-11-18,69.9,70.45,69.37,70.32,3161209.0,70.012,20642
2015-11-19,69.5,70.11,68.6,70.02,5346699.0,69.502,30258
2015-11-20,70.48,71.21,70.16,71.14,5687875.0,70.928,33557
2015-11-23,70.98,71.9,70.88,71.02,3283417.0,71.27,20742
2015-11-24,70.78,71.71,70.44,71.4,3284468.0,71.26,19959
2015-11-25,71.74,71.89,70.72,71.49,2704805.0,71.52,18219
2015-11-27,71.18,71.53,70.7,71.22,1358198.0,71.113,8373
2015-11-30,71.33,72.79,71.15,72.65,4064186.0,72.348,27105
2015-12-01,72.38,72.64,70.85,71.56,5567179.0,71.53,34813
2015-12-02,71.2,72.13,70.62,71.03,4350306.0,71.301,28681
2015-12-03,71.15,71.22,69.37,69.64,6575128.0,70.014,34757
2015-12-04,69.36,70.03,68.8,69.98,4308165.0,69.56,29050
2015-12-07,68.68,68.73,67.72,68.36,5730400.0,68.195,35825
2015-12-08,66.99,67.16,66.18,66.54,5725912.0,66.649,35807
2015-12-09,66.3,67.02,65.16,65.91,7536436.0,66.106,41688
2015-12-10,65.98,67.09,65.91,66.38,4769735.0,66.567,30862
2015-12-11,65.38,66.1,64.48,65.43,6518096.0,65.368,39970
2015-12-14,65.63,66.18,64.73,66.12,6210267.0,65.492,42319
2015-12-15,65.46,66.96,65.24,66.75,5040983.0,66.262,31674
2015-12-16,66.22,67.88,66.14,67.72,5835977.0,67.056,35220
2015-12-17,67.18,67.51,64.88,64.9,5711158.0,65.921,35815
2015-12-18,64.6,65.87,64.1,65.11,8179344.0,65.089,40067
2015-12-21,65.59,65.82,64.38,65.24,4126689.0,65.193,24718
2015-12-22,66.25,68.79,66.11,68.41,8232683.0,67.831,47508
2015-12-23,69.59,70.49,68.98,69.89,6375934.0,69.769,38625
2015-12-24,69.75,69.9,69.06,69.38,1933772.0,69.377,12384
2015-12-28,69.12,69.18,68.03,68.58,3047695.0,68.548,17764
2015-12-29,69.22,69.57,68.62,69.19,2874462.0,69.041,17715
2015-12-30,68.66,69.63,68.57,68.69,2709178.0,69.082,16348
2015-12-31,68.45,69.1,67.94,67.96,3494738.0,68.322,22260
2016-01-04,66.88,68.09,65.72,67.99,7174917.0,66.938,47265
2016-01-05,68.38,68.44,66.42,67.28,5224389.0,67.063,31908
2016-01-06,65.98,66.85,65.62,66.22,5777393.0,66.245,35521
2016-01-07,65.08,65.53,63.66,63.94,7157511.0,64.443,45092
2016-01-08,64.33,64.53,62.93,63.29,7148722.0,63.633,44783
2016-01-11,63.67,63.7,60.85,61.47,8545598.0,61.786,54248
2016-01-12,62.44,62.5,60.39,61.6,7447403.0,61.119,46770
2016-01-13,62.06,62.76,60.39,60.89,6261023.0,61.48,40938
2016-01-14,61.24,62.97,60.38,62.27,6992823.0,62.004,43949
2016-01-15,59.52,60.09,58.75,59.87,10866274.0,59.527,61925
2016-01-19,60.26,60.54,58.48,59.03,6448677.0,59.423,38686
2016-01-20,58.08,59.38,56.36,58.81,9489127.0,57.825,61680
2016-01-21,59.0,60.42,58.25,59.69,7516449.0,59.455,48314
2016-01-22,61.23,62.56,60.6,60.98,6853954.0,61.289,43427
2016-01-25,58.96,59.35,57.76,57.91,9095817.0,58.534,52919
2016-01-26,58.4,59.66,58.09,59.16,7123409.0,59.031,42669
2016-01-27,58.43,59.89,57.46,58.32,8109972.0,58.623,52991
2016-01-28,62.01,62.45,58.57,61.08,11082966.0,60.378,67930
2016-01-29,61.69,62.29,60.76,62.24,6441451.0,61.632,41757
2016-02-01,61.97,63.08,61.37,62.7,4900266.0,62.418,31230
2016-02-02,61.28,61.55,60.48,60.67,5410870.0,60.97,32591
2016-02-03,61.47,63.6,59.8,63.27,6779630.0,62.168,41162
2016-02-04,63.6,66.99,63.6,65.96,11239780.0,65.631,66594
2016-02-05,65.67,66.76,65.18,66.12,6426325.0,66.082,42750
2016-02-08,65.42,65.64,63.66,64.58,5373221.0,64.63,34538
2016-02-09,63.9,64.41,63.12,63.93,4802141.0,63.847,34016
2016-02-10,64.27,64.38,62.0,62.14,5154211.0,62.811,33927
2016-02-11,60.91,62.31,60.51,61.41,6004241.0,61.222,36284
2016-02-12,61.99,63.47,61.82,63.15,3591453.0,62.829,24132
