date,open,high,low,close,volume,average,barCount
2015-10-12,32.98,33.35,32.88,33.34,1204753.0,33.216,6441
2015-10-13,33.09,33.55,32.9,33.39,2120235.0,33.377,10214
2015-10-14,33.37,33.6,33.21,33.41,1908580.0,33.392,11467
2015-10-15,33.48,33.86,33.44,33.81,2408735.0,33.692,11394
2015-10-16,33.83,34.41,33.79,34.38,1558630.0,34.174,8764
2015-10-19,34.29,34.73,34.1,34.69,1732276.0,34.516,10848
2015-10-20,34.6,34.87,34.48,34.51,2096012.0,34.629,7820
2015-10-21,34.71,34.72,34.13,34.27,1882611.0,34.34,8784
2015-10-22,34.45,35.4,34.35,35.28,2046642.0,34.987,11777
2015-10-23,35.43,35.58,34.84,34.92,3357382.0,35.07,15229
2015-10-26,34.87,34.97,34.44,34.5,2342224.0,34.554,11168
2015-10-27,34.36,34.61,34.29,34.49,2165348.0,34.464,11708
2015-10-28,37.09,37.92,36.85,37.57,5986538.0,37.509,33996
2015-10-29,37.57,38.49,37.4,38.36,2638867.0,38.019,17066
2015-10-30,38.35,38.35,37.27,37.28,2961592.0,37.546,17422
2015-11-02,37.35,37.72,37.35,37.56,2552906.0,37.552,16556
2015-11-03,37.47,37.5,37.1,37.13,1778823.0,37.211,10172
2015-11-04,37.15,37.23,36.72,36.75,1784779.0,36.882,10318
2015-11-05,36.88,37.06,36.66,36.75,1654202.0,36.787,10442
2015-11-06,36.52,36.69,35.95,36.16,2372573.0,36.224,13627
2015-11-09,36.09,36.25,35.61,35.96,1600027.0,35.879,10518
2015-11-10,36.01,36.18,35.73,35.96,2089434.0,35.944,12423
2015-11-11,36.0,36.16,35.73,36.02,2692622.0,35.991,13769
2015-11-12,35.86,35.9,35.09,35.1,1647972.0,35.394,9733
2015-11-13,35.11,35.2,34.54,34.68,1442709.0,34.866,10192
2015-11-16,34.62,35.02,34.4,34.99,1536375.0,34.886,9986
2015-11-17,34.99,35.45,34.89,34.99,1197599.0,35.139,8161
2015-11-18,35.16,36.1,35.04,36.05,1718497.0,35.714,10793
2015-11-19,36.04,36.33,35.9,36.32,2210410.0,36.176,10653
2015-11-20,36.48,37.18,36.4,36.86,1840101.0,36.887,11559
2015-11-23,36.82,37.07,36.8,36.84,1229697.0,36.913,7315
2015-11-24,36.59,36.93,36.4,36.86,978875.0,36.759,6968
2015-11-25,36.99,37.54,36.76,37.32,1105285.0,37.3,7204
2015-11-27,37.32,37.38,37.08,37.34,554825.0,37.253,3677
2015-11-30,37.51,37.58,37.25,37.47,1343520.0,37.429,8345
2015-12-01,37.5,37.76,37.37,37.71,1893749.0,37.524,10940
2015-12-02,37.62,37.79,36.77,36.88,1258819.0,37.208,8360
2015-12-03,36.96,37.0,35.86,35.98,1353212.0,36.214,9353
2015-12-04,36.12,36.73,35.75,36.67,1396687.0,36.481,9757
2015-12-07,36.59,36.76,36.24,36.38,1488205.0,36.456,10340
2015-12-08,36.11,36.5,35.79,36.09,1813998.0,36.058,11019
2015-12-09,35.88,36.34,35.12,35.33,1469236.0,35.563,9566
2015-12-10,35.4,35.51,35.04,35.18,1379984.0,35.292,9035
2015-12-11,34.73,35.43,34.44,34.57,1911147.0,34.845,12042
2015-12-14,34.15,34.75,34.01,34.69,1611055.0,34.425,10414
2015-12-15,35.19,35.87,35.02,35.57,1570698.0,35.543,10616
2015-12-16,35.79,36.36,35.58,36.28,996829.0,35.959,7157
2015-12-17,36.33,36.45,35.38,35.38,1329349.0,35.692,8281
2015-12-18,35.04,35.26,33.95,33.95,2495785.0,34.464,14648
2015-12-21,34.27,34.3,33.5,33.92,1716774.0,33.818,10790
2015-12-22,34.03,34.44,33.78,34.3,958059.0,34.126,6321
2015-12-23,34.57,34.87,34.42,34.87,1351216.0,34.667,7888
2015-12-24,34.88,34.96,34.66,34.74,400379.0,34.818,2665
2015-12-28,34.49,34.75,34.29,34.73,702991.0,34.567,4839
2015-12-29,34.98,35.17,34.76,35.13,718187.0,35.003,4748
2015-12-30,35.09,35.23,34.64,34.64,631713.0,34.836,4263
2015-12-31,34.59,34.92,34.34,34.58,769975.0,34.673,5166
2016-01-04,33.84,34.12,33.34,34.09,2386663.0,33.769,15271
2016-01-05,34.09,34.46,33.92,34.39,1458234.0,34.252,9907
2016-01-06,33.79,33.9,32.68,32.91,2379369.0,33.079,15285
2016-01-07,32.16,32.32,30.99,31.07,2988646.0,31.629,18611
2016-01-08,31.24,31.57,30.64,30.72,1707999.0,31.025,12125
2016-01-11,30.98,31.01,29.66,30.09,2873609.0,30.071,18787
2016-01-12,30.5,30.69,29.84,30.33,1944420.0,30.209,13480
2016-01-13,30.51,30.57,29.05,29.09,1592895.0,29.648,11546
2016-01-14,29.31,29.82,28.52,29.47,2510355.0,29.277,17331
2016-01-15,28.61,29.17,28.52,28.94,4188822.0,28.923,22091
2016-01-19,29.38,29.4,28.39,28.56,2534996.0,28.699,15805
2016-01-20,28.06,28.39,26.99,28.01,3058919.0,27.599,20190
2016-01-21,28.12,28.97,27.73,28.35,1863584.0,28.483,13043
2016-01-22,28.93,29.1,28.49,28.75,3010996.0,28.795,18498
2016-01-25,28.54,28.64,27.27,27.3,3595723.0,27.587,21975
2016-01-26,27.41,28.21,27.41,28.0,4942642.0,27.847,20235
2016-01-27,27.8,28.23,27.49,27.74,2892395.0,27.85,18651
2016-01-28,28.03,28.33,27.08,27.1,2598628.0,27.388,16984
2016-01-29,27.46,28.08,27.36,27.97,3872482.0,27.812,20139
2016-02-01,27.76,27.87,27.47,27.53,2825786.0,27.657,17491
2016-02-02,27.26,27.33,26.24,26.29,3986256.0,26.639,23186
2016-02-03,27.56,28.61,25.41,25.68,8317721.0,25.935,48662
2016-02-04,25.68,26.8,25.34,26.36,5090052.0,26.321,32291
2016-02-05,26.23,26.34,24.81,24.87,4607605.0,25.226,24378
2016-02-08,24.6,24.69,22.73,23.36,5597282.0,23.331,32378
2016-02-09,22.9,23.71,22.85,23.32,4178827.0,23.338,25002
2016-02-10,23.45,24.42,23.36,24.01,4939261.0,23.957,27435
2016-02-11,23.88,23.96,23.36,23.53,4839248.0,23.612,27231
2016-02-12,23.98,24.43,23.8,24.34,3682789.0,24.188,18568
2016-02-16,24.78,24.86,24.24,24.32,3316025.0,24.427,16385
2016-02-17,24.65,25.91,24.45,25.84,4442297.0,25.581,24722
2016-02-18,25.84,25.94,25.05,25.25,3784093.0,25.391,22332
2016-02-19,25.24,25.33,24.55,25.06,3039464.0,24.976,16517
2016-02-22,25.9,26.44,25.37,25.79,2665804.0,25.818,16431
2016-02-23,25.58,25.83,25.45,25.8,2993975.0,25.707,16020
2016-02-24,25.46,25.53,24.69,25.27,2972988.0,25.004,17726
2016-02-25,25.41,25.72,25.09,25.71,2129498.0,25.466,11934
2016-02-26,25.86,26.4,25.81,26.2,2283083.0,26.223,13798
2016-02-29,26.18,26.32,25.39,25.41,2630403.0,25.724,14462
2016-03-01,25.7,26.73,25.2,26.7,3561493.0,26.185,18683
2016-03-02,26.48,26.79,25.67,26.43,3436740.0,26.234,18645
2016-03-03,26.39,27.03,26.26,27.01,2928547.0,26.674,13157
2016-03-04,27.03,28.02,26.98,27.89,3733275.0,27.692,19525
2016-03-07,27.67,28.0,27.39,27.95,3017518.0,27.744,17621
2016-03-08,27.66,27.71,26.67,26.72,2811512.0,26.901,16986
2016-03-09,26.89,27.02,26.03,26.78,3547127.0,26.678,15730
2016-03-10,26.98,27.32,26.18,26.54,1805091.0,26.606,12065
2016-03-11,27.02,27.78,26.74,27.72,2247152.0,27.388,11881
2016-03-14,27.64,28.07,27.51,27.89,2583657.0,27.866,14687
2016-03-15,27.53,27.63,26.61,26.94,2771221.0,26.895,16204
2016-03-16,26.72,27.64,26.62,27.25,2888440.0,27.254,15384
2016-03-17,27.28,27.94,27.16,27.82,3016012.0,27.6,16108
2016-03-18,28.0,28.7,27.89,28.62,3919826.0,28.452,19553
2016-03-21,28.54,29.42,28.54,28.86,2974044.0,29.045,19248
2016-03-22,28.69,29.69,28.63,29.51,3098556.0,29.401,18480
2016-03-23,29.4,29.53,28.43,28.5,2708793.0,28.657,13840
2016-03-24,28.0,28.2,27.76,28.04,3257492.0,27.963,16444
2016-03-28,28.19,28.49,28.06,28.14,2122805.0,28.254,11423
2016-03-29,28.03,28.64,27.91,28.58,2145534.0,28.349,12112
2016-03-30,28.75,29.22,28.44,28.69,2206441.0,28.772,11090
2016-03-31,28.57,29.03,28.51,28.82,1819595.0,28.829,9131
2016-04-01,28.54,29.19,28.49,29.11,1617121.0,28.947,8907
2016-04-04,29.15,29.61,29.02,29.24,2131989.0,29.258,12208
2016-04-05,28.92,29.21,28.83,28.89,2014925.0,28.996,12021
2016-04-06,28.9,28.98,28.4,28.89,2092216.0,28.817,12557
2016-04-07,28.7,28.92,27.92,28.04,4112809.0,28.209,20420
2016-04-08,28.29,29.04,28.18,28.66,2091853.0,28.7,12901
