date,open,high,low,close,volume,average,barCount
2015-10-13,81.13,81.96,80.98,81.14,1158880.0,81.443,9134
2015-10-14,81.18,81.48,80.33,80.48,1186063.0,80.9,7294
2015-10-15,80.82,81.35,80.62,81.32,1138007.0,81.046,7515
2015-10-16,81.68,81.75,81.14,81.66,945744.0,81.505,6290
2015-10-19,81.52,82.61,81.11,82.56,941965.0,82.172,6976
2015-10-20,82.57,83.25,82.46,83.17,1459955.0,82.991,10058
2015-10-21,83.57,84.26,83.01,83.13,3274527.0,83.753,14729
2015-10-22,83.76,86.8,83.5,86.79,4691228.0,85.702,26207
2015-10-23,87.38,87.38,84.8,85.32,2837795.0,85.531,18537
2015-10-26,85.42,86.5,85.12,86.37,1656821.0,86.026,11139
2015-10-27,86.19,86.33,85.37,85.78,1368949.0,85.828,9320
2015-10-28,86.13,86.3,84.53,85.99,1238900.0,85.741,9362
2015-10-29,85.6,85.92,85.11,85.67,893092.0,85.55,6566
2015-10-30,85.87,85.95,85.19,85.46,1181167.0,85.483,8575
2015-11-02,85.57,87.96,85.48,87.75,1612187.0,87.134,10954
2015-11-03,87.49,88.0,87.12,87.64,972565.0,87.564,7603
2015-11-04,87.8,88.18,87.14,87.34,867261.0,87.554,6615
2015-11-05,85.68,87.08,85.17,86.54,1759140.0,86.308,11129
2015-11-06,86.71,86.71,83.97,84.72,1843870.0,84.747,13330
2015-11-09,84.37,84.58,83.54,83.94,1043013.0,83.958,7047
2015-11-10,83.83,84.42,83.58,84.33,1020152.0,84.148,6954
2015-11-11,84.43,85.08,84.21,84.63,723248.0,84.651,5533
2015-11-12,84.2,84.84,83.93,84.15,722879.0,84.389,5706
2015-11-13,84.32,85.3,83.58,83.66,1884636.0,84.282,11347
2015-11-16,83.66,84.63,83.24,84.58,1043098.0,84.18,7375
2015-11-17,84.41,85.6,84.18,84.85,988120.0,85.027,7864
2015-11-18,85.01,85.94,84.74,85.87,1252809.0,85.421,9720
2015-11-19,85.95,86.16,85.33,86.15,938308.0,85.824,7262
2015-11-20,86.42,87.35,86.2,87.05,1948238.0,87.053,11881
2015-11-23,87.17,87.78,86.95,87.4,1473314.0,87.363,10539
2015-11-24,87.0,87.17,86.22,86.73,1388763.0,86.716,6679
2015-11-25,86.68,86.96,86.18,86.35,687781.0,86.386,5283
2015-11-27,86.41,86.68,85.86,86.07,617341.0,86.222,4636
2015-11-30,86.18,86.27,85.57,85.91,1523652.0,85.909,9810
2015-12-01,86.18,87.33,86.11,87.28,1259064.0,87.033,8464
2015-12-02,87.07,87.45,85.66,85.83,1070879.0,86.462,7264
2015-12-03,85.6,86.28,84.36,84.76,1974231.0,84.808,13068
2015-12-04,85.06,85.8,84.68,85.11,2156273.0,85.054,13924
2015-12-07,85.08,86.68,84.85,86.44,2348742.0,86.198,16945
2015-12-08,86.11,86.7,85.43,85.97,1960922.0,86.179,14422
2015-12-09,85.48,86.64,85.31,85.4,2133958.0,85.716,14375
2015-12-10,85.32,85.85,85.01,85.42,1855532.0,85.438,14470
2015-12-11,84.47,85.17,84.16,84.82,2218267.0,84.615,16991
2015-12-14,84.8,85.94,84.5,85.2,3172002.0,85.36,18023
2015-12-15,85.78,86.16,85.39,85.8,1906974.0,85.808,11682
2015-12-16,85.51,86.23,85.0,85.97,2208055.0,85.72,17040
2015-12-17,86.22,86.42,85.27,85.66,1614931.0,85.89,9275
2015-12-18,85.43,86.13,84.78,84.82,2839250.0,85.353,15447
2015-12-21,85.33,86.0,85.03,85.93,1756635.0,85.499,12290
2015-12-22,86.27,87.27,86.05,87.04,2280003.0,86.642,12554
2015-12-23,87.23,87.56,86.83,87.3,1559183.0,87.269,9529
2015-12-24,87.15,87.44,86.83,86.94,530085.0,87.086,3860
2015-12-28,86.65,87.26,86.42,87.08,633741.0,86.915,4935
2015-12-29,87.52,88.15,87.28,88.0,823357.0,87.882,6123
2015-12-30,88.03,88.03,86.94,87.02,611163.0,87.382,4785
2015-12-31,86.88,87.22,86.42,86.45,735592.0,86.855,5736
2016-01-04,85.64,85.93,84.83,85.39,1674219.0,85.274,12403
2016-01-05,85.53,87.18,85.53,87.14,1704093.0,86.628,12783
2016-01-06,86.5,87.18,86.16,86.41,1734368.0,86.623,11312
2016-01-07,85.43,85.78,83.66,84.26,2414098.0,84.746,15728
2016-01-08,84.78,86.61,82.86,83.08,1559916.0,83.647,11988
2016-01-11,83.62,84.22,83.23,83.69,1108823.0,83.743,7879
2016-01-12,84.21,84.61,83.55,84.06,1461624.0,83.949,8643
2016-01-13,84.47,85.79,82.02,82.78,2580141.0,83.939,17906
2016-01-14,83.03,84.67,82.3,83.96,1465297.0,83.762,10311
2016-01-15,82.23,83.07,78.41,79.12,5844212.0,80.139,27739
2016-01-19,79.92,81.39,79.24,79.5,3289024.0,80.012,24273
2016-01-20,79.17,79.5,75.71,78.22,3898185.0,77.642,26480
2016-01-21,78.45,80.06,78.03,79.13,2030281.0,79.258,13185
2016-01-22,80.39,81.95,79.85,81.62,1747681.0,81.174,12296
2016-01-25,81.58,82.18,81.13,81.19,1434272.0,81.536,11531
2016-01-26,82.54,84.39,82.2,83.61,2344052.0,83.666,16954
2016-01-27,83.38,84.53,82.56,83.19,1510201.0,83.488,12166
2016-01-28,83.5,85.97,83.5,84.81,2318320.0,85.214,15279
2016-01-29,85.5,86.3,84.97,86.2,2310037.0,85.748,14167
2016-02-01,85.62,87.25,85.55,86.82,1973886.0,86.84,13526
2016-02-02,86.23,86.85,85.67,86.21,1656467.0,86.238,12242
2016-02-03,86.31,86.93,84.42,86.77,1937389.0,85.703,14392
2016-02-04,86.5,86.85,85.65,86.22,1378875.0,86.27,10266
2016-02-05,85.72,86.13,83.47,84.06,1775912.0,84.095,12119
2016-02-08,83.3,83.42,80.05,81.7,2085148.0,81.348,14769
2016-02-09,80.75,82.72,80.3,82.2,1917353.0,81.533,15491
2016-02-10,82.45,83.21,81.66,81.83,1142916.0,82.512,9000
2016-02-11,80.09,82.03,79.99,81.51,1708130.0,81.302,11133
2016-02-12,82.85,83.23,82.14,83.13,1533927.0,82.704,11372
2016-02-16,84.18,84.37,83.46,84.0,1000644.0,83.865,7194
2016-02-17,84.17,84.99,83.75,84.68,1624777.0,84.563,9615
2016-02-18,84.72,86.88,84.42,86.02,1885716.0,85.816,13075
2016-02-19,85.6,85.9,84.74,85.46,1661474.0,85.187,11792
2016-02-22,86.12,87.5,85.75,86.76,1725482.0,86.783,11317
2016-02-23,86.28,86.68,85.84,86.35,1669405.0,86.32,9182
2016-02-24,85.91,86.92,85.62,86.3,1513873.0,86.292,9358
2016-02-25,86.95,88.26,86.03,86.74,2636560.0,86.58,14940
2016-02-26,85.29,86.4,84.57,85.79,2246029.0,85.438,14332
2016-02-29,85.83,87.23,85.71,86.5,1472846.0,86.785,9944
2016-03-01,87.0,87.76,86.51,87.74,1488227.0,87.304,10212
2016-03-02,87.6,88.46,87.26,88.41,1238742.0,88.099,8310
2016-03-03,88.45,88.45,87.12,87.89,2023323.0,87.658,11612
2016-03-04,87.64,87.9,87.05,87.25,1757996.0,87.451,11911
2016-03-07,86.8,87.12,85.86,86.27,1548506.0,86.383,11186
2016-03-08,85.91,86.5,85.37,85.48,2040710.0,85.778,13881
2016-03-09,85.72,86.0,84.67,85.22,2528099.0,85.207,16788
2016-03-10,86.52,86.76,84.5,85.0,1927608.0,85.056,13565
2016-03-11,85.74,85.86,84.67,85.78,2471279.0,85.456,17055
2016-03-14,85.32,85.64,84.39,85.0,2497013.0,84.898,19731
2016-03-15,84.61,85.81,84.33,85.3,2478432.0,85.331,17618
2016-03-16,84.33,85.12,84.06,85.01,2602204.0,84.736,17560
2016-03-17,85.26,86.8,85.2,85.98,3359217.0,86.046,19758
2016-03-18,85.96,86.79,85.89,86.42,2742737.0,86.277,14957
2016-03-21,86.14,86.24,85.52,85.92,1627411.0,85.973,9094
2016-03-22,85.95,86.27,85.7,86.0,1555306.0,86.061,8737
2016-03-23,86.1,86.21,85.6,85.66,1266664.0,85.903,7167
2016-03-24,85.63,85.72,85.0,85.58,1722063.0,85.469,10493
2016-03-28,85.7,86.29,85.53,85.69,1011324.0,85.928,6619
2016-03-29,85.75,86.74,85.7,86.45,1752883.0,86.352,12079
2016-03-30,86.78,87.59,86.75,86.93,2000690.0,87.147,12970
2016-03-31,86.97,87.35,86.48,86.5,2462742.0,86.818,12209
2016-04-01,86.13,87.39,85.98,87.11,4154136.0,86.548,17662
2016-04-04,87.35,87.5,86.95,87.02,1531892.0,87.205,11974
2016-04-05,86.63,86.99,85.98,86.15,955037.0,86.346,6929
2016-04-06,86.03,87.16,85.77,86.99,1251122.0,86.763,8849
2016-04-07,86.73,87.04,86.29,86.77,1465200.0,86.786,11339
2016-04-08,87.22,88.21,86.82,88.05,1568012.0,87.915,10704
2016-04-11,88.31,88.82,87.33,87.51,1362119.0,87.881,9536
2016-04-12,87.6,88.03,87.08,87.68,787437.0,87.645,6253
2016-04-13,88.02,88.17,87.64,87.9,1050716.0,87.84,7518
2016-04-14,87.89,87.89,87.0,87.16,1111290.0,87.269,7105
2016-04-15,87.13,87.49,86.79,87.28,983823.0,87.117,6345
2016-04-18,87.19,87.74,87.05,87.58,793057.0,87.444,5318
2016-04-19,87.7,88.21,87.39,88.09,1216664.0,87.919,8326
2016-04-20,88.05,88.36,87.1,87.6,1703031.0,87.673,11903
2016-04-21,87.32,87.41,85.86,85.89,2535334.0,86.728,15026
2016-04-22,86.12,87.85,86.0,87.75,2296429.0,87.429,15330
2016-04-25,87.64,87.64,86.65,87.18,1440873.0,87.054,10727
2016-04-26,87.39,87.96,87.14,87.56,1016330.0,87.637,7618
2016-04-27,87.37,87.95,86.91,87.74,1240767.0,87.462,8797
2016-04-28,87.11,87.99,86.92,87.14,1142565.0,87.39,8006
2016-04-29,86.93,87.3,86.13,86.88,1215805.0,86.687,8719
2016-05-02,87.07,87.73,86.97,87.53,1098113.0,87.463,7764
2016-05-03,86.92,87.04,85.59,86.29,1706915.0,86.083,11734
2016-05-04,85.98,88.2,85.93,87.91,1341965.0,87.635,9303
2016-05-05,87.88,88.53,87.84,87.94,1251540.0,88.119,8135
2016-05-06,87.86,88.51,87.14,88.34,1681816.0,88.053,9676
2016-05-09,88.54,89.69,88.25,89.47,2108786.0,89.229,11310
2016-05-10,90.0,91.0,89.35,90.58,2732913.0,90.51,17398
2016-05-11,90.4,91.18,90.01,90.12,2107185.0,90.369,13664
2016-05-12,90.44,90.69,90.01,90.46,1308050.0,90.324,8459
2016-05-13,90.24,90.67,89.69,89.85,1993932.0,90.058,10643
2016-05-16,89.79,90.62,89.6,90.35,1146363.0,90.216,7440
2016-05-17,90.19,90.59,89.61,90.12,2491117.0,90.059,14040
2016-05-18,90.06,91.1,89.4,90.49,3247079.0,90.311,21236
2016-05-19,89.62,89.93,89.13,89.53,1507637.0,89.454,9328
2016-05-20,89.84,90.07,89.32,89.92,1250733.0,89.707,7533
2016-05-23,90.14,90.66,89.69,90.36,1541642.0,90.391,10349
2016-05-24,90.63,91.33,90.53,91.29,1194197.0,90.99,8347
2016-05-25,91.49,91.97,90.87,91.08,1217615.0,91.12,8901
2016-05-26,91.41,91.41,90.57,90.81,791340.0,90.856,5637
2016-05-27,90.91,91.25,90.72,90.8,919643.0,90.96,6448
2016-05-31,90.83,90.98,90.09,90.81,1328330.0,90.586,9530
2016-06-01,90.45,91.17,90.33,90.8,1597027.0,90.646,10197
2016-06-02,90.66,91.8,90.52,91.8,907551.0,91.319,6549
2016-06-03,91.44,92.89,91.44,92.76,1667713.0,92.451,11171
2016-06-06,92.8,93.41,92.64,93.04,1650595.0,93.094,11465
2016-06-07,93.06,94.5,93.01,94.02,1655921.0,94.057,12619
2016-06-08,94.09,94.75,93.73,93.99,1142369.0,93.959,7683
2016-06-09,93.91,94.6,93.52,94.42,1379511.0,94.343,9791
2016-06-10,94.11,94.45,93.63,94.13,1359366.0,94.091,11129
2016-06-13,94.11,94.73,94.03,94.5,1763578.0,94.449,13424
2016-06-14,94.29,94.64,93.48,93.66,2086557.0,93.897,13804
2016-06-15,93.37,94.15,92.68,93.96,1704333.0,93.492,11714
2016-06-16,93.71,94.7,93.6,94.65,1759604.0,94.213,12844
2016-06-17,94.36,94.59,93.82,94.41,1377952.0,94.311,8864
2016-06-20,95.01,95.42,94.29,94.41,1105428.0,94.669,8525
2016-06-21,94.6,95.52,94.6,95.37,1314549.0,95.285,9410
2016-06-22,95.47,95.64,95.01,95.24,1527467.0,95.222,11365
2016-06-23,95.86,96.41,95.53,96.08,1387911.0,95.97,9606
2016-06-24,94.33,97.34,94.0,96.44,5658266.0,96.402,32262
2016-06-27,96.17,97.19,95.8,97.18,3514443.0,96.53,21840
2016-06-28,97.51,99.0,97.1,99.0,2632843.0,98.305,15652
2016-06-29,99.41,100.56,99.13,100.33,3259277.0,99.912,16561
2016-06-30,100.27,101.44,99.9,101.43,2086244.0,100.766,13955
2016-07-01,101.7,102.18,100.43,101.18,2241579.0,101.224,15373
2016-07-05,101.13,102.64,101.0,102.56,1553212.0,102.008,11471
2016-07-06,102.38,102.82,101.23,101.92,1945312.0,101.775,14003
2016-07-07,101.8,102.12,101.14,101.51,1578884.0,101.611,10948
2016-07-08,101.89,102.39,101.15,102.2,1716674.0,101.693,12438
2016-07-11,101.69,101.81,99.85,100.54,2491466.0,100.528,18540
2016-07-12,100.27,100.54,99.03,100.15,3476536.0,99.719,24410
2016-07-13,100.11,100.71,99.19,99.8,1873913.0,99.767,13067
2016-07-14,100.2,100.2,99.0,99.47,1193327.0,99.485,8466
2016-07-15,99.73,100.4,99.51,100.11,1254272.0,99.958,9069
2016-07-18,99.94,100.33,99.34,99.39,988336.0,99.697,7150
2016-07-19,98.57,99.66,97.25,99.66,1454030.0,98.971,10352
2016-07-20,99.56,99.78,98.4,98.49,1619486.0,98.78,10961
2016-07-21,98.14,98.56,97.51,98.27,2027596.0,98.128,14505
2016-07-22,98.2,99.55,98.0,98.87,1976874.0,98.901,13212
2016-07-25,98.85,98.87,96.86,97.32,1792821.0,97.527,12388
2016-07-26,97.34,97.58,96.23,96.74,1539996.0,96.767,10310
2016-07-27,96.59,96.71,95.86,96.07,1434393.0,96.233,9723
2016-07-28,96.16,96.76,95.85,96.57,1462869.0,96.4,8831
2016-07-29,96.65,97.5,96.59,97.03,1335607.0,97.101,9549
2016-08-01,96.91,97.75,96.83,97.74,1430141.0,97.394,9843
2016-08-02,97.47,97.71,96.72,96.86,1115113.0,96.918,7978
2016-08-03,96.75,96.96,95.84,96.11,1044582.0,96.18,7233
2016-08-04,96.18,97.01,96.0,96.87,1008480.0,96.741,6646
2016-08-05,97.13,97.16,95.98,96.22,967013.0,96.359,6338
2016-08-08,96.23,96.6,95.75,95.9,607302.0,96.127,4788
2016-08-09,96.01,96.23,95.52,95.82,1237332.0,95.811,8680
2016-08-10,95.8,96.36,95.8,96.17,959035.0,96.153,6982
2016-08-11,96.26,96.55,95.78,96.27,822749.0,96.186,5527
2016-08-12,96.33,96.99,96.18,96.52,792199.0,96.62,6014
2016-08-15,96.84,97.0,96.19,96.21,876839.0,96.436,6077
2016-08-16,95.94,95.94,94.46,94.8,1194430.0,95.034,7681
2016-08-17,95.03,95.08,94.14,94.58,1299695.0,94.561,8847
2016-08-18,94.56,94.85,93.91,94.3,1007294.0,94.177,7137
2016-08-19,94.15,94.15,92.69,93.37,1491640.0,93.233,10809
2016-08-22,93.5,93.92,92.98,93.71,1298682.0,93.688,9546
2016-08-23,93.88,94.29,93.65,93.71,976529.0,93.909,6870
2016-08-24,93.82,95.03,93.82,94.77,1696949.0,94.683,10599
2016-08-25,94.88,95.39,94.32,94.49,1463642.0,94.835,8115
2016-08-26,94.61,94.93,92.97,93.26,1798863.0,93.529,9971
2016-08-29,93.56,94.0,93.52,93.73,1210770.0,93.765,7574
2016-08-30,93.85,94.32,93.26,94.19,1275521.0,93.956,8564
2016-08-31,94.01,95.0,93.96,94.77,1518751.0,94.585,10151
2016-09-01,94.7,94.91,94.35,94.75,1109507.0,94.611,7466
2016-09-02,95.25,96.17,95.23,96.06,1799083.0,95.864,7879
2016-09-06,97.0,98.06,96.75,98.03,2055946.0,97.574,13519
2016-09-07,97.75,99.0,97.6,98.85,3879856.0,98.391,11102
2016-09-08,98.6,98.74,97.62,97.66,1253143.0,98.107,9212
2016-09-09,96.95,97.06,93.29,93.31,2634296.0,94.24,17465
2016-09-12,93.02,94.21,92.54,93.93,2217744.0,93.496,11934
2016-09-13,94.11,94.26,90.97,91.87,3301560.0,91.828,17361
2016-09-14,91.96,91.96,91.01,91.39,1423207.0,91.48,7965
2016-09-15,91.38,92.1,91.05,91.46,2189546.0,91.359,11522
2016-09-16,91.19,91.27,89.82,90.37,2624852.0,90.382,12776
2016-09-19,90.51,92.05,90.37,91.8,1710144.0,91.419,11066
2016-09-20,92.37,92.47,91.56,91.57,1766300.0,92.025,9005
2016-09-21,91.53,93.5,91.08,93.44,2409800.0,92.478,12592
2016-09-22,94.13,95.3,93.85,94.83,2911133.0,94.793,16089
2016-09-23,94.2,95.6,93.97,95.18,1893454.0,95.1,11234
2016-09-26,94.83,95.84,94.65,95.61,1261694.0,95.422,8295
2016-09-27,95.93,96.1,94.97,94.98,1282118.0,95.591,7529
2016-09-28,95.09,95.36,94.36,94.37,1697710.0,94.613,11298
2016-09-29,94.46,94.5,93.2,94.01,1744233.0,94.014,10729
2016-09-30,94.46,94.87,93.73,94.21,1761287.0,94.303,10797
2016-10-03,93.78,94.13,93.04,93.42,1796927.0,93.569,11032
2016-10-04,93.59,93.59,90.54,90.86,2485206.0,91.231,16486
2016-10-05,91.23,91.51,88.4,89.06,3109441.0,89.151,19131
2016-10-06,88.9,89.79,88.22,88.84,1906317.0,89.175,14255
2016-10-07,89.14,89.98,87.96,88.3,1147440.0,88.486,8718
2016-10-10,88.31,89.0,88.1,88.7,745908.0,88.624,5531
2016-10-11,88.61,89.38,88.43,89.0,1861576.0,89.008,12576
2016-10-12,88.83,91.82,88.83,91.45,2498985.0,90.725,12772
2016-10-13,91.35,92.1,91.16,91.82,1492629.0,91.699,10708
2016-10-14,91.94,92.98,91.82,92.03,1752364.0,92.37,9594
2016-10-17,92.28,92.79,91.83,91.99,1006887.0,92.049,5958
2016-10-18,92.49,92.8,91.6,91.82,1849239.0,92.016,9688
2016-10-19,92.15,92.36,90.64,91.71,1779676.0,91.391,12440
2016-10-20,91.7,91.81,90.8,91.54,1815294.0,91.344,10683
2016-10-21,90.59,95.09,90.57,94.92,3443922.0,93.813,22963
2016-10-24,95.54,95.84,94.2,95.14,3044997.0,94.878,22343
2016-10-25,94.93,95.37,93.6,93.94,2633960.0,94.349,17296
2016-10-26,93.42,94.27,92.11,92.53,2014081.0,92.518,12433
2016-10-27,92.7,92.7,90.71,90.78,1466045.0,91.45,10599
2016-10-28,90.97,91.71,90.83,91.22,1128233.0,91.308,8330
2016-10-31,91.7,91.93,90.6,90.99,2025578.0,91.181,13411
2016-11-01,91.33,91.59,89.5,89.94,2434990.0,90.264,16346
2016-11-02,87.94,88.55,87.51,87.9,5198143.0,88.103,32851
2016-11-03,88.14,88.38,87.53,87.67,1639871.0,87.924,12061
2016-11-04,88.02,88.19,87.46,87.81,2195359.0,87.989,13839
2016-11-07,89.09,89.53,88.35,89.04,4588550.0,88.702,27230
2016-11-08,89.23,89.93,89.23,89.8,3296299.0,89.674,19202
2016-11-09,88.5,88.74,85.27,85.73,4789619.0,86.505,33549
2016-11-10,85.47,85.47,82.08,82.9,6192365.0,83.109,37218
2016-11-11,83.03,84.0,81.69,82.25,5789892.0,82.138,25930
2016-11-14,82.63,82.66,79.38,81.99,5744804.0,80.733,36304
2016-11-15,82.17,83.1,81.9,82.79,4106501.0,82.437,26738
2016-11-16,82.9,85.26,82.9,85.09,4074273.0,84.316,27992
2016-11-17,85.01,85.83,84.51,85.11,3008669.0,85.145,20680
2016-11-18,85.1,85.83,84.73,85.0,1820588.0,85.211,11787
2016-11-21,85.21,85.41,84.1,84.55,1924335.0,84.42,12777
2016-11-22,84.99,85.89,84.38,85.42,1791117.0,85.259,11411
2016-11-23,84.91,85.27,83.76,84.16,1778731.0,84.148,11426
2016-11-25,84.23,85.09,84.12,84.77,505372.0,84.518,3966
2016-11-28,84.7,85.33,83.82,84.35,2528450.0,84.311,15342
2016-11-29,84.45,85.54,83.9,85.23,1868802.0,84.907,13567
2016-11-30,85.01,85.07,83.45,83.46,2599682.0,83.797,15446
2016-12-01,83.19,83.33,80.82,81.53,2448278.0,81.631,16973
2016-12-02,82.1,83.13,81.33,81.88,2132128.0,81.891,14805
2016-12-05,81.78,83.28,81.47,83.26,1670140.0,82.715,12490
2016-12-06,84.05,84.66,83.26,83.44,2807705.0,83.97,16276
2016-12-07,83.72,84.85,83.39,84.74,2003457.0,84.249,12109
2016-12-08,84.95,85.37,84.42,85.0,1644735.0,84.998,11474
2016-12-09,85.16,85.65,84.8,85.57,1466452.0,85.365,9743
2016-12-12,85.51,87.4,85.04,86.85,2280679.0,86.705,14789
2016-12-13,87.23,88.1,87.04,87.96,1802194.0,87.757,13777
2016-12-14,87.1,87.45,86.05,86.21,2400939.0,86.548,16231
2016-12-15,86.1,86.61,85.33,85.89,1669025.0,86.06,12105
2016-12-16,86.39,86.5,85.32,85.7,2310218.0,85.839,13217
2016-12-19,85.94,87.46,85.71,87.26,976572.0,86.982,7240
2016-12-20,87.26,87.76,87.0,87.57,883636.0,87.471,6392
2016-12-21,87.61,88.25,87.11,87.13,1145469.0,87.662,8672
2016-12-22,87.02,87.5,86.29,87.13,943807.0,87.073,6983
2016-12-23,87.4,87.82,86.97,87.24,378109.0,87.279,2574
2016-12-27,87.44,87.96,87.2,87.53,590722.0,87.601,4255
2016-12-28,87.69,87.88,86.68,86.77,829609.0,86.931,6197
2016-12-29,86.99,87.29,86.54,87.01,1282706.0,87.052,9430
2016-12-30,87.13,87.14,86.4,86.77,977229.0,86.766,7322
2017-01-03,87.25,87.62,86.5,86.8,1946185.0,86.878,12967
2017-01-04,87.07,87.51,87.02,87.32,1546810.0,87.27,10830
2017-01-05,87.24,87.51,86.78,87.24,1978165.0,87.137,10806
2017-01-06,87.24,87.33,85.45,85.5,2090852.0,86.084,14248
2017-01-09,85.61,86.0,84.59,85.73,1651773.0,85.451,12253
2017-01-10,85.53,85.69,83.96,84.36,1771792.0,84.367,11509
2017-01-11,84.45,85.61,84.22,85.2,1289481.0,85.03,8574
2017-01-12,85.11,85.43,84.63,85.18,1087466.0,85.105,7789
2017-01-13,85.2,85.98,85.16,85.68,948048.0,85.697,6346
2017-01-17,85.63,87.5,85.59,87.36,1420368.0,87.043,9253
2017-01-18,87.39,88.27,87.06,87.2,915180.0,87.45,7114
2017-01-19,87.06,87.25,85.66,85.8,1431043.0,85.995,9562
2017-01-20,86.11,86.89,86.09,86.82,1386656.0,86.611,9783
2017-01-23,86.9,87.36,86.83,87.06,1141355.0,87.141,7718
2017-01-24,87.12,87.69,86.8,87.66,1531945.0,87.213,10405
2017-01-25,88.03,88.14,86.8,87.18,1460324.0,87.09,10169
2017-01-26,88.06,90.14,87.79,88.01,1789284.0,88.353,13626
2017-01-27,88.16,88.54,86.68,86.85,1222058.0,87.08,9116
2017-01-30,86.94,87.09,86.22,86.76,1079650.0,86.657,8122
2017-01-31,87.34,87.86,86.84,87.83,1642473.0,87.578,11365
2017-02-01,88.28,88.79,86.63,86.65,1831152.0,87.287,11221
2017-02-02,86.71,87.88,86.5,87.77,1489213.0,87.497,9092
2017-02-03,88.34,89.13,88.12,88.74,1629095.0,88.813,10643
2017-02-06,88.72,88.72,86.94,87.04,1310533.0,87.241,8347
2017-02-07,87.29,87.55,86.72,87.42,833936.0,87.221,5449
2017-02-08,87.5,88.27,87.37,87.66,816960.0,87.826,5449
2017-02-09,87.73,88.0,87.36,87.78,768075.0,87.67,5833
2017-02-10,87.53,87.71,86.93,87.56,939999.0,87.345,7210
2017-02-13,87.94,90.23,87.92,90.22,1793673.0,89.506,11829
2017-02-14,90.03,90.34,89.17,90.25,1590075.0,89.767,11884
2017-02-15,89.62,90.17,89.04,90.04,1271178.0,89.778,9401
2017-02-16,90.1,90.97,90.1,90.5,1217003.0,90.507,8378
2017-02-17,90.55,91.35,88.54,89.23,2775387.0,89.652,19572
2017-02-21,89.21,90.11,88.83,90.0,2110271.0,89.617,15049
2017-02-22,90.35,90.65,89.78,90.58,1472575.0,90.265,9315
2017-02-23,90.9,92.11,90.64,91.26,2041593.0,91.323,11280
2017-02-24,90.89,92.66,90.54,92.59,1722018.0,92.106,11742
2017-02-27,92.66,93.11,91.88,92.57,1199348.0,92.473,8566
2017-02-28,92.51,93.7,92.22,93.53,1247965.0,93.325,9371
2017-03-01,93.43,93.43,91.91,93.01,1451864.0,92.885,10784
2017-03-02,93.15,93.66,92.56,92.69,1022836.0,92.932,7144
2017-03-03,92.45,92.77,90.85,91.75,2111017.0,91.534,13732
2017-03-06,91.59,92.19,91.29,91.96,1671646.0,91.65,10804
2017-03-07,91.9,92.77,91.24,91.5,1120815.0,91.726,7454
2017-03-08,92.23,92.39,90.6,90.61,1727511.0,91.258,11527
2017-03-09,90.73,90.88,90.02,90.51,1731284.0,90.511,12024
2017-03-10,91.05,91.39,89.88,90.28,1649178.0,90.358,12768
2017-03-13,90.41,90.79,90.06,90.6,2106236.0,90.527,10356
2017-03-14,90.34,90.57,89.64,89.65,1498239.0,89.971,8504
2017-03-15,88.86,90.34,88.71,89.92,2452010.0,89.555,14552
2017-03-16,89.92,90.2,89.04,89.62,2205041.0,89.547,12670
2017-03-17,89.6,90.32,89.53,89.8,1726483.0,89.887,8785
2017-03-20,89.8,91.07,89.78,90.89,1804537.0,90.383,10932
2017-03-21,91.18,92.06,90.62,90.7,2724126.0,91.129,16863
2017-03-22,90.97,91.81,90.44,91.72,3281666.0,91.12,16869
2017-03-23,91.66,93.27,91.44,93.0,1971966.0,92.798,12496
2017-03-24,93.09,93.95,92.78,93.68,1634623.0,93.335,12753
2017-03-27,93.48,94.06,93.3,93.96,2018787.0,93.781,12771
2017-03-28,93.99,94.77,93.92,94.58,2597727.0,94.396,17788
2017-03-29,94.63,95.45,94.4,94.54,1461173.0,94.703,10394
2017-03-30,94.54,95.0,94.09,94.62,1053092.0,94.662,6893
2017-03-31,94.25,94.75,93.92,94.45,1423355.0,94.464,10652
2017-04-03,94.44,95.47,93.78,94.23,1214159.0,94.139,8267
2017-04-04,94.22,94.28,93.69,93.83,1053175.0,93.999,6856
2017-04-05,94.01,94.5,93.64,93.69,1273433.0,94.148,8471
2017-04-06,93.6,94.49,93.38,94.38,1622206.0,94.168,9055
2017-04-07,94.42,94.87,93.93,94.5,1080414.0,94.532,5574
2017-04-10,94.54,95.03,94.51,94.98,890715.0,94.813,4298
