date,open,high,low,close,volume,average,barCount
2015-10-13,49.85,50.62,49.78,49.87,1989441.0,50.205,13891
2015-10-14,50.11,50.22,48.27,48.36,3807916.0,48.906,24246
2015-10-15,49.13,50.68,48.9,50.61,3918676.0,49.952,25270
2015-10-16,50.72,51.16,50.54,51.1,3573237.0,50.888,24297
2015-10-19,50.97,51.95,50.75,51.86,3910651.0,51.735,25801
2015-10-20,51.89,52.26,51.32,51.67,2479549.0,51.786,17075
2015-10-21,51.88,52.15,51.2,51.46,2674435.0,51.679,18139
2015-10-22,51.61,52.4,51.51,52.38,2625723.0,52.03,16798
2015-10-23,53.05,53.83,52.85,53.58,4749546.0,53.473,31634
2015-10-26,53.44,53.64,53.12,53.51,2843419.0,53.433,19039
2015-10-27,53.35,53.91,53.23,53.84,1760678.0,53.622,11932
2015-10-28,53.87,54.1,52.73,53.29,3087943.0,53.447,19946
2015-10-29,53.37,54.22,53.14,54.08,1837622.0,53.693,12546
2015-10-30,53.8,54.59,53.73,54.08,2120335.0,54.174,14881
2015-11-02,54.29,54.56,53.43,53.55,2802321.0,53.735,17528
2015-11-03,53.15,53.18,51.83,52.98,4826266.0,52.468,29148
2015-11-04,52.58,53.13,52.25,52.8,3099682.0,52.69,19798
2015-11-05,51.66,53.09,51.63,52.9,2932863.0,52.612,19089
2015-11-06,52.73,53.36,52.47,53.36,2479951.0,53.012,16877
2015-11-09,52.86,53.16,51.78,52.57,2528137.0,52.339,16620
2015-11-10,52.31,53.2,52.24,53.13,2492804.0,52.857,16136
2015-11-11,53.33,53.46,52.82,52.83,1949574.0,53.085,13959
2015-11-12,52.51,52.66,52.06,52.17,2215493.0,52.277,16010
2015-11-13,51.89,52.04,51.28,51.56,2251912.0,51.699,15849
2015-11-16,50.61,50.98,49.86,50.77,4576216.0,50.356,28990
2015-11-17,51.1,51.4,50.07,50.23,3941495.0,50.651,29101
2015-11-18,50.2,50.4,49.74,50.29,4109659.0,50.074,27330
2015-11-19,50.94,51.68,50.6,51.54,5637255.0,51.302,24852
2015-11-20,51.72,51.94,51.41,51.58,3981126.0,51.67,21998
2015-11-23,51.36,51.69,51.26,51.39,2019049.0,51.464,13537
2015-11-24,50.12,50.54,49.73,50.39,6777206.0,50.199,33587
2015-11-25,51.11,51.59,50.84,50.99,2401240.0,51.09,17230
2015-11-27,51.11,51.17,50.62,50.84,1166242.0,50.804,7999
2015-11-30,51.07,51.07,50.39,50.53,2472929.0,50.654,17641
2015-12-01,51.13,51.53,50.79,51.46,2794545.0,51.185,17863
2015-12-02,51.39,51.66,51.07,51.18,2568752.0,51.349,17999
2015-12-03,51.41,51.48,49.14,49.31,4215644.0,49.964,27773
2015-12-04,49.81,50.76,49.74,50.69,3396509.0,50.36,23350
2015-12-07,51.01,51.26,50.28,50.67,2957006.0,50.721,19677
2015-12-08,49.65,50.39,49.54,50.16,2893627.0,50.103,19951
2015-12-09,50.14,50.82,50.03,50.31,3915966.0,50.393,27684
2015-12-10,50.73,51.21,50.57,50.96,3446031.0,50.949,21091
2015-12-11,50.22,51.24,50.11,50.69,5860122.0,50.783,38198
2015-12-14,50.93,51.4,50.31,50.79,3499016.0,50.697,25325
2015-12-15,51.61,52.37,51.29,52.16,3934136.0,51.935,24987
2015-12-16,52.1,52.3,50.88,52.2,6407599.0,51.763,40148
2015-12-17,52.01,52.23,50.33,50.46,4992578.0,51.015,35571
2015-12-18,51.65,53.0,51.06,52.41,7075234.0,52.272,47265
2015-12-21,53.43,54.16,53.33,53.94,4783317.0,53.748,33802
2015-12-22,54.4,54.49,53.34,54.27,4117636.0,54.025,27528
2015-12-23,54.49,54.62,53.95,54.08,3122536.0,54.264,18870
2015-12-24,54.43,54.55,54.04,54.12,1419527.0,54.218,8183
2015-12-28,53.87,54.42,53.81,54.19,2438088.0,54.175,14949
2015-12-29,54.71,55.36,54.57,55.14,2180318.0,55.051,14416
2015-12-30,55.52,55.77,55.0,55.04,2511925.0,55.371,16790
2015-12-31,54.94,55.27,54.46,54.48,1654621.0,54.808,12415
2016-01-04,54.16,54.22,53.22,54.2,3843670.0,53.732,26260
2016-01-05,54.03,54.18,53.62,53.68,3110927.0,53.834,21533
2016-01-06,52.88,54.11,52.84,53.52,4073911.0,53.525,25628
2016-01-07,52.67,53.51,52.25,52.39,4175637.0,52.817,27881
2016-01-08,53.68,53.68,51.91,52.05,4020666.0,52.675,24915
2016-01-11,53.0,54.5,53.0,53.94,6086217.0,53.678,40736
2016-01-12,54.44,54.9,53.95,54.68,4784136.0,54.443,32057
2016-01-13,54.38,54.68,52.03,52.38,6565092.0,53.303,39044
2016-01-14,51.71,52.18,50.19,51.94,7631224.0,51.391,49204
2016-01-15,49.76,50.48,49.47,49.83,7969893.0,49.91,47614
2016-01-19,50.83,51.26,48.59,49.07,8730285.0,49.996,47365
2016-01-20,49.05,49.05,46.86,48.31,8713462.0,47.931,55155
2016-01-21,48.48,49.86,48.28,49.57,7355991.0,49.382,43763
2016-01-22,50.18,50.39,49.39,49.57,4275386.0,49.935,27770
2016-01-25,49.55,49.8,48.68,48.8,3923556.0,49.114,26582
2016-01-26,49.22,50.07,48.85,49.82,4741670.0,49.51,30522
2016-01-27,50.47,50.57,47.75,48.05,6614447.0,48.709,40359
2016-01-28,48.44,48.49,45.81,46.86,11315761.0,46.72,65789
2016-01-29,46.94,48.13,46.91,48.13,7271110.0,47.563,39921
2016-02-01,48.1,49.13,47.77,48.97,6146479.0,48.457,39369
2016-02-02,47.25,47.31,44.51,45.08,14641184.0,45.432,84614
2016-02-03,45.61,45.93,44.94,45.39,7518027.0,45.372,49993
2016-02-04,45.5,45.72,44.82,45.51,6755915.0,45.246,43163
2016-02-05,44.85,45.03,42.88,43.04,8192032.0,43.539,51140
2016-02-08,42.3,42.49,40.82,41.92,11036125.0,41.57,73466
2016-02-09,40.77,43.64,40.52,42.97,8427358.0,42.756,57188
2016-02-10,43.44,44.57,43.31,43.41,6327268.0,43.9,41982
2016-02-11,42.71,43.69,42.67,43.19,5710397.0,43.216,38422
2016-02-12,43.27,44.15,42.84,44.06,4148109.0,43.697,28319
2016-02-16,44.62,45.6,44.06,45.02,4668659.0,44.847,28879
2016-02-17,45.23,46.15,45.13,45.92,5293391.0,45.858,34132
2016-02-18,45.94,46.06,45.16,45.34,3810603.0,45.527,24962
2016-02-19,45.36,46.55,44.83,46.39,4392324.0,46.048,27446
2016-02-22,46.49,47.78,46.44,47.73,5936405.0,47.337,38003
2016-02-23,47.75,48.58,47.63,48.1,5139990.0,48.112,32893
2016-02-24,46.98,48.07,46.6,48.03,4600392.0,47.262,30482
2016-02-25,48.04,48.62,47.96,48.51,3809010.0,48.357,23293
2016-02-26,48.66,48.86,47.73,48.34,4304367.0,48.162,25848
2016-02-29,48.33,48.82,47.94,47.96,3304851.0,48.387,21687
2016-03-01,48.59,48.97,48.02,48.96,3565271.0,48.596,22850
2016-03-02,48.69,48.87,47.94,48.16,3523154.0,48.228,21676
