date,open,high,low,close,volume,average,barCount
2015-10-13,49.93,51.6,49.24,51.08,2908250.0,50.874,17251
2015-10-14,51.4,52.7,50.91,52.53,2260153.0,52.059,16677
2015-10-15,52.82,53.65,51.87,53.41,2209988.0,52.866,15014
2015-10-16,53.56,53.68,51.74,52.32,1832195.0,52.255,10954
2015-10-19,52.0,52.21,51.12,51.48,1428818.0,51.616,10031
2015-10-20,51.61,52.99,51.46,51.77,1328539.0,52.113,9843
2015-10-21,52.55,53.0,51.13,52.21,1954707.0,52.218,12770
2015-10-22,52.56,53.99,52.27,53.7,1887339.0,53.288,12295
2015-10-23,54.21,54.27,53.43,54.12,1769864.0,53.986,10902
2015-10-26,53.76,54.07,52.88,53.1,1438151.0,53.199,10523
2015-10-27,52.61,52.87,51.18,51.57,1505666.0,51.679,10835
2015-10-28,51.61,52.4,51.02,52.26,1670336.0,51.985,11694
2015-10-29,52.21,52.21,51.03,51.3,1388292.0,51.431,10357
2015-10-30,51.38,51.83,50.5,50.77,2194327.0,51.193,12606
2015-11-02,51.01,52.66,50.63,52.35,2417170.0,51.792,16583
2015-11-03,52.13,53.13,51.35,51.96,1783514.0,52.42,12700
2015-11-04,52.22,52.92,51.3,51.76,1963361.0,51.976,12754
2015-11-05,48.61,48.98,45.69,46.84,8426839.0,47.24,51021
2015-11-06,46.8,47.39,46.0,46.52,3301061.0,46.539,21113
2015-11-09,46.38,48.31,46.11,48.17,3528966.0,47.172,24244
2015-11-10,48.01,48.33,47.14,47.34,2301988.0,47.723,17108
2015-11-11,47.52,48.06,46.07,47.61,1952000.0,47.257,14621
2015-11-12,46.93,47.84,46.67,47.11,2229869.0,47.224,16776
2015-11-13,47.13,48.66,46.72,48.05,1890740.0,47.784,13742
2015-11-16,47.76,48.28,46.94,47.97,1912701.0,47.574,13880
2015-11-17,49.76,50.86,48.28,49.49,3215009.0,49.424,21940
2015-11-18,49.36,50.37,49.05,49.58,2009905.0,49.61,12925
2015-11-19,48.95,49.0,46.44,46.57,4011049.0,47.776,24975
2015-11-20,46.36,46.8,43.57,43.9,5256768.0,44.661,31335
2015-11-23,43.79,45.47,43.65,45.0,3035352.0,44.85,20114
2015-11-24,44.91,46.0,44.0,45.8,2177496.0,45.389,13858
2015-11-25,45.69,46.15,45.05,45.37,1040084.0,45.696,7496
2015-11-27,45.21,45.33,44.59,45.11,878243.0,45.069,5884
2015-11-30,45.04,46.61,44.93,46.14,2154598.0,46.102,14094
2015-12-01,46.45,46.75,44.8,45.0,2181792.0,45.329,15188
2015-12-02,46.59,46.59,44.25,45.06,2364825.0,44.851,16188
2015-12-03,45.35,46.67,45.25,45.86,2804463.0,46.007,19056
2015-12-04,45.49,45.87,44.13,44.44,2627334.0,44.667,18946
2015-12-07,44.11,44.12,42.37,43.25,2233153.0,43.006,15401
2015-12-08,42.58,43.38,41.83,42.08,1989889.0,42.386,14175
2015-12-09,42.68,43.77,42.3,43.12,1647821.0,43.076,12513
2015-12-10,43.09,43.71,42.1,42.24,1013049.0,42.604,6929
2015-12-11,41.27,42.34,40.33,41.11,2298164.0,41.244,14388
2015-12-14,40.81,41.38,39.64,40.07,1781880.0,40.277,12163
2015-12-15,40.35,41.48,40.19,40.81,1586732.0,40.933,11270
2015-12-16,41.49,42.04,40.16,41.43,2007525.0,41.133,14336
2015-12-17,41.31,42.05,40.53,41.24,2523727.0,41.357,17856
2015-12-18,41.11,43.0,41.08,41.61,2701450.0,41.983,18461
2015-12-21,41.76,43.79,41.11,41.32,2203156.0,41.59,13487
2015-12-22,41.34,43.03,40.97,42.74,1698689.0,42.376,11252
2015-12-23,42.95,44.6,42.73,44.17,1974125.0,44.077,13698
2015-12-24,44.09,44.36,43.2,43.25,1419489.0,43.646,7870
2015-12-28,43.04,43.41,42.09,42.24,1091814.0,42.503,7577
2015-12-29,42.38,42.99,42.05,42.64,1348970.0,42.567,8200
2015-12-30,42.39,42.58,41.05,41.16,1240972.0,41.52,8278
2015-12-31,40.75,41.29,40.47,40.81,1606074.0,40.79,10367
2016-01-04,40.06,40.95,39.83,40.5,2657030.0,40.264,15948
2016-01-05,40.38,40.66,39.15,39.23,2150165.0,39.522,13747
2016-01-06,38.65,38.71,35.26,35.84,4088407.0,36.445,27408
2016-01-07,35.31,36.66,33.69,34.14,4355908.0,34.919,24154
2016-01-08,34.4,35.1,33.71,33.82,3464209.0,34.301,20170
2016-01-11,34.01,34.07,32.26,32.45,3214415.0,32.808,17181
