date,open,high,low,close,volume,average,barCount
2015-10-13,120.49,121.24,119.8,120.55,488124.0,120.231,3771
2015-10-14,120.74,121.16,119.79,120.25,479857.0,120.465,3705
2015-10-15,120.88,121.22,119.93,120.18,748465.0,120.486,5976
2015-10-16,120.81,121.98,120.42,121.92,621412.0,121.445,4563
2015-10-19,121.91,122.14,120.87,121.72,545029.0,121.403,3961
2015-10-20,121.74,122.28,121.5,122.08,334322.0,121.936,2636
2015-10-21,122.43,123.43,121.95,122.06,441271.0,122.477,3458
2015-10-22,122.88,123.88,122.73,123.6,781099.0,123.42,6359
2015-10-23,124.0,124.61,122.88,123.25,638728.0,123.315,4578
2015-10-26,122.55,122.87,121.83,122.04,589684.0,122.149,4758
2015-10-27,121.88,122.36,121.62,121.89,535297.0,121.953,4094
2015-10-28,122.31,123.03,121.49,122.63,617232.0,122.314,4783
2015-10-29,122.36,122.83,121.5,122.72,512323.0,122.012,3702
2015-10-30,122.72,123.15,121.73,121.94,1006302.0,122.416,7978
2015-11-02,124.96,127.25,123.41,125.7,1562008.0,125.671,11819
2015-11-03,125.25,125.67,124.34,124.63,745322.0,124.8,5665
2015-11-04,124.55,124.78,123.7,124.2,820336.0,124.134,6293
2015-11-05,123.92,124.44,123.06,124.22,902388.0,123.949,6944
2015-11-06,123.62,123.73,121.37,122.28,573184.0,122.076,4180
2015-11-09,121.95,122.09,120.65,121.88,571354.0,121.374,4476
2015-11-10,121.57,122.63,121.38,122.28,659478.0,122.306,5298
2015-11-11,122.71,124.4,122.71,123.42,571066.0,123.794,4418
2015-11-12,122.96,123.53,121.79,121.83,551613.0,122.452,4173
2015-11-13,121.76,122.43,120.16,120.74,694267.0,121.046,5774
2015-11-16,121.08,121.89,120.5,121.87,463524.0,121.326,3694
2015-11-17,121.93,122.54,121.34,121.78,314057.0,121.96,2658
2015-11-18,121.98,123.67,121.65,123.59,443184.0,122.622,3664
2015-11-19,123.82,124.84,123.78,124.32,488137.0,124.484,3773
2015-11-20,124.98,125.13,123.75,123.85,398391.0,124.361,2920
2015-11-23,123.93,125.5,123.9,125.36,345925.0,125.102,2600
2015-11-24,125.0,125.3,124.53,124.79,447710.0,124.909,3277
2015-11-25,124.99,125.76,124.8,125.31,337840.0,125.178,2642
2015-11-27,125.02,125.97,125.0,125.51,198294.0,125.452,1460
2015-11-30,125.51,125.75,124.26,124.3,499208.0,124.809,4083
2015-12-01,125.09,126.88,124.94,126.64,715880.0,126.228,5106
2015-12-02,126.63,127.51,125.97,126.35,556597.0,126.871,4124
2015-12-03,126.53,127.64,125.24,126.05,710660.0,126.256,5455
2015-12-04,126.36,128.82,126.12,128.78,552760.0,127.891,4547
2015-12-07,128.7,129.52,128.37,129.33,539153.0,128.919,3261
2015-12-08,128.93,129.97,128.49,129.72,754166.0,129.459,6044
2015-12-09,129.81,130.31,127.32,127.73,816139.0,128.198,6725
2015-12-10,127.72,127.9,126.42,126.87,610260.0,127.056,5061
2015-12-11,126.13,126.85,125.3,125.92,611911.0,125.95,5076
2015-12-14,126.24,127.5,124.96,126.47,1540091.0,125.7,10541
2015-12-15,127.5,130.13,127.15,129.14,1007408.0,129.171,7902
2015-12-16,129.72,131.59,129.08,131.12,805915.0,130.249,6607
2015-12-17,131.38,131.78,130.44,131.34,1668261.0,131.292,7467
2015-12-18,130.86,130.86,126.99,127.05,1459204.0,128.152,10354
2015-12-21,128.33,128.62,127.01,127.65,857068.0,127.578,6787
2015-12-22,127.93,128.01,126.63,127.59,777470.0,127.443,6239
2015-12-23,128.0,128.86,127.75,128.18,451295.0,128.152,3643
2015-12-24,127.97,128.35,127.36,127.86,156640.0,127.8,1219
2015-12-28,127.64,128.4,127.45,128.06,461802.0,127.985,3529
2015-12-29,128.7,129.15,128.45,129.01,585338.0,128.848,4441
2015-12-30,129.25,129.25,128.09,128.2,419156.0,128.597,3385
