date,open,high,low,close,volume,average,barCount
2015-10-13,65.97,66.29,65.78,65.97,1877750.0,66.018,11455
2015-10-14,65.97,66.11,65.5,65.75,1959369.0,65.797,13860
2015-10-15,66.16,66.66,65.96,66.57,1908778.0,66.322,13274
2015-10-16,66.9,67.26,66.71,67.12,2025662.0,66.961,12197
2015-10-19,67.02,67.43,66.89,67.25,1641315.0,67.152,9959
2015-10-20,66.95,67.24,66.86,67.06,2670142.0,67.054,16719
2015-10-21,66.81,67.5,66.54,66.83,2318880.0,67.075,16264
2015-10-22,67.15,68.86,66.67,68.64,3041890.0,68.417,20183
2015-10-23,68.72,69.2,68.35,68.94,3383042.0,68.787,20707
2015-10-26,68.82,69.32,68.66,68.72,3074862.0,68.899,18851
2015-10-27,68.39,69.0,68.31,68.95,2681630.0,68.759,15795
2015-10-28,69.0,69.16,68.12,68.83,2877907.0,68.698,18231
2015-10-29,68.62,69.45,68.42,69.23,2952478.0,69.004,19067
2015-10-30,67.69,68.07,66.35,66.35,6043071.0,66.989,36730
2015-11-02,66.77,67.57,66.36,67.49,4403165.0,67.133,28244
2015-11-03,67.24,68.11,66.9,68.0,3260734.0,67.66,20209
2015-11-04,67.93,68.05,67.0,67.48,3157923.0,67.389,18841
2015-11-05,67.51,67.89,67.2,67.6,2324334.0,67.592,13747
2015-11-06,67.21,67.21,65.4,65.82,4303546.0,65.834,26026
2015-11-09,65.48,65.97,65.27,65.77,2901141.0,65.549,19748
2015-11-10,65.67,66.58,65.58,66.38,2288017.0,66.264,14701
2015-11-11,66.69,67.22,66.44,66.45,2273958.0,66.795,14010
2015-11-12,66.15,66.32,65.24,65.27,2229568.0,65.611,15074
2015-11-13,65.18,65.56,64.51,64.56,2649619.0,64.884,17936
2015-11-16,64.6,65.7,64.6,65.57,2601077.0,65.255,17591
2015-11-17,65.92,65.96,65.14,65.32,1816414.0,65.537,12956
2015-11-18,65.32,66.14,65.12,66.06,2486403.0,65.829,16096
2015-11-19,66.32,66.95,66.2,66.38,2469807.0,66.46,16431
2015-11-20,66.75,67.18,66.04,66.1,2455943.0,66.533,13896
2015-11-23,66.1,66.94,66.07,66.89,2111518.0,66.652,15012
2015-11-24,66.43,67.09,66.42,66.82,1742598.0,66.771,11754
2015-11-25,66.93,67.03,66.41,66.43,2054090.0,66.621,11919
2015-11-27,66.51,66.75,66.19,66.56,1063617.0,66.539,6757
2015-11-30,66.56,66.77,65.65,65.68,2408713.0,65.948,15503
2015-12-01,65.77,66.07,65.32,65.83,3980299.0,65.692,24764
2015-12-02,65.82,66.41,65.58,65.68,2975764.0,65.986,21985
2015-12-03,65.7,65.96,64.99,65.58,4121873.0,65.381,28114
2015-12-04,65.97,66.76,65.7,66.34,3778400.0,66.419,25667
2015-12-07,66.39,66.56,66.09,66.34,3396612.0,66.28,22339
2015-12-08,66.05,66.5,65.87,66.18,1935228.0,66.197,14069
2015-12-09,66.02,67.1,65.75,66.08,2361051.0,66.318,17062
2015-12-10,66.08,66.66,65.97,66.13,2161597.0,66.289,14712
2015-12-11,65.37,65.78,65.03,65.21,2744051.0,65.291,20224
2015-12-14,65.29,65.9,65.0,65.85,2618626.0,65.458,19506
2015-12-15,66.33,67.11,66.23,66.76,2968208.0,66.813,20295
2015-12-16,67.0,68.49,66.99,68.33,4321559.0,67.704,28212
2015-12-17,68.19,68.3,67.3,67.33,2912234.0,67.605,19909
2015-12-18,66.9,66.97,65.57,65.57,3557687.0,66.151,19790
2015-12-21,66.02,66.16,65.5,65.98,2169720.0,65.79,14879
2015-12-22,66.15,66.69,65.69,66.58,1675369.0,66.302,12082
2015-12-23,66.86,67.39,66.7,67.16,1346864.0,67.181,9009
2015-12-24,67.0,67.28,66.86,66.99,670184.0,67.021,4491
2015-12-28,66.76,66.95,66.65,66.89,1057098.0,66.814,7767
2015-12-29,67.33,67.73,67.23,67.65,1281770.0,67.534,8475
2015-12-30,67.66,68.07,67.39,67.53,1368641.0,67.783,9143
2015-12-31,67.21,67.29,66.61,66.62,1365450.0,66.94,9740
2016-01-04,65.4,65.41,63.98,64.71,4643113.0,64.525,32102
2016-01-05,64.73,65.26,64.59,65.0,3530601.0,64.929,24434
2016-01-06,64.21,64.64,63.95,64.14,3693476.0,64.274,25269
2016-01-07,63.4,63.9,62.76,63.01,3638496.0,63.227,25795
2016-01-08,63.1,63.42,62.37,62.55,2556134.0,63.016,19247
2016-01-11,62.85,63.2,62.08,62.81,2409376.0,62.626,18393
2016-01-12,63.27,63.5,62.67,63.38,2399645.0,63.16,17207
2016-01-13,63.6,63.94,62.8,62.91,2977877.0,63.418,22420
2016-01-14,63.03,64.14,62.98,63.53,3175352.0,63.656,23802
2016-01-15,62.37,63.92,62.32,63.35,5622019.0,63.135,34243
2016-01-19,63.79,64.52,63.7,64.29,4156085.0,64.21,26631
2016-01-20,63.46,63.68,61.4,62.45,7370659.0,62.392,45214
2016-01-21,62.32,63.96,61.91,63.65,4779400.0,63.286,33510
2016-01-22,64.33,64.91,63.87,64.61,3738300.0,64.63,24428
2016-01-25,64.33,64.61,63.76,63.93,3021286.0,64.16,20095
2016-01-26,64.01,64.81,63.98,64.33,3060933.0,64.493,18321
2016-01-27,64.29,65.1,63.88,64.3,2690454.0,64.546,19337
2016-01-28,64.56,65.55,64.32,65.02,4911103.0,64.996,27879
2016-01-29,64.99,67.65,64.35,67.53,7574971.0,66.558,49143
2016-02-01,66.93,67.08,65.89,66.2,4196709.0,66.291,27004
2016-02-02,65.64,66.08,65.17,65.36,3045137.0,65.604,20891
2016-02-03,65.84,66.26,65.0,66.03,3367170.0,65.631,23013
2016-02-04,65.9,66.23,65.5,65.99,2515618.0,65.853,17760
2016-02-05,65.99,66.32,65.41,66.19,3156285.0,65.938,24117
2016-02-08,65.65,66.29,65.23,66.07,3434115.0,65.695,22894
2016-02-09,65.48,66.31,64.93,65.88,3816448.0,65.694,26711
2016-02-10,66.39,66.83,65.71,65.81,2657350.0,66.246,18903
2016-02-11,64.71,65.3,63.99,64.44,4037736.0,64.575,27315
2016-02-12,64.78,65.75,64.54,65.7,1958512.0,65.354,13173
