date,open,high,low,close,volume,average,barCount
2015-10-13,30.07,30.42,29.92,30.08,11854006.0,30.1955,43116
2015-10-14,30.1,30.23,29.91,29.97,16874726.0,30.0545,53519
2015-10-15,30.27,30.54,30.03,30.5,11152732.0,30.291,40272
2015-10-16,30.61,30.68,30.4,30.66,10798998.0,30.536,32772
2015-10-19,30.58,30.81,30.47,30.78,10873112.0,30.71,38185
2015-10-20,30.6,30.9,30.6,30.78,11037786.0,30.785,39632
2015-10-21,30.89,31.0,30.53,30.56,14107122.0,30.75,50524
2015-10-22,30.67,31.0,30.59,30.85,17052446.0,30.847,56305
2015-10-23,31.1,31.1,30.8,30.99,16697520.0,30.963,54115
2015-10-26,31.07,31.23,30.89,31.09,18691038.0,31.0775,66890
2015-10-27,31.18,31.25,29.85,30.77,27078990.0,30.669,85073
2015-10-28,30.93,31.29,30.52,30.97,19258732.0,30.9155,62019
2015-10-29,31.05,31.65,30.91,31.53,15620874.0,31.4185,51868
2015-10-30,31.56,31.69,31.3,31.31,16417560.0,31.4515,56258
2015-11-02,31.32,31.63,31.25,31.37,12806082.0,31.426,46720
2015-11-03,31.22,31.37,30.99,31.28,13720086.0,31.1865,47394
2015-11-04,31.25,31.52,30.58,30.73,22721374.0,30.947,75973
2015-11-05,30.74,30.96,30.5,30.91,15278362.0,30.7995,49760
2015-11-06,30.81,30.9,30.42,30.81,21339166.0,30.65,61871
2015-11-09,30.61,30.75,30.24,30.68,12668644.0,30.519,45680
2015-11-10,30.64,31.0,30.58,30.79,13655108.0,30.8175,44200
2015-11-11,30.91,30.91,30.63,30.78,9877170.0,30.7675,34722
2015-11-12,30.68,31.06,30.55,30.75,12368896.0,30.8295,43777
2015-11-13,30.65,30.86,30.09,30.11,12831600.0,30.3245,48991
2015-11-16,30.23,30.71,30.08,30.67,12698858.0,30.416,45322
2015-11-17,30.47,30.75,30.31,30.57,13174138.0,30.567,45464
2015-11-18,30.58,31.32,30.52,31.28,14715312.0,30.996,52311
2015-11-19,31.25,31.5,31.11,31.31,12935792.0,31.2935,41931
2015-11-20,31.56,31.61,31.25,31.45,15069508.0,31.437,42827
2015-11-23,31.31,31.49,30.92,31.07,9717480.0,31.1865,34052
2015-11-24,30.86,30.97,30.56,30.83,14672820.0,30.75,51818
2015-11-25,30.77,30.9,30.54,30.7,10577758.0,30.6915,36336
2015-11-27,30.66,30.91,30.52,30.8,4243592.0,30.7195,15401
2015-11-30,30.77,30.83,30.34,30.43,13067082.0,30.546,41116
2015-12-01,30.73,30.89,30.62,30.88,11615156.0,30.776,38734
2015-12-02,30.77,30.87,30.17,30.24,14263140.0,30.437,47847
2015-12-03,30.2,30.41,29.66,29.81,19079800.0,29.9245,62511
2015-12-04,29.82,30.54,29.75,30.38,18403828.0,30.2545,59204
2015-12-07,30.29,30.48,29.93,30.18,11571298.0,30.086,38488
2015-12-08,30.1,30.14,29.39,29.77,24590646.0,29.803,74246
2015-12-09,29.61,29.78,29.04,29.3,21567060.0,29.3595,73697
2015-12-10,29.1,30.14,29.1,29.84,20916398.0,29.8105,66566
2015-12-11,29.43,29.79,28.97,28.99,29175292.0,29.282,89214
2015-12-14,28.94,28.96,28.1,28.68,45978870.0,28.502,155699
2015-12-15,29.03,29.57,28.77,28.88,30678184.0,29.1545,89884
2015-12-16,29.12,29.43,28.91,29.35,25648266.0,29.162,80169
2015-12-17,29.25,29.41,28.7,28.71,16314142.0,28.98,55817
2015-12-18,28.5,28.61,28.16,28.2,28756300.0,28.381,72123
2015-12-21,28.41,28.42,27.7,28.23,24413034.0,27.9755,80583
2015-12-22,28.57,28.76,28.38,28.45,17134148.0,28.5445,57511
2015-12-23,28.55,28.63,28.43,28.59,10800656.0,28.542,37175
2015-12-24,28.72,28.77,28.57,28.65,5311448.0,28.685,19551
2015-12-28,28.56,28.73,28.36,28.6,8258232.0,28.5295,27162
2015-12-29,28.75,28.97,28.65,28.78,9546042.0,28.794,32239
2015-12-30,28.75,28.78,28.34,28.36,10439230.0,28.501,30637
2015-12-31,28.27,28.6,28.1,28.22,11761024.0,28.3665,39868
2016-01-04,27.56,27.83,27.43,27.82,20902176.0,27.636,71393
2016-01-05,27.92,28.03,27.74,27.83,22552056.0,27.8945,65867
2016-01-06,27.46,27.83,27.38,27.61,18804426.0,27.603,59884
2016-01-07,27.04,27.68,26.89,27.31,27769132.0,27.4305,85853
2016-01-08,27.43,28.02,27.29,27.33,22216300.0,27.6345,74614
2016-01-11,27.5,27.54,26.96,27.36,18273360.0,27.289,65046
2016-01-12,27.29,27.72,27.18,27.43,16671690.0,27.429,58382
2016-01-13,27.71,27.75,26.72,26.78,26085848.0,27.201,83508
2016-01-14,26.78,27.83,26.68,27.53,20561220.0,27.3735,69691
2016-01-15,26.66,27.13,26.65,26.95,24780442.0,26.8845,78211
2016-01-19,27.43,27.43,26.84,27.13,18969752.0,27.0895,66603
2016-01-20,26.99,27.0,26.17,26.81,40774792.0,26.674,122543
2016-01-21,26.81,27.43,26.59,27.16,27188058.0,27.1525,78109
2016-01-22,27.76,27.76,27.35,27.67,15431794.0,27.6065,53042
2016-01-25,27.52,27.66,27.06,27.11,17300552.0,27.3475,58193
2016-01-26,27.03,27.5,26.98,27.42,26821696.0,27.4055,65843
2016-01-27,27.47,27.72,26.98,27.06,19840680.0,27.371,63687
2016-01-28,27.24,27.29,26.81,27.06,21404024.0,27.0205,71902
2016-01-29,27.37,27.93,27.26,27.86,28387596.0,27.651,77036
2016-02-01,27.54,28.07,27.49,27.91,15566710.0,27.801,55940
2016-02-02,27.45,27.81,27.19,27.3,26534106.0,27.505,81977
2016-02-03,28.35,28.98,27.61,28.92,47011778.0,28.367,131935
2016-02-04,28.93,29.73,28.8,29.11,49313776.0,29.2225,152641
2016-02-05,29.11,29.74,28.99,29.71,42638652.0,29.394,122261
2016-02-08,29.58,29.85,28.96,29.7,48487826.0,29.4655,148895
2016-02-09,29.2,29.5,28.59,29.11,30776856.0,28.9905,106935
2016-02-10,29.06,29.06,27.88,27.91,36167398.0,28.3025,110821
2016-02-11,27.43,28.16,27.35,28.02,29379038.0,27.7345,102427
2016-02-12,28.42,28.53,27.8,28.39,19141154.0,28.196,68675
2016-02-16,28.91,28.93,28.5,28.74,17573244.0,28.734,60358
2016-02-17,28.86,29.16,28.66,28.85,22144224.0,28.9155,71143
2016-02-18,28.72,28.88,28.3,28.66,19746198.0,28.609,68789
2016-02-19,28.5,28.91,28.48,28.88,14322838.0,28.7135,44286
2016-02-22,29.11,29.43,28.95,29.08,15383400.0,29.116,52266
2016-02-23,28.89,29.09,28.7,28.77,12085162.0,28.851,42124
2016-02-24,28.53,29.32,28.3,29.2,15639282.0,28.8595,55424
2016-02-25,29.08,29.27,28.86,29.27,10814862.0,29.093,40229
2016-02-26,29.39,29.49,28.83,28.96,15402156.0,28.9965,53727
2016-02-29,29.07,29.36,28.85,28.86,14553468.0,29.061,49274
2016-03-01,29.11,29.79,29.03,29.61,17992036.0,29.463,58505
2016-03-02,29.48,29.71,29.42,29.68,14886126.0,29.608,47959
2016-03-03,29.73,30.14,29.73,29.96,14891922.0,29.97,43947
2016-03-04,29.97,30.02,29.67,29.87,12423864.0,29.8435,43738
2016-03-07,29.61,29.88,29.31,29.48,17306782.0,29.5955,58013
2016-03-08,29.44,29.5,29.03,29.15,16043446.0,29.2295,55786
2016-03-09,29.35,29.55,29.15,29.39,12417102.0,29.379,42574
2016-03-10,29.3,29.57,29.03,29.18,14631346.0,29.2265,51034
2016-03-11,29.55,29.61,29.25,29.58,11308278.0,29.4745,38645
2016-03-14,29.52,29.73,29.44,29.61,8329116.0,29.5915,30940
2016-03-15,29.35,29.71,29.35,29.7,13003954.0,29.5145,41536
2016-03-16,29.32,30.15,29.32,29.96,14791916.0,29.956,47513
2016-03-17,29.97,30.57,29.86,30.38,16625208.0,30.3425,54996
2016-03-18,30.43,30.45,29.76,29.88,30659096.0,30.0905,75615
2016-03-21,29.86,30.03,29.81,29.92,9447130.0,29.9125,32205
2016-03-22,29.65,30.15,29.65,29.93,11399314.0,29.9275,36172
2016-03-23,29.56,29.85,29.5,29.63,13954104.0,29.6385,44504
2016-03-24,29.38,30.09,29.35,30.0,15822376.0,29.855,49098
2016-03-28,29.96,30.18,29.73,30.05,11351120.0,30.0055,37175
2016-03-29,29.91,30.45,29.84,30.38,13184332.0,30.168,41228
2016-03-30,30.46,30.63,30.26,30.4,13484654.0,30.4185,38093
2016-03-31,30.36,30.68,30.32,30.54,11345782.0,30.5635,34062
2016-04-01,30.3,31.0,30.2,30.93,17204240.0,30.7355,51389
2016-04-04,30.75,30.91,30.56,30.72,9667454.0,30.7065,32355
2016-04-05,30.42,30.72,30.4,30.57,11670936.0,30.571,40372
2016-04-06,30.53,31.13,30.5,31.1,18625128.0,30.8895,58257
2016-04-07,31.02,31.16,30.51,30.7,16682278.0,30.782,53414
2016-04-08,30.82,30.99,30.64,30.8,9746340.0,30.7955,34313
2016-04-11,30.96,31.05,30.72,30.72,11420314.0,30.9035,39565
2016-04-12,30.7,31.03,30.63,30.86,12034444.0,30.878,42402
2016-04-13,31.09,31.2,30.86,30.98,12561096.0,30.9595,42660
2016-04-14,31.08,31.15,30.84,30.92,10733864.0,30.969,37348
2016-04-15,31.07,31.22,30.7,30.99,12873574.0,31.007,37392
2016-04-18,30.85,31.33,30.77,31.24,13906136.0,31.158,41599
2016-04-19,31.22,31.46,31.02,31.14,14331676.0,31.251,41355
2016-04-20,31.3,31.3,30.66,30.73,23390234.0,30.8415,60241
