date,open,high,low,close,volume,average,barCount
2015-10-13,111.1,112.07,109.95,109.98,1412212.0,110.816,10335
2015-10-14,110.08,110.29,108.62,109.37,1415822.0,109.522,10652
2015-10-15,109.77,109.97,107.51,109.16,2156358.0,108.758,12036
2015-10-16,109.26,109.52,107.41,108.71,2380315.0,108.661,12724
2015-10-19,108.22,109.0,107.84,108.57,1491455.0,108.6,8836
2015-10-20,107.23,110.46,107.15,109.49,1832518.0,109.378,12093
2015-10-21,110.06,110.44,107.86,108.59,1293964.0,109.061,9286
2015-10-22,108.86,112.73,108.6,111.82,2000363.0,111.376,12605
2015-10-23,113.39,114.52,112.11,112.84,1629319.0,113.049,12178
2015-10-26,112.85,113.49,111.88,112.1,1217166.0,112.371,9160
2015-10-27,100.75,104.44,100.61,102.35,6716594.0,102.491,40855
2015-10-28,101.1,103.77,99.76,103.23,4366634.0,101.881,29015
2015-10-29,102.51,104.36,102.46,103.4,2217250.0,103.347,14232
2015-10-30,103.55,104.18,102.5,103.51,2543478.0,103.281,17752
2015-11-02,103.49,107.58,103.21,106.86,2191510.0,106.088,15123
2015-11-03,106.86,108.4,106.04,107.4,1842602.0,107.275,12798
2015-11-04,107.05,108.52,105.02,106.76,2125816.0,107.386,14459
2015-11-05,106.49,107.25,105.27,106.5,2072628.0,106.353,12996
2015-11-06,105.86,106.68,105.05,106.48,1192784.0,106.096,7588
2015-11-09,106.26,106.49,103.78,105.2,1909267.0,104.775,13353
2015-11-10,104.89,105.89,102.25,103.73,3393762.0,103.558,21616
2015-11-11,103.52,103.91,99.87,100.08,3024461.0,100.762,20397
2015-11-12,99.66,100.2,97.77,97.83,2142300.0,98.827,14876
2015-11-13,97.68,99.54,97.41,98.67,1546102.0,98.583,10999
2015-11-16,98.62,100.28,98.17,99.13,1671197.0,99.126,10891
2015-11-17,99.48,99.82,97.7,97.9,2205069.0,98.701,16547
2015-11-18,97.86,98.6,97.68,98.35,1336981.0,98.213,9387
2015-11-19,98.15,98.86,97.74,98.57,1106514.0,98.21,7549
2015-11-20,98.71,100.2,98.46,98.7,1442921.0,99.135,10000
2015-11-23,98.8,99.75,97.81,98.14,1019119.0,98.567,6260
2015-11-24,97.86,99.15,97.41,98.68,1587216.0,98.533,9789
2015-11-25,99.4,100.3,98.98,99.57,1191349.0,99.803,7896
2015-11-27,99.82,100.14,99.13,99.74,430494.0,99.721,3135
2015-11-30,99.92,101.21,99.55,100.37,1641433.0,100.414,10732
2015-12-01,96.56,96.87,91.92,92.41,11389372.0,93.727,73734
2015-12-02,92.21,95.35,92.17,94.85,8020306.0,94.187,50365
2015-12-03,93.96,93.98,91.8,92.48,4529837.0,92.378,26919
2015-12-04,92.45,92.74,91.65,92.5,2465095.0,92.305,16197
2015-12-07,91.84,92.47,91.15,91.41,2331057.0,91.671,15745
2015-12-08,90.25,90.99,89.73,90.18,3052819.0,90.173,17288
2015-12-09,89.69,91.1,89.44,89.92,2695631.0,90.094,17734
2015-12-10,90.21,90.26,89.48,90.16,2448746.0,89.969,14812
2015-12-11,88.82,89.17,87.35,87.61,2531165.0,87.819,17724
2015-12-14,87.46,87.88,86.11,86.83,2262153.0,86.751,16589
2015-12-15,87.06,87.54,86.58,87.1,2464565.0,86.992,17028
2015-12-16,87.88,88.52,86.71,87.36,3099157.0,87.488,22231
2015-12-17,87.01,87.57,85.93,85.96,1980307.0,86.762,12807
2015-12-18,85.85,86.59,85.18,85.21,2156754.0,85.794,15047
2015-12-21,85.97,86.41,84.99,85.39,1460133.0,85.47,10686
2015-12-22,85.6,88.31,85.51,87.41,2253697.0,87.014,15336
2015-12-23,87.9,89.94,87.67,89.56,1968993.0,89.317,13549
2015-12-24,89.56,89.96,89.17,89.3,441911.0,89.434,2679
2015-12-28,89.12,89.52,88.29,89.27,1576564.0,89.115,10395
2015-12-29,89.6,90.16,89.4,89.85,1476130.0,89.79,9240
2015-12-30,89.24,90.13,89.18,89.18,1538623.0,89.765,9256
2015-12-31,88.85,89.49,88.0,88.01,1086076.0,88.481,7336
2016-01-04,86.75,90.15,86.0,89.97,2855038.0,88.725,20688
2016-01-05,90.05,90.24,87.98,89.09,2160862.0,88.813,14974
2016-01-06,88.33,90.24,87.95,88.68,1983569.0,89.019,13907
2016-01-07,87.03,88.18,86.71,87.19,2248769.0,87.486,16175
2016-01-08,87.87,88.16,85.56,86.02,2336311.0,86.287,15186
2016-01-11,86.59,86.81,84.63,85.42,2356273.0,85.419,14892
2016-01-12,86.35,86.85,85.22,86.63,1961774.0,86.02,11965
2016-01-13,86.87,88.57,84.74,84.9,2031341.0,86.053,14027
2016-01-14,85.22,87.39,84.0,86.68,1639603.0,86.297,12328
2016-01-15,84.11,84.74,83.12,84.35,2125752.0,84.168,14623
2016-01-19,85.45,85.69,82.74,83.52,1560699.0,83.878,11289
2016-01-20,81.89,85.23,79.88,84.24,2967968.0,82.217,19926
2016-01-21,84.58,87.29,84.29,86.02,2130518.0,86.015,15291
2016-01-22,87.42,89.23,85.69,86.41,1807453.0,86.919,12305
2016-01-25,85.0,86.09,84.02,84.05,1477912.0,84.856,11176
2016-01-26,84.47,85.94,83.53,85.38,2206354.0,84.933,16471
2016-01-27,85.3,86.44,84.16,85.21,1364481.0,85.371,9875
2016-01-28,86.51,87.49,85.32,86.95,1754676.0,86.708,13236
2016-01-29,87.04,89.96,87.04,89.89,1850776.0,88.939,13072
2016-02-01,88.94,91.63,88.01,91.17,2067054.0,90.519,14727
2016-02-02,89.55,90.4,88.32,88.97,1799609.0,89.109,12385
2016-02-03,89.2,91.04,86.83,90.66,2472448.0,89.409,18450
2016-02-04,91.18,97.97,90.83,97.57,4871396.0,96.268,35121
2016-02-05,96.08,99.92,95.03,99.0,3154530.0,98.74,24846
2016-02-08,97.91,100.23,96.82,98.43,2664534.0,98.001,17143
2016-02-09,98.41,101.19,98.41,99.7,2804646.0,99.676,20171
2016-02-10,100.54,100.79,95.71,96.33,3418396.0,97.617,22109
2016-02-11,95.05,98.16,93.5,95.25,1979878.0,95.181,15633
2016-02-12,96.31,98.37,94.96,97.01,1736879.0,96.816,11951
2016-02-16,98.46,99.76,96.39,99.14,1600581.0,98.458,12511
2016-02-17,99.1,100.39,97.16,97.53,2315295.0,98.404,17450
2016-02-18,97.88,98.7,95.65,97.2,2019158.0,96.881,15882
2016-02-19,96.47,97.12,95.01,96.59,1770096.0,96.241,12461
2016-02-22,97.95,99.17,97.51,98.53,1373457.0,98.504,9183
2016-02-23,98.48,98.91,96.74,97.53,1704871.0,97.456,11143
2016-02-24,96.08,96.43,93.27,96.13,1858470.0,94.974,12711
