date,open,high,low,close,volume,average,barCount
2015-10-13,35.78,35.99,35.56,35.75,2060807.0,35.714,12589
2015-10-14,35.85,35.99,35.58,35.6,1391202.0,35.746,8638
2015-10-15,35.7,36.3,35.64,36.24,1180750.0,36.04,7311
2015-10-16,36.37,36.69,36.27,36.39,1696033.0,36.439,10235
2015-10-19,36.31,36.63,36.17,36.59,1679141.0,36.466,10622
2015-10-20,36.53,36.89,36.44,36.79,1422899.0,36.773,9335
2015-10-21,36.9,37.16,36.66,36.67,1577960.0,36.809,9686
2015-10-22,36.77,37.3,36.68,37.17,1125981.0,37.068,7358
2015-10-23,37.08,37.13,36.53,36.74,1784247.0,36.767,9950
2015-10-26,36.58,36.82,36.22,36.82,1667274.0,36.519,10653
2015-10-27,36.73,36.89,36.31,36.53,1884320.0,36.578,10041
2015-10-28,36.56,36.69,35.83,36.25,2031968.0,36.263,13729
2015-10-29,35.56,36.22,35.13,35.75,3602643.0,35.421,20771
2015-10-30,35.87,36.27,35.65,36.07,1657874.0,36.08,11053
2015-11-02,36.06,36.22,35.75,35.95,1845625.0,35.92,11923
2015-11-03,35.81,36.27,35.54,36.24,2504156.0,35.934,16348
2015-11-04,36.01,36.19,35.62,35.8,2829862.0,35.859,16519
2015-11-05,35.77,36.11,35.7,35.83,2856608.0,35.938,15765
2015-11-06,35.25,35.78,33.91,34.24,4421612.0,34.3,26090
2015-11-09,34.02,34.45,33.84,34.4,2981319.0,34.158,16316
2015-11-10,34.44,35.1,34.4,34.99,2576800.0,34.948,14285
2015-11-11,35.06,35.52,35.0,35.34,1788558.0,35.311,11799
2015-11-12,35.27,35.64,34.68,34.82,1379106.0,35.004,9692
2015-11-13,34.85,35.15,34.49,34.62,1296582.0,34.701,8486
2015-11-16,34.71,35.57,34.55,35.56,2374316.0,35.229,13975
2015-11-17,35.41,35.74,34.85,35.01,2315808.0,35.156,15315
2015-11-18,34.97,35.41,34.63,35.34,1870827.0,35.015,12025
2015-11-19,35.41,35.7,35.24,35.44,1631184.0,35.458,11319
2015-11-20,35.59,35.93,35.51,35.64,1525096.0,35.677,8999
2015-11-23,35.67,35.83,35.12,35.27,1440330.0,35.39,9039
2015-11-24,35.11,35.31,34.69,35.02,1517320.0,34.921,9144
2015-11-25,35.07,35.07,34.62,34.81,1207904.0,34.87,7033
2015-11-27,34.87,35.28,34.87,35.17,625883.0,35.149,4071
2015-11-30,35.2,35.39,34.96,35.02,1334935.0,35.142,8439
2015-12-01,35.13,35.4,34.96,35.39,1630912.0,35.204,9116
2015-12-02,35.27,35.39,34.75,34.79,2771327.0,34.924,15786
2015-12-03,34.66,34.66,34.18,34.24,2470712.0,34.444,14551
2015-12-04,34.37,35.05,34.24,34.98,1556487.0,34.877,10458
2015-12-07,34.91,35.51,34.82,35.5,2588876.0,35.276,15854
2015-12-08,35.44,35.61,35.1,35.38,2702642.0,35.377,15746
2015-12-09,35.22,35.62,35.07,35.26,2079306.0,35.281,12840
2015-12-10,35.27,35.31,34.72,34.87,2502493.0,34.907,16147
2015-12-11,34.73,35.09,34.51,34.86,1358106.0,34.878,8758
2015-12-14,34.76,35.22,34.76,35.03,2331879.0,34.933,14833
2015-12-15,35.11,35.49,35.04,35.22,2029724.0,35.303,14312
2015-12-16,35.35,36.25,35.29,36.23,1710104.0,35.964,12549
2015-12-17,36.17,36.43,35.86,36.2,1950941.0,36.139,11891
2015-12-18,36.05,36.09,35.34,35.61,1413257.0,35.67,8543
2015-12-21,35.71,35.98,35.24,35.59,1540693.0,35.567,9255
2015-12-22,35.69,35.82,35.0,35.69,1646635.0,35.458,10771
2015-12-23,35.86,36.18,35.76,36.1,1632297.0,35.995,10873
2015-12-24,36.03,36.14,35.89,36.01,853623.0,35.973,4873
2015-12-28,35.91,36.45,35.89,36.41,1132450.0,36.244,6252
2015-12-29,36.53,36.77,36.42,36.57,935016.0,36.624,6260
2015-12-30,36.64,36.82,36.59,36.68,746632.0,36.746,5350
2015-12-31,36.57,36.72,35.83,36.08,965900.0,36.193,6414
2016-01-04,35.83,36.09,35.26,35.61,3963934.0,35.611,22747
2016-01-05,35.56,36.02,34.96,35.89,1847259.0,35.618,13512
2016-01-06,35.67,36.07,35.54,35.94,1492085.0,35.856,9886
2016-01-07,35.59,36.24,35.52,36.16,2875945.0,36.007,18404
2016-01-08,36.16,36.39,35.99,36.1,2551006.0,36.209,16776
2016-01-11,36.15,36.42,35.82,36.08,2305212.0,36.074,16397
2016-01-12,36.23,36.27,35.5,35.91,2372532.0,35.811,16100
2016-01-13,35.94,36.47,35.94,36.13,2849471.0,36.237,18565
2016-01-14,36.1,36.95,35.91,36.71,3075596.0,36.595,19462
2016-01-15,36.24,36.74,35.87,36.19,2642169.0,36.196,16411
2016-01-19,36.5,36.98,36.28,36.87,3472912.0,36.655,22942
2016-01-20,36.67,36.85,35.49,35.96,2351431.0,35.998,16875
2016-01-21,36.02,36.27,35.6,35.96,2229950.0,35.92,16368
2016-01-22,36.21,36.64,35.81,36.55,2177771.0,36.281,15491
2016-01-25,36.64,36.66,36.2,36.38,1508839.0,36.39,11202
2016-01-26,36.48,37.26,36.43,36.88,2560614.0,36.917,15192
2016-01-27,36.86,37.6,36.74,37.37,2996198.0,37.331,20499
2016-01-28,37.35,38.31,37.04,37.87,2555101.0,37.901,17755
2016-01-29,38.24,39.1,38.04,38.88,3780122.0,38.835,23870
2016-02-01,38.87,39.44,38.66,39.19,2584413.0,39.164,17204
2016-02-02,39.28,39.61,38.97,39.46,2991619.0,39.288,17768
2016-02-03,39.78,39.78,39.2,39.44,4163284.0,39.501,27367
2016-02-04,38.49,39.76,37.57,39.26,3594246.0,39.346,23162
2016-02-05,39.06,40.0,38.63,39.88,2048534.0,39.65,13793
2016-02-08,39.97,40.58,39.39,39.84,3426646.0,39.708,19867
2016-02-09,39.83,40.21,39.53,39.87,2721005.0,39.829,19528
2016-02-10,39.75,40.13,38.96,39.48,3066448.0,39.443,18984
2016-02-11,39.45,39.61,39.08,39.27,2211156.0,39.299,16038
2016-02-12,39.33,39.64,38.85,39.19,3044014.0,39.1,17714
2016-02-16,39.34,39.34,38.63,39.18,2391040.0,39.017,15498
2016-02-17,39.19,39.28,38.8,39.0,2169596.0,38.98,15437
2016-02-18,38.98,39.85,38.83,39.68,1932635.0,39.548,12702
2016-02-19,39.65,39.79,39.27,39.4,1681438.0,39.491,11198
2016-02-22,39.47,39.84,39.36,39.68,1545521.0,39.561,10296
2016-02-23,39.58,40.0,39.2,39.93,2061105.0,39.751,12482
2016-02-24,39.94,40.28,39.75,40.2,2602509.0,40.051,15491
2016-02-25,40.39,40.79,40.12,40.59,1837212.0,40.544,11602
2016-02-26,40.31,40.47,39.4,39.5,2214368.0,39.724,14767
2016-02-29,39.41,39.89,39.33,39.56,2138325.0,39.658,13449
2016-03-01,39.71,39.89,39.09,39.44,2143618.0,39.411,14031
2016-03-02,39.26,39.46,38.32,39.45,1942985.0,39.076,12891
2016-03-03,39.33,39.71,38.78,39.69,1959652.0,39.263,12421
2016-03-04,39.42,40.48,39.27,40.39,3156422.0,40.145,15180
2016-03-07,40.48,40.61,40.13,40.56,1861899.0,40.44,13396
