date,open,high,low,close,volume,average,barCount
2015-10-13,28.66,29.64,28.5,28.63,2394372.0,29.0595,8921
2015-10-14,28.72,29.24,28.18,28.38,2272094.0,28.5055,8576
2015-10-15,28.0,28.84,27.6,28.84,2329476.0,28.323,7229
2015-10-16,28.92,29.31,28.74,29.05,2084416.0,29.02,7093
2015-10-19,29.03,30.56,28.98,30.33,2949616.0,30.1485,11002
2015-10-20,30.38,30.56,29.79,29.96,3210538.0,30.12,10763
2015-10-21,30.19,30.32,27.75,29.15,3864642.0,28.848,14024
2015-10-22,28.92,29.01,27.0,27.77,4886800.0,27.8495,16409
2015-10-23,27.96,28.73,27.79,28.63,3337988.0,28.416,12721
2015-10-26,28.68,29.17,28.29,29.03,2849744.0,28.88,12047
2015-10-27,29.37,30.66,29.13,30.42,4988150.0,30.095,18872
2015-10-28,30.34,30.63,28.89,30.55,4915270.0,29.816,16396
2015-10-29,30.52,31.0,30.09,30.22,2514350.0,30.3255,9323
2015-10-30,30.27,30.55,29.7,29.74,1841652.0,29.9835,7340
2015-11-02,29.75,30.78,29.39,30.46,2441098.0,30.443,9160
2015-11-03,30.25,30.78,30.03,30.68,2563896.0,30.512,10401
2015-11-04,30.72,30.74,29.63,30.39,2660812.0,30.136,9652
2015-11-05,30.37,31.05,30.24,30.87,1699706.0,30.721,6883
2015-11-06,30.57,30.97,30.32,30.88,1611482.0,30.7525,6545
2015-11-09,30.68,30.87,30.26,30.54,1236486.0,30.502,4995
2015-11-10,30.5,30.77,30.13,30.43,1313186.0,30.4165,5289
2015-11-11,30.63,30.63,29.54,29.55,1437790.0,29.9035,5300
2015-11-12,29.36,29.43,28.61,28.63,2029596.0,28.984,8243
2015-11-13,28.48,28.86,27.86,28.64,2494178.0,28.5675,10298
2015-11-16,28.58,29.35,28.48,29.25,1990930.0,28.9955,7381
2015-11-17,29.29,29.88,28.95,29.44,1731356.0,29.535,6720
2015-11-18,29.44,29.97,29.05,29.74,1417122.0,29.4645,5574
2015-11-19,29.11,29.23,26.96,27.24,6501094.0,27.344,22564
2015-11-20,27.78,29.37,27.73,28.71,3721762.0,28.801,12530
2015-11-23,28.74,29.4,28.46,28.49,2082298.0,28.798,8569
2015-11-24,28.28,28.67,28.17,28.49,2100180.0,28.4545,7618
2015-11-25,28.59,28.7,28.29,28.38,1307830.0,28.4705,5240
2015-11-27,28.48,29.53,28.27,29.36,1309548.0,29.151,5243
2015-11-30,29.5,29.64,28.69,28.88,2084112.0,28.9365,8347
2015-12-01,29.16,29.63,28.74,29.5,2367638.0,29.2675,8600
