date,open,high,low,close,volume,average,barCount
2015-10-13,54.78,55.9,54.36,55.04,5228748.0,55.306,31282
2015-10-14,55.05,55.7,54.88,55.46,5150086.0,55.371,29501
2015-10-15,54.36,55.28,53.8,55.23,6374693.0,54.653,37301
2015-10-16,55.69,55.95,54.51,55.23,6239193.0,55.035,32350
2015-10-19,54.49,54.78,53.48,53.69,5880623.0,53.795,31619
2015-10-20,53.9,54.25,53.19,53.54,7683375.0,53.644,41464
2015-10-21,53.41,53.82,52.9,52.97,5655202.0,53.359,32057
2015-10-22,53.33,54.76,53.19,54.58,6468061.0,54.201,37600
2015-10-23,54.3,54.81,53.65,54.61,5043402.0,54.342,28471
2015-10-26,54.56,54.57,52.94,52.95,4439358.0,53.326,25053
2015-10-27,52.01,52.13,50.74,51.69,6942508.0,51.559,37176
2015-10-28,51.75,53.67,51.58,53.34,8193288.0,53.059,47263
2015-10-29,52.19,54.55,51.14,53.62,8255730.0,53.32,47222
2015-10-30,53.93,54.17,52.59,53.35,5985892.0,53.517,35956
2015-11-02,53.0,55.25,52.87,54.94,6787981.0,54.187,38277
2015-11-03,55.3,57.15,55.16,56.73,7988507.0,56.495,42021
2015-11-04,56.73,56.8,55.47,56.34,7597502.0,56.151,37218
2015-11-05,55.88,57.24,55.77,56.28,6316034.0,56.472,37618
2015-11-06,55.77,56.44,55.0,55.77,5765094.0,55.569,31135
2015-11-09,55.63,56.14,54.39,54.64,4684435.0,54.857,28931
2015-11-10,54.48,55.15,54.0,54.65,4362048.0,54.53,25263
2015-11-11,54.52,54.74,53.33,53.44,5968099.0,53.87,37195
2015-11-12,52.45,53.08,51.8,51.97,6013498.0,52.291,33530
2015-11-13,51.89,52.11,51.03,51.83,5400145.0,51.696,35153
2015-11-16,51.9,54.44,51.59,54.37,7122747.0,53.125,42307
2015-11-17,54.15,54.69,53.45,53.9,5506318.0,54.117,36404
2015-11-18,54.44,55.07,53.44,54.48,4080941.0,54.197,25918
2015-11-19,54.19,54.47,53.18,53.56,5301793.0,53.71,31435
2015-11-20,53.62,54.05,52.64,52.93,4847662.0,53.115,27363
2015-11-23,52.79,53.77,52.47,53.28,4746915.0,53.253,28050
2015-11-24,53.46,55.61,53.38,55.32,6563516.0,54.996,39762
2015-11-25,54.99,55.08,54.32,54.38,4306784.0,54.69,26985
2015-11-27,53.83,54.09,53.25,53.48,2217644.0,53.537,14346
2015-11-30,53.51,54.49,53.35,54.05,6411064.0,54.053,40262
2015-12-01,54.46,54.75,53.9,54.61,6485170.0,54.404,40257
2015-12-02,54.21,54.57,52.18,52.55,9123830.0,53.187,53581
2015-12-03,52.81,52.98,51.48,51.61,9131110.0,52.028,46936
2015-12-04,50.84,51.49,50.15,51.19,7918624.0,50.789,46354
2015-12-07,49.94,50.29,48.16,48.99,9901895.0,49.01,54855
2015-12-08,47.65,49.15,46.88,48.3,7371027.0,48.347,41353
2015-12-09,48.3,49.74,47.75,48.47,7593360.0,48.539,47110
2015-12-10,48.23,49.95,48.01,49.22,8829705.0,49.454,49724
2015-12-11,48.25,48.45,46.81,48.13,12475081.0,47.664,70326
2015-12-14,47.58,50.14,47.4,49.53,12067325.0,48.945,74139
2015-12-15,50.35,51.06,50.14,50.56,8987803.0,50.679,54278
2015-12-16,50.3,50.84,49.12,49.35,9136687.0,49.681,57751
2015-12-17,49.37,49.46,46.92,47.28,10934014.0,47.583,66315
2015-12-18,47.05,47.58,45.76,45.93,12505992.0,46.628,68686
2015-12-21,46.03,46.15,44.56,45.1,9512778.0,45.13,56858
2015-12-22,45.18,46.56,44.91,46.28,8754485.0,46.054,50655
2015-12-23,47.29,49.07,47.27,49.03,8369783.0,48.373,45807
2015-12-24,49.04,49.21,48.06,48.59,2623251.0,48.574,14584
2015-12-28,47.61,47.79,46.94,47.19,7550773.0,47.311,44881
2015-12-29,48.23,48.37,47.2,47.77,5400537.0,47.684,29681
2015-12-30,46.94,47.74,46.54,46.6,5581222.0,46.89,29761
2015-12-31,46.06,47.2,45.88,46.69,5510775.0,46.793,30353
2016-01-04,46.41,47.77,46.08,46.88,7067114.0,46.714,45907
2016-01-05,46.67,47.52,45.99,47.4,5914072.0,46.871,37784
2016-01-06,46.05,46.32,45.04,45.35,9408864.0,45.663,55821
2016-01-07,44.74,45.62,43.92,44.06,9478312.0,44.629,59350
2016-01-08,44.18,44.59,42.86,43.29,7730539.0,43.455,49378
2016-01-11,43.32,43.62,40.6,41.12,15559572.0,41.513,78353
2016-01-12,41.87,42.04,39.13,40.25,14834967.0,40.295,80834
2016-01-13,40.75,41.79,38.87,39.0,16986315.0,40.066,96494
2016-01-14,39.21,41.82,38.66,41.25,15369125.0,40.47,91080
2016-01-15,39.34,40.45,38.36,39.36,16363590.0,39.192,90438
2016-01-19,39.74,39.89,35.6,36.4,17815912.0,37.167,90749
2016-01-20,35.5,35.61,32.71,34.75,28603835.0,33.95,145463
2016-01-21,34.89,37.34,34.64,36.91,17720834.0,36.181,90169
2016-01-22,38.21,39.57,36.74,37.67,16273274.0,37.773,92888
2016-01-25,36.8,37.48,34.19,34.2,17000913.0,35.445,92868
2016-01-26,35.07,35.91,33.44,35.35,26406146.0,34.557,131869
2016-01-27,34.92,37.73,34.18,36.21,20013936.0,36.092,116287
2016-01-28,37.92,39.43,37.08,38.02,15028000.0,38.002,84750
2016-01-29,38.09,39.27,37.52,39.08,15025200.0,38.49,83100
2016-02-01,38.24,38.98,37.61,38.6,10562331.0,38.291,64491
2016-02-02,37.61,38.18,36.44,36.59,13984633.0,37.171,75921
2016-02-03,37.59,38.73,35.59,38.63,17701975.0,37.363,96523
2016-02-04,38.5,39.0,35.02,35.32,44254147.0,36.437,208415
2016-02-05,34.02,34.41,31.59,32.9,43000218.0,32.967,191852
2016-02-08,31.95,34.5,31.68,34.43,20296640.0,33.312,95384
2016-02-09,33.22,34.16,32.7,33.58,18184635.0,33.364,99253
2016-02-10,33.29,34.38,32.05,32.34,14912465.0,33.102,83157
2016-02-11,31.23,32.38,31.05,31.88,18958931.0,31.612,88775
2016-02-12,32.29,33.35,31.9,32.9,13023100.0,32.687,66371
2016-02-16,33.49,33.7,32.55,32.76,10974157.0,32.896,58283
2016-02-17,33.3,34.39,33.02,33.91,16663755.0,33.907,74014
2016-02-18,34.48,34.51,33.44,33.7,15322919.0,34.014,72385
2016-02-19,33.15,33.28,32.09,32.87,12963723.0,32.589,59583
2016-02-22,33.69,34.7,33.51,34.45,9856480.0,34.32,50819
2016-02-23,33.92,34.61,32.91,32.92,8397112.0,33.39,42444
2016-02-24,32.1,33.04,31.82,32.96,9582638.0,32.506,41050
2016-02-25,33.07,33.35,31.97,33.06,9237352.0,32.587,42351
2016-02-26,33.86,34.81,33.82,34.12,9529094.0,34.337,50296
2016-02-29,34.57,34.59,33.58,33.83,7557509.0,34.032,38902
2016-03-01,34.07,34.75,33.33,34.46,9654873.0,34.227,47263
2016-03-02,34.28,36.51,34.1,36.49,15406622.0,35.63,75819
2016-03-03,36.5,38.81,36.32,38.56,17801666.0,37.788,87788
2016-03-04,38.92,41.68,38.8,41.12,22649688.0,40.657,105804
2016-03-07,41.25,42.45,40.9,41.4,15569898.0,41.678,72865
2016-03-08,41.2,41.25,38.56,38.62,12144902.0,39.433,60140
2016-03-09,39.35,39.72,38.38,39.05,11920169.0,39.135,60608
2016-03-10,38.87,39.14,38.36,39.03,9458291.0,38.772,55777
2016-03-11,39.8,40.66,39.73,40.52,11775235.0,40.255,58220
2016-03-14,39.7,40.46,39.39,40.01,7809890.0,40.031,46933
2016-03-15,39.21,39.85,38.81,39.83,6101556.0,39.221,35657
2016-03-16,40.24,41.97,40.18,41.87,8790949.0,41.099,53323
2016-03-17,42.4,43.78,42.19,43.01,10070601.0,43.15,59407
2016-03-18,43.59,44.4,42.45,43.02,12263672.0,43.23,62386
2016-03-21,42.73,43.41,42.16,42.58,6918695.0,42.737,37826
2016-03-22,42.25,42.78,41.91,41.92,6349072.0,42.335,37117
2016-03-23,41.29,41.68,39.81,39.85,9618760.0,40.32,52075
2016-03-24,38.93,40.1,38.53,40.04,7220724.0,39.478,38636
