date,open,high,low,close,volume,average,barCount
2015-10-12,146.67,147.16,144.85,146.72,324386.0,146.276,2623
2015-10-13,146.51,147.23,145.05,145.59,534729.0,146.254,4144
2015-10-14,145.42,146.33,143.58,144.45,433403.0,144.673,3496
2015-10-15,144.88,145.49,142.02,145.17,391096.0,144.345,3196
2015-10-16,145.43,145.92,144.31,145.65,217344.0,145.119,1858
2015-10-19,144.75,149.09,144.75,146.86,611834.0,147.022,4404
2015-10-20,146.64,146.95,144.63,145.67,423894.0,145.63,2468
2015-10-21,145.73,146.5,143.91,144.59,633012.0,145.092,4122
2015-10-22,145.94,147.46,144.72,146.36,280614.0,146.295,2067
2015-10-23,147.83,148.81,145.91,148.51,322609.0,147.712,2395
2015-10-26,148.07,148.7,146.64,146.92,327610.0,147.447,2657
2015-10-27,146.61,146.61,140.48,141.3,736290.0,141.655,6174
2015-10-28,141.3,144.74,137.69,144.73,431589.0,142.914,3410
2015-10-29,144.56,145.43,142.28,144.67,280570.0,144.562,2244
2015-10-30,145.0,145.78,143.34,144.86,303915.0,144.808,2355
2015-11-02,144.84,145.76,144.03,144.95,402105.0,144.784,3187
2015-11-03,144.47,148.84,144.42,147.95,405970.0,147.61,3228
2015-11-04,147.93,148.51,142.72,144.0,826316.0,144.449,6343
2015-11-05,150.0,157.73,150.0,154.59,2074794.0,154.347,15645
2015-11-06,154.73,157.97,154.06,156.4,778220.0,155.745,5363
2015-11-09,155.67,156.43,151.1,153.47,733134.0,153.143,4492
2015-11-10,152.9,154.5,151.75,154.19,583503.0,153.338,3226
2015-11-11,154.26,155.45,153.06,153.12,317835.0,153.748,2394
2015-11-12,152.56,153.25,150.56,150.63,241945.0,151.507,1976
2015-11-13,150.33,151.58,146.74,146.82,261643.0,147.969,2136
2015-11-16,146.41,149.69,145.59,148.52,374955.0,147.137,2567
2015-11-17,148.94,150.58,147.57,148.27,453356.0,148.826,3440
2015-11-18,148.77,151.95,148.09,151.72,413678.0,150.262,3315
2015-11-19,151.78,152.43,151.0,151.57,205907.0,151.717,1719
2015-11-20,152.33,153.28,151.64,152.21,300615.0,152.552,2512
2015-11-23,152.47,153.45,151.01,152.99,508103.0,152.816,3487
2015-11-24,152.5,155.28,150.88,154.72,558155.0,153.85,4285
2015-11-25,154.98,154.98,153.44,153.67,185053.0,153.898,1667
2015-11-27,153.45,154.12,152.02,152.74,59541.0,152.719,522
2015-11-30,152.85,154.09,151.76,153.71,299980.0,153.356,2189
2015-12-01,154.27,155.29,152.31,153.49,344514.0,153.452,2772
2015-12-02,153.37,153.58,151.35,151.96,175034.0,152.358,1436
2015-12-03,152.24,152.78,148.23,148.95,220154.0,150.261,1792
2015-12-04,148.97,151.08,148.59,150.52,309966.0,150.172,2699
2015-12-07,149.52,149.52,146.43,147.51,523341.0,147.192,4279
2015-12-08,146.04,148.23,143.84,147.6,1133210.0,146.963,5495
2015-12-09,147.24,150.86,144.91,146.0,940739.0,147.187,5148
2015-12-10,146.1,148.14,145.63,146.76,193768.0,147.052,1677
2015-12-11,144.36,145.87,139.67,139.81,1105512.0,142.069,7683
2015-12-14,139.5,141.25,136.83,139.31,761818.0,138.558,5788
2015-12-15,139.96,142.37,139.51,141.49,609623.0,141.466,5311
2015-12-16,141.95,144.52,141.6,144.25,528644.0,143.128,4651
2015-12-17,144.91,144.91,142.3,142.79,591978.0,143.183,4931
2015-12-18,141.93,142.45,140.14,140.32,342287.0,141.308,2943
2015-12-21,141.73,143.05,140.0,141.38,570879.0,141.011,4203
2015-12-22,142.1,142.87,139.83,142.14,402472.0,141.503,3455
2015-12-23,143.08,145.46,142.02,145.41,228219.0,144.695,1801
2015-12-24,145.11,146.01,144.58,145.34,87728.0,145.286,719
2015-12-28,144.8,145.05,142.46,143.85,180932.0,143.429,1491
2015-12-29,144.99,147.0,144.31,145.39,203829.0,145.393,1641
2015-12-30,145.36,145.43,142.96,143.12,147124.0,143.963,1304
2015-12-31,142.39,144.73,142.13,142.93,210923.0,143.535,1691
2016-01-04,140.31,142.29,139.39,140.63,578512.0,140.835,4124
2016-01-05,141.04,141.45,136.01,136.76,532846.0,137.216,3870
2016-01-06,134.66,135.72,131.26,132.66,1116228.0,133.433,6145
2016-01-07,130.2,131.32,128.43,128.5,810391.0,129.536,6106
2016-01-08,129.8,132.7,128.68,129.26,695678.0,130.656,4438
2016-01-11,130.15,130.28,123.7,125.56,751481.0,125.225,5057
2016-01-12,126.25,126.61,121.96,124.29,784861.0,123.533,6315
2016-01-13,125.13,125.13,116.85,117.66,1281017.0,119.798,10081
2016-01-14,117.82,120.62,115.99,120.02,725748.0,118.905,4770
2016-01-15,116.48,118.68,115.75,118.16,869993.0,117.642,6965
2016-01-19,119.46,119.71,114.24,114.85,849274.0,116.535,6276
2016-01-20,112.95,116.21,107.56,114.9,1512311.0,112.282,10097
2016-01-21,114.83,117.43,112.81,116.75,1195349.0,115.812,8744
2016-01-22,118.49,123.77,118.31,123.66,1316482.0,121.983,9633
2016-01-25,123.4,123.65,118.57,119.01,1050870.0,120.617,8474
2016-01-26,119.39,120.59,117.65,120.14,526876.0,119.366,3753
2016-01-27,119.15,120.37,117.42,118.02,756928.0,118.616,6110
2016-01-28,119.86,120.35,117.36,117.5,980880.0,117.901,7234
2016-01-29,118.26,122.89,118.0,122.84,630088.0,120.486,4810
2016-02-01,121.24,122.75,120.36,121.76,364232.0,121.766,3170
2016-02-02,120.51,120.51,117.47,117.75,1006594.0,118.109,7008
2016-02-03,118.24,122.25,117.16,121.9,1146692.0,119.48,7522
2016-02-04,121.09,125.3,121.09,124.75,756573.0,123.956,6229
2016-02-05,120.38,126.41,117.6,123.76,2573782.0,123.138,16715
2016-02-08,121.52,122.58,113.9,117.37,2698988.0,116.578,19513
2016-02-09,115.77,117.13,111.23,113.87,1098433.0,113.898,7486
2016-02-10,114.98,117.61,113.64,114.99,855101.0,115.535,5682
2016-02-11,112.65,114.32,112.08,113.39,755785.0,112.934,4869
2016-02-12,114.38,117.95,112.63,117.46,613476.0,116.519,4930
2016-02-16,119.11,124.87,118.41,124.61,984810.0,122.705,7546
2016-02-17,126.13,130.25,125.74,127.5,761846.0,128.623,5843
2016-02-18,128.42,128.46,125.77,126.99,575134.0,126.968,4525
2016-02-19,126.7,128.54,125.72,127.97,392157.0,127.627,3035
2016-02-22,129.21,132.4,128.43,129.79,847424.0,130.052,5713
2016-02-23,129.18,129.36,126.18,126.37,490815.0,127.779,3379
2016-02-24,124.9,128.27,124.2,128.12,680070.0,126.269,4141
2016-02-25,128.27,130.07,125.67,127.63,709807.0,126.709,4776
2016-02-26,128.36,128.49,126.87,128.0,543680.0,127.85,3533
2016-02-29,128.3,129.88,127.42,127.69,431656.0,128.877,3235
2016-03-01,129.5,134.8,127.97,134.57,1493255.0,131.42,9085
2016-03-02,134.15,135.38,131.74,135.24,1187433.0,133.818,6950
2016-03-03,135.31,138.43,134.66,137.71,899518.0,137.136,4271
2016-03-04,138.0,140.1,136.54,138.03,1600960.0,138.581,9358
2016-03-07,136.61,142.97,136.36,141.74,1197892.0,140.972,7604
2016-03-08,140.95,141.27,135.77,135.82,1383671.0,138.211,8130
2016-03-09,136.95,136.95,134.82,136.6,884090.0,136.282,4854
2016-03-10,137.11,137.61,133.51,135.1,422241.0,135.102,3668
2016-03-11,136.33,141.11,136.33,139.79,1003796.0,139.644,6137
2016-03-14,139.18,139.72,138.5,139.51,485472.0,139.058,3241
2016-03-15,138.49,139.97,137.2,139.97,671930.0,138.408,4315
2016-03-16,139.5,140.83,138.94,140.42,773879.0,139.93,5419
2016-03-17,141.19,144.32,139.92,142.79,995996.0,142.778,5516
2016-03-18,144.47,150.25,144.47,147.36,1751180.0,148.228,11914
2016-03-21,147.11,147.68,145.04,146.79,447650.0,146.592,3761
2016-03-22,145.7,147.23,144.54,146.86,383725.0,146.437,2795
2016-03-23,147.14,147.37,146.07,146.1,354095.0,146.784,2996
2016-03-24,144.76,145.94,144.12,145.86,372625.0,145.298,2999
2016-03-28,146.34,146.92,144.52,145.75,213790.0,145.709,1833
2016-03-29,145.66,147.85,144.9,147.66,438611.0,146.981,3436
2016-03-30,148.98,149.79,146.93,147.76,432034.0,148.419,3662
2016-03-31,147.05,149.56,146.72,148.75,329982.0,148.811,2839
2016-04-01,147.43,148.99,145.98,148.64,438294.0,147.555,3858
2016-04-04,148.82,149.72,148.06,149.06,799439.0,148.988,5069
2016-04-05,147.28,149.25,145.18,145.43,449641.0,146.485,3730
2016-04-06,145.19,147.27,144.68,146.7,430826.0,146.33,3685
2016-04-07,145.41,146.6,142.57,144.65,609366.0,144.335,3841
2016-04-08,145.92,148.23,145.22,145.68,499950.0,146.415,3070
2016-04-11,146.83,149.0,146.27,146.61,513225.0,147.361,3388
2016-04-12,146.74,150.47,145.88,148.98,770875.0,148.926,5177
2016-04-13,149.54,152.35,149.54,151.91,489628.0,151.272,3719
2016-04-14,150.9,151.14,149.27,151.02,677027.0,150.24,4093
2016-04-15,151.0,151.45,149.72,150.87,513497.0,150.871,3701
2016-04-18,150.01,152.6,149.94,152.48,404707.0,151.903,3288
2016-04-19,153.56,153.69,150.73,152.07,515702.0,151.854,2896
2016-04-20,151.1,153.99,151.06,153.2,350297.0,152.829,2818
2016-04-21,152.91,154.77,152.91,153.48,425086.0,154.058,3474
2016-04-22,152.5,154.54,152.4,154.27,326304.0,153.99,2785
2016-04-25,153.91,154.54,152.73,153.46,261976.0,153.5,2236
2016-04-26,153.77,154.42,152.92,153.57,277995.0,153.608,2165
2016-04-27,153.15,156.01,153.15,155.91,566508.0,154.508,3888
2016-04-28,155.49,156.58,153.38,153.78,439053.0,154.988,3291
2016-04-29,153.35,155.13,151.86,154.68,524974.0,153.595,4315
2016-05-02,155.0,156.23,154.08,155.59,666233.0,155.704,5024
2016-05-03,154.32,155.28,151.97,154.86,704374.0,153.923,5738
2016-05-04,153.75,154.15,150.96,152.72,927678.0,152.269,7259
2016-05-05,154.21,154.21,148.79,151.66,948942.0,151.992,7509
2016-05-06,150.45,151.98,150.0,151.43,511914.0,150.916,4545
2016-05-09,150.95,152.13,149.87,150.15,485345.0,150.772,4023
2016-05-10,150.4,152.78,150.4,152.39,726599.0,151.878,5343
2016-05-11,151.65,153.75,151.33,152.0,464678.0,152.719,3377
2016-05-12,153.47,153.65,149.91,150.93,594471.0,151.173,4020
2016-05-13,150.0,150.4,144.89,145.38,1425184.0,146.721,9198
2016-05-16,145.26,149.21,143.82,146.4,734869.0,146.008,5439
2016-05-17,146.25,148.86,144.38,144.98,661431.0,145.556,4566
2016-05-18,144.88,147.13,144.13,146.15,583514.0,146.004,4826
2016-05-19,145.66,146.23,143.98,145.48,385996.0,144.974,3297
2016-05-20,146.26,147.89,145.55,146.85,301611.0,147.041,2605
2016-05-23,146.56,147.75,145.86,146.53,243337.0,146.885,2093
2016-05-24,147.08,149.04,146.89,148.88,878662.0,147.774,6133
2016-05-25,149.27,150.52,149.27,150.2,655216.0,149.99,4549
2016-05-26,150.7,150.7,149.18,149.31,326807.0,149.784,2287
2016-05-27,149.17,150.92,148.87,150.17,324381.0,150.204,2539
2016-05-31,150.42,150.88,148.61,148.89,438908.0,149.31,3693
2016-06-01,148.32,150.21,147.39,150.02,374185.0,148.987,3158
2016-06-02,149.67,152.48,149.3,152.48,521949.0,151.18,4280
2016-06-03,151.79,152.13,148.78,150.44,295996.0,149.956,2661
2016-06-06,151.2,153.87,150.58,153.81,362519.0,153.097,2892
2016-06-07,153.95,154.46,152.54,152.85,354809.0,153.088,2817
2016-06-08,152.95,153.58,152.14,152.39,285628.0,152.629,2184
2016-06-09,151.17,151.17,149.99,150.0,290380.0,150.414,2426
2016-06-10,149.5,149.9,147.0,147.34,794086.0,148.059,5556
2016-06-13,146.64,147.66,145.93,145.93,346891.0,146.826,2502
2016-06-14,145.65,146.3,143.44,143.99,517501.0,144.169,4253
2016-06-15,144.62,146.24,143.98,144.66,431932.0,145.012,3402
2016-06-16,144.07,144.43,141.15,144.05,336799.0,143.061,2631
2016-06-17,143.96,145.55,142.74,144.35,170202.0,144.48,1469
2016-06-20,146.77,147.6,145.03,145.09,180559.0,146.197,1545
2016-06-21,145.44,146.68,145.07,146.07,279853.0,145.937,2385
2016-06-22,146.34,146.34,143.81,144.17,413707.0,144.833,3489
2016-06-23,145.62,146.4,144.77,146.4,294131.0,145.562,2588
2016-06-24,138.94,143.22,138.94,141.49,1066332.0,142.049,8719
2016-06-27,140.18,140.63,133.64,134.67,778641.0,135.371,6746
2016-06-28,136.21,139.38,135.91,139.23,497941.0,137.763,4296
2016-06-29,140.0,144.05,139.53,143.13,687250.0,142.39,4334
2016-06-30,143.56,143.75,141.13,143.13,555189.0,142.753,4462
2016-07-01,143.44,144.35,142.0,142.75,447877.0,143.105,3452
2016-07-05,141.72,141.72,138.71,139.51,522412.0,139.579,4212
2016-07-06,138.59,139.65,137.26,139.61,743951.0,138.649,6202
2016-07-07,139.72,141.01,139.05,140.15,316026.0,139.942,2761
2016-07-08,141.78,144.01,140.84,143.79,275217.0,143.379,2399
2016-07-11,144.25,144.98,143.12,143.69,255094.0,144.117,2123
2016-07-12,145.05,150.48,145.0,150.06,619714.0,149.037,4478
2016-07-13,150.06,151.96,149.18,149.67,577597.0,150.445,4450
2016-07-14,151.2,152.73,150.1,151.85,629720.0,151.774,4527
2016-07-15,151.99,152.04,150.25,150.45,325793.0,151.064,2628
2016-07-18,150.99,150.99,149.85,150.4,138345.0,150.413,1114
2016-07-19,150.0,150.75,149.56,150.2,230741.0,150.099,1711
2016-07-20,150.91,152.22,149.45,151.88,217546.0,151.39,1654
2016-07-21,151.46,151.7,149.1,149.99,466782.0,149.825,3491
2016-07-22,150.06,152.0,150.0,151.8,212594.0,151.171,1482
2016-07-25,151.41,151.96,150.31,151.16,381942.0,151.197,2357
2016-07-26,151.27,152.05,150.45,152.02,165397.0,151.511,1470
2016-07-27,151.93,152.33,150.06,150.75,185625.0,150.876,1721
2016-07-28,150.83,152.3,150.56,152.16,207087.0,151.781,1628
2016-07-29,151.7,152.62,150.96,151.68,520867.0,151.784,4112
2016-08-01,151.19,152.74,150.37,152.31,632951.0,151.962,4765
2016-08-02,152.32,152.32,148.2,150.59,559585.0,149.729,4938
2016-08-03,150.13,154.33,150.13,153.72,401359.0,152.964,3227
2016-08-04,153.18,155.56,153.18,154.79,685728.0,154.34,4725
2016-08-05,160.0,168.51,159.61,162.32,1473802.0,162.897,10502
2016-08-08,162.64,163.47,161.54,163.47,756973.0,162.587,5932
2016-08-09,163.71,164.56,162.66,163.01,385823.0,163.232,2985
2016-08-10,162.79,163.11,161.44,162.54,428433.0,162.235,2412
2016-08-11,162.82,165.15,162.68,164.72,524741.0,164.46,3999
2016-08-12,164.27,166.22,163.81,164.46,348267.0,165.307,2753
2016-08-15,164.74,169.03,164.66,168.94,560878.0,167.966,4570
2016-08-16,168.52,169.59,167.03,167.99,526825.0,168.606,4047
2016-08-17,167.61,168.47,166.52,168.21,297392.0,167.578,2650
2016-08-18,168.04,168.59,167.03,168.55,325411.0,168.033,2563
2016-08-19,168.0,168.76,167.17,167.56,578645.0,167.78,4310
2016-08-22,167.28,167.84,166.27,167.41,399870.0,166.946,3044
2016-08-23,167.83,168.87,167.01,168.44,512122.0,168.131,2639
2016-08-24,168.5,168.9,165.57,166.02,259330.0,166.544,2057
2016-08-25,165.29,166.86,165.26,165.8,350058.0,165.815,3072
2016-08-26,165.5,167.61,165.13,166.57,248513.0,166.511,2028
2016-08-29,166.55,167.52,165.53,166.13,283043.0,166.243,1944
2016-08-30,167.1,167.28,165.17,166.08,216790.0,165.923,1771
2016-08-31,165.83,166.62,163.86,164.2,1172297.0,164.287,7329
2016-09-01,164.51,168.47,164.51,167.67,1111681.0,167.469,7602
2016-09-02,168.06,169.43,167.33,167.63,541150.0,167.854,3839
2016-09-06,167.28,168.35,165.75,167.8,964626.0,166.957,6836
2016-09-07,168.2,169.23,167.53,167.96,429971.0,168.23,3676
2016-09-08,167.82,168.3,167.08,167.64,438622.0,167.604,3370
2016-09-09,165.95,166.16,160.55,160.85,682147.0,162.541,5406
