date,open,high,low,close,volume,average,barCount
2015-10-12,51.41,51.43,50.81,50.89,1356886.0,51.074,8497
2015-10-13,50.74,50.93,50.24,50.3,946866.0,50.521,6064
2015-10-14,50.36,50.47,49.36,49.48,1170409.0,49.701,7177
2015-10-15,49.75,49.9,48.93,49.5,1464478.0,49.291,9293
2015-10-16,49.78,49.94,49.34,49.49,1337612.0,49.536,8178
2015-10-19,49.46,49.65,49.17,49.4,1720938.0,49.371,9213
2015-10-20,49.39,49.56,49.1,49.49,1804999.0,49.423,11449
2015-10-21,49.56,49.95,49.44,49.71,1858590.0,49.763,10724
2015-10-22,49.95,51.77,49.94,51.43,2650659.0,51.229,15703
2015-10-23,51.67,51.68,51.1,51.43,1150227.0,51.357,7832
2015-10-26,51.48,51.76,51.32,51.61,891723.0,51.574,5397
2015-10-27,51.41,51.63,50.89,51.19,1016604.0,51.205,6165
2015-10-28,51.27,51.38,50.33,50.79,1093495.0,50.833,7061
2015-10-29,50.69,51.37,50.38,51.2,777483.0,50.923,5153
2015-10-30,51.11,51.45,50.78,50.79,887662.0,51.126,6403
2015-11-02,50.88,50.99,50.36,50.74,974130.0,50.596,6001
2015-11-03,50.5,50.75,49.7,50.23,1031685.0,50.081,6536
2015-11-04,50.37,50.56,50.0,50.44,878738.0,50.347,6459
2015-11-05,50.37,50.44,49.8,50.4,890289.0,50.163,6347
2015-11-06,49.97,50.06,48.28,48.77,1874343.0,48.657,12310
2015-11-09,48.6,48.82,48.2,48.67,1065399.0,48.54,7467
2015-11-10,48.6,48.94,48.2,48.3,1398748.0,48.369,8030
2015-11-11,48.3,49.24,48.3,48.87,1169912.0,48.924,7927
2015-11-12,48.52,48.85,48.12,48.3,1506654.0,48.316,10497
2015-11-13,47.88,48.47,47.8,47.97,1515311.0,48.028,10013
2015-11-16,47.92,48.7,47.77,48.68,842253.0,48.433,6488
2015-11-17,48.68,48.75,47.92,48.04,1049219.0,48.267,8150
2015-11-18,48.13,49.07,47.97,49.04,1652737.0,48.61,12725
2015-11-19,49.08,49.67,48.98,49.47,1677726.0,49.421,13120
2015-11-20,49.7,49.72,48.74,48.82,1431084.0,49.152,10734
2015-11-23,49.18,49.93,49.07,49.79,1682253.0,49.691,11278
2015-11-24,51.71,52.48,50.92,51.33,3188839.0,51.37,21101
2015-11-25,51.46,52.78,51.35,52.52,2118039.0,52.488,14554
2015-11-27,52.61,53.31,52.59,53.1,1313220.0,53.069,9185
2015-11-30,53.18,53.35,52.04,52.24,2300586.0,52.319,15591
2015-12-01,53.49,53.9,52.47,52.81,2879013.0,53.055,19534
2015-12-02,52.92,52.98,52.01,52.69,2394183.0,52.628,16956
2015-12-03,52.72,53.75,52.19,52.44,3264248.0,52.88,22308
2015-12-04,52.64,53.48,52.54,53.12,2527272.0,52.948,15850
2015-12-07,53.14,53.41,52.69,53.12,2015151.0,53.023,10868
2015-12-08,52.71,53.56,52.49,53.49,2059029.0,53.218,13075
2015-12-09,53.43,55.08,52.98,53.53,2279568.0,53.47,15812
2015-12-10,53.45,54.66,53.05,53.64,1736433.0,53.677,11757
