date,open,high,low,close,volume,average,barCount
2015-10-13,76.91,77.43,76.55,76.86,492179.0,76.943,3837
2015-10-14,77.12,77.27,76.15,76.31,556218.0,76.648,4166
2015-10-15,76.5,77.5,76.42,77.42,430021.0,77.135,3091
2015-10-16,77.47,78.93,77.39,77.62,259646.0,77.807,2236
2015-10-19,77.4,79.09,77.4,79.04,314391.0,78.454,2685
2015-10-20,79.0,80.0,78.41,78.75,293168.0,78.87,2362
2015-10-21,78.92,79.44,78.22,78.56,930655.0,79.092,3086
2015-10-22,79.18,79.37,78.59,78.95,608802.0,78.941,4437
2015-10-23,78.8,79.27,77.56,78.11,427035.0,78.134,3151
2015-10-26,77.6,78.08,77.0,77.56,717026.0,77.406,6069
2015-10-27,77.66,78.18,77.13,77.58,580335.0,77.533,4115
2015-10-28,77.55,78.18,75.28,76.71,579891.0,76.449,4750
2015-10-29,76.23,77.42,75.73,76.38,910860.0,76.763,6478
2015-10-30,76.8,76.95,73.12,73.79,1372473.0,74.167,10896
2015-11-02,73.79,76.09,73.65,76.06,722064.0,75.208,5595
2015-11-03,75.8,76.22,75.13,75.88,575484.0,75.736,4469
2015-11-04,75.85,76.19,75.04,75.48,237946.0,75.452,2030
2015-11-05,75.32,76.37,74.83,76.34,407849.0,75.935,3206
2015-11-06,75.57,75.97,73.23,73.99,490196.0,74.134,4062
2015-11-09,73.34,73.78,72.59,73.56,650525.0,73.248,5319
2015-11-10,74.3,75.62,74.19,75.15,575303.0,74.972,4746
2015-11-11,75.18,76.18,74.97,75.57,372705.0,75.59,2998
2015-11-12,75.39,76.08,74.83,74.98,365373.0,75.201,3077
2015-11-13,75.26,75.54,74.25,74.34,277258.0,74.77,2403
2015-11-16,74.31,75.28,67.27,75.22,367545.0,74.924,3273
2015-11-17,74.95,76.1,74.68,75.6,340109.0,75.654,2848
2015-11-18,75.9,75.98,74.77,75.74,241419.0,75.513,2119
2015-11-19,75.83,76.33,75.46,76.04,424827.0,75.897,3277
2015-11-20,76.29,78.61,75.08,76.45,765616.0,76.54,4939
2015-11-23,76.62,77.23,76.11,76.52,229824.0,76.544,1939
2015-11-24,76.02,76.38,75.53,75.98,324636.0,75.934,2719
2015-11-25,76.13,76.91,76.13,76.83,301858.0,76.583,2468
