date,open,high,low,close,volume,average,barCount
2015-12-22,8.45,8.61,8.42,8.58,15547656.0,8.545,30726
2015-12-23,8.59,8.79,8.52,8.71,14721351.0,8.702666666666667,26729
2015-12-24,8.72,8.8,8.69,8.71,3946074.0,8.723,8865
2015-12-28,8.72,8.74,8.62,8.65,8200134.0,8.659,17707
2015-12-29,8.69,8.81,8.67,8.79,10196739.0,8.753666666666668,21353
2015-12-30,8.71,8.74,8.62,8.63,12441594.0,8.681666666666667,23763
2015-12-31,8.5,8.71,8.5,8.65,11579019.0,8.640666666666666,24385
2016-01-04,8.45,8.6,8.36,8.6,24239556.0,8.488333333333333,53103
2016-01-05,8.6,8.66,8.4,8.51,14226432.0,8.486666666666666,32381
2016-01-06,8.35,8.41,8.06,8.12,22870491.0,8.175666666666666,43789
2016-01-07,7.95,8.1,7.86,7.87,26185239.0,7.955333333333333,56373
2016-01-08,7.93,7.95,7.81,7.83,25543158.0,7.884333333333333,49567
2016-01-11,7.79,7.93,7.73,7.84,30411594.0,7.806666666666667,59822
2016-01-12,7.85,8.05,7.74,7.9,32028336.0,7.847,69836
2016-01-13,7.84,7.97,7.25,7.45,60731964.0,7.517333333333333,110819
2016-01-14,7.55,7.93,7.52,7.75,44539413.0,7.728,88388
2016-01-15,7.42,7.61,7.38,7.59,32194122.0,7.521,67269
2016-01-19,7.71,7.77,7.49,7.58,26516718.0,7.607666666666667,59225
2016-01-20,7.43,7.53,7.11,7.43,29262972.0,7.307666666666667,65231
2016-01-21,7.33,7.6,7.22,7.45,29124048.0,7.449,66100
2016-01-22,7.64,7.74,7.37,7.47,25365513.0,7.511333333333333,57348
2016-01-25,7.45,7.51,7.3,7.32,14676015.0,7.367666666666667,32572
2016-01-26,7.36,7.45,7.34,7.42,25620660.0,7.401333333333333,48043
2016-01-27,7.43,7.56,7.26,7.32,26751171.0,7.427,52278
2016-01-28,7.43,7.51,7.34,7.46,16872300.0,7.436666666666667,38854
2016-01-29,7.51,7.68,7.51,7.67,19425081.0,7.597,42762
2016-02-01,7.54,7.66,7.46,7.62,21741396.0,7.578666666666667,48432
2016-02-02,7.54,7.56,7.29,7.34,18467622.0,7.386333333333333,37813
2016-02-03,7.45,7.51,7.21,7.45,19671471.0,7.401666666666667,45285
2016-02-04,7.45,7.82,7.45,7.68,26581116.0,7.672,58470
2016-02-05,7.68,7.75,7.55,7.61,17232081.0,7.617,38478
2016-02-08,7.56,7.69,7.43,7.67,31350045.0,7.571333333333333,58421
