date,open,high,low,close,volume,average,barCount
2015-10-12,23.32,23.45,22.38,22.93,3211971.0,22.79,21692
2015-10-13,22.73,23.15,22.26,22.35,5517379.0,22.694,30647
2015-10-14,22.34,23.06,22.22,22.94,3541212.0,22.82,21932
2015-10-15,22.97,23.81,22.89,23.72,4298889.0,23.481,21959
2015-10-16,23.84,23.93,23.09,23.21,4893088.0,23.307,27890
2015-10-19,23.0,23.48,22.8,23.11,4394898.0,23.119,28283
2015-10-20,23.14,24.07,23.02,23.44,4006597.0,23.521,23083
2015-10-21,23.3,23.39,22.33,22.34,4196275.0,22.655,25573
2015-10-22,22.43,22.75,21.78,22.09,6171902.0,22.095,33433
2015-10-23,21.05,21.71,20.0,21.1,10164004.0,20.998,58627
2015-10-26,20.91,21.68,20.78,20.83,7352646.0,20.98,38558
2015-10-27,20.47,21.42,20.41,21.14,8973443.0,21.134,46148
2015-10-28,21.25,21.98,20.69,21.82,7565940.0,21.578,39078
2015-10-29,21.84,22.24,21.46,21.53,5017634.0,21.699,24844
2015-10-30,21.58,21.82,21.11,21.71,6871147.0,21.531,34810
2015-11-02,21.53,22.43,21.42,22.29,3940391.0,22.131,22692
2015-11-03,22.36,22.64,22.01,22.04,3915203.0,22.224,22036
2015-11-04,22.18,23.04,21.9,22.42,5952837.0,22.307,32122
2015-11-05,22.26,22.91,22.1,22.64,4381253.0,22.575,24659
2015-11-06,22.34,22.98,22.13,22.3,4207924.0,22.412,22839
2015-11-09,22.25,22.78,22.12,22.57,3795855.0,22.527,22270
2015-11-10,22.44,22.91,22.21,22.64,4281008.0,22.575,23823
2015-11-11,22.59,22.64,20.68,20.88,6396120.0,21.139,34805
2015-11-12,20.49,20.86,20.27,20.33,3460983.0,20.544,20483
2015-11-13,20.29,21.13,20.01,20.74,4687217.0,20.678,25571
2015-11-16,20.77,22.59,20.68,22.56,5503266.0,21.977,28814
2015-11-17,22.37,22.37,20.97,21.0,6119450.0,21.381,29432
2015-11-18,21.12,21.37,20.49,20.87,3957501.0,20.837,23831
2015-11-19,20.26,21.03,20.11,20.5,2388541.0,20.497,14471
2015-11-20,20.41,20.53,19.86,19.88,3115753.0,20.088,16679
2015-11-23,19.64,19.86,19.16,19.38,5999852.0,19.455,29889
2015-11-24,19.51,19.62,18.91,19.2,8866466.0,19.16,42353
2015-11-25,19.02,19.51,18.97,19.34,4971707.0,19.293,22781
2015-11-27,19.11,19.32,18.96,19.08,2354899.0,19.153,13093
2015-11-30,19.19,19.34,18.61,18.83,4290254.0,18.954,23438
2015-12-01,18.78,18.96,18.3,18.6,5289068.0,18.539,26876
2015-12-02,18.32,18.42,17.51,17.93,6592596.0,17.879,34578
2015-12-03,18.07,18.11,16.96,17.13,8173408.0,17.294,39819
2015-12-04,16.84,17.42,16.67,17.22,5797531.0,17.149,30404
2015-12-07,16.54,17.03,16.2,16.8,8815623.0,16.568,40895
2015-12-08,16.24,17.71,16.15,17.56,9193264.0,17.327,48828
2015-12-09,17.59,18.05,17.05,17.37,9211231.0,17.569,52463
2015-12-10,17.22,18.0,17.04,17.68,4385498.0,17.675,25072
2015-12-11,17.24,17.33,16.06,16.1,7082983.0,16.429,39542
2015-12-14,15.91,16.23,15.55,15.65,8545638.0,15.792,47844
2015-12-15,15.86,15.94,14.94,15.03,12696971.0,15.16,54666
2015-12-16,15.16,15.58,14.95,15.39,11759760.0,15.25,42290
2015-12-17,15.45,15.48,15.1,15.35,9607056.0,15.297,45069
2015-12-18,15.29,15.79,15.28,15.49,14582340.0,15.498,58704
2015-12-21,15.7,16.36,15.48,16.24,13788067.0,16.055,61038
2015-12-22,16.16,16.76,16.07,16.52,5624476.0,16.551,30885
2015-12-23,17.01,17.92,16.99,17.64,8752629.0,17.523,42295
2015-12-24,17.68,18.09,17.38,17.7,3533308.0,17.627,18364
2015-12-28,17.4,17.65,17.06,17.24,7414213.0,17.266,37808
2015-12-29,17.81,18.12,17.23,17.7,6197719.0,17.528,30084
2015-12-30,17.2,17.7,16.97,17.01,5236634.0,17.162,25662
2015-12-31,17.09,17.76,16.97,17.69,4222711.0,17.489,23217
2016-01-04,17.67,17.94,17.3,17.59,7504200.0,17.585,37860
2016-01-05,17.66,17.87,17.07,17.57,10325336.0,17.436,46980
2016-01-06,17.02,17.03,15.88,16.02,9564086.0,16.267,41837
2016-01-07,15.71,16.71,15.68,16.58,7652265.0,16.394,42991
2016-01-08,16.78,17.34,16.53,17.2,8928506.0,17.028,44186
2016-01-11,17.08,17.16,15.78,16.0,12330645.0,16.259,62705
2016-01-12,16.32,16.33,14.88,15.48,9882413.0,15.405,50317
2016-01-13,15.71,16.24,15.24,15.7,9934272.0,15.722,53378
2016-01-14,15.85,16.45,15.65,16.31,8294552.0,16.141,43825
2016-01-15,15.47,16.43,15.39,16.41,8139502.0,16.088,41865
2016-01-19,16.53,16.78,16.15,16.43,10385118.0,16.465,44435
2016-01-20,16.05,17.37,15.82,17.15,12335612.0,16.374,62486
2016-01-21,16.95,18.96,16.87,18.65,12216035.0,18.392,61735
2016-01-22,19.36,19.56,18.6,19.54,10444568.0,19.103,60217
2016-01-25,18.94,19.78,18.38,18.4,10135250.0,19.028,59624
2016-01-26,18.81,19.5,18.58,19.43,5263592.0,19.118,30769
2016-01-27,19.27,20.45,19.01,19.52,7860008.0,19.813,46978
2016-01-28,20.4,20.47,19.31,19.39,11248283.0,19.777,59573
2016-01-29,19.68,20.8,19.6,20.75,7695213.0,20.328,43135
2016-02-01,20.24,20.87,19.78,20.56,8156018.0,20.345,49549
2016-02-02,20.17,21.0,19.79,20.39,14030088.0,20.401,52970
2016-02-03,20.82,21.21,19.88,21.17,7886148.0,20.686,44867
2016-02-04,21.07,21.48,20.2,20.9,9328327.0,20.839,56797
2016-02-05,20.79,21.12,20.07,20.66,7157563.0,20.722,42829
2016-02-08,20.31,22.25,20.01,20.92,11565803.0,21.186,66867
2016-02-09,20.42,20.77,18.96,19.59,11337493.0,19.811,60295
2016-02-10,19.49,20.0,18.86,19.75,7357501.0,19.524,44444
2016-02-11,19.27,20.09,18.73,19.87,7103739.0,19.428,42419
2016-02-12,20.21,20.46,19.07,19.75,6500470.0,19.72,34954
2016-02-16,20.09,20.09,18.48,19.26,7977631.0,19.052,43025
2016-02-17,19.41,20.54,19.03,20.49,5751104.0,20.11,33377
2016-02-18,20.53,20.53,19.31,19.55,8041237.0,19.792,42257
2016-02-19,19.35,20.48,18.73,19.91,10329996.0,19.811,55858
2016-02-22,20.44,21.94,20.17,21.54,7989799.0,21.304,45931
2016-02-23,20.33,20.4,19.16,19.26,55715726.0,19.857,204165
2016-02-24,18.92,19.97,18.81,19.71,13667519.0,19.569,63830
2016-02-25,19.71,20.06,19.01,19.41,11658923.0,19.507,57735
2016-02-26,20.13,20.45,19.62,20.44,9656768.0,20.085,49955
2016-02-29,20.35,20.43,19.01,20.13,11648845.0,19.8,54695
2016-03-01,20.39,21.17,19.58,20.99,10116439.0,20.593,46882
2016-03-02,20.86,22.06,20.79,22.05,8635802.0,21.465,42593
2016-03-03,21.89,22.55,21.67,22.17,8667165.0,22.136,45175
2016-03-04,22.52,22.7,21.13,21.47,9020754.0,21.875,48116
2016-03-07,21.37,22.49,21.01,22.39,10883327.0,21.844,56165
2016-03-08,22.02,22.06,21.25,21.37,7397138.0,21.529,39332
2016-03-09,21.86,21.98,19.77,21.25,20253263.0,20.981,92711
2016-03-10,20.68,22.16,20.45,21.91,10996496.0,21.562,57051
2016-03-11,22.41,22.5,21.64,21.96,4745903.0,22.013,29884
2016-03-14,21.57,22.21,21.47,22.1,4367753.0,21.973,25276
2016-03-15,21.87,22.6,21.65,22.58,5122580.0,22.191,29097
2016-03-16,22.6,23.02,22.27,22.94,5680396.0,22.719,33019
2016-03-17,23.25,23.31,22.42,22.76,5430435.0,22.736,31041
2016-03-18,22.89,22.92,22.08,22.77,5911825.0,22.585,33900
2016-03-21,22.7,22.7,21.64,21.79,6596813.0,21.939,33236
2016-03-22,21.8,22.08,21.41,21.77,4487015.0,21.766,24160
2016-03-23,21.63,22.0,21.39,21.47,4520095.0,21.656,27096
2016-03-24,21.02,22.14,20.93,21.97,4842379.0,21.751,28311
2016-03-28,22.0,22.17,21.41,22.06,5081329.0,21.889,27655
2016-03-29,21.67,22.72,21.61,22.64,4172677.0,22.227,23202
2016-03-30,22.88,22.9,22.33,22.71,3973623.0,22.626,20584
2016-03-31,22.74,22.89,22.51,22.71,4588065.0,22.72,22358
2016-04-01,22.26,22.71,22.2,22.51,4433846.0,22.564,24981
2016-04-04,22.61,23.34,22.5,22.7,5897514.0,22.929,33019
2016-04-05,22.42,22.62,22.1,22.32,6180063.0,22.345,33512
2016-04-06,22.35,22.69,21.97,22.35,5535158.0,22.286,30033
2016-04-07,22.3,23.29,22.22,23.27,4554531.0,23.007,26218
2016-04-08,23.71,23.8,22.97,23.48,4932282.0,23.316,25460
