date,open,high,low,close,volume,average,barCount
2015-10-13,65.75,65.88,64.6,64.84,3101895.0,65.048,23545
2015-10-14,65.0,65.28,64.55,64.75,2424457.0,64.858,18564
2015-10-15,65.19,65.27,64.42,64.9,2882254.0,64.814,19124
2015-10-16,65.4,65.57,64.6,64.9,3055624.0,65.053,19953
2015-10-19,64.83,65.06,64.37,65.05,2603309.0,64.776,19393
2015-10-20,64.68,65.33,64.66,65.2,1936173.0,65.052,15082
2015-10-21,65.51,66.18,64.87,64.97,2329736.0,65.435,17454
2015-10-22,65.91,68.49,65.63,68.43,5133632.0,67.653,36252
2015-10-23,68.85,69.32,68.2,68.83,3295893.0,68.704,23722
2015-10-26,68.94,69.12,68.22,68.45,2196792.0,68.474,15150
2015-10-27,68.03,68.34,67.78,68.26,2504048.0,68.039,14885
2015-10-28,68.45,69.8,68.2,69.75,2744085.0,69.286,19957
2015-10-29,69.41,69.52,68.7,68.88,1628397.0,68.967,12900
2015-10-30,68.9,69.08,68.09,68.11,2375141.0,68.55,18166
2015-11-02,68.54,68.66,68.15,68.43,3205567.0,68.36,19969
2015-11-03,68.16,68.91,68.06,68.14,3269927.0,68.424,20923
2015-11-04,67.23,67.32,65.34,66.82,5766605.0,66.458,36902
2015-11-05,67.49,67.66,66.56,67.17,2673403.0,67.142,18419
2015-11-06,66.82,69.23,66.82,69.05,3892631.0,68.501,26477
2015-11-09,68.78,68.8,67.47,67.97,2356638.0,67.893,16021
2015-11-10,67.87,68.18,67.41,68.09,1869756.0,67.904,13859
2015-11-11,68.38,68.98,67.69,67.89,2373436.0,68.224,16240
2015-11-12,67.52,68.04,66.93,67.11,2057769.0,67.418,14936
2015-11-13,66.7,67.18,65.81,65.9,2191130.0,66.262,14795
2015-11-16,65.99,66.28,65.35,65.86,2651354.0,65.706,18193
2015-11-17,65.32,65.86,63.27,64.11,5272631.0,64.283,35449
2015-11-18,64.48,65.36,63.87,65.26,2332867.0,64.638,17618
2015-11-19,65.33,65.58,64.91,65.24,2496829.0,65.266,17967
2015-11-20,65.79,65.91,65.04,65.13,2684842.0,65.343,17021
2015-11-23,64.99,65.09,63.93,64.24,2741232.0,64.364,19198
2015-11-24,63.9,64.78,63.69,64.58,3067974.0,64.337,20890
2015-11-25,64.56,64.83,64.2,64.47,1617066.0,64.618,11260
2015-11-27,64.64,65.43,64.51,64.73,1197321.0,64.951,8742
2015-11-30,64.97,64.99,64.28,64.58,2555670.0,64.587,19349
2015-12-01,64.65,65.25,64.56,65.2,2011521.0,65.001,14175
2015-12-02,64.94,65.2,63.96,64.04,3069379.0,64.334,20603
2015-12-03,64.05,64.29,61.17,61.67,4043319.0,62.359,26816
2015-12-04,61.78,63.04,61.53,62.96,3319645.0,62.653,23854
2015-12-07,62.57,62.81,61.62,62.0,4066647.0,62.018,25865
2015-12-08,61.35,62.62,61.31,62.01,2277202.0,62.025,16521
2015-12-09,61.51,62.3,59.84,60.33,3570154.0,60.714,25938
2015-12-10,60.48,60.92,60.12,60.37,2840372.0,60.553,20120
2015-12-11,59.64,59.82,58.14,58.3,4385248.0,58.803,30186
2015-12-14,58.89,59.77,58.67,59.76,5310594.0,59.276,33515
2015-12-15,60.01,61.05,60.0,60.51,4452093.0,60.629,32200
2015-12-16,60.9,62.52,60.8,62.42,5233815.0,61.989,37598
2015-12-17,62.24,62.32,60.14,60.42,4055816.0,60.836,29722
2015-12-18,58.76,60.42,58.75,58.86,3577864.0,59.494,21730
2015-12-21,59.51,59.92,59.12,59.74,2826764.0,59.519,20201
2015-12-22,59.78,60.24,59.41,60.1,1905845.0,59.821,13858
2015-12-23,60.52,60.59,60.1,60.4,1786732.0,60.376,12626
2015-12-24,60.44,61.0,60.38,60.73,970608.0,60.743,7385
2015-12-28,60.48,60.71,59.85,60.5,1457102.0,60.315,10821
2015-12-29,60.41,61.65,60.41,61.41,1627546.0,61.356,12325
2015-12-30,61.25,61.72,60.95,61.0,1123824.0,61.308,8587
2015-12-31,60.6,61.03,60.0,60.02,1651117.0,60.445,12274
2016-01-04,58.79,58.81,57.47,58.13,4110600.0,58.001,29903
2016-01-05,58.45,58.68,57.97,58.13,3166737.0,58.299,22889
2016-01-06,57.0,57.89,56.6,57.13,3962766.0,57.276,28142
2016-01-07,56.03,57.95,55.53,56.64,4545908.0,56.973,33650
2016-01-08,56.91,56.91,55.7,55.76,4148869.0,56.259,29611
2016-01-11,56.08,56.52,55.58,56.12,3616326.0,55.978,26016
