date,open,high,low,close,volume,average,barCount
2015-10-13,102.82,103.78,101.8,102.05,3472570.0,102.631,21630
2015-10-14,102.2,102.72,100.01,100.45,3522976.0,100.664,22875
2015-10-15,100.99,102.49,100.24,102.41,3029412.0,101.315,18393
2015-10-16,103.0,103.82,102.29,103.38,3174866.0,103.181,19426
2015-10-19,102.88,103.59,102.5,103.51,2526986.0,103.163,17177
2015-10-20,103.33,104.4,103.16,103.6,3704651.0,103.717,23946
2015-10-21,103.97,104.57,102.89,103.29,3096584.0,103.674,22687
2015-10-22,104.02,104.52,103.29,104.29,5340591.0,103.873,36002
2015-10-23,104.97,104.97,102.58,103.95,4473043.0,103.626,30144
2015-10-26,103.99,104.35,103.03,103.47,4128479.0,103.508,30077
2015-10-27,103.22,106.0,103.05,105.29,5874548.0,104.597,35862
2015-10-28,105.12,105.49,102.52,103.81,5579489.0,103.63,36444
2015-10-29,104.32,104.74,103.56,103.8,5954259.0,104.037,36227
2015-10-30,99.59,100.24,96.4,98.78,21018104.0,98.727,116523
2015-11-02,99.45,100.38,98.2,100.38,6055839.0,99.453,41468
2015-11-03,99.65,100.36,99.22,99.89,3355460.0,99.895,21158
2015-11-04,100.42,101.08,98.36,99.57,5620145.0,99.307,34260
2015-11-05,99.8,100.34,98.89,99.54,3381713.0,99.512,21448
2015-11-06,99.16,99.59,98.28,98.7,3528740.0,98.746,22393
2015-11-09,98.27,98.34,96.99,97.99,3294980.0,97.608,20592
2015-11-10,97.91,98.3,97.58,97.84,3710663.0,97.865,21148
2015-11-11,98.0,98.11,94.64,94.85,6842604.0,95.91,37807
2015-11-12,94.21,94.6,92.76,93.12,6851335.0,93.483,37840
2015-11-13,92.55,92.87,91.47,91.81,6066316.0,92.093,33910
2015-11-16,91.87,93.62,91.82,93.62,4421699.0,92.612,26201
2015-11-17,93.75,94.95,93.22,93.79,4025600.0,94.147,25668
2015-11-18,93.85,95.36,93.81,95.19,4261655.0,94.748,25938
2015-11-19,95.2,95.39,92.13,92.49,5575350.0,92.909,34083
2015-11-20,93.12,93.19,91.79,91.93,5866466.0,92.406,32704
2015-11-23,91.94,92.11,90.1,91.56,4894844.0,91.257,30074
2015-11-24,91.19,92.59,90.83,92.25,3630126.0,91.996,23400
2015-11-25,92.52,94.45,92.48,93.9,4170648.0,93.694,27064
2015-11-27,94.19,95.05,94.01,94.63,2308015.0,94.663,15135
2015-11-30,94.56,95.96,94.0,94.09,3933462.0,94.416,26369
2015-12-01,94.67,95.57,94.13,95.45,5601027.0,95.121,35494
2015-12-02,94.95,95.55,94.4,94.5,4408296.0,94.94,30165
2015-12-03,94.62,95.19,92.64,92.85,4878859.0,93.829,33243
2015-12-04,93.26,95.66,93.19,95.46,4077677.0,94.732,27300
2015-12-07,95.8,96.49,95.49,96.34,4386446.0,96.066,29167
2015-12-08,95.86,96.4,94.91,95.66,3757931.0,95.605,24848
2015-12-09,94.98,96.45,94.11,94.98,4379355.0,95.34,28170
2015-12-10,94.91,95.55,94.42,94.74,2589568.0,95.03,18452
2015-12-11,94.26,94.42,92.54,93.24,4763147.0,93.285,30205
2015-12-14,93.42,94.23,92.37,94.11,4845312.0,93.441,31933
2015-12-15,94.97,95.45,92.49,92.59,7156059.0,93.433,41466
2015-12-16,94.15,97.81,93.46,97.56,8961920.0,95.923,55312
2015-12-17,97.22,97.38,94.71,94.71,5687340.0,95.932,36734
2015-12-18,94.1,95.5,93.53,94.86,5926880.0,94.62,36251
2015-12-21,95.27,96.33,95.05,95.95,3000343.0,95.63,20400
2015-12-22,96.83,98.56,96.32,98.27,5088802.0,97.553,30443
2015-12-23,98.61,99.09,98.07,98.51,3161280.0,98.423,21222
2015-12-24,98.45,99.26,98.31,98.86,1393464.0,98.945,9435
2015-12-28,98.41,98.98,98.13,98.42,2143885.0,98.492,14491
2015-12-29,98.9,99.52,98.51,99.36,2221128.0,99.299,14066
2015-12-30,99.36,99.6,98.71,98.74,1996493.0,99.031,14094
2015-12-31,98.62,98.72,97.75,97.77,2468331.0,98.123,18047
2016-01-04,96.17,96.57,95.36,96.46,4596865.0,96.011,31674
2016-01-05,96.39,97.15,95.9,96.74,4134083.0,96.57,27172
2016-01-06,95.44,96.46,95.07,95.56,4144463.0,95.732,28023
2016-01-07,94.5,95.69,93.91,94.18,5252782.0,94.721,35737
2016-01-08,94.59,96.0,93.28,93.56,4500449.0,94.597,29641
2016-01-11,93.83,95.3,93.59,94.92,5043055.0,94.251,33773
2016-01-12,95.64,96.19,94.69,95.69,4230379.0,95.511,29772
2016-01-13,95.84,96.63,93.95,94.11,4928695.0,95.333,35390
2016-01-14,94.11,96.34,94.11,95.51,3823617.0,95.544,25729
2016-01-15,93.51,95.11,92.95,93.9,5811036.0,93.992,35356
2016-01-19,94.87,95.56,94.34,95.06,5052879.0,95.12,32828
2016-01-20,93.36,95.0,92.35,94.12,5780385.0,93.525,38978
2016-01-21,94.55,95.31,93.51,94.48,3901948.0,94.556,25171
2016-01-22,95.8,96.09,94.38,95.64,3387432.0,95.554,20645
2016-01-25,95.4,95.8,93.99,94.07,4477164.0,94.412,29808
2016-01-26,94.13,94.51,93.42,94.04,3714673.0,93.974,25280
2016-01-27,94.13,95.31,93.48,94.34,3255968.0,94.447,23040
2016-01-28,95.27,95.27,93.08,93.49,3387255.0,93.737,22001
2016-01-29,94.21,96.59,93.21,96.59,4149696.0,95.359,27877
2016-02-01,95.89,97.89,95.56,97.32,3041471.0,96.838,20761
2016-02-02,96.15,96.42,94.73,94.94,3585496.0,95.318,23476
2016-02-03,95.57,96.03,93.86,95.37,4148988.0,94.947,29253
2016-02-04,95.05,95.55,93.91,94.63,3908781.0,94.507,24110
2016-02-05,94.55,94.79,92.56,93.1,5131218.0,93.391,31379
2016-02-08,92.22,92.38,89.24,89.65,8348448.0,90.116,53906
2016-02-09,87.02,91.96,86.5,90.51,10564330.0,90.271,63989
2016-02-10,91.2,94.35,91.06,93.11,6011855.0,93.294,37402
2016-02-11,91.83,94.39,91.48,93.87,7815824.0,93.081,47341
2016-02-12,94.81,95.97,94.03,95.86,3854367.0,95.249,26500
2016-02-16,96.94,97.63,96.34,96.94,4083605.0,96.956,26744
2016-02-17,97.4,98.25,96.97,97.69,4859351.0,97.776,31053
2016-02-18,97.5,97.73,96.38,96.89,3281822.0,97.098,23119
2016-02-19,96.4,97.66,96.06,97.59,3266338.0,97.059,19624
2016-02-22,98.04,98.79,97.0,97.46,3474650.0,97.629,22060
2016-02-23,97.37,97.5,95.88,96.75,3747495.0,96.762,23928
2016-02-24,96.29,97.1,94.93,96.88,5173296.0,95.909,35344
2016-02-25,97.36,98.43,97.1,98.4,3907842.0,97.676,24350
2016-02-26,98.58,98.78,96.39,97.66,5069889.0,97.319,31999
2016-02-29,97.33,98.34,97.14,97.17,3408856.0,97.738,20675
2016-03-01,98.16,98.44,97.58,98.3,2627502.0,98.06,17026
2016-03-02,98.19,98.89,97.89,98.63,2614902.0,98.43,16127
2016-03-03,98.5,99.48,98.1,99.38,2921879.0,98.753,18670
2016-03-04,99.44,99.75,98.66,99.28,3011322.0,99.371,18470
2016-03-07,98.54,99.17,98.12,98.42,3601231.0,98.597,22888
2016-03-08,98.0,99.75,98.0,99.04,3202652.0,99.27,19672
2016-03-09,99.42,100.6,99.11,100.52,4202123.0,100.127,24363
2016-03-10,100.82,100.9,98.61,99.34,4113864.0,99.416,24502
2016-03-11,100.0,100.47,99.6,100.36,2866006.0,100.115,18734
2016-03-14,100.33,101.24,99.83,101.02,2359509.0,100.872,15433
2016-03-15,100.23,101.59,100.15,101.18,2472798.0,101.148,17095
2016-03-16,101.18,101.35,100.3,100.98,3148107.0,100.93,21562
2016-03-17,101.08,101.5,100.04,101.11,3264703.0,100.876,21164
2016-03-18,101.26,102.67,100.96,101.58,5183507.0,101.753,23346
2016-03-21,101.16,102.44,101.15,101.74,2702440.0,101.864,17942
2016-03-22,101.17,102.72,100.95,101.94,2890350.0,101.901,19862
2016-03-23,101.67,102.1,100.55,100.74,3410606.0,101.103,23800
2016-03-24,100.69,101.47,100.0,101.43,2277367.0,101.128,15194
2016-03-28,101.32,102.23,101.14,101.84,2831901.0,101.815,16290
2016-03-29,101.74,102.84,101.01,102.47,3054156.0,101.999,19278
2016-03-30,102.99,104.4,102.75,104.05,3631773.0,103.835,22606
2016-03-31,104.0,104.4,103.6,103.73,2687184.0,103.923,17385
2016-04-01,103.36,105.0,102.91,104.82,4925318.0,104.391,28883
2016-04-04,103.89,104.56,103.68,104.48,3042522.0,104.148,18389
2016-04-05,104.03,104.21,102.95,103.18,2973006.0,103.413,20535
2016-04-06,103.14,103.91,102.74,103.39,2886738.0,103.315,18550
2016-04-07,103.14,103.24,100.44,100.94,3907355.0,101.289,25811
2016-04-08,101.74,101.97,101.15,101.47,2407389.0,101.495,16464
2016-04-11,101.67,101.75,100.73,100.77,2544176.0,101.257,17530
2016-04-12,101.22,101.45,100.41,101.23,2185238.0,101.029,14877
2016-04-13,101.6,101.94,100.98,101.13,2727772.0,101.231,18166
2016-04-14,101.42,101.62,100.86,101.11,2710539.0,101.138,16632
2016-04-15,100.95,102.38,100.59,102.24,2551701.0,101.723,13800
2016-04-18,102.2,103.23,101.97,102.5,2425864.0,102.681,16000
2016-04-19,102.52,103.6,102.51,103.46,2305467.0,103.253,14194
2016-04-20,103.19,103.25,102.35,102.51,2228126.0,102.857,15171
2016-04-21,102.51,102.87,101.03,101.22,2939446.0,101.577,20165
2016-04-22,101.33,101.62,100.4,101.44,1991610.0,101.12,14082
2016-04-25,101.0,101.99,100.78,101.95,1674953.0,101.472,11242
2016-04-26,101.95,102.89,101.66,102.85,2062934.0,102.581,13858
2016-04-27,102.98,103.42,101.91,102.7,2573375.0,102.728,17764
2016-04-28,101.99,102.41,101.0,101.21,3389857.0,101.579,21339
2016-04-29,101.0,101.34,99.87,100.5,3406343.0,100.425,22901
2016-05-02,100.5,101.93,100.26,101.45,4472398.0,101.24,28797
2016-05-03,101.82,104.44,100.52,103.92,5095531.0,103.73,34735
2016-05-04,102.93,104.42,102.93,103.9,3353095.0,104.027,23577
2016-05-05,103.9,105.61,103.77,105.15,4498631.0,105.082,27530
2016-05-06,104.63,105.5,104.35,104.85,3556819.0,104.782,23526
2016-05-09,104.79,106.67,104.79,105.74,3573292.0,106.037,24004
2016-05-10,106.0,106.36,105.59,106.1,2526021.0,105.98,16892
2016-05-11,105.88,105.88,104.14,104.16,3303565.0,104.526,21315
2016-05-12,104.4,105.45,104.22,104.85,3126365.0,104.894,20174
2016-05-13,104.38,104.85,103.47,103.67,2647470.0,104.008,17043
2016-05-16,103.67,104.76,103.27,104.55,2101237.0,104.251,14577
2016-05-17,104.22,104.54,101.73,102.11,3854115.0,102.677,27620
2016-05-18,101.31,102.4,99.65,101.52,4791663.0,101.221,31596
2016-05-19,101.58,102.11,100.51,100.95,3044319.0,101.042,20290
2016-05-20,101.36,101.36,99.08,99.46,8968737.0,99.86,50463
2016-05-23,99.58,99.71,97.94,98.07,5340954.0,98.672,32470
2016-05-24,98.59,98.84,97.13,97.38,8305910.0,97.885,46546
2016-05-25,97.61,98.23,97.35,97.55,5718801.0,97.842,33515
2016-05-26,97.5,98.0,96.66,96.95,5699581.0,97.023,33437
2016-05-27,97.12,97.27,96.7,96.94,3678050.0,97.007,21867
2016-05-31,97.0,97.18,96.2,96.45,5026111.0,96.592,29821
2016-06-01,96.46,96.71,95.81,96.58,4362475.0,96.348,26610
2016-06-02,96.51,96.79,96.16,96.4,4250483.0,96.491,26739
2016-06-03,96.26,96.53,95.9,96.24,3108777.0,96.163,20691
2016-06-06,96.52,96.7,95.98,96.31,3640907.0,96.34,24100
2016-06-07,96.59,97.52,96.33,96.62,4518446.0,97.006,26527
2016-06-08,96.79,98.41,96.62,98.31,4618605.0,97.878,28980
2016-06-09,98.0,98.67,96.75,96.99,5111256.0,97.496,29867
2016-06-10,96.26,97.69,96.06,96.67,5469520.0,96.855,34294
2016-06-13,96.5,96.73,95.6,95.78,4804404.0,95.951,31347
2016-06-14,95.71,96.72,95.43,96.39,3895134.0,96.07,26774
2016-06-15,96.39,97.08,95.95,96.02,3750054.0,96.552,25926
2016-06-16,95.4,95.8,94.57,95.53,6442470.0,95.246,37453
