date,open,high,low,close,volume,average,barCount
2015-10-13,48.12,49.11,47.72,47.73,11901171.0,48.235,60803
2015-10-14,48.58,49.48,47.93,48.59,13865813.0,48.783,66750
2015-10-15,48.95,49.32,48.36,48.93,7088797.0,48.858,38604
2015-10-16,48.74,49.13,48.08,49.12,12429831.0,48.848,48842
2015-10-19,49.21,50.58,49.13,50.27,9377199.0,50.106,45168
2015-10-20,50.32,50.77,49.8,50.15,7923962.0,50.218,41174
2015-10-21,49.87,50.59,49.34,49.44,6882501.0,49.811,39550
2015-10-22,50.14,50.94,49.35,50.81,7704160.0,50.554,42321
2015-10-23,51.23,51.66,50.5,51.0,10241658.0,51.057,53431
2015-10-26,50.89,51.47,50.32,51.32,4341790.0,51.126,22469
2015-10-27,51.0,51.48,50.39,50.87,6968066.0,50.765,34003
2015-10-28,51.13,51.13,49.53,50.14,6784968.0,49.982,35780
2015-10-29,50.04,50.65,49.61,50.5,5013411.0,50.238,27557
2015-10-30,50.5,51.45,50.29,50.84,6116926.0,50.998,34590
2015-11-02,50.9,51.27,50.66,50.7,7702042.0,50.901,39987
2015-11-03,51.65,52.0,50.85,51.0,9896487.0,51.135,48586
2015-11-04,51.26,51.26,50.47,50.66,5755476.0,50.696,28673
2015-11-05,50.83,51.15,50.32,50.54,4934679.0,50.627,26097
2015-11-06,50.53,51.48,50.45,51.2,5419218.0,51.105,28713
2015-11-09,50.93,50.95,50.23,50.63,4713404.0,50.612,26581
2015-11-10,50.6,51.0,49.55,50.3,6243184.0,50.368,32091
2015-11-11,50.46,50.73,49.96,49.98,5540692.0,50.351,26485
2015-11-12,49.99,50.43,49.9,49.98,8056384.0,50.097,37655
2015-11-13,49.82,50.08,48.75,48.99,6983913.0,49.221,39456
2015-11-16,47.86,48.15,47.01,47.93,11479203.0,47.674,58897
2015-11-17,48.1,49.06,47.72,47.77,9647666.0,48.403,50605
2015-11-18,47.83,47.99,46.65,47.75,9678298.0,47.383,48024
2015-11-19,48.2,48.76,48.01,48.51,7087655.0,48.514,35795
2015-11-20,48.47,48.87,48.43,48.76,5825411.0,48.681,28046
2015-11-23,49.0,49.19,48.4,48.74,5513961.0,48.851,25667
2015-11-24,47.36,48.0,46.67,47.24,10128410.0,47.163,49306
2015-11-25,47.45,47.62,46.37,46.87,5723308.0,46.85,27273
2015-11-27,46.99,47.5,46.78,47.14,2332394.0,47.177,11033
2015-11-30,47.21,47.44,46.44,46.46,5945016.0,46.673,30413
2015-12-01,46.81,47.7,46.58,47.67,5084500.0,47.219,27084
2015-12-02,49.24,49.33,48.18,48.33,11104105.0,48.851,53603
2015-12-03,48.42,48.99,47.85,48.22,9579260.0,48.311,47347
2015-12-04,49.0,49.8,48.66,49.78,11422382.0,49.354,54319
2015-12-07,50.27,51.82,50.19,51.78,12591779.0,51.295,67104
2015-12-08,51.33,51.82,49.89,50.27,11501628.0,50.626,61621
2015-12-09,50.02,50.74,49.14,49.51,7300577.0,49.837,37714
2015-12-10,49.71,51.92,49.54,51.28,8487629.0,51.095,39979
2015-12-11,50.37,50.65,49.21,49.28,7009658.0,49.887,39527
2015-12-14,49.52,50.41,48.76,50.18,8601436.0,49.736,47198
2015-12-15,50.67,51.41,50.07,51.15,6873340.0,51.029,38341
2015-12-16,51.4,52.29,50.85,52.12,8060921.0,51.631,41745
2015-12-17,51.98,52.77,51.02,51.03,8706780.0,51.788,48923
2015-12-18,51.04,51.95,49.96,49.96,10866991.0,50.621,60691
2015-12-21,50.46,51.5,50.42,51.46,7516040.0,51.022,40608
2015-12-22,51.65,51.95,51.16,51.75,5466931.0,51.652,31410
2015-12-23,51.74,51.87,50.91,51.74,4988091.0,51.588,27127
2015-12-24,51.71,52.65,51.69,52.26,3424836.0,52.372,18259
2015-12-28,52.41,52.72,51.32,51.95,4776266.0,51.921,24781
2015-12-29,51.93,52.42,51.88,52.17,3803604.0,52.14,20658
