date,open,high,low,close,volume,average,barCount
2015-10-12,35.71,35.96,35.61,35.7,2545367.970123023,35.7568704,11870
2015-10-13,35.51,35.7,35.24,35.41,1783009.6660808437,35.4163808,10365
2015-10-14,35.33,35.42,34.7,34.84,2099355.2284710016,34.963912,11328
2015-10-15,34.8,35.13,34.68,35.08,2684849.5166959576,34.91384,11636
2015-10-16,35.15,35.53,35.1,35.5,3224450.79086116,35.3772336,14579
2015-10-19,35.49,35.81,35.48,35.79,3180296.5729349735,35.6248624,17663
2015-10-20,35.65,35.85,35.45,35.68,2622029.876977153,35.6157584,12142
2015-10-21,35.84,36.01,35.68,35.87,2056509.2267135326,35.8624768,12367
2015-10-22,35.92,36.26,35.64,36.21,2842842.7065026364,35.9890224,17094
2015-10-23,36.08,36.08,34.99,35.18,3571699.2530755713,35.3362656,19661
2015-10-26,35.18,35.22,34.68,35.11,2593734.6221441124,34.9675536,15328
2015-10-27,35.05,35.22,34.77,35.08,2591311.51142355,34.9174816,14424
2015-10-28,35.11,35.27,34.3,34.66,3411738.7961335676,34.7071792,20463
2015-10-29,34.52,34.85,34.25,34.81,3202831.7223198595,34.540576,17523
2015-10-30,34.75,34.9,33.81,33.87,3574126.7574692443,34.0161856,19456
2015-11-02,33.84,34.37,33.61,34.33,4153301.8453427064,33.9415328,23332
2015-11-03,34.19,34.2,33.28,33.44,4283032.732864675,33.5591648,21831
2015-11-04,33.41,33.46,32.77,32.88,4464583.699472759,32.9364512,23649
2015-11-05,32.36,32.63,32.11,32.6,4208481.985940246,32.3665408,23209
2015-11-06,32.15,32.18,30.68,30.93,6393670.913884007,31.122024,31480
2015-11-09,30.83,30.93,29.92,30.1,4472363.796133568,30.2189072,24419
2015-11-10,30.11,30.53,29.97,30.19,3728632.4692442883,30.1906848,18727
2015-11-11,30.34,30.43,30.01,30.12,2700641.4762741653,30.1369712,14707
2015-11-12,30.1,30.38,29.99,30.16,3395893.014059754,30.1870432,16370
2015-11-13,30.24,30.62,29.78,29.82,2289604.569420035,30.075064,12619
2015-11-16,29.82,30.48,29.82,30.47,2596050.087873462,30.220728,14089
2015-11-17,30.36,30.53,30.23,30.42,2666900.263620387,30.4501488,13453
2015-11-18,30.57,31.05,30.33,31.05,3050043.936731107,30.7615056,16645
2015-11-19,31.24,31.74,31.06,31.54,2942094.683655536,31.4825424,16333
2015-11-20,31.65,31.94,31.53,31.83,2330587.653778559,31.7747808,12233
2015-11-23,31.85,32.33,31.85,32.18,2636994.727592267,32.146224,14670
2015-11-24,32.01,32.19,31.77,32.15,2356656.414762742,32.0151264,13805
2015-11-25,32.15,32.4,32.08,32.27,2009278.3391915641,32.2472784,12073
2015-11-27,32.22,32.74,32.22,32.54,1052224.2970123023,32.5340544,6476
2015-11-30,32.61,32.97,32.23,32.35,4780708.479789103,32.5668288,23104
2015-12-01,32.57,33.05,32.49,32.89,3392593.365553603,32.8053536,18365
2015-12-02,32.74,33.07,32.28,32.35,3782641.695957821,32.6323776,19428
2015-12-03,32.38,32.39,31.83,31.95,6351854.130052724,32.0815856,30887
2015-12-04,32.17,32.76,32.05,32.57,3933262.30228471,32.5122048,21957
2015-12-07,32.5,32.96,32.33,32.9,3488414.9824253074,32.778952,20005
2015-12-08,32.79,33.34,32.77,33.03,3190861.159929701,33.0985024,19136
