date,open,high,low,close,volume,average,barCount
2015-10-12,105.16,107.0,104.96,106.08,486266.0,106.245,3497
2015-10-13,105.46,106.63,105.46,106.17,430735.0,106.128,3325
2015-10-14,106.74,107.29,103.97,104.37,601987.0,105.436,4376
2015-10-15,104.4,106.01,103.51,105.86,531128.0,104.805,3983
2015-10-16,106.0,106.56,105.37,106.22,318891.0,106.093,2516
2015-10-19,105.87,107.44,105.38,107.25,402094.0,106.528,3018
2015-10-20,107.43,107.47,105.88,106.19,263085.0,106.506,2163
2015-10-21,105.71,105.74,102.37,103.46,609964.0,103.664,4316
2015-10-22,104.18,104.7,102.74,103.96,227860.0,103.827,1884
2015-10-23,104.92,105.45,103.37,104.1,398287.0,104.012,3198
2015-10-26,103.79,105.86,103.66,105.81,275563.0,105.16,2077
2015-10-27,105.79,106.17,104.42,104.96,260714.0,105.027,2045
2015-10-28,105.51,110.1,105.49,109.71,1101731.0,109.238,6951
2015-10-29,110.13,110.52,108.73,109.4,404945.0,109.521,3017
2015-10-30,109.74,110.06,106.53,106.67,409091.0,107.575,3155
2015-11-02,106.55,109.65,106.48,108.75,356481.0,108.529,2910
2015-11-03,108.29,108.82,107.02,107.17,284136.0,107.445,2229
2015-11-04,106.7,108.26,103.88,105.05,457663.0,104.953,3351
2015-11-05,105.39,105.86,103.27,104.11,431442.0,104.151,3381
2015-11-06,104.07,104.5,102.86,104.44,339513.0,103.883,2565
2015-11-09,104.21,104.21,102.15,103.04,400964.0,102.793,3005
2015-11-10,102.62,104.26,102.36,104.23,297414.0,103.483,2454
2015-11-11,104.51,105.95,103.99,105.21,305376.0,105.228,2351
2015-11-12,105.08,105.14,102.58,102.89,301420.0,103.301,2441
2015-11-13,102.8,103.37,101.38,101.62,277349.0,102.17,2244
2015-11-16,101.02,103.63,100.59,103.49,327766.0,102.644,2710
2015-11-17,103.8,104.83,102.16,102.24,382339.0,103.222,2668
2015-11-18,102.24,104.33,102.2,104.07,320914.0,103.552,2488
2015-11-19,104.0,105.87,102.07,104.52,371522.0,104.937,2831
2015-11-20,104.99,105.64,104.23,105.02,368295.0,104.948,2755
2015-11-23,104.94,108.11,104.94,107.71,433471.0,107.487,3661
2015-11-24,107.06,107.86,105.71,107.44,306998.0,107.021,2389
2015-11-25,107.86,109.62,107.17,109.15,333669.0,108.809,2820
2015-11-27,109.1,109.79,108.26,108.65,69635.0,108.585,616
2015-11-30,108.5,109.13,107.23,107.47,239724.0,108.016,2167
2015-12-01,107.71,109.53,107.71,108.86,291878.0,108.979,2456
2015-12-02,108.73,109.68,108.21,108.8,532904.0,109.317,3564
2015-12-03,109.25,109.67,106.9,107.44,402541.0,108.371,3194
2015-12-04,107.88,110.22,107.59,109.83,582833.0,109.543,4337
2015-12-07,109.83,110.99,109.37,110.39,551686.0,110.339,3549
2015-12-08,109.3,110.88,109.22,109.94,582220.0,109.949,4269
2015-12-09,109.79,110.84,108.08,109.1,598464.0,109.36,4921
2015-12-10,109.47,110.22,108.71,109.34,499396.0,109.515,3511
2015-12-11,108.11,108.98,107.71,108.64,511984.0,108.326,3562
2015-12-14,108.41,109.76,108.19,109.38,403019.0,109.203,2942
2015-12-15,110.09,110.39,109.54,109.93,521065.0,110.014,4063
2015-12-16,110.17,110.91,108.59,109.22,859188.0,109.37,5844
2015-12-17,109.77,110.5,109.29,109.37,733644.0,109.897,4648
2015-12-18,109.2,109.74,107.25,108.84,502243.0,108.779,3641
2015-12-21,109.35,110.13,109.12,109.73,663310.0,109.742,4717
2015-12-22,110.0,110.0,108.03,109.41,535291.0,109.142,4518
2015-12-23,109.35,109.63,108.1,109.48,559250.0,109.17,4364
