date,open,high,low,close,volume,average,barCount
2015-10-13,69.23,69.94,68.94,69.21,699525.1527973672,69.2100276,4573
2015-10-14,69.34,70.0,69.04,69.56,644177.2449459332,69.646488,3700
2015-10-15,69.85,71.05,69.48,70.84,1086768.9233662435,70.4496432,7189
2015-10-16,71.18,71.45,70.62,70.91,748555.4771979313,71.0273364,4631
2015-10-19,70.99,71.19,70.48,71.16,747254.3488481429,70.8920592,4434
2015-10-20,70.74,71.64,70.65,71.31,479251.2929007992,71.3021448,3192
2015-10-21,71.68,72.01,71.13,71.28,606181.2411847672,71.386374,4054
2015-10-22,71.41,72.35,71.27,72.21,794426.4221908791,72.02022,5037
2015-10-23,71.65,72.62,70.6,70.9,846880.5829807239,71.058816,5743
2015-10-26,71.1,71.19,70.05,71.04,853280.4419370004,70.6444764,5864
2015-10-27,70.81,71.16,70.37,71.03,654885.9896567935,70.89291,4279
2015-10-28,71.02,71.31,69.19,69.91,933199.3417959567,70.1067708,5579
2015-10-29,69.48,69.88,68.17,69.04,857686.8829337094,68.7072048,5864
2015-10-30,69.24,69.83,68.9,69.42,599954.1607898448,69.5086584,4251
2015-11-02,69.43,70.0,69.02,69.9,775141.0437235542,69.5597064,5357
2015-11-03,69.58,70.21,69.31,70.16,786472.7315467794,69.8728008,4886
2015-11-04,70.16,70.77,69.98,70.37,576348.1429243064,70.263318,3841
2015-11-05,70.22,71.02,70.09,70.62,1159445.2280206864,70.7048832,7720
2015-11-06,69.54,69.6,67.37,67.55,1946244.7108603665,67.800252,11474
2015-11-09,67.21,67.87,66.97,67.47,1328863.4226610248,67.4590812,8455
2015-11-10,67.6,68.41,67.4,68.23,1113606.0178655381,68.115048,6521
2015-11-11,68.35,68.94,68.21,68.91,1018057.1227080395,68.6502012,6083
2015-11-12,68.71,69.37,67.89,68.09,888046.5444287729,68.4187836,4410
2015-11-13,68.24,68.74,67.49,67.66,846190.6440996708,67.9567992,5596
2015-11-16,67.55,69.0,67.52,68.97,943308.6506817113,68.421336,6176
2015-11-17,68.74,69.29,67.49,67.68,714660.3196991066,68.093778,4983
2015-11-18,67.46,68.09,66.58,67.96,1181929.948283968,67.2761592,7186
2015-11-19,68.35,69.24,68.12,68.86,972139.1631405735,68.7029508,5935
2015-11-20,69.16,69.67,68.93,69.24,755606.4880112835,69.2525676,4469
2015-11-23,69.2,69.48,68.36,68.51,588938.6459802538,68.812704,3791
2015-11-24,68.19,68.4,67.52,68.24,799076.1636107193,67.9950852,4781
2015-11-25,68.24,68.24,67.62,67.96,511001.4104372355,67.8946908,2981
2015-11-27,67.96,68.59,67.71,68.21,254078.51433944522,68.3056272,1741
2015-11-30,68.23,69.02,68.18,68.48,971599.6708979784,68.5974516,6481
2015-12-01,68.86,68.96,68.06,68.63,1021492.7127409496,68.4204852,5993
2015-12-02,68.4,68.5,66.88,66.94,1202201.45745181,67.4880084,7598
2015-12-03,66.96,67.18,66.32,66.59,1534674.4240714621,66.7018692,9762
2015-12-04,67.01,68.74,66.81,68.51,1236475.0822755054,68.1797088,7971
2015-12-07,68.34,69.08,68.08,69.07,942137.9877762105,68.6357376,6297
2015-12-08,68.91,69.1,68.06,68.59,746831.21767748,68.5540608,4808
2015-12-09,68.35,69.21,67.88,68.24,1519052.6563234602,68.6144676,8058
2015-12-10,68.18,68.29,66.88,67.15,1216341.0907381286,67.29828,7525
2015-12-11,66.88,67.43,66.57,66.64,1079183.121767748,66.85161,7253
2015-12-14,66.65,66.97,65.81,66.76,1245915.60883874,66.4083432,8398
2015-12-15,66.92,67.94,66.92,67.32,644449.9294781382,67.5126816,4291
2015-12-16,67.63,68.96,67.4,68.82,951008.4626234132,68.5736292,6594
2015-12-17,68.32,68.63,67.8,68.02,1025545.3690644099,68.2273536,6291
2015-12-18,67.95,68.04,66.79,67.11,1145225.669957687,67.3263564,6516
2015-12-21,67.35,67.73,66.35,66.92,977163.8457921955,66.9086136,5894
2015-12-22,67.1,67.47,66.34,67.28,745451.3399153737,67.055802,5104
2015-12-23,67.51,68.17,67.44,68.07,603001.8805829807,67.9644564,4059
2015-12-24,67.91,68.26,67.81,67.96,268637.752703338,68.0018916,1762
2015-12-28,67.89,68.65,67.72,68.63,627669.2524682651,68.2826556,3823
2015-12-29,68.89,69.66,68.74,69.29,782730.3714151386,69.2814948,4833
2015-12-30,69.42,69.71,69.11,69.37,1070873.2957216736,69.4984488,5852
2015-12-31,69.28,69.48,67.5,68.23,810631.1706629054,68.3158368,4856
2016-01-04,67.64,67.78,66.72,67.33,1191589.0926187118,67.19193,7757
2016-01-05,67.18,68.15,66.37,68.02,1198273.3897508227,67.5798948,7894
2016-01-06,67.53,68.12,67.32,67.72,2153025.3878702396,67.6164792,11208
2016-01-07,67.03,67.63,66.78,66.97,1306643.1593794075,67.157898,8042
2016-01-08,66.97,67.35,66.58,66.69,1570894.4522802068,67.0056048,10021
2016-01-11,66.86,67.53,66.86,67.34,1859380.5829807238,67.2191556,9602
2016-01-12,67.87,67.87,66.75,67.72,1390203.3380347907,67.413138,9705
2016-01-13,68.18,69.07,68.07,68.28,1642170.897978373,68.5693752,10462
2016-01-14,68.23,69.62,67.95,69.19,1024990.5970850963,68.944578,6832
2016-01-15,68.31,69.08,67.9,68.52,1377717.442407146,68.4281424,8483
2016-01-19,69.14,70.13,68.8,69.96,1638058.2980724024,69.6541452,9780
2016-01-20,69.52,70.1,67.66,68.23,1962234.3676539727,68.3396592,12464
