date,open,high,low,close,volume,average,barCount
2015-10-13,19.24,19.32,18.79,18.86,3637948.0,19.02325,6777
2015-10-14,18.75,18.8,17.57,17.66,7652260.0,17.85825,13281
2015-10-15,20.04,21.35,19.12,21.09,15137512.0,20.37125,22724
2015-10-16,21.1,21.54,20.53,20.82,7231496.0,21.0445,12319
2015-10-19,20.85,21.23,20.54,20.81,2806712.0,20.8355,5197
2015-10-20,20.68,20.97,19.89,20.15,2461504.0,20.161,4685
2015-10-21,20.28,20.61,19.4,19.9,2866628.0,19.91175,5157
2015-10-22,20.05,20.16,18.91,19.51,4319336.0,19.491,7637
2015-10-23,19.61,20.66,19.5,20.63,4255308.0,20.31825,8010
2015-10-26,20.53,21.02,20.28,20.63,2750020.0,20.64225,5596
2015-10-27,20.45,20.96,20.29,20.9,2347348.0,20.65375,4518
2015-10-28,20.92,21.21,20.46,21.02,2273688.0,20.82675,4375
2015-10-29,20.95,21.13,20.4,20.61,1593348.0,20.703,3118
2015-10-30,20.66,21.05,20.43,20.83,2111196.0,20.84875,4119
2015-11-02,21.15,21.83,21.02,21.7,3737608.0,21.546,6370
2015-11-03,21.55,22.19,21.14,21.86,3788440.0,21.81275,6033
2015-11-04,21.85,22.16,21.5,21.76,2237496.0,21.82,4444
2015-11-05,20.16,21.47,20.16,21.2,4581820.0,20.93475,9025
2015-11-06,21.19,21.27,20.8,21.18,2655052.0,21.06775,5062
2015-11-09,20.99,21.31,20.75,21.26,2897896.0,21.046,5100
2015-11-10,21.26,21.44,20.99,21.23,1867036.0,21.196,3456
2015-11-11,21.38,21.52,21.02,21.18,1735196.0,21.2535,3305
2015-11-12,21.08,21.11,20.73,20.85,1536980.0,20.95875,3148
2015-11-13,20.73,21.31,20.67,21.11,2122984.0,21.05875,4148
2015-11-16,21.13,21.2,20.57,20.75,1663812.0,20.7865,3244
2015-11-17,20.73,20.97,20.62,20.73,1392616.0,20.77475,2903
2015-11-18,20.85,21.29,20.66,21.25,1545212.0,21.02425,2827
2015-11-19,21.2,21.58,21.11,21.15,2064548.0,21.27475,3535
2015-11-20,21.28,22.0,21.28,21.57,2084332.0,21.705,3502
2015-11-23,21.46,21.71,21.33,21.57,1383972.0,21.529,2357
2015-11-24,21.56,21.74,21.4,21.72,1657424.0,21.60975,3096
2015-11-25,21.75,22.03,21.75,21.85,1014256.0,21.8735,1748
2015-11-27,21.86,22.36,21.86,22.21,672204.0,22.127,1216
2015-11-30,22.15,22.16,21.07,21.25,1977460.0,21.458,3709
2015-12-01,21.11,21.6,21.09,21.54,1705484.0,21.33725,2875
2015-12-02,21.6,21.83,21.49,21.56,1451048.0,21.6355,2531
2015-12-03,21.61,21.79,20.88,20.99,1941664.0,21.2165,3443
2015-12-04,21.14,21.97,21.14,21.94,1916076.0,21.63675,3743
2015-12-07,21.85,21.93,21.6,21.81,1375588.0,21.747,2676
2015-12-08,21.65,21.98,21.58,21.82,1326380.0,21.8105,2698
2015-12-09,21.7,21.74,21.18,21.31,1511800.0,21.418,2940
2015-12-10,21.36,21.5,20.95,21.24,1997548.0,21.14875,3326
2015-12-11,21.02,21.19,20.34,20.44,1760188.0,20.59325,3055
2015-12-14,20.42,20.86,20.42,20.74,1224432.0,20.687,2395
2015-12-15,20.89,21.0,19.63,19.8,3393860.0,20.1305,5897
2015-12-16,20.01,20.62,20.0,20.5,2644388.0,20.463,5065
2015-12-17,20.58,20.75,20.36,20.43,1552344.0,20.62475,2934
2015-12-18,20.45,20.86,20.27,20.53,1682356.0,20.63525,3188
2015-12-21,20.59,20.84,20.36,20.41,1302868.0,20.53425,2706
2015-12-22,20.48,20.67,19.95,20.64,1702972.0,20.3215,3362
2015-12-23,20.67,20.73,20.36,20.47,1305476.0,20.52375,2643
2015-12-24,20.3,20.41,20.07,20.28,931232.0,20.2215,1821
2015-12-28,20.27,20.45,20.13,20.43,1010440.0,20.3155,2137
2015-12-29,20.43,20.81,20.37,20.58,1122716.0,20.61,2352
2015-12-30,20.54,20.76,20.44,20.59,1842796.0,20.61225,3419
2015-12-31,20.47,20.76,20.35,20.48,1846056.0,20.5945,3878
2016-01-04,20.07,20.09,19.44,19.62,3424500.0,19.71325,6496
2016-01-05,19.65,20.25,19.63,20.19,2698004.0,20.02925,4739
2016-01-06,19.86,20.18,19.71,19.85,2406080.0,19.9165,4667
2016-01-07,19.72,20.48,19.53,20.45,3882728.0,20.0975,6236
2016-01-08,20.7,20.97,19.85,19.9,2565924.0,20.36225,4825
2016-01-11,20.11,20.15,19.08,19.46,2519608.0,19.3995,4606
2016-01-12,19.57,20.52,19.44,19.47,4639996.0,19.81225,6899
2016-01-13,19.42,19.55,17.54,17.83,5766248.0,18.282,10503
2016-01-14,17.88,18.47,16.58,18.1,5774276.0,17.70425,10602
2016-01-15,17.5,17.72,17.1,17.56,4065000.0,17.38275,6058
2016-01-19,17.62,18.24,17.59,18.11,4075968.0,17.9855,6743
2016-01-20,17.84,18.83,17.59,18.51,5646872.0,17.993,8857
2016-01-21,18.49,18.68,18.11,18.12,2182940.0,18.3405,4518
2016-01-22,18.14,18.58,18.01,18.5,1733184.0,18.3395,3354
2016-01-25,18.44,18.51,18.11,18.17,1149580.0,18.28775,2497
2016-01-26,18.22,18.4,17.72,18.3,1682080.0,18.15425,3564
