date,open,high,low,close,volume,average,barCount
2015-10-13,119.63,121.06,119.12,120.16,998517.0,120.468,7322
2015-10-14,120.13,121.89,119.9,121.34,767940.0,121.116,5630
2015-10-15,121.6,121.87,120.23,121.58,677359.0,121.184,4954
2015-10-16,122.19,122.3,120.84,122.1,784022.0,121.567,5745
2015-10-19,120.67,120.94,118.43,119.38,1541093.0,119.37,11617
2015-10-20,119.13,120.06,118.78,119.43,800635.0,119.506,6280
2015-10-21,119.9,120.0,117.53,117.9,1042536.0,118.396,8550
2015-10-22,118.82,120.77,118.34,120.55,2019911.0,119.664,14284
2015-10-23,121.25,121.62,119.67,119.99,1051898.0,120.401,7882
2015-10-26,120.23,120.85,119.41,119.58,926487.0,120.019,7861
2015-10-27,119.07,119.4,117.81,118.53,780622.0,118.461,6673
2015-10-28,118.65,119.69,118.21,119.59,779249.0,119.093,6439
2015-10-29,119.03,120.18,119.01,119.93,735714.0,119.703,6028
2015-10-30,119.89,120.94,119.72,120.35,1390529.0,120.438,11066
2015-11-02,116.1,120.34,114.38,117.99,3202065.0,116.999,22893
2015-11-03,118.0,122.48,117.41,120.04,1579189.0,120.59,12252
2015-11-04,120.52,120.75,117.41,117.49,1638926.0,118.331,11770
2015-11-05,117.2,118.53,116.97,117.64,976193.0,117.796,7539
2015-11-06,116.94,117.91,116.54,117.4,1107948.0,117.103,7034
2015-11-09,117.21,117.63,115.36,115.96,596479.0,116.138,4660
2015-11-10,115.65,116.75,114.52,116.35,844491.0,115.752,5945
2015-11-11,116.61,117.73,115.88,117.47,526328.0,116.966,3901
2015-11-12,116.46,116.81,115.13,115.15,583810.0,115.774,4708
2015-11-13,114.83,116.76,114.32,116.43,698659.0,116.02,5682
2015-11-16,116.23,116.96,115.47,116.7,713821.0,116.348,5956
2015-11-17,116.69,117.96,116.08,116.75,775403.0,117.023,6091
2015-11-18,116.71,118.44,116.32,118.32,708297.0,117.279,5451
2015-11-19,118.02,118.47,117.43,117.91,545944.0,117.965,4405
2015-11-20,118.37,118.76,117.87,118.13,711037.0,118.231,5441
2015-11-23,118.07,120.77,118.07,119.52,1307476.0,119.838,9788
2015-11-24,119.47,120.4,118.79,119.72,746135.0,119.657,5811
2015-11-25,119.86,120.16,118.96,119.02,726456.0,119.458,5446
2015-11-27,118.78,119.36,118.05,118.91,284877.0,118.829,2247
2015-11-30,119.15,119.33,118.08,119.16,1097111.0,118.821,8322
2015-12-01,119.5,119.79,118.82,119.67,660514.0,119.365,5403
2015-12-02,119.33,119.78,118.46,118.64,563876.0,119.064,4721
2015-12-03,118.97,119.49,117.38,117.89,842890.0,118.213,6585
2015-12-04,118.21,119.4,117.9,119.23,1078792.0,118.723,7795
2015-12-07,118.61,119.49,117.55,118.36,604614.0,118.16,4782
2015-12-08,117.06,117.87,116.3,116.37,704525.0,116.907,5518
2015-12-09,116.84,119.28,116.45,116.95,784689.0,117.541,6141
2015-12-10,116.69,117.29,115.63,115.96,689686.0,116.277,5757
2015-12-11,114.12,114.28,112.19,112.39,1051479.0,113.078,8574
2015-12-14,112.17,113.94,111.77,113.64,989880.0,112.822,8171
2015-12-15,114.55,115.22,113.85,115.07,868437.0,114.746,6869
2015-12-16,115.67,118.06,115.16,117.89,959078.0,116.91,7762
2015-12-17,118.05,118.49,115.25,115.3,745342.0,116.323,5881
2015-12-18,115.16,115.18,112.58,112.62,1020278.0,113.714,6687
2015-12-21,113.32,113.9,112.6,113.22,604384.0,113.101,5098
2015-12-22,113.98,114.69,113.15,114.42,533561.0,113.994,4104
2015-12-23,115.47,116.69,114.94,116.5,576798.0,116.119,4420
2015-12-24,116.19,116.28,115.55,115.78,212176.0,115.895,1745
2015-12-28,115.32,115.58,114.68,115.47,336052.0,115.193,2586
2015-12-29,116.4,116.81,115.76,116.39,464126.0,116.196,3276
2015-12-30,116.17,116.46,115.37,115.43,370179.0,115.957,2925
2015-12-31,115.04,116.14,114.37,114.38,605727.0,115.084,5161
2016-01-04,112.9,113.15,111.0,112.49,1212297.0,111.8,9337
2016-01-05,112.58,113.69,112.29,112.9,943434.0,113.045,7859
2016-01-06,109.82,110.85,106.55,108.07,3187396.0,108.074,21874
2016-01-07,105.95,107.87,104.94,105.27,1502583.0,106.13,10793
2016-01-08,105.49,105.78,104.08,104.35,903033.0,105.064,7223
2016-01-11,104.66,105.18,103.61,104.62,1156490.0,104.564,8643
2016-01-12,105.83,106.25,104.61,105.72,1008575.0,105.368,7252
2016-01-13,106.65,106.76,103.02,103.13,1047849.0,104.387,8113
2016-01-14,103.48,105.4,102.48,104.82,926409.0,104.323,6810
2016-01-15,103.39,103.91,100.59,102.58,1581676.0,102.078,10463
2016-01-19,104.0,104.08,101.49,102.37,1039063.0,102.658,8598
2016-01-20,100.88,103.54,99.99,102.44,1322827.0,101.271,9592
2016-01-21,102.11,102.74,100.59,101.85,1232510.0,101.699,9399
2016-01-22,103.88,106.81,103.61,104.99,1195366.0,104.891,9153
2016-01-25,104.48,104.89,103.08,103.26,824526.0,104.074,6738
2016-01-26,103.41,104.16,103.12,104.13,879975.0,103.666,5910
2016-01-27,103.41,104.73,102.06,102.78,857379.0,103.484,6974
2016-01-28,104.08,105.2,103.38,104.0,748779.0,104.283,5924
2016-01-29,104.71,107.98,103.99,107.87,1431205.0,106.505,12172
2016-02-01,106.56,107.65,105.48,107.42,734795.0,106.85,5416
2016-02-02,106.54,106.54,104.69,104.93,954489.0,105.249,7249
2016-02-03,106.9,107.9,104.15,107.28,1127798.0,105.741,8832
2016-02-04,107.46,109.69,107.12,109.17,939036.0,108.765,7447
2016-02-05,108.89,108.89,105.67,106.17,958479.0,106.697,7546
2016-02-08,105.04,105.72,102.44,103.62,1233942.0,103.629,9599
2016-02-09,102.91,107.7,102.21,107.2,1254769.0,106.023,9927
2016-02-10,107.62,109.65,106.07,106.21,923499.0,107.311,7197
2016-02-11,104.02,104.6,102.54,103.3,1066004.0,103.448,8391
2016-02-12,104.96,106.93,104.04,106.63,844758.0,106.144,6923
2016-02-16,108.23,108.88,106.37,108.65,736454.0,108.034,6044
2016-02-17,110.0,110.56,109.56,109.96,1025113.0,110.081,7938
2016-02-18,109.73,110.0,108.33,108.76,710197.0,108.963,5737
2016-02-19,108.3,108.33,106.77,107.77,1323963.0,107.694,9979
2016-02-22,109.27,109.47,106.85,108.09,1850515.0,107.871,14172
2016-02-23,103.62,104.12,99.99,100.14,5648651.0,101.251,31551
2016-02-24,99.41,102.31,98.62,102.13,2531724.0,100.78,18269
2016-02-25,102.59,103.69,101.59,103.68,963877.0,102.618,7302
2016-02-26,104.45,106.56,104.22,106.28,1480709.0,105.992,10859
2016-02-29,105.94,106.81,102.55,102.55,1312263.0,104.08,9644
2016-03-01,103.55,106.14,102.68,105.86,1327659.0,104.764,9995
2016-03-02,105.28,105.72,104.1,104.68,1049211.0,104.696,7018
2016-03-03,104.73,105.48,104.46,105.24,881658.0,105.096,7155
2016-03-04,105.7,107.12,104.78,106.33,886845.0,106.298,7112
2016-03-07,105.7,106.67,105.27,105.96,778417.0,105.958,6242
2016-03-08,104.95,105.4,104.21,104.28,968308.0,104.807,7882
2016-03-09,104.74,105.33,103.92,104.22,1556409.0,104.568,11519
2016-03-10,104.83,106.26,103.88,105.26,1289828.0,105.209,7106
2016-03-11,106.01,106.82,105.95,106.36,726289.0,106.456,5647
2016-03-14,104.28,104.28,102.92,103.04,1713535.0,103.398,13191
2016-03-15,102.77,104.19,102.38,104.05,1041807.0,103.598,8030
2016-03-16,103.95,106.43,103.53,105.87,826663.0,105.365,6476
2016-03-17,106.03,108.08,106.03,107.84,1305188.0,107.314,8664
2016-03-18,108.22,109.41,107.74,108.14,1339599.0,108.38,8542
2016-03-21,108.13,109.68,107.83,108.98,981719.0,108.912,7961
2016-03-22,108.04,111.86,108.04,110.56,1591170.0,110.598,11605
2016-03-23,110.25,110.91,109.61,110.0,641313.0,110.243,5238
2016-03-24,109.27,110.6,109.08,110.53,746620.0,110.169,6015
2016-03-28,110.53,111.23,109.58,110.6,860342.0,110.398,6588
2016-03-29,110.12,111.55,109.77,111.46,669971.0,111.088,5330
2016-03-30,112.09,113.22,111.92,112.42,726198.0,112.538,5893
2016-03-31,112.62,113.4,111.06,111.52,910683.0,111.786,7769
