date,open,high,low,close,volume,average,barCount
2015-10-13,63.41,63.65,63.15,63.56,1339639.0,63.427,9289
2015-10-14,63.55,64.49,63.49,63.82,1391070.0,63.969,10244
2015-10-15,64.1,64.57,63.68,64.43,866804.0,64.279,6671
2015-10-16,64.66,64.92,63.91,64.28,2300057.0,64.304,14760
2015-10-19,64.18,64.98,63.76,64.98,1730883.0,64.431,11718
2015-10-20,64.66,65.74,64.51,65.45,2414428.0,65.291,14628
2015-10-21,65.73,66.12,64.96,65.02,1030905.0,65.32,7032
2015-10-22,65.0,66.29,64.96,66.09,1359304.0,65.857,8778
2015-10-23,65.81,66.05,64.21,64.55,1956439.0,64.773,11801
2015-10-26,64.76,65.1,64.03,65.05,1282433.0,64.617,8955
2015-10-27,64.98,65.29,64.19,64.38,1681265.0,64.623,11628
2015-10-28,61.41,62.56,60.39,61.23,5473856.0,61.538,33647
2015-10-29,60.79,61.23,59.84,60.64,2978776.0,60.299,19289
2015-10-30,60.6,60.92,60.13,60.52,2547738.0,60.686,16581
2015-11-02,60.45,61.03,60.01,60.89,2252222.0,60.548,16228
2015-11-03,60.48,60.96,60.13,60.62,1858548.0,60.596,12390
2015-11-04,60.63,61.15,60.56,60.81,2076149.0,60.837,13236
2015-11-05,60.77,61.05,60.05,60.18,1954656.0,60.447,13149
2015-11-06,59.2,59.53,57.51,59.06,4401232.0,58.538,24958
2015-11-09,58.82,60.1,58.68,59.25,3003662.0,59.407,19624
2015-11-10,59.26,60.62,59.26,60.05,2695533.0,60.065,15417
2015-11-11,60.01,60.85,59.8,60.77,1751110.0,60.39,11664
2015-11-12,60.39,60.94,59.77,60.05,2081364.0,60.243,13208
2015-11-13,60.22,60.91,59.48,59.7,1792767.0,60.075,12149
2015-11-16,59.59,60.26,59.42,60.25,1542192.0,59.965,10639
2015-11-17,60.04,60.83,58.86,59.05,1358993.0,59.519,9731
2015-11-18,58.98,59.5,58.47,59.3,2141015.0,59.062,14156
2015-11-19,59.51,60.58,59.4,60.3,1841531.0,60.03,11453
2015-11-20,60.56,61.16,60.4,60.58,1204137.0,60.724,7891
2015-11-23,60.73,60.82,60.08,60.1,1025424.0,60.332,7284
2015-11-24,59.81,59.9,59.16,59.7,1663519.0,59.498,11074
2015-11-25,59.75,59.75,58.98,59.18,1618791.0,59.188,9981
2015-11-27,59.27,59.89,59.27,59.43,631013.0,59.545,4523
2015-11-30,59.57,59.83,59.31,59.36,1807077.0,59.613,12206
2015-12-01,59.5,59.68,58.9,59.3,1929525.0,59.272,12619
2015-12-02,59.17,59.36,58.58,58.67,1917323.0,58.92,13880
2015-12-03,58.32,58.72,57.84,58.64,2607532.0,58.398,15448
2015-12-04,58.88,60.34,58.87,60.21,2241104.0,59.899,15992
2015-12-07,60.13,60.24,59.47,60.04,1571738.0,59.876,10306
