date,open,high,low,close,volume,average,barCount
2015-10-13,46.94,47.3,46.24,46.38,199605.0,46.788,1585
2015-10-14,46.39,46.79,45.97,45.98,214473.0,46.279,1582
2015-10-15,46.0,46.03,45.24,45.85,289993.0,45.793,1933
2015-10-16,45.85,46.13,44.88,45.2,272476.0,45.218,2087
2015-10-19,44.85,45.96,44.85,45.28,172672.0,45.217,1308
2015-10-20,45.16,45.94,45.01,45.22,387796.0,45.357,2748
2015-10-21,45.33,45.35,44.06,44.14,298087.0,44.417,2350
2015-10-22,44.4,45.84,44.04,45.68,322592.0,44.986,2401
2015-10-23,45.96,46.17,45.33,45.97,174897.0,45.838,1365
2015-10-26,45.92,46.31,45.6,46.11,168364.0,46.02,1406
2015-10-27,45.83,45.96,45.25,45.48,234985.0,45.597,1970
2015-10-28,45.71,47.64,45.71,47.53,392107.0,46.98,2935
2015-10-29,47.19,48.17,46.35,47.67,314379.0,47.659,2504
2015-10-30,47.64,48.99,47.64,48.28,420451.0,48.47,3009
2015-11-02,48.26,49.38,47.94,49.17,337134.0,48.896,2392
2015-11-03,49.22,49.98,49.09,49.66,505103.0,49.663,3510
2015-11-04,49.66,49.95,49.28,49.36,145655.0,49.523,1159
2015-11-05,49.34,49.56,48.82,49.32,249186.0,49.26,1850
2015-11-06,49.0,49.44,48.4,49.35,229915.0,49.137,1757
2015-11-09,49.36,49.7,48.68,48.73,177208.0,48.927,1523
2015-11-10,48.58,49.3,48.49,48.99,280502.0,48.908,2152
2015-11-11,49.18,49.7,48.96,49.38,319589.0,49.386,2407
2015-11-12,48.95,49.24,48.07,48.16,151616.0,48.629,1216
2015-11-13,47.85,48.81,47.85,48.32,103008.0,48.362,864
2015-11-16,48.27,48.87,48.0,48.55,212703.0,48.542,1592
2015-11-17,48.57,48.8,47.85,47.97,258185.0,48.19,2158
2015-11-18,48.29,49.14,48.02,49.09,182998.0,48.793,1558
2015-11-19,49.0,49.25,48.63,48.77,423370.0,48.793,3117
2015-11-20,49.04,49.77,49.04,49.38,278123.0,49.375,2062
2015-11-23,49.16,49.72,49.16,49.6,160866.0,49.552,1280
2015-11-24,49.5,50.0,49.22,49.88,219876.0,49.749,1632
2015-11-25,49.81,50.27,49.8,50.05,181352.0,50.077,1422
2015-11-27,49.97,50.86,49.94,50.61,165806.0,50.565,1397
2015-11-30,50.63,50.9,50.36,50.4,371146.0,50.598,2993
2015-12-01,50.55,51.72,50.28,51.68,272190.0,51.073,2126
2015-12-02,51.65,52.37,51.47,51.52,256501.0,51.871,2064
2015-12-03,51.8,52.02,50.98,51.05,194391.0,51.511,1490
2015-12-04,51.02,51.87,49.77,51.57,199670.0,51.565,1702
2015-12-07,51.32,51.67,50.96,50.99,270328.0,51.178,2044
2015-12-08,50.34,50.92,49.95,50.2,188689.0,50.382,1519
2015-12-09,50.13,50.94,49.16,49.23,245111.0,49.759,1990
2015-12-10,49.21,49.45,48.89,48.91,268103.0,49.132,2006
2015-12-11,48.01,48.64,47.69,47.85,294672.0,48.104,2373
2015-12-14,48.07,48.43,47.54,47.9,186653.0,47.884,1630
2015-12-15,48.33,48.84,48.24,48.71,284896.0,48.571,2157
2015-12-16,48.93,49.34,48.08,48.88,281850.0,48.625,2311
2015-12-17,48.94,48.94,47.55,47.56,303700.0,47.904,2441
