date,open,high,low,close,volume,average,barCount
2015-10-13,46.82,47.14,46.38,46.49,3636395.0,46.726,21163
2015-10-14,46.57,46.73,45.95,46.27,3363203.0,46.416,19832
2015-10-15,46.5,46.84,45.71,46.82,3209946.0,46.387,19332
2015-10-16,47.35,47.35,44.88,45.27,5600570.0,45.392,30479
2015-10-19,45.07,45.59,45.03,45.48,2767685.0,45.395,16987
2015-10-20,45.3,46.41,45.11,46.12,3523723.0,46.065,21484
2015-10-21,46.36,47.15,46.09,46.29,3134697.0,46.52,18851
2015-10-22,46.43,48.07,46.25,47.78,6152616.0,47.669,33385
2015-10-23,48.05,48.18,47.44,48.18,4607147.0,47.853,27225
2015-10-26,48.17,48.26,47.76,48.01,3177198.0,47.935,18761
2015-10-27,47.6,47.63,46.81,46.89,3246216.0,47.096,19122
2015-10-28,47.17,47.72,46.81,47.41,3568020.0,47.345,22627
2015-10-29,47.23,47.54,47.04,47.18,1907600.0,47.217,12739
2015-10-30,47.45,47.51,46.93,47.23,4636784.0,47.27,24713
2015-11-02,47.21,48.52,47.05,48.35,4449953.0,47.834,27652
2015-11-03,48.21,50.24,48.0,49.64,4594205.0,49.447,31092
2015-11-04,49.92,50.27,49.58,49.68,4137194.0,49.914,27566
2015-11-05,49.43,49.78,48.54,49.15,4480578.0,49.082,25179
2015-11-06,48.81,49.42,48.44,49.23,3452926.0,49.018,20108
2015-11-09,49.13,49.4,47.88,48.32,2888973.0,48.354,18670
2015-11-10,47.67,48.04,47.16,47.79,3060165.0,47.611,20869
2015-11-11,48.0,48.28,47.47,47.97,2486832.0,47.984,16518
2015-11-12,47.5,48.13,47.11,47.25,4643140.0,47.604,25854
2015-11-13,47.0,47.93,47.0,47.69,3663409.0,47.62,23775
2015-11-16,47.69,48.9,47.68,48.85,4189297.0,48.572,24025
2015-11-17,48.87,49.06,48.41,48.68,2864752.0,48.714,18844
2015-11-18,48.83,50.07,48.64,50.01,3332873.0,49.586,20712
2015-11-19,50.1,50.32,49.9,50.14,2675530.0,50.117,15276
2015-11-20,50.31,50.57,49.98,50.16,2713461.0,50.18,14996
2015-11-23,50.2,50.35,49.87,50.02,2801222.0,50.055,17262
2015-11-24,49.88,50.16,49.71,50.07,2439069.0,49.972,16305
2015-11-25,49.98,50.46,49.86,50.24,2418035.0,50.238,15713
2015-11-27,50.1,50.42,49.76,50.29,1806058.0,50.076,12680
2015-11-30,50.37,50.41,49.96,50.0,3717980.0,50.099,18446
2015-12-01,50.22,50.44,48.95,49.62,4847039.0,49.594,29818
2015-12-02,49.4,50.05,48.8,48.91,3748541.0,49.241,22251
2015-12-03,48.99,49.0,48.18,48.58,5395349.0,48.45,31539
2015-12-04,48.47,49.3,48.38,49.17,3783567.0,48.973,21474
2015-12-07,48.99,49.09,48.37,48.51,4213215.0,48.594,24254
2015-12-08,48.11,48.35,47.15,47.28,5438804.0,47.581,30683
2015-12-09,47.09,47.94,46.81,47.14,5904521.0,47.187,36244
2015-12-10,47.39,47.6,46.88,46.97,3043136.0,47.15,19762
2015-12-11,46.5,46.55,45.4,45.48,5582843.0,45.768,33008
2015-12-14,45.44,45.62,44.62,44.99,6472897.0,44.986,37949
2015-12-15,45.46,45.46,44.9,45.22,4601412.0,45.18,30026
2015-12-16,45.47,46.24,44.97,46.1,4672197.0,45.637,28373
2015-12-17,46.03,46.36,44.97,45.0,4392860.0,45.364,25170
2015-12-18,44.84,45.34,44.59,44.59,4693197.0,44.925,25402
2015-12-21,45.09,45.96,45.04,45.88,5438328.0,45.72,30809
2015-12-22,46.0,47.05,46.0,46.85,4035051.0,46.601,24426
2015-12-23,47.09,48.4,46.97,48.33,4656774.0,48.141,29186
2015-12-24,48.18,48.53,48.04,48.26,1420150.0,48.322,9114
2015-12-28,48.1,48.37,47.67,48.26,2732932.0,48.099,15798
2015-12-29,48.5,48.93,47.99,48.49,2583020.0,48.351,15958
2015-12-30,48.35,48.86,48.23,48.53,4713605.0,48.623,24984
2015-12-31,48.28,48.8,47.82,47.83,2651427.0,48.105,16534
2016-01-04,47.32,47.34,46.52,47.3,4038999.0,46.951,21753
2016-01-05,47.58,47.67,46.63,46.99,3148424.0,46.932,19336
2016-01-06,46.29,46.66,45.92,46.45,4467194.0,46.323,26957
