date,open,high,low,close,volume,average,barCount
2015-10-13,80.65,81.16,76.28,76.4,623282.0,78.081,4094
2015-10-14,76.77,78.34,75.68,76.52,346194.0,76.722,2240
2015-10-15,76.97,78.74,76.29,78.7,308146.0,77.666,1872
2015-10-16,79.0,80.29,77.84,79.21,146508.0,78.899,983
2015-10-19,79.09,79.76,77.55,78.19,314289.0,78.27,2043
2015-10-20,78.11,79.5,76.94,77.74,226223.0,77.692,1805
2015-10-21,77.87,80.48,77.58,77.82,385191.0,78.801,2864
2015-10-22,78.41,78.94,77.1,77.81,362995.0,77.563,2842
2015-10-23,78.38,79.97,77.83,79.5,290959.0,79.272,1956
2015-10-26,79.5,80.91,78.02,78.67,207371.0,79.264,1304
2015-10-27,78.36,79.61,78.0,79.3,179868.0,79.02,1387
2015-10-28,79.37,79.58,78.67,79.44,375611.0,79.227,2801
2015-10-29,79.44,79.44,77.26,77.53,434105.0,77.898,2448
2015-10-30,77.71,78.54,76.92,77.35,297714.0,77.443,1813
2015-11-02,77.6,78.38,77.17,78.11,374187.0,78.005,2448
2015-11-03,77.98,79.0,77.39,78.73,222324.0,78.421,1791
2015-11-04,78.9,78.9,74.84,75.57,801534.0,75.899,5651
2015-11-05,71.02,75.0,67.29,71.69,1486965.0,71.676,9043
2015-11-06,71.4,72.27,70.97,71.61,435390.0,71.472,2952
2015-11-09,71.25,72.75,71.12,71.87,379925.0,71.926,2927
2015-11-10,71.81,73.1,71.12,72.77,453678.0,72.257,2508
2015-11-11,72.95,74.52,72.54,74.42,368846.0,73.965,2714
2015-11-12,74.58,75.04,73.33,73.65,312961.0,74.185,2386
2015-11-13,73.29,73.29,71.32,71.45,197283.0,71.874,1332
2015-11-16,71.19,72.17,71.0,71.83,186615.0,71.589,1286
2015-11-17,71.85,74.61,71.17,74.2,390200.0,73.821,2844
2015-11-18,74.4,74.48,72.5,74.25,226319.0,73.666,1869
2015-11-19,74.88,76.0,74.27,74.55,415514.0,75.119,1855
2015-11-20,75.07,77.88,75.04,77.42,340844.0,77.126,2197
2015-11-23,77.08,77.45,76.29,77.05,145405.0,76.891,1079
2015-11-24,76.93,77.75,76.53,77.51,225356.0,77.206,1577
2015-11-25,77.75,79.4,77.29,79.08,268688.0,79.055,1831
2015-11-27,78.82,79.81,78.03,79.45,114878.0,79.032,911
2015-11-30,79.24,79.24,77.1,78.73,255876.0,78.33,1800
2015-12-01,78.75,79.89,78.01,79.78,281060.0,78.996,2057
2015-12-02,79.45,79.45,77.68,78.68,303396.0,78.627,1715
2015-12-03,78.7,80.2,78.13,79.18,441741.0,79.013,2566
2015-12-04,79.06,81.0,79.06,80.77,305666.0,80.597,1865
2015-12-07,80.53,82.55,80.53,81.66,358737.0,81.602,2627
2015-12-08,80.83,83.0,80.0,82.5,278979.0,82.136,1904
2015-12-09,82.5,83.25,81.22,82.02,582480.0,82.017,3961
2015-12-10,81.94,82.47,80.73,81.57,238708.0,81.935,1825
2015-12-11,80.3,81.21,78.03,78.57,243782.0,79.019,1963
2015-12-14,78.37,80.04,78.0,79.22,265119.0,79.194,1951
2015-12-15,79.49,81.58,79.09,81.47,340940.0,80.698,2537
2015-12-16,82.08,83.12,80.72,81.7,421591.0,81.923,2998
2015-12-17,82.16,84.41,81.75,82.07,375513.0,82.534,2087
2015-12-18,81.53,82.12,78.76,78.91,358164.0,79.891,2103
2015-12-21,80.0,80.0,78.06,79.18,165539.0,78.9,1348
2015-12-22,79.13,80.29,78.44,80.19,146190.0,79.492,1112
2015-12-23,80.56,81.08,78.89,79.86,210379.0,79.561,1676
2015-12-24,79.89,80.05,79.22,79.74,59629.0,79.609,517
2015-12-28,79.4,79.9,78.6,79.37,96674.0,79.115,839
2015-12-29,79.98,80.55,79.21,80.11,87001.0,79.889,701
2015-12-30,80.03,80.82,79.14,79.24,176475.0,79.751,1264
2015-12-31,79.29,79.77,78.24,78.62,202438.0,79.062,1697
2016-01-04,77.97,78.03,73.88,75.13,376931.0,74.985,2744
2016-01-05,75.27,76.96,74.89,75.11,263876.0,75.773,2015
2016-01-06,74.02,75.0,73.42,74.32,259697.0,74.108,1739
2016-01-07,73.08,74.58,72.05,72.28,347457.0,72.978,2671
2016-01-08,73.02,73.59,70.26,70.49,662280.0,71.438,4515
2016-01-11,69.56,70.7,68.55,70.2,501136.0,69.503,3190
2016-01-12,70.87,71.86,69.92,70.47,354424.0,70.497,2735
2016-01-13,71.04,71.72,69.5,70.2,457651.0,70.544,3402
2016-01-14,70.5,73.15,68.99,72.78,438527.0,71.81,2885
2016-01-15,71.19,71.32,68.26,69.06,540015.0,69.339,3539
2016-01-19,69.85,70.43,67.61,67.84,589941.0,69.058,3239
2016-01-20,66.58,69.07,64.82,68.77,419955.0,67.123,2857
2016-01-21,68.22,70.68,67.48,70.18,375790.0,69.823,2944
2016-01-22,71.13,72.45,70.87,72.12,298491.0,71.841,1796
2016-01-25,71.72,72.96,71.38,72.49,420218.0,72.243,1992
2016-01-26,72.42,72.76,70.61,70.99,261220.0,71.557,1832
2016-01-27,70.66,72.43,69.88,70.67,335870.0,70.834,2100
2016-01-28,71.63,72.62,70.57,71.5,228516.0,71.599,1823
2016-01-29,72.11,74.94,71.55,74.9,380873.0,73.548,2885
2016-02-01,74.36,76.77,73.95,75.86,405565.0,75.62,2909
2016-02-02,75.0,76.34,74.42,75.2,309515.0,75.19,2258
2016-02-03,76.0,76.0,71.06,71.71,379676.0,72.483,2829
2016-02-04,71.37,72.02,67.75,68.86,420225.0,68.91,3232
2016-02-05,68.26,68.27,58.66,60.92,1790046.0,60.934,11083
2016-02-08,59.54,61.93,58.15,59.77,1445184.0,59.905,7407
2016-02-09,58.96,60.74,56.93,58.69,796252.0,59.032,6162
2016-02-10,58.91,60.99,57.96,58.06,562450.0,59.103,4653
2016-02-11,56.95,58.52,56.49,58.05,652653.0,57.827,5317
2016-02-12,58.0,59.0,54.88,57.0,785491.0,57.034,5673
2016-02-16,57.89,61.14,57.23,60.44,566851.0,59.75,4587
2016-02-17,60.87,61.05,59.35,60.1,476249.0,60.13,3617
2016-02-18,62.78,68.64,62.36,65.67,793844.0,66.256,6330
2016-02-19,65.5,66.82,64.67,66.43,570027.0,66.041,4433
2016-02-22,66.97,67.39,64.03,64.17,391771.0,64.749,3043
2016-02-23,64.2,65.64,62.89,64.93,509189.0,64.73,3888
2016-02-24,63.9,65.88,63.11,65.74,392052.0,64.566,3132
2016-02-25,66.0,67.29,65.15,67.21,371920.0,66.508,2954
2016-02-26,67.47,68.0,66.72,67.29,382403.0,67.392,2724
2016-02-29,67.35,68.89,67.04,68.38,476594.0,68.328,3672
2016-03-01,68.93,70.87,68.15,70.13,506740.0,69.684,3930
2016-03-02,69.85,70.75,69.21,69.73,251797.0,69.609,1983
2016-03-03,69.63,71.1,68.8,70.97,304972.0,70.031,2353
2016-03-04,71.07,72.06,70.07,71.38,327852.0,71.502,2388
2016-03-07,70.29,71.52,69.58,70.74,491888.0,70.702,3969
2016-03-08,70.17,70.63,69.16,69.62,326558.0,69.844,2461
2016-03-09,70.09,70.09,68.34,69.12,324197.0,68.85,2591
2016-03-10,69.26,69.83,67.12,68.17,323268.0,68.35,2821
2016-03-11,68.77,69.71,68.47,69.56,235951.0,69.147,2015
2016-03-14,69.56,71.93,69.56,71.58,377917.0,71.282,2884
2016-03-15,71.01,71.15,70.18,70.34,382736.0,70.648,3045
2016-03-16,69.99,72.3,69.85,70.78,467946.0,70.825,3163
2016-03-17,70.61,71.67,70.11,71.18,327612.0,71.015,2264
2016-03-18,71.65,71.99,70.31,70.6,408652.0,70.85,2641
2016-03-21,70.24,71.19,70.24,70.67,192837.0,70.749,1553
2016-03-22,70.0,70.96,69.89,70.46,262405.0,70.48,1899
2016-03-23,70.46,71.27,70.08,70.74,231897.0,70.79,1800
2016-03-24,70.33,71.29,69.88,70.52,226895.0,70.705,1906
2016-03-28,70.53,72.39,70.43,72.15,250922.0,71.826,1944
2016-03-29,71.73,73.83,71.56,73.76,265099.0,72.805,2085
2016-03-30,74.51,74.88,73.16,73.34,213888.0,74.011,1767
2016-03-31,73.32,75.25,73.06,74.67,277749.0,74.69,1974
2016-04-01,74.19,77.18,73.88,76.99,448048.0,76.236,3060
2016-04-04,76.8,76.8,75.31,75.59,469380.0,75.79,3530
2016-04-05,75.1,75.52,73.95,74.13,224254.0,74.441,1781
2016-04-06,74.2,74.63,73.77,74.32,224475.0,74.191,1900
2016-04-07,73.68,74.34,72.43,72.74,252901.0,72.817,2117
2016-04-08,73.2,73.78,72.66,73.7,165740.0,73.229,1462
